AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Uttarkashi,1,SC,Gyan Chand,Bharatiya Janta Party,169254,81819,48.3 %,11508,14.1%
Tehri,2,GEN,Lakhi Ram Joshi,Bharatiya Janta Party,185708,77096,41.5 %,3818,5.0%
Deoprayag,3,GEN,Matbar Singh Kandari,Bharatiya Janta Party,173829,69104,39.8 %,16195,23.4%
Lansdowne,4,GEN,Bharat Singh Rawat,Indian National Congress,173164,80358,46.4 %,478,0.6%
Pauri,5,GEN,Harak Singh,Bharatiya Janta Party,157103,70627,45.0 %,10792,15.3%
Karanprayag,6,GEN,Ramesh Pokhariyal Nishank,Bharatiya Janta Party,155839,74300,47.7 %,3776,5.1%
Badri Kedar,7,GEN,Kedar Singh Phoniya,Bharatiya Janta Party,192943,92120,47.7 %,6259,6.8%
Didihat,8,GEN,Lilaram Sharma,Indian National Congress,158546,66888,42.2 %,7422,11.1%
Pithoragarh,9,GEN,Sri Krishan Chandra,Bharatiya Janta Party,168478,72795,43.2 %,5109,7.0%
Almora,10,GEN,Puran Chandra Sharma,Bharatiya Janta Party,187837,75582,40.2 %,6896,9.1%
Bageshwar,11,SC,Puran Chandra,Bharatiya Janta Party,153771,61652,40.1 %,7200,11.7%
Ranikhet,12,GEN,Bachi Singh Rawat,Bharatiya Janta Party,186278,65404,35.1 %,4141,6.3%
Nainital,13,GEN,Banshi Dhar,Bharatiya Janta Party,172118,86883,50.5 %,13069,15.0%
Khatima,14,GEN,Lakhan Singh,Bharatiya Janta Party,197267,90946,46.1 %,1755,1.9%
Haldwani,15,GEN,Narayan Datt Tiwari,Indian National Congress,231196,118833,51.4 %,3204,2.7%
Kashipur,16,GEN,Rajeev Kumar,Bharatiya Janta Party,198349,106967,53.9 %,1303,1.2%
Seohara,17,GEN,Mahabeer Singh,Bharatiya Janta Party,188452,117994,62.6 %,19738,16.7%
Dhampur,18,GEN,Rajendra Singh,Bharatiya Janta Party,188707,120570,63.9 %,26651,22.1%
Afzalgarh,19,GEN,Inder Dev,Bharatiya Janta Party,186328,107001,57.4 %,20236,18.9%
Nagina,20,SC,Om Prakash,Bharatiya Janta Party,173465,90105,51.9 %,22489,25.0%
Nazibabad,21,SC,Rajendra,Bharatiya Janta Party,180162,86746,48.1 %,15829,18.2%
Bijnor,22,GEN,Mahendra Pal Singh,Bharatiya Janta Party,192618,128465,66.7 %,15660,12.2%
Chandpur,23,GEN,Amar Singh,Bharatiya Janta Party,205200,127351,62.1 %,16839,13.2%
Kanth,24,GEN,Thakur Pal Singh,Bharatiya Janta Party,163092,95209,58.4 %,262,0.3%
Amroha,25,GEN,Pratap Singh,Bharatiya Janta Party,197430,119197,60.4 %,14716,12.3%
Hasanpur,26,GEN,Tula Ram Saini,Bharatiya Janta Party,187696,112788,60.1 %,14507,12.9%
Gangeshwari,27,SC,Preetam Singh,Bharatiya Janta Party,170145,89066,52.3 %,1324,1.5%
Sambhal,28,GEN,Iqwal Mahmood,Janata Dal,186565,118803,63.7 %,3281,2.8%
Bahjoi,29,GEN,Brijendra Pal Singh,Indian National Congress,166343,88511,53.2 %,3154,3.6%
Chandausi,30,SC,Gulab Devi,Bharatiya Janta Party,176917,83831,47.4 %,6256,7.5%
Kundarki,31,GEN,Akwar,Janata Dal,178623,105582,59.1 %,6431,6.1%
Moradabad West,32,GEN,J.P Singh,Bharatiya Janta Party,210539,106144,50.4 %,10466,9.9%
Moradabad,33,GEN,Zahid Husain,Janata Dal,214568,108663,50.6 %,19636,18.1%
Moradabad Rural,34,GEN,Mohammad Rizwanulhaq,Janata Dal,174647,99967,57.2 %,5217,5.2%
Thakurdwara,35,GEN,Sarvesh Kumar Urf Rakesh Kumar,Bharatiya Janta Party,173315,110454,63.7 %,34236,31.0%
Suartanda,36,GEN,Shiv Bhaadur,Bharatiya Janta Party,196597,119079,60.6 %,11529,9.7%
Rampur,37,GEN,Mohammad Azam Khan,Jharkhand Party,203486,102440,50.3 %,2634,2.6%
Bilaspur,38,GEN,Jwala Prasad,Bharatiya Janta Party,216911,132111,60.9 %,5058,3.8%
Shahabad,39,SC,Swami Parmanand Dandi,Bharatiya Janta Party,189304,95438,50.4 %,7069,7.4%
Bisauli,40,GEN,Krishna Vir Singh,Janata Dal,166970,92694,55.5 %,309,0.3%
Gunnour,41,GEN,Ram Khilari,Janata Dal,176375,86816,49.2 %,7783,9.0%
Sahaswan,42,GEN,Omkar Singh,Janata Dal,178126,97893,55.0 %,22109,22.6%
Bilsi,43,SC,Bhola Shanker Morya,Indian National Congress,165307,87270,52.8 %,116,0.1%
Budaun,44,GEN,Krishna Swarup,Bharatiya Janta Party,190183,101586,53.4 %,8850,8.7%
Usehat,45,GEN,Banwari Singh,Jharkhand Party,170217,90402,53.1 %,50,0.1%
Binawar,46,GEN,Ram Sewak,Bharatiya Janta Party,171745,94449,55.0 %,30496,32.3%
Dataganj,47,GEN,Avnish Kumar Singh,Bharatiya Janta Party,161016,88255,54.8 %,6145,7.0%
Aonla,48,GEN,Shyam Behari Singh,Bharatiya Janta Party,166750,81888,49.1 %,6960,8.5%
Sunha,49,GEN,Rameshwar Nath Chobey,Indian National Congress,161258,83938,52.1 %,2735,3.3%
Faridpur,50,SC,Nand Ram,Bharatiya Janta Party,162171,82611,50.9 %,3613,4.4%
Bareilly Cantonment,51,GEN,Islam Sabir,Indian National Congress,192450,105159,54.6 %,2877,2.7%
Bareilly City,52,GEN,Dinesh Jauhari,Bharatiya Janta Party,191972,96605,50.3 %,23952,24.8%
Nawabganj,53,GEN,Bhagwat Saran Ganwar,Bharatiya Janta Party,159926,91325,57.1 %,15452,16.9%
