AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Purola,1,SC,Malchander,Bharatiya Janta Party,51144,32395,63.3 %,2971,9.2%
Gangotri,2,GEN,Vijaypal Singh Sajwan,Indian National Congress,63007,37739,59.9 %,610,1.6%
Yamunotri,3,GEN,Pritam Singh Pawar,Uttarakhand Kranti Dal,56408,36029,63.9 %,2485,6.9%
Pratapnagar,4,GEN,Phool Singh Bist,Indian National Congress,62328,34114,54.7 %,1389,4.1%
Tehri,5,GEN,Kishor Upadhyay,Indian National Congress,86364,37351,43.2 %,3928,10.5%
Ghansali,6,GEN,Balvir Singh Negi,Nationalist Congress Party,81688,42733,52.3 %,3732,8.7%
Deoprayag,7,GEN,Mantri Prasad Naithani,Indian National Congress,72077,32901,45.6 %,2252,6.8%
Narendranagar,8,GEN,Subodh Uniyal,Indian National Congress,71334,33999,47.7 %,1531,4.5%
Dhanolti,9,SC,Kaul Das,Indian National Congress,63830,32497,50.9 %,1925,5.9%
Chakrata,10,ST,Preetam Singh,Indian National Congress,55172,37243,67.5 %,8176,22.0%
Vikasnagar,11,GEN,Nav Prabhat,Indian National Congress,87386,52991,60.6 %,58,0.1%
Sahaspur,12,SC,Sadhu Ram,Indian National Congress,72943,43705,59.9 %,5196,11.9%
Laxman Chowk,13,GEN,Dinesh Agarwal,Indian National Congress,96660,42180,43.6 %,803,1.9%
Dehradun,14,GEN,Harbans Kapoor,Bharatiya Janta Party,80418,34011,42.3 %,2924,8.6%
Rajpur,15,GEN,Hira Singh Bist,Indian National Congress,93746,40198,42.9 %,2779,6.9%
Mussoorie,16,GEN,Jot Singh,Indian National Congress,63120,27527,43.6 %,6343,23.0%
Rishikesh,17,GEN,Shoor Beer Singh,Indian National Congress,117420,58924,50.2 %,841,1.4%
Doiwala,18,GEN,Trivendra Singh Rawat,Bharatiya Janta Party,129289,60174,46.5 %,1536,2.6%
Bhagwanpur,19,SC,Chandrasekher,Bharatiya Janta Party,86171,55490,64.4 %,3348,6.0%
Roorkee,20,GEN,Suresh Chand,Bharatiya Janta Party,94641,47836,50.5 %,3751,7.8%
Iqbalpur,21,GEN,Ch. Yashveer Singh,Bahujan Samaj Party,87211,62399,71.5 %,10665,17.1%
Manglor,22,GEN,Nizamuddin,Bahujan Samaj Party,80452,52970,65.8 %,6594,12.4%
Landhaura,23,SC,Hari Das,Bahujan Samaj Party,82178,52315,63.7 %,1944,3.7%
Laksar,24,GEN,Pranav Singh,Independent,81887,59960,73.2 %,1907,3.2%
Bahadrabad,25,GEN,Shahzad,Bahujan Samaj Party,105302,61246,58.2 %,1034,1.7%
Hardwar,26,GEN,Madan Kaushik,Bharatiya Janta Party,125270,60663,48.4 %,2992,4.9%
Laldhang,27,GEN,Tasleem Ahmad,Bahujan Samaj Party,93322,62568,67.0 %,2856,4.6%
Yamakeshwar,28,GEN,Vijay Barthwal,Bharatiya Janta Party,60616,28021,46.2 %,1447,5.2%
Kotdwar,29,GEN,Surendra Singh Negi,Indian National Congress,76281,40579,53.2 %,10837,26.7%
Dhumakot,30,GEN,Tejpal Singh Rawat,Indian National Congress,55238,26364,47.7 %,1012,3.8%
Bironkhal,31,GEN,Amrita Rawat,Indian National Congress,55505,26832,48.3 %,7744,28.9%
Lansdowne,32,GEN,Dr. Harak Singh Rawat,Indian National Congress,55994,26011,46.5 %,468,1.8%
Pauri,33,GEN,Narendra Singh Bhandri,Indian National Congress,61541,29527,48.0 %,2905,9.8%
Srinagar,34,SC,Sunderlal Mandrawal,Indian National Congress,58403,24855,42.6 %,1637,6.6%
Thalisain,35,GEN,Ganesh Prasad Godiyal,Indian National Congress,59551,34004,57.1 %,997,2.9%
Rudraprayag,36,GEN,Matbar Singh,Bharatiya Janta Party,79328,39930,50.3 %,5756,14.4%
