AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Mekliganj,1,SC,Ramesh Roy,All India Forward Bloc,146878,133540,90.9 %,1983,1.5%
Sitalkuchi,2,SC,Sudhir Pramanik,Communist Party Of India (MARXIST),144211,133302,92.4 %,32757,24.6%
Mathabhanga,3,SC,Dinesh Chandra Dakua,Communist Party Of India (MARXIST),142115,126612,89.1 %,17321,13.7%
Cooch Behar North,4,GEN,Mihir Goswami,Indian National Congress,148979,128364,86.2 %,6864,5.3%
Cooch Behar West,5,GEN,Soumindra Chandra Das,All India Forward Bloc,161174,143871,89.3 %,13736,9.5%
Sitai,6,GEN,Md. Fazle Haque,Independent,165126,150053,90.9 %,36210,24.1%
Dinhata,7,GEN,Kamal Guha,Forward Bloc (SOCIALIST),167083,146540,87.7 %,33011,22.5%
Natabari,8,GEN,Sibendra Narayan Chowdhuri,Communist Party Of India (MARXIST),136103,124729,91.6 %,9658,7.7%
Tufanganj,9,SC,Puspa Chandra Das,Communist Party Of India (MARXIST),138184,124560,90.1 %,26853,21.6%
Kumargram,10,ST,Salib Toppo,Revolutionary Socialist Party,135338,117297,86.7 %,17452,14.9%
Kalchini,11,ST,Monohar Tirkey,Revolutionary Socialist Party,137632,110502,80.3 %,2854,2.6%
Alipurduars,12,GEN,Nirmal Das,Revolutionary Socialist Party,159858,134183,83.9 %,16491,12.3%
Falakata,13,SC,Jogesh Chandra Barman,Communist Party Of India (MARXIST),143043,126012,88.1 %,17429,13.8%
Madarihat,14,ST,Sushil Kujur,Revolutionary Socialist Party,132929,112179,84.4 %,24578,21.9%
Dhupguri,15,SC,Banamali Roy,Communist Party Of India (MARXIST),135937,119477,87.9 %,22035,18.4%
Nagrakata,16,ST,Chaitan Munda,Communist Party Of India (MARXIST),153671,130573,85.0 %,34874,26.7%
Mainaguri,17,SC,Bachcha Mohan Ray,Revolutionary Socialist Party,144451,126695,87.7 %,23685,18.7%
Mal,18,ST,Jagannath Oraon,Communist Party Of India (MARXIST),136671,116154,85.0 %,16009,13.8%
Kranti,19,GEN,Sudhan Raha,Communist Party Of India (MARXIST),128436,113752,88.6 %,22029,19.4%
Jalpaiguri,20,GEN,Anupam Sen,Indian National Congress,133981,114075,85.1 %,3708,3.3%
Rajganj,21,SC,Jatindra Nath Roy,Communist Party Of India (MARXIST),239131,194522,81.3 %,37974,19.5%
Kalimpong,22,GEN,Gaulan Lepcha,Gorkha National Liberation Front,139358,100704,72.3 %,33241,33.0%
Darjeeling,23,GEN,Nar Bahadur Chettri,Gorkha National Liberation Front,152409,107025,70.2 %,25467,23.8%
Kurseong,24,GEN,Shanta Chhetri,Gorkha National Liberation Front,151898,115703,76.2 %,18961,16.4%
Siliguri,25,GEN,Asok Bhattacharya,Communist Party Of India (MARXIST),264465,199217,75.3 %,54073,27.1%
Phansidewa,26,ST,Prokash Minj,Communist Party Of India (MARXIST),211775,175572,82.9 %,18406,10.5%
Chopra,27,GEN,Mahamuddin,Communist Party Of India (MARXIST),136794,119828,87.6 %,3392,2.8%
Islampur,28,GEN,Chowdhury Abdul Karim,Indian National Congress,156733,118515,75.6 %,1395,1.2%
Goalpokhar,29,GEN,Hafiz Alam Sairani,All India Forward Bloc,171785,110473,64.3 %,32063,29.0%
Karandighi,30,GEN,Suresh Chandra Singha,All India Forward Bloc,189574,146402,77.2 %,5771,3.9%
Raiganj,31,SC,Dilip Kumar Das,Indian National Congress,177933,148679,83.6 %,2290,1.5%
Kaliaganj,32,SC,Pramatha Nath Ray,Indian National Congress,155078,134312,86.6 %,4955,3.7%
Kushmandi,33,SC,Roy Narmada Chandra,Revolutionary Socialist Party,149374,128175,85.8 %,9944,7.8%
Itahar,34,GEN,Sri Kumar Mukherjee,Communist Party Of India,149077,130296,87.4 %,556,0.4%
Gangarampur,35,GEN,Minati Ghosh,Communist Party Of India (MARXIST),182737,159047,87.0 %,22337,14.0%
Tapan,36,ST,Khara Soren,Revolutionary Socialist Party,140834,123351,87.6 %,25397,20.6%
Kumarganj,37,GEN,Roy Dwijendra Nath,Communist Party Of India (MARXIST),162286,141075,86.9 %,15210,10.8%
Balurghat,38,GEN,Choudhury Biswanath,Revolutionary Socialist Party,133532,117738,88.2 %,8621,7.3%
Habibpur,39,ST,Jadu Hembram,Communist Party Of India (MARXIST),138076,118235,85.6 %,17893,15.1%
Gajol,40,ST,Debnath Murmu,Communist Party Of India (MARXIST),143930,123163,85.6 %,15159,12.3%
Kharba,41,GEN,Mahbubul Hoque,Indian National Congress,145603,129471,88.9 %,6730,5.2%
Harishchandrapur,42,GEN,Birendra Kumar Maitra,All India Forward Bloc,144435,125795,87.1 %,2489,2.0%
Ratua,43,GEN,Samar Mukherjee,Indian National Congress,132723,113468,85.5 %,2966,2.6%
Araidanga,44,GEN,Sabitri Mitra,Indian National Congress,126509,112853,89.2 %,6677,5.9%
Malda,45,SC,Phani Bhusan Roy,Indian National Congress,165051,142074,86.1 %,6539,4.6%
Englishbazar,46,GEN,Goutam Chakravartty,Indian National Congress,156094,133451,85.5 %,10661,8.0%
Manikchak,47,GEN,Ram Prabesh Mondal,Indian National Congress,131455,110018,83.7 %,10188,9.3%
Suzapur,48,GEN,Rubi Noor,Indian National Congress,131958,116636,88.4 %,33153,28.4%
Kaliachak,49,GEN,Abu Hasem Khan Chowdhury,Indian National Congress,163695,142919,87.3 %,10348,7.2%
Farakka,50,GEN,Mainul Haque,Indian National Congress,139674,118420,84.8 %,7563,6.4%
Aurangabad,51,GEN,Humayun Reja,Indian National Congress,152148,127411,83.7 %,4643,3.6%
Suti,52,GEN,Md. Sohrab,Indian National Congress,157899,122545,77.6 %,431,0.4%
