pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,father/husband name,gender,age,UID
Chatra,4,GEN,Jharkhand,Kali Charan Singh,Bharatiya Janta Party,1689926,1086374,64.30%,220959,20.30%,BAIDHNATH SINGH,male,62,JH2024PC04
Dhanbad,7,GEN,Jharkhand,Dulu Mahato,Bharatiya Janta Party,2285237,1428007,62.50%,331583,23.20%,LATE PUNA MAHTO,male,49,JH2024PC07
Dumka,2,ST,Jharkhand,Nalin Soren,Jharkhand Mukti Morcha,1591061,1184132,74.40%,22527,1.90%,LATE JADU SOREN,male,76,JH2024PC02
Giridih,6,GEN,Jharkhand,Chandra Prakash Choudhary,Ajsu Party,1864660,1264833,67.80%,80880,6.40%,LATE RIJHU NATH CHOUDHARY,male,55,JH2024PC06
Godda,3,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,2028154,1398204,68.90%,101813,7.30%,RADHESHYAM DUBEY,male,52,JH2024PC03
Hazaribagh,14,GEN,Jharkhand,Manish Jaiswal,Bharatiya Janta Party,1939374,1264667,65.20%,276686,21.90%,SHRI BRAJ KISHORE JAISWAL,male,59,JH2024PC14
Jamshedpur,9,GEN,Jharkhand,Bidyut Baran Mahato,Bharatiya Janta Party,1869278,1277629,68.40%,259782,20.30%,Surendra Mahato,male,61,JH2024PC09
Khunti,11,ST,Jharkhand,Kali Charan Munda,Indian National Congress,1326138,936682,70.60%,149675,16.00%,LATE T. MUCHIRAY MUNDA,male,62,JH2024PC11
Kodarma,5,GEN,Jharkhand,Annpurna Devi,Bharatiya Janta Party,2205318,1369964,62.10%,377014,27.50%,LATE RAMESH PRASAD YADAV,female,55,JH2024PC05
Lohardaga,12,ST,Jharkhand,Sukhdeo Bhagat,Indian National Congress,1441302,967125,67.10%,139138,14.40%,Late Gandharv Bhagat,male,63,JH2024PC12
Palamau,13,SC,Jharkhand,Vishnu Dayal Ram,Bharatiya Janta Party,2243034,1390738,62.00%,288807,20.80%,LATE MUKHA RAM,male,72,JH2024PC13
Rajmahal,1,ST,Jharkhand,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,1704671,1218249,71.50%,178264,14.60%,LATE THOMAS HANSDA,male,41,JH2024PC01
Ranchi,8,GEN,Jharkhand,Sanjay Seth,Bharatiya Janta Party,2197331,1447781,65.90%,120512,8.30%,LATE CHAND NARAYAN SETH,male,65,JH2024PC08
Singhbhum,10,ST,Jharkhand,Joba Majhi,Jharkhand Mukti Morcha,1447562,1007597,69.60%,168402,16.70%,DEVENDRA MAJHI,female,60,JH2024PC10
