pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,father/husband name,gender,age,UID
Alappuzha,15,GEN,Kerala,K. C Venugopal,Indian National Congress,1400082,1058703,75.60%,63513,6.00%,KUNHIKRISHNAN NAMBI,male,61.0,KL2024PC15
Alathur,9,SC,Kerala,K.Radhakrishnan,Communist Party Of India (Marxist),1337496,992268,74.20%,20111,2.00%,KOCHUNNI,male,60.0,KL2024PC09
Attingal,19,GEN,Kerala,Adv Adoor Prakash,Indian National Congress,1396807,985341,70.50%,684,0.10%,,,,KL2024PC19
Chalakudy,11,GEN,Kerala,Benny Behanan,Indian National Congress,1310529,951287,72.60%,63754,6.70%,ULAHANAN THOMAS,male,71.0,KL2024PC11
Ernakulam,12,GEN,Kerala,Hibi Eden,Indian National Congress,1324047,910502,68.80%,250385,27.50%,GEORGE,male,40.0,KL2024PC12
Idukki,13,GEN,Kerala,Adv. Dean Kuriakose,Indian National Congress,1250157,840657,67.20%,133727,15.90%,KURIAKOSE,male,42.0,KL2024PC13
Kannur,2,GEN,Kerala,K. Sudhakaran,Indian National Congress,1358368,1063855,78.30%,108982,10.20%,RAMUNNI V,male,75.0,KL2024PC02
Kasaragod,1,GEN,Kerala,Rajmohan Unnithan,Indian National Congress,1452230,1112546,76.60%,100649,9.00%,KUTTAN PILLAI,male,70.0,KL2024PC01
Kollam,18,GEN,Kerala,N K Premachandran,Revolutionary Socialist Party,1326648,915691,69.00%,150302,16.40%,KRISHNA PILLA,male,63.0,KL2024PC18
Kottayam,14,GEN,Kerala,Adv K Francis George,Kerala Congress,1254823,836223,66.60%,87266,10.40%,GEORGE,male,68.0,KL2024PC14
Kozhikode,5,GEN,Kerala,M. K. Raghavan,Indian National Congress,1429631,1090050,76.30%,146176,13.40%,M KRISHNAN NAMBIAR,male,71.0,KL2024PC05
Malappuram,6,GEN,Kerala,E.T. Mohammed Basheer,Indian Union Muslim League,1479921,1085182,73.30%,300118,27.70%,,,,KL2024PC06
Mavelikkara,16,SC,Kerala,Kodikunnil Suresh,Indian National Congress,1331880,894971,67.20%,10868,1.20%,KUNJAN,male,60.0,KL2024PC16
Palakkad,8,GEN,Kerala,V K Sreekandan,Indian National Congress,1398143,1035836,74.10%,75283,7.30%,M Kochukrishnan Nair,male,54.0,KL2024PC08
Pathanamthitta,17,GEN,Kerala,Anto Antony,Indian National Congress,1429700,919569,64.30%,66119,7.20%,ANTONY,male,67.0,KL2024PC17
Ponnani,7,GEN,Kerala,Dr. M.P Abdussamad Samadani,Indian Union Muslim League,1470804,1026296,69.80%,235760,23.00%,ABDUL HAMEED MOULAVI,male,65.0,KL2024PC07
Thiruvananthapuram,20,GEN,Kerala,Shashi Tharoor,Indian National Congress,1430531,962983,67.30%,16077,1.70%,CHANDRAN THAROOR,male,68.0,KL2024PC20
Thrissur,10,GEN,Kerala,Suresh Gopi,Bharatiya Janta Party,1483055,1090876,73.60%,74686,6.80%,GOPINATHA PILLAI,male,65.0,KL2024PC10
Vadakara,3,GEN,Kerala,Shafi Parambil,Indian National Congress,1421883,1122947,79.00%,114506,10.20%,Shanavas,male,41.0,KL2024PC03
Wayanad,4,GEN,Kerala,Rahul Gandhi,Indian National Congress,1462423,1084653,74.20%,364422,33.60%,RAJIV GANDHI,male,53.0,KL2024PC04
