pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,father/husband name,gender,age,UID
Ahmadnagar,37,GEN,Maharashtra,Nilesh Dnyandev Lanke,Nationalist Congress Party – Sharadchandra Pawar,1981866,1325477,66.90%,28929,2.20%,DNYANDEV BHAU LANKE,male,44.0,MH2024PC37
Akola,6,GEN,Maharashtra,Anup Sanjay Dhotre,Bharatiya Janta Party,1890814,1173072,62.00%,40626,3.50%,SANJAY DHOTRE,male,39.0,MH2024PC06
Amravati,7,SC,Maharashtra,Balwant Baswant Wankhade,Indian National Congress,1836078,1173579,63.90%,19731,1.70%,Baswant Shrawan Wankhade,male,56.0,MH2024PC07
Aurangabad,19,GEN,Maharashtra,Bhumare Sandipanrao Asaram,Shiv Sena,2059710,1302197,63.20%,134650,10.30%,ASARAM SARJERAO BHUMARE,male,62.0,MH2024PC19
Baramati,35,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party – Sharadchandra Pawar,2372668,1412349,59.50%,158333,11.20%,Sadanand Bhalchandra Sule,female,54.0,MH2024PC35
Beed,39,GEN,Maharashtra,Bajrang Manohar Sonwane,Nationalist Congress Party – Sharadchandra Pawar,2142547,1522295,71.10%,6553,0.40%,MANOHAR BHUJANGRAO SONWANE,male,53.0,MH2024PC39
Bhandara - Gon,11,GEN,Maharashtra,Dr. Prashant Yadaorao Padole,Indian National Congress,1827188,1235073,67.60%,37380,3.00%,Yadaorao Shriram Padole,male,45.0,MH2024PC11
Bhiwandi,23,GEN,Maharashtra,Balya Mama - Suresh Gopinath Mhatre,Nationalist Congress Party – Sharadchandra Pawar,2087244,1253399,60.10%,66121,5.30%,Gopinath Pandu Mhatre,male,53.0,MH2024PC23
Buldhana,5,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,1782700,1109496,62.20%,29479,2.70%,Ganpatrao Tulsiramji Jadhav,male,63.0,MH2024PC05
Chandrapur,13,GEN,Maharashtra,Dhanorkar Pratibha Suresh Alias Balubhau,Indian National Congress,1837906,1241304,67.50%,260406,21.00%,DHANORKAR SURESH NARAYAN,female,38.0,MH2024PC13
