pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,father/husband name,gender,age,UID
Agra,18,SC,Uttar Pradesh [2000 Onwards],Prof S P Singh Baghel,Bharatiya Janta Party,2072685,1123779,54.20%,271294,24.10%,RAM BHAROSE DHANGAR,male,63.0,UP2024PC18
Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh Alias Bhole Singh,Bharatiya Janta Party,1869167,1086953,58.20%,44345,4.10%,DARSHAN SINGH,male,70.0,UP2024PC44
Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Satish Kumar Gautam,Bharatiya Janta Party,1997234,1133366,56.70%,15647,1.40%,DAMODAR GAUTAM,male,51.0,UP2024PC15
Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Ujjwal Raman Singh,Indian National Congress,1825730,947000,51.90%,58795,6.20%,KU REWATI RAMAN SINGH,male,51.0,UP2024PC52
Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Lalji Verma,Samajwadi Party,1911297,1177062,61.60%,137247,11.70%,Ram Adhar Verma,male,68.0,UP2024PC55
Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Kishori Lal,Indian National Congress,1796098,980671,54.60%,167196,17.00%,Amarnath,male,62.0,UP2024PC37
Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Kanwar Singh Tanwar,Bharatiya Janta Party,1716641,1110690,64.70%,28670,2.60%,HUKUM CHAND TANWAR,male,63.0,UP2024PC09
Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Neeraj Maurya,Samajwadi Party,1891713,1088896,57.60%,15969,1.50%,NALINISH KUMAR,male,55.0,UP2024PC24
Azamgarh,69,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Yadav,Samajwadi Party,1868165,1054520,56.50%,161035,15.30%,ABHAY RAM,male,45.0,UP2024PC69
Badaun,23,GEN,Uttar Pradesh [2000 Onwards],Aditya Yadav,Samajwadi Party,2008758,1091764,54.40%,34991,3.20%,SHIVPAL SINGH YADAV,male,35.0,UP2024PC23
Baghpat,11,GEN,Uttar Pradesh [2000 Onwards],Dr Rajkumar Sangwan,Rashtriya Lok Dal,1653146,933773,56.50%,159459,17.10%,SAHAB SINGH,male,63.0,UP2024PC11
Baharaich,56,SC,Uttar Pradesh [2000 Onwards],Anand Kumar,Bharatiya Janta Party,1838684,1056566,57.50%,64227,6.10%,AKSHAIBAR LAL,male,49.0,UP2024PC56
Ballia,72,GEN,Uttar Pradesh [2000 Onwards],Sanatan Pandey,Samajwadi Party,1923645,1007322,52.40%,43384,4.30%,RAMJI,male,61.0,UP2024PC72
Banda,48,GEN,Uttar Pradesh [2000 Onwards],Krishna Devi Shivshanker Patel,Samajwadi Party,1747425,1044132,59.80%,71210,6.80%,Shivshankar,female,54.0,UP2024PC48
Bansgaon,67,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,1820854,944763,51.90%,3150,0.30%,LATE-OM PRAKASH PASWAN,male,47.0,UP2024PC67
Barabanki,53,SC,Uttar Pradesh [2000 Onwards],Tanuj Punia,Indian National Congress,1918491,1290634,67.30%,215704,16.70%,P. L. PUNIA,male,39.0,UP2024PC53
Bareilly,25,GEN,Uttar Pradesh [2000 Onwards],Chhatra Pal Singh Gangwar,Bharatiya Janta Party,1924434,1119558,58.20%,34804,3.10%,RAM LAL,male,68.0,UP2024PC25
Basti,61,GEN,Uttar Pradesh [2000 Onwards],Ram Prasad Chaudhary,Samajwadi Party,1902898,1082870,56.90%,100994,9.30%,MANIK RAM CHAUDHARY,male,70.0,UP2024PC61
Bhadohi,78,GEN,Uttar Pradesh [2000 Onwards],Dr. Vinod Kumar Bind,Bharatiya Janta Party,2037925,1084993,53.20%,44072,4.10%,SACHANU,male,50.0,UP2024PC78
Bijnor,4,GEN,Uttar Pradesh [2000 Onwards],Chandan Chauhan,Rashtriya Lok Dal,1738307,1024432,58.90%,37508,3.70%,SANJAY CHAUHAN,male,35.0,UP2024PC04
Bulandshahr,14,SC,Uttar Pradesh [2000 Onwards],Dr Bhola Singh,Bharatiya Janta Party,1859462,1054399,56.70%,275134,26.10%,KISHAN LAL,male,46.0,UP2024PC14
Chandauli,76,GEN,Uttar Pradesh [2000 Onwards],Birendra Singh,Samajwadi Party,1843196,1116499,60.60%,21565,1.90%,JAGDISH SINGH,male,65.0,UP2024PC76
Deoria,66,GEN,Uttar Pradesh [2000 Onwards],Shashank Mani,Bharatiya Janta Party,1873821,1043308,55.70%,34842,3.30%,SHRIPRAKASH,male,54.0,UP2024PC66
Dhaurahra,29,GEN,Uttar Pradesh [2000 Onwards],Anand Bhadauriya,Samajwadi Party,1719345,1111847,64.70%,4449,0.40%,LAL BAHADUR SINGH,male,46.0,UP2024PC29
Domariyaganj,60,GEN,Uttar Pradesh [2000 Onwards],Jagdambika Pal,Bharatiya Janta Party,1961845,1018965,51.90%,42728,4.20%,SURYA BAKSH,male,74.0,UP2024PC60
Etah,22,GEN,Uttar Pradesh [2000 Onwards],Devesh Shakya,Samajwadi Party,1700524,1010381,59.40%,28052,2.80%,LATE SHRI BABURAM SHAKYA,male,42.0,UP2024PC22
Etawah,41,SC,Uttar Pradesh [2000 Onwards],Jitendra Kumar Dohare,Samajwadi Party,1828498,1033784,56.50%,58419,5.70%,RAMAUTAR,male,57.0,UP2024PC41
Faizabad,54,GEN,Uttar Pradesh [2000 Onwards],Awadhesh Prasad,Samajwadi Party,1927459,1140661,59.20%,54567,4.80%,DUKHIRAM,male,79.0,UP2024PC54
Farrukhabad,40,GEN,Uttar Pradesh [2000 Onwards],Mukesh Rajput,Bharatiya Janta Party,1747182,1033794,59.20%,2678,0.30%,Lajjaram,male,55.0,UP2024PC40
Fatehpur,49,GEN,Uttar Pradesh [2000 Onwards],Naresh Chandra Uttam Patel,Samajwadi Party,1938563,1106944,57.10%,33199,3.00%,ROSHAN LAL UTTAM,male,68.0,UP2024PC49
Fatehpur Sikri,19,GEN,Uttar Pradesh [2000 Onwards],Rajkumar Chahar,Bharatiya Janta Party,1798823,1034155,57.50%,43405,4.20%,DEEWAN SINGH,male,56.0,UP2024PC19
Firozabad,20,GEN,Uttar Pradesh [2000 Onwards],Akshaya Yadav,Samajwadi Party,1890772,1107296,58.60%,89312,8.10%,PROF RAM GOPAL YADAV,male,37.0,UP2024PC20
Gautam Buddha Nagar,13,GEN,Uttar Pradesh [2000 Onwards],Dr. Mahesh Sharma,Bharatiya Janta Party,2675148,1437244,53.70%,559472,38.90%,KAILASH CHAND SHARMA,male,64.0,UP2024PC13
Ghaziabad,12,GEN,Uttar Pradesh [2000 Onwards],Atul Garg,Bharatiya Janta Party,2945487,1470430,49.90%,336965,22.90%,LATE SRI DINESH CHANDER GARG,male,66.0,UP2024PC12
Ghazipur,75,GEN,Uttar Pradesh [2000 Onwards],Afzal Ansari,Samajwadi Party,2074883,1153094,55.60%,124861,10.80%,SUBHANULLAH ANSARI,male,70.0,UP2024PC75
Ghosi,70,GEN,Uttar Pradesh [2000 Onwards],Rajeev Rai,Samajwadi Party,2083928,1150590,55.20%,162943,14.20%,RAJNARAIN RAI,male,54.0,UP2024PC70
Gonda,59,GEN,Uttar Pradesh [2000 Onwards],Kirtivardhan Singh,Bharatiya Janta Party,1843121,952884,51.70%,46224,4.90%,KUNWAR ANAND SINGH,male,58.0,UP2024PC59
Gorakhpur,64,GEN,Uttar Pradesh [2000 Onwards],Ravindra Shukla Alias Ravi Kishan,Bharatiya Janta Party,2097202,1154413,55.10%,103526,9.00%,SHYAM NARAYAN SHUKLA,male,55.0,UP2024PC64
Hamirpur,47,GEN,Uttar Pradesh [2000 Onwards],Ajendra Singh Lodhi,Samajwadi Party,1839761,1115299,60.60%,2629,0.20%,CHANDRA NARAYAN SINGH,male,53.0,UP2024PC47
Hardoi,31,SC,Uttar Pradesh [2000 Onwards],Jai Prakash,Bharatiya Janta Party,1910485,1100116,57.60%,27856,2.50%,LATE JAGANNATH PRASAD,male,66.0,UP2024PC31
Hathras,16,SC,Uttar Pradesh [2000 Onwards],Anoop Pradhan Balmiki,Bharatiya Janta Party,1938080,1082720,55.90%,247318,22.80%,LAHORI,male,44.0,UP2024PC16
Jalaun,45,SC,Uttar Pradesh [2000 Onwards],Narayan Das Ahirwar,Samajwadi Party,2006161,1128949,56.30%,53898,4.80%,RAJA RAM,male,63.0,UP2024PC45
Jaunpur,73,GEN,Uttar Pradesh [2000 Onwards],Babu Singh Kushwaha,Samajwadi Party,1977237,1101788,55.70%,99335,9.00%,BHAGVAT PRASAD,male,57.0,UP2024PC73
Jhansi,46,GEN,Uttar Pradesh [2000 Onwards],Anurag Sharma,Bharatiya Janta Party,2161221,1380506,63.90%,102614,7.40%,Pt Vishwanath Sharma,male,59.0,UP2024PC46
Kairana,2,GEN,Uttar Pradesh [2000 Onwards],Iqra Choudhary,Samajwadi Party,1722432,1079806,62.70%,69116,6.40%,Munawwar Hasan,female,29.0,UP2024PC02
Kaiserganj,57,GEN,Uttar Pradesh [2000 Onwards],Karan Bhushan Singh,Bharatiya Janta Party,1904726,1062099,55.80%,148843,14.00%,BRIJBHUSHAN SHARAN SINGH,male,33.0,UP2024PC57
Kannauj,42,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,1988925,1217833,61.20%,170922,14.00%,Mulayam Singh Yadav,male,50.0,UP2024PC42
Kanpur,43,GEN,Uttar Pradesh [2000 Onwards],Ramesh Awasthi,Bharatiya Janta Party,1662859,887396,53.40%,20968,2.40%,RAJENDRA PRASAD,male,56.0,UP2024PC43
Kaushambi,50,SC,Uttar Pradesh [2000 Onwards],Pushpendra Saroj,Samajwadi Party,1909620,1009329,52.90%,103944,10.30%,INDRAJEET SAROJ,male,25.0,UP2024PC50
Kheri,28,GEN,Uttar Pradesh [2000 Onwards],Utkarsh Verma Madhur,Samajwadi Party,1870170,1213359,64.90%,34329,2.80%,,,,UP2024PC28
Kushi Nagar,65,GEN,Uttar Pradesh [2000 Onwards],Vijay Kumar Dubay,Bharatiya Janta Party,1875222,1080483,57.60%,81790,7.60%,HARI PRASAD,male,57.0,UP2024PC65
Lalganj,68,SC,Uttar Pradesh [2000 Onwards],Daroga Prasad Saroj,Samajwadi Party,1838882,1003438,54.60%,115023,11.50%,TILESSAR,male,71.0,UP2024PC68
Lucknow,35,GEN,Uttar Pradesh [2000 Onwards],Raj Nath Singh,Bharatiya Janta Party,2172171,1136892,52.30%,135159,11.90%,Late Ram Badan Singh,male,72.0,UP2024PC35
Machhlishahr,74,SC,Uttar Pradesh [2000 Onwards],Priya Saroj,Samajwadi Party,1940605,1060063,54.60%,35850,3.40%,TUFANI SAROJ,female,25.0,UP2024PC74
Maharajganj,63,GEN,Uttar Pradesh [2000 Onwards],Pankaj Chaudhary,Bharatiya Janta Party,2004050,1210451,60.40%,35451,2.90%,BHAGWATI CHAUDHARY,male,59.0,UP2024PC63
