[LINE 1] UID=AS2021AC01 | family_rows=1 | sources_rows=3
[LINE 2] UID=AS2021AC02 | family_rows=1 | sources_rows=5
[LINE 3] UID=AS2021AC03 | family_rows=1 | sources_rows=4
[LINE 4] UID=AS2021AC04 | family_rows=1 | sources_rows=5
[LINE 5] UID=AS2021AC05 | family_rows=1 | sources_rows=3
[LINE 6] UID=AS2021AC06 | family_rows=1 | sources_rows=4
[LINE 7] UID=AS2021AC07 | family_rows=1 | sources_rows=4
[LINE 8] UID=AS2021AC08 | family_rows=1 | sources_rows=5
[LINE 9] UID=AS2021AC09 | family_rows=1 | sources_rows=4
[LINE 10] UID=AS2021AC10 | family_rows=1 | sources_rows=3
[LINE 11] UID=AS2021AC11 | family_rows=1 | sources_rows=4
[LINE 12] UID=AS2021AC12 | family_rows=1 | sources_rows=4
[LINE 13] UID=AS2021AC13 | family_rows=2 | sources_rows=1
[LINE 14] UID=AS2021AC14 | family_rows=1 | sources_rows=3
[LINE 15] UID=AS2021AC15 | family_rows=1 | sources_rows=4
[LINE 16] UID=AS2021AC16 | family_rows=1 | sources_rows=2
[LINE 17] UID=AS2021AC17 | family_rows=1 | sources_rows=4
[LINE 18] UID=AS2021AC18 | family_rows=1 | sources_rows=3
[LINE 19] UID=AS2021AC19 | family_rows=1 | sources_rows=5
[LINE 20] UID=AS2021AC20 | family_rows=1 | sources_rows=4
[LINE 21] UID=AS2021AC21 | family_rows=1 | sources_rows=5
[LINE 22] UID=AS2021AC22 | family_rows=1 | sources_rows=3
[LINE 23] UID=AS2021AC23 | family_rows=1 | sources_rows=4
[LINE 24] UID=AS2021AC24 | family_rows=1 | sources_rows=4
[LINE 25] UID=AS2021AC25 | family_rows=1 | sources_rows=4
[LINE 26] UID=AS2021AC26 | family_rows=1 | sources_rows=4
[LINE 27] UID=AS2021AC27 | family_rows=1 | sources_rows=3
[LINE 28] UID=AS2021AC28 | family_rows=1 | sources_rows=5
[LINE 29] UID=AS2021AC29 | family_rows=1 | sources_rows=5
[LINE 30] UID=AS2021AC30 | family_rows=1 | sources_rows=5
[LINE 31] UID=AS2021AC31 | family_rows=1 | sources_rows=4
[LINE 32] UID=AS2021AC32 | family_rows=1 | sources_rows=3
[LINE 33] UID=AS2021AC33 | family_rows=1 | sources_rows=6
[LINE 34] UID=AS2021AC34 | family_rows=1 | sources_rows=4
[LINE 35] UID=AS2021AC35 | family_rows=2 | sources_rows=3
[LINE 36] UID=AS2021AC36 | family_rows=1 | sources_rows=4
[LINE 37] UID=AS2021AC37 | family_rows=1 | sources_rows=4
[LINE 38] UID=AS2021AC38 | family_rows=1 | sources_rows=3
[LINE 39] UID=AS2021AC39 | family_rows=1 | sources_rows=5
[LINE 40] UID=AS2021AC40 | family_rows=1 | sources_rows=3
[LINE 41] UID=AS2021AC41 | family_rows=1 | sources_rows=4
[LINE 42] UID=AS2021AC42 | family_rows=1 | sources_rows=4
[LINE 43] UID=AS2021AC43 | family_rows=1 | sources_rows=4
[LINE 44] UID=AS2021AC44 | family_rows=1 | sources_rows=4
[LINE 45] UID=AS2021AC45 | family_rows=1 | sources_rows=5
[LINE 46] UID=AS2021AC46 | family_rows=1 | sources_rows=3
[LINE 47] UID=AS2021AC47 | family_rows=1 | sources_rows=3
[LINE 48] UID=AS2021AC48 | family_rows=1 | sources_rows=4
[LINE 49] UID=AS2021AC49 | family_rows=1 | sources_rows=1
[LINE 50] UID=AS2021AC50 | family_rows=1 | sources_rows=4
[LINE 51] UID=AS2021AC51 | family_rows=1 | sources_rows=4
[LINE 52] UID=AS2021AC52 | family_rows=1 | sources_rows=5
[LINE 53] UID=AS2021AC53 | family_rows=1 | sources_rows=2
[LINE 54] UID=AS2021AC54 | family_rows=1 | sources_rows=5
[LINE 55] UID=AS2021AC55 | family_rows=1 | sources_rows=4
[LINE 56] UID=AS2021AC56 | family_rows=1 | sources_rows=4
[LINE 57] UID=AS2021AC57 | family_rows=1 | sources_rows=4
[LINE 58] UID=AS2021AC58 | family_rows=1 | sources_rows=4
[LINE 59] UID=AS2021AC59 | family_rows=1 | sources_rows=4
[LINE 60] UID=AS2021AC60 | family_rows=1 | sources_rows=4
[LINE 61] UID=AS2021AC61 | family_rows=1 | sources_rows=5
[LINE 62] UID=AS2021AC62 | family_rows=1 | sources_rows=3
[LINE 63] UID=AS2021AC63 | family_rows=1 | sources_rows=5
[LINE 64] UID=AS2021AC64 | family_rows=1 | sources_rows=9
[LINE 65] UID=AS2021AC65 | family_rows=1 | sources_rows=3
[LINE 66] UID=AS2021AC66 | family_rows=1 | sources_rows=5
[LINE 67] UID=AS2021AC67 | family_rows=1 | sources_rows=3
[LINE 68] UID=AS2021AC68 | family_rows=1 | sources_rows=4
[LINE 69] UID=AS2021AC69 | family_rows=1 | sources_rows=5
[LINE 70] UID=AS2021AC70 | family_rows=1 | sources_rows=6
[LINE 71] UID=AS2021AC71 | family_rows=1 | sources_rows=5
[LINE 72] UID=AS2021AC72 | family_rows=1 | sources_rows=4
[LINE 73] UID=AS2021AC73 | family_rows=1 | sources_rows=3
[LINE 74] UID=AS2021AC74 | family_rows=1 | sources_rows=5
[LINE 75] UID=AS2021AC75 | family_rows=1 | sources_rows=3
[LINE 76] UID=AS2021AC76 | family_rows=1 | sources_rows=4
[LINE 77] UID=AS2021AC77 | family_rows=1 | sources_rows=4
[LINE 78] UID=AS2021AC78 | family_rows=1 | sources_rows=3
[LINE 79] UID=AS2021AC79 | family_rows=1 | sources_rows=5
[LINE 80] UID=AS2021AC80 | family_rows=1 | sources_rows=5
[LINE 81] UID=AS2021AC81 | family_rows=1 | sources_rows=4
[LINE 82] UID=AS2021AC82 | family_rows=1 | sources_rows=3
[LINE 83] UID=AS2021AC83 | family_rows=1 | sources_rows=5
[LINE 84] UID=AS2021AC84 | family_rows=2 | sources_rows=3
[LINE 85] UID=AS2021AC85 | family_rows=1 | sources_rows=4
[LINE 86] UID=AS2021AC86 | family_rows=1 | sources_rows=4
[LINE 87] UID=AS2021AC87 | family_rows=1 | sources_rows=4
[LINE 88] UID=AS2021AC88 | family_rows=1 | sources_rows=4
[LINE 89] UID=AS2021AC89 | family_rows=1 | sources_rows=5
[LINE 90] UID=AS2021AC90 | family_rows=3 | sources_rows=3
[LINE 91] UID=AS2021AC91 | family_rows=1 | sources_rows=4
[LINE 92] UID=AS2021AC92 | family_rows=1 | sources_rows=4
[LINE 93] UID=AS2021AC93 | family_rows=1 | sources_rows=5
[LINE 94] UID=AS2021AC94 | family_rows=1 | sources_rows=5
[LINE 95] UID=AS2021AC95 | family_rows=2 | sources_rows=4
[LINE 96] UID=AS2021AC96 | family_rows=1 | sources_rows=4
[LINE 97] UID=AS2021AC97 | family_rows=1 | sources_rows=3
[LINE 98] Existing error preserved | UID=AS2021AC98
[LINE 99] UID=AS2021AC99 | family_rows=1 | sources_rows=4
[LINE 100] UID=AS2021AC100 | family_rows=1 | sources_rows=4
[LINE 101] UID=AS2021AC101 | family_rows=1 | sources_rows=2
[LINE 102] UID=AS2021AC102 | family_rows=1 | sources_rows=4
[LINE 103] UID=AS2021AC103 | family_rows=1 | sources_rows=5
[LINE 104] UID=AS2021AC104 | family_rows=2 | sources_rows=5
[LINE 105] UID=AS2021AC105 | family_rows=1 | sources_rows=4
[LINE 106] UID=AS2021AC106 | family_rows=1 | sources_rows=3
[LINE 107] UID=AS2021AC107 | family_rows=1 | sources_rows=3
[LINE 108] UID=AS2021AC108 | family_rows=1 | sources_rows=5
[LINE 109] UID=AS2021AC109 | family_rows=1 | sources_rows=3
[LINE 110] UID=AS2021AC110 | family_rows=1 | sources_rows=4
[LINE 111] UID=AS2021AC111 | family_rows=1 | sources_rows=4
[LINE 112] UID=AS2021AC112 | family_rows=1 | sources_rows=5
[LINE 113] UID=AS2021AC113 | family_rows=1 | sources_rows=3
[LINE 114] UID=AS2021AC114 | family_rows=1 | sources_rows=3
[LINE 115] UID=AS2021AC115 | family_rows=1 | sources_rows=5
[LINE 116] UID=AS2021AC116 | family_rows=1 | sources_rows=5
[LINE 117] UID=AS2021AC117 | family_rows=1 | sources_rows=3
[LINE 118] UID=AS2021AC118 | family_rows=1 | sources_rows=3
[LINE 119] UID=AS2021AC119 | family_rows=1 | sources_rows=5
[LINE 120] UID=AS2021AC120 | family_rows=1 | sources_rows=5
[LINE 121] UID=AS2021AC121 | family_rows=1 | sources_rows=4
[LINE 122] UID=AS2021AC122 | family_rows=1 | sources_rows=3
[LINE 123] UID=AS2021AC123 | family_rows=1 | sources_rows=3
[LINE 124] UID=AS2021AC124 | family_rows=1 | sources_rows=4
[LINE 125] UID=AS2021AC125 | family_rows=1 | sources_rows=4
[LINE 126] UID=AS2021AC126 | family_rows=1 | sources_rows=5

PROCESSING COMPLETE
Total family rows: 132
Total source rows: 498
