[LINE 1] UID=BR2025AC01 | family_rows=1 | sources_rows=4
[LINE 2] UID=BR2025AC02 | family_rows=1 | sources_rows=8
[LINE 3] UID=BR2025AC03 | family_rows=1 | sources_rows=6
[LINE 4] UID=BR2025AC04 | family_rows=1 | sources_rows=4
[LINE 5] UID=BR2025AC05 | family_rows=1 | sources_rows=5
[LINE 6] UID=BR2025AC06 | family_rows=1 | sources_rows=4
[LINE 7] UID=BR2025AC07 | family_rows=1 | sources_rows=4
[LINE 8] UID=BR2025AC08 | family_rows=1 | sources_rows=5
[LINE 9] UID=BR2025AC09 | family_rows=1 | sources_rows=3
[LINE 10] UID=BR2025AC10 | family_rows=1 | sources_rows=5
[LINE 11] UID=BR2025AC11 | family_rows=1 | sources_rows=4
[LINE 12] UID=BR2025AC12 | family_rows=1 | sources_rows=4
[LINE 13] UID=BR2025AC13 | family_rows=1 | sources_rows=4
[LINE 14] UID=BR2025AC14 | family_rows=1 | sources_rows=3
[LINE 15] UID=BR2025AC15 | family_rows=1 | sources_rows=3
[LINE 16] UID=BR2025AC16 | family_rows=1 | sources_rows=4
[LINE 17] UID=BR2025AC17 | family_rows=1 | sources_rows=3
[LINE 18] UID=BR2025AC18 | family_rows=2 | sources_rows=5
[LINE 19] UID=BR2025AC19 | family_rows=1 | sources_rows=2
[LINE 20] UID=BR2025AC20 | family_rows=1 | sources_rows=7
[LINE 21] UID=BR2025AC21 | family_rows=1 | sources_rows=3
[LINE 22] UID=BR2025AC22 | family_rows=1 | sources_rows=8
[LINE 23] UID=BR2025AC23 | family_rows=1 | sources_rows=3
[LINE 24] UID=BR2025AC24 | family_rows=1 | sources_rows=3
[LINE 25] UID=BR2025AC25 | family_rows=1 | sources_rows=3
[LINE 26] UID=BR2025AC26 | family_rows=1 | sources_rows=4
[LINE 27] UID=BR2025AC27 | family_rows=1 | sources_rows=5
[LINE 28] UID=BR2025AC28 | family_rows=1 | sources_rows=7
[LINE 29] UID=BR2025AC29 | family_rows=1 | sources_rows=3
[LINE 30] UID=BR2025AC30 | family_rows=1 | sources_rows=6
[LINE 31] UID=BR2025AC31 | family_rows=1 | sources_rows=4
[LINE 32] UID=BR2025AC32 | family_rows=1 | sources_rows=2
[LINE 33] UID=BR2025AC33 | family_rows=1 | sources_rows=3
[LINE 34] UID=BR2025AC34 | family_rows=1 | sources_rows=3
[LINE 35] UID=BR2025AC35 | family_rows=1 | sources_rows=3
[LINE 36] UID=BR2025AC36 | family_rows=1 | sources_rows=5
[LINE 37] UID=BR2025AC37 | family_rows=1 | sources_rows=4
[LINE 38] UID=BR2025AC38 | family_rows=3 | sources_rows=4
[LINE 39] UID=BR2025AC39 | family_rows=2 | sources_rows=4
[LINE 40] UID=BR2025AC40 | family_rows=1 | sources_rows=5
[LINE 41] UID=BR2025AC41 | family_rows=1 | sources_rows=4
[LINE 42] UID=BR2025AC42 | family_rows=1 | sources_rows=5
[LINE 43] UID=BR2025AC43 | family_rows=1 | sources_rows=7
[LINE 44] UID=BR2025AC44 | family_rows=1 | sources_rows=4
[LINE 45] UID=BR2025AC45 | family_rows=1 | sources_rows=3
[LINE 46] UID=BR2025AC46 | family_rows=1 | sources_rows=5
[LINE 47] UID=BR2025AC47 | family_rows=1 | sources_rows=4
[LINE 48] UID=BR2025AC48 | family_rows=1 | sources_rows=8
[LINE 49] UID=BR2025AC49 | family_rows=1 | sources_rows=2
[LINE 50] UID=BR2025AC50 | family_rows=1 | sources_rows=11
[LINE 51] UID=BR2025AC51 | family_rows=1 | sources_rows=4
[LINE 52] Existing error preserved | UID=BR2025AC52
[LINE 53] UID=BR2025AC53 | family_rows=1 | sources_rows=5
[LINE 54] UID=BR2025AC54 | family_rows=1 | sources_rows=6
[LINE 55] UID=BR2025AC55 | family_rows=1 | sources_rows=3
[LINE 56] UID=BR2025AC56 | family_rows=1 | sources_rows=4
[LINE 57] UID=BR2025AC57 | family_rows=1 | sources_rows=5
[LINE 58] UID=BR2025AC58 | family_rows=1 | sources_rows=4
[LINE 59] UID=BR2025AC59 | family_rows=1 | sources_rows=3
[LINE 60] UID=BR2025AC60 | family_rows=1 | sources_rows=3
[LINE 61] UID=BR2025AC61 | family_rows=1 | sources_rows=4
[LINE 62] Existing error preserved | UID=BR2025AC62
[LINE 63] UID=BR2025AC63 | family_rows=1 | sources_rows=6
[LINE 64] UID=BR2025AC64 | family_rows=1 | sources_rows=5
[LINE 65] UID=BR2025AC65 | family_rows=1 | sources_rows=8
[LINE 66] UID=BR2025AC66 | family_rows=1 | sources_rows=3
[LINE 67] UID=BR2025AC67 | family_rows=1 | sources_rows=3
[LINE 68] UID=BR2025AC68 | family_rows=1 | sources_rows=4
[LINE 69] UID=BR2025AC69 | family_rows=1 | sources_rows=3
[LINE 70] UID=BR2025AC70 | family_rows=1 | sources_rows=4
[LINE 71] UID=BR2025AC71 | family_rows=1 | sources_rows=5
[LINE 72] UID=BR2025AC72 | family_rows=1 | sources_rows=5
[LINE 73] UID=BR2025AC73 | family_rows=2 | sources_rows=3
[LINE 74] UID=BR2025AC74 | family_rows=1 | sources_rows=4
[LINE 75] UID=BR2025AC75 | family_rows=1 | sources_rows=5
[LINE 76] UID=BR2025AC76 | family_rows=1 | sources_rows=3
[LINE 77] UID=BR2025AC77 | family_rows=1 | sources_rows=2
[LINE 78] UID=BR2025AC78 | family_rows=1 | sources_rows=4
[LINE 79] UID=BR2025AC79 | family_rows=1 | sources_rows=2
[LINE 80] UID=BR2025AC80 | family_rows=1 | sources_rows=3
[LINE 81] UID=BR2025AC81 | family_rows=1 | sources_rows=7
[LINE 82] UID=BR2025AC82 | family_rows=1 | sources_rows=4
[LINE 83] UID=BR2025AC83 | family_rows=1 | sources_rows=8
[LINE 84] UID=BR2025AC84 | family_rows=1 | sources_rows=3
[LINE 85] UID=BR2025AC85 | family_rows=1 | sources_rows=5
[LINE 86] UID=BR2025AC86 | family_rows=1 | sources_rows=5
[LINE 87] UID=BR2025AC87 | family_rows=1 | sources_rows=5
[LINE 88] UID=BR2025AC88 | family_rows=2 | sources_rows=7
[LINE 89] UID=BR2025AC89 | family_rows=2 | sources_rows=4
[LINE 90] UID=BR2025AC90 | family_rows=1 | sources_rows=6
[LINE 91] UID=BR2025AC91 | family_rows=1 | sources_rows=5
[LINE 92] UID=BR2025AC92 | family_rows=1 | sources_rows=3
[LINE 93] Existing error preserved | UID=BR2025AC93
[LINE 94] UID=BR2025AC94 | family_rows=1 | sources_rows=5
[LINE 95] UID=BR2025AC95 | family_rows=1 | sources_rows=5
[LINE 96] UID=BR2025AC96 | family_rows=1 | sources_rows=4
[LINE 97] UID=BR2025AC97 | family_rows=1 | sources_rows=5
[LINE 98] UID=BR2025AC98 | family_rows=1 | sources_rows=3
[LINE 99] UID=BR2025AC99 | family_rows=1 | sources_rows=4
[LINE 100] UID=BR2025AC100 | family_rows=1 | sources_rows=4
[LINE 101] UID=BR2025AC101 | family_rows=1 | sources_rows=4
[LINE 102] UID=BR2025AC102 | family_rows=2 | sources_rows=2
[LINE 103] UID=BR2025AC103 | family_rows=2 | sources_rows=4
[LINE 104] UID=BR2025AC104 | family_rows=1 | sources_rows=4
[LINE 105] UID=BR2025AC105 | family_rows=1 | sources_rows=6
[LINE 106] UID=BR2025AC106 | family_rows=1 | sources_rows=3
[LINE 107] UID=BR2025AC107 | family_rows=1 | sources_rows=5
[LINE 108] UID=BR2025AC108 | family_rows=2 | sources_rows=5
[LINE 109] UID=BR2025AC109 | family_rows=1 | sources_rows=4
[LINE 110] UID=BR2025AC110 | family_rows=1 | sources_rows=6
[LINE 111] UID=BR2025AC111 | family_rows=1 | sources_rows=4
[LINE 112] UID=BR2025AC112 | family_rows=1 | sources_rows=5
[LINE 113] UID=BR2025AC113 | family_rows=1 | sources_rows=3
[LINE 114] UID=BR2025AC114 | family_rows=1 | sources_rows=4
[LINE 115] UID=BR2025AC115 | family_rows=2 | sources_rows=5
[LINE 116] UID=BR2025AC116 | family_rows=1 | sources_rows=3
[LINE 117] UID=BR2025AC117 | family_rows=1 | sources_rows=5
[LINE 118] UID=BR2025AC118 | family_rows=1 | sources_rows=3
[LINE 119] UID=BR2025AC119 | family_rows=1 | sources_rows=3
[LINE 120] UID=BR2025AC120 | family_rows=1 | sources_rows=3
[LINE 121] UID=BR2025AC121 | family_rows=3 | sources_rows=7
[LINE 122] UID=BR2025AC122 | family_rows=1 | sources_rows=4
[LINE 123] UID=BR2025AC123 | family_rows=1 | sources_rows=4
[LINE 124] UID=BR2025AC124 | family_rows=1 | sources_rows=4
[LINE 125] UID=BR2025AC125 | family_rows=1 | sources_rows=3
[LINE 126] UID=BR2025AC126 | family_rows=1 | sources_rows=5
[LINE 127] UID=BR2025AC127 | family_rows=1 | sources_rows=5
[LINE 128] UID=BR2025AC128 | family_rows=6 | sources_rows=7
[LINE 129] UID=BR2025AC129 | family_rows=1 | sources_rows=3
[LINE 130] UID=BR2025AC130 | family_rows=1 | sources_rows=1
[LINE 131] UID=BR2025AC131 | family_rows=4 | sources_rows=7
[LINE 132] UID=BR2025AC132 | family_rows=1 | sources_rows=3
[LINE 133] UID=BR2025AC133 | family_rows=1 | sources_rows=6
[LINE 134] UID=BR2025AC134 | family_rows=1 | sources_rows=4
[LINE 135] UID=BR2025AC135 | family_rows=1 | sources_rows=5
[LINE 136] UID=BR2025AC136 | family_rows=1 | sources_rows=5
