[LINE 1] UID=GJ2022AC01 | family_rows=1 | sources_rows=2
[LINE 2] UID=GJ2022AC02 | family_rows=1 | sources_rows=3
[LINE 3] UID=GJ2022AC03 | family_rows=1 | sources_rows=3
[LINE 4] UID=GJ2022AC04 | family_rows=1 | sources_rows=4
[LINE 5] UID=GJ2022AC05 | family_rows=1 | sources_rows=4
[LINE 6] UID=GJ2022AC06 | family_rows=1 | sources_rows=4
[LINE 7] UID=GJ2022AC07 | family_rows=1 | sources_rows=2
[LINE 8] UID=GJ2022AC08 | family_rows=1 | sources_rows=3
[LINE 9] UID=GJ2022AC09 | family_rows=1 | sources_rows=3
[LINE 10] UID=GJ2022AC10 | family_rows=1 | sources_rows=4
[LINE 11] UID=GJ2022AC11 | family_rows=1 | sources_rows=5
[LINE 12] UID=GJ2022AC12 | family_rows=1 | sources_rows=3
[LINE 13] UID=GJ2022AC13 | family_rows=1 | sources_rows=2
[LINE 14] UID=GJ2022AC14 | family_rows=1 | sources_rows=4
[LINE 15] UID=GJ2022AC15 | family_rows=1 | sources_rows=5
[LINE 16] UID=GJ2022AC16 | family_rows=1 | sources_rows=2
[LINE 17] UID=GJ2022AC17 | family_rows=1 | sources_rows=2
[LINE 18] UID=GJ2022AC18 | family_rows=1 | sources_rows=4
[LINE 19] UID=GJ2022AC19 | family_rows=1 | sources_rows=4
[LINE 20] UID=GJ2022AC20 | family_rows=1 | sources_rows=3
[LINE 21] UID=GJ2022AC21 | family_rows=1 | sources_rows=4
[LINE 22] UID=GJ2022AC22 | family_rows=1 | sources_rows=5
[LINE 23] UID=GJ2022AC23 | family_rows=1 | sources_rows=3
[LINE 24] UID=GJ2022AC24 | family_rows=1 | sources_rows=8
[LINE 25] UID=GJ2022AC25 | family_rows=1 | sources_rows=4
[LINE 26] UID=GJ2022AC26 | family_rows=1 | sources_rows=3
[LINE 27] UID=GJ2022AC27 | family_rows=1 | sources_rows=3
[LINE 28] UID=GJ2022AC28 | family_rows=1 | sources_rows=3
[LINE 29] UID=GJ2022AC29 | family_rows=1 | sources_rows=4
[LINE 30] UID=GJ2022AC30 | family_rows=1 | sources_rows=4
[LINE 31] UID=GJ2022AC31 | family_rows=1 | sources_rows=3
[LINE 32] UID=GJ2022AC32 | family_rows=1 | sources_rows=4
[LINE 33] UID=GJ2022AC33 | family_rows=1 | sources_rows=5
[LINE 34] UID=GJ2022AC34 | family_rows=1 | sources_rows=5
[LINE 35] UID=GJ2022AC35 | family_rows=1 | sources_rows=3
[LINE 36] UID=GJ2022AC36 | family_rows=1 | sources_rows=5
[LINE 37] UID=GJ2022AC37 | family_rows=1 | sources_rows=3
[LINE 38] UID=GJ2022AC38 | family_rows=1 | sources_rows=3
[LINE 39] UID=GJ2022AC39 | family_rows=1 | sources_rows=2
[LINE 40] UID=GJ2022AC40 | family_rows=1 | sources_rows=5
[LINE 41] UID=GJ2022AC41 | family_rows=1 | sources_rows=4
[LINE 42] Existing error preserved | UID=GJ2022AC42
[LINE 43] UID=GJ2022AC43 | family_rows=1 | sources_rows=3
[LINE 44] UID=GJ2022AC44 | family_rows=1 | sources_rows=7
[LINE 45] UID=GJ2022AC45 | family_rows=1 | sources_rows=3
[LINE 46] UID=GJ2022AC46 | family_rows=1 | sources_rows=5
[LINE 47] UID=GJ2022AC47 | family_rows=2 | sources_rows=3
[LINE 48] UID=GJ2022AC48 | family_rows=1 | sources_rows=2
[LINE 49] UID=GJ2022AC49 | family_rows=1 | sources_rows=5
[LINE 50] UID=GJ2022AC50 | family_rows=1 | sources_rows=5
[LINE 51] UID=GJ2022AC51 | family_rows=1 | sources_rows=4
[LINE 52] UID=GJ2022AC52 | family_rows=1 | sources_rows=4
[LINE 53] UID=GJ2022AC53 | family_rows=1 | sources_rows=3
[LINE 54] UID=GJ2022AC54 | family_rows=1 | sources_rows=4
[LINE 55] UID=GJ2022AC55 | family_rows=1 | sources_rows=3
[LINE 56] UID=GJ2022AC56 | family_rows=1 | sources_rows=3
[LINE 57] UID=GJ2022AC57 | family_rows=1 | sources_rows=3
[LINE 58] UID=GJ2022AC58 | family_rows=1 | sources_rows=6
[LINE 59] UID=GJ2022AC59 | family_rows=1 | sources_rows=3
[LINE 60] UID=GJ2022AC60 | family_rows=1 | sources_rows=3
[LINE 61] UID=GJ2022AC61 | family_rows=1 | sources_rows=5
[LINE 62] UID=GJ2022AC62 | family_rows=1 | sources_rows=5
[LINE 63] UID=GJ2022AC63 | family_rows=1 | sources_rows=4
[LINE 64] UID=GJ2022AC64 | family_rows=1 | sources_rows=3
[LINE 65] UID=GJ2022AC65 | family_rows=1 | sources_rows=2
[LINE 66] UID=GJ2022AC66 | family_rows=1 | sources_rows=3
[LINE 67] UID=GJ2022AC67 | family_rows=1 | sources_rows=3
[LINE 68] UID=GJ2022AC68 | family_rows=1 | sources_rows=5
[LINE 69] UID=GJ2022AC69 | family_rows=1 | sources_rows=3
[LINE 70] UID=GJ2022AC70 | family_rows=1 | sources_rows=4
[LINE 71] UID=GJ2022AC71 | family_rows=1 | sources_rows=3
[LINE 72] UID=GJ2022AC72 | family_rows=1 | sources_rows=5
[LINE 73] Existing error preserved | UID=GJ2022AC73
[LINE 74] UID=GJ2022AC74 | family_rows=1 | sources_rows=4
[LINE 75] UID=GJ2022AC75 | family_rows=1 | sources_rows=3
[LINE 76] UID=GJ2022AC76 | family_rows=1 | sources_rows=3
[LINE 77] UID=GJ2022AC77 | family_rows=1 | sources_rows=3
[LINE 78] UID=GJ2022AC78 | family_rows=1 | sources_rows=4
[LINE 79] UID=GJ2022AC79 | family_rows=1 | sources_rows=3
[LINE 80] UID=GJ2022AC80 | family_rows=1 | sources_rows=3
[LINE 81] UID=GJ2022AC81 | family_rows=1 | sources_rows=4
[LINE 82] UID=GJ2022AC82 | family_rows=1 | sources_rows=3
[LINE 83] UID=GJ2022AC83 | family_rows=1 | sources_rows=4
[LINE 84] UID=GJ2022AC84 | family_rows=1 | sources_rows=3
[LINE 85] UID=GJ2022AC85 | family_rows=1 | sources_rows=3
[LINE 86] UID=GJ2022AC86 | family_rows=1 | sources_rows=3
[LINE 87] UID=GJ2022AC87 | family_rows=1 | sources_rows=4
[LINE 88] UID=GJ2022AC88 | family_rows=1 | sources_rows=4
[LINE 89] UID=GJ2022AC89 | family_rows=1 | sources_rows=3
[LINE 90] UID=GJ2022AC90 | family_rows=1 | sources_rows=4
[LINE 91] UID=GJ2022AC91 | family_rows=1 | sources_rows=3
[LINE 92] UID=GJ2022AC92 | family_rows=1 | sources_rows=3
[LINE 93] UID=GJ2022AC93 | family_rows=1 | sources_rows=5
[LINE 94] UID=GJ2022AC94 | family_rows=1 | sources_rows=5
[LINE 95] UID=GJ2022AC95 | family_rows=1 | sources_rows=3
[LINE 96] UID=GJ2022AC96 | family_rows=1 | sources_rows=4
[LINE 97] UID=GJ2022AC97 | family_rows=1 | sources_rows=4
[LINE 98] UID=GJ2022AC98 | family_rows=1 | sources_rows=2
[LINE 99] UID=GJ2022AC99 | family_rows=1 | sources_rows=4
[LINE 100] UID=GJ2022AC100 | family_rows=1 | sources_rows=5
[LINE 101] UID=GJ2022AC101 | family_rows=1 | sources_rows=3
[LINE 102] UID=GJ2022AC102 | family_rows=1 | sources_rows=4
[LINE 103] UID=GJ2022AC103 | family_rows=1 | sources_rows=3
[LINE 104] UID=GJ2022AC104 | family_rows=1 | sources_rows=3
[LINE 105] UID=GJ2022AC105 | family_rows=1 | sources_rows=5
[LINE 106] UID=GJ2022AC106 | family_rows=1 | sources_rows=4
[LINE 107] UID=GJ2022AC107 | family_rows=1 | sources_rows=4
[LINE 108] UID=GJ2022AC108 | family_rows=1 | sources_rows=4
[LINE 109] UID=GJ2022AC109 | family_rows=1 | sources_rows=4
[LINE 110] UID=GJ2022AC110 | family_rows=3 | sources_rows=3
[LINE 111] UID=GJ2022AC111 | family_rows=1 | sources_rows=3
[LINE 112] UID=GJ2022AC112 | family_rows=1 | sources_rows=3
[LINE 113] UID=GJ2022AC113 | family_rows=1 | sources_rows=1
[LINE 114] UID=GJ2022AC114 | family_rows=1 | sources_rows=3
[LINE 115] UID=GJ2022AC115 | family_rows=1 | sources_rows=3
[LINE 116] UID=GJ2022AC116 | family_rows=1 | sources_rows=3
[LINE 117] UID=GJ2022AC117 | family_rows=1 | sources_rows=3
[LINE 118] UID=GJ2022AC118 | family_rows=1 | sources_rows=5
[LINE 119] UID=GJ2022AC119 | family_rows=2 | sources_rows=6
[LINE 120] UID=GJ2022AC120 | family_rows=1 | sources_rows=3
[LINE 121] UID=GJ2022AC121 | family_rows=1 | sources_rows=3
[LINE 122] UID=GJ2022AC122 | family_rows=1 | sources_rows=3
[LINE 123] Existing error preserved | UID=GJ2022AC123
[LINE 124] UID=GJ2022AC124 | family_rows=1 | sources_rows=4
[LINE 125] UID=GJ2022AC125 | family_rows=1 | sources_rows=5
[LINE 126] UID=GJ2022AC126 | family_rows=1 | sources_rows=5
[LINE 127] UID=GJ2022AC127 | family_rows=1 | sources_rows=3
[LINE 128] UID=GJ2022AC128 | family_rows=1 | sources_rows=4
[LINE 129] UID=GJ2022AC129 | family_rows=1 | sources_rows=6
[LINE 130] UID=GJ2022AC130 | family_rows=1 | sources_rows=3
[LINE 131] UID=GJ2022AC131 | family_rows=1 | sources_rows=5
[LINE 132] UID=GJ2022AC132 | family_rows=1 | sources_rows=3
[LINE 133] UID=GJ2022AC133 | family_rows=1 | sources_rows=3
[LINE 134] UID=GJ2022AC134 | family_rows=3 | sources_rows=5
[LINE 135] UID=GJ2022AC135 | family_rows=1 | sources_rows=5
[LINE 136] UID=GJ2022AC136 | family_rows=1 | sources_rows=5
[LINE 137] UID=GJ2022AC137 | family_rows=1 | sources_rows=4
[LINE 138] UID=GJ2022AC138 | family_rows=1 | sources_rows=3
[LINE 139] UID=GJ2022AC139 | family_rows=1 | sources_rows=3
[LINE 140] UID=GJ2022AC140 | family_rows=1 | sources_rows=4
[LINE 141] UID=GJ2022AC141 | family_rows=1 | sources_rows=1
[LINE 142] UID=GJ2022AC142 | family_rows=1 | sources_rows=4
[LINE 143] UID=GJ2022AC143 | family_rows=1 | sources_rows=3
[LINE 144] UID=GJ2022AC144 | family_rows=1 | sources_rows=5
[LINE 145] UID=GJ2022AC145 | family_rows=1 | sources_rows=3
[LINE 146] UID=GJ2022AC146 | family_rows=1 | sources_rows=5
[LINE 147] UID=GJ2022AC147 | family_rows=1 | sources_rows=4
[LINE 148] UID=GJ2022AC148 | family_rows=1 | sources_rows=4
[LINE 149] UID=GJ2022AC149 | family_rows=1 | sources_rows=3
[LINE 150] UID=GJ2022AC150 | family_rows=1 | sources_rows=5
[LINE 151] Existing error preserved | UID=GJ2022AC151
[LINE 152] UID=GJ2022AC152 | family_rows=1 | sources_rows=4
[LINE 153] UID=GJ2022AC153 | family_rows=1 | sources_rows=5
[LINE 154] UID=GJ2022AC154 | family_rows=2 | sources_rows=2
[LINE 155] UID=GJ2022AC155 | family_rows=1 | sources_rows=5
[LINE 156] UID=GJ2022AC156 | family_rows=1 | sources_rows=3
[LINE 157] UID=GJ2022AC157 | family_rows=1 | sources_rows=3
[LINE 158] UID=GJ2022AC158 | family_rows=1 | sources_rows=4
[LINE 159] UID=GJ2022AC159 | family_rows=1 | sources_rows=4
[LINE 160] UID=GJ2022AC160 | family_rows=1 | sources_rows=3
[LINE 161] UID=GJ2022AC161 | family_rows=1 | sources_rows=4
[LINE 162] UID=GJ2022AC162 | family_rows=1 | sources_rows=3
