[LINE 1] UID=JK2024AC01 | family_rows=1 | sources_rows=3
[LINE 2] UID=JK2024AC02 | family_rows=1 | sources_rows=5
[LINE 3] UID=JK2024AC03 | family_rows=1 | sources_rows=5
[LINE 4] UID=JK2024AC04 | family_rows=1 | sources_rows=3
[LINE 5] UID=JK2024AC05 | family_rows=3 | sources_rows=5
[LINE 6] UID=JK2024AC06 | family_rows=1 | sources_rows=5
[LINE 7] UID=JK2024AC07 | family_rows=1 | sources_rows=3
[LINE 8] UID=JK2024AC08 | family_rows=1 | sources_rows=3
[LINE 9] UID=JK2024AC09 | family_rows=1 | sources_rows=5
[LINE 10] UID=JK2024AC10 | family_rows=1 | sources_rows=4
[LINE 11] UID=JK2024AC11 | family_rows=1 | sources_rows=3
[LINE 12] UID=JK2024AC12 | family_rows=1 | sources_rows=5
[LINE 13] UID=JK2024AC13 | family_rows=1 | sources_rows=6
[LINE 14] UID=JK2024AC14 | family_rows=2 | sources_rows=5
[LINE 15] UID=JK2024AC15 | family_rows=1 | sources_rows=3
[LINE 16] UID=JK2024AC16 | family_rows=1 | sources_rows=3
[LINE 17] UID=JK2024AC17 | family_rows=2 | sources_rows=6
[LINE 18] UID=JK2024AC18 | family_rows=5 | sources_rows=9
[LINE 19] UID=JK2024AC19 | family_rows=1 | sources_rows=6
[LINE 20] UID=JK2024AC20 | family_rows=1 | sources_rows=5
[LINE 21] UID=JK2024AC21 | family_rows=1 | sources_rows=3
[LINE 22] UID=JK2024AC22 | family_rows=1 | sources_rows=3
[LINE 23] UID=JK2024AC23 | family_rows=1 | sources_rows=4
[LINE 24] UID=JK2024AC24 | family_rows=1 | sources_rows=4
[LINE 25] UID=JK2024AC25 | family_rows=1 | sources_rows=3
[LINE 26] UID=JK2024AC26 | family_rows=1 | sources_rows=5
[LINE 27] UID=JK2024AC27 | family_rows=5 | sources_rows=6
[LINE 28] UID=JK2024AC28 | family_rows=1 | sources_rows=3
[LINE 29] UID=JK2024AC29 | family_rows=1 | sources_rows=3
[LINE 30] UID=JK2024AC30 | family_rows=1 | sources_rows=4
[LINE 31] UID=JK2024AC31 | family_rows=1 | sources_rows=4
[LINE 32] UID=JK2024AC32 | family_rows=1 | sources_rows=5
[LINE 33] UID=JK2024AC33 | family_rows=1 | sources_rows=4
[LINE 34] UID=JK2024AC34 | family_rows=1 | sources_rows=2
[LINE 35] UID=JK2024AC35 | family_rows=1 | sources_rows=3
[LINE 36] UID=JK2024AC36 | family_rows=1 | sources_rows=3
[LINE 37] UID=JK2024AC37 | family_rows=1 | sources_rows=4
[LINE 38] UID=JK2024AC38 | family_rows=1 | sources_rows=4
[LINE 39] UID=JK2024AC39 | family_rows=1 | sources_rows=6
[LINE 40] UID=JK2024AC40 | family_rows=1 | sources_rows=3
[LINE 41] UID=JK2024AC41 | family_rows=1 | sources_rows=4
[LINE 42] UID=JK2024AC42 | family_rows=1 | sources_rows=4
[LINE 43] UID=JK2024AC43 | family_rows=1 | sources_rows=4
[LINE 44] UID=JK2024AC44 | family_rows=1 | sources_rows=4
[LINE 45] UID=JK2024AC45 | family_rows=1 | sources_rows=3
[LINE 46] UID=JK2024AC46 | family_rows=1 | sources_rows=5
[LINE 47] UID=JK2024AC47 | family_rows=1 | sources_rows=3
[LINE 48] UID=JK2024AC48 | family_rows=1 | sources_rows=3
[LINE 49] UID=JK2024AC49 | family_rows=2 | sources_rows=6
[LINE 50] UID=JK2024AC50 | family_rows=1 | sources_rows=5
[LINE 51] UID=JK2024AC51 | family_rows=1 | sources_rows=3
[LINE 52] UID=JK2024AC52 | family_rows=1 | sources_rows=5
[LINE 53] UID=JK2024AC53 | family_rows=1 | sources_rows=5
[LINE 54] UID=JK2024AC54 | family_rows=1 | sources_rows=4
[LINE 55] UID=JK2024AC55 | family_rows=1 | sources_rows=4
[LINE 56] UID=JK2024AC56 | family_rows=1 | sources_rows=3
[LINE 57] UID=JK2024AC57 | family_rows=1 | sources_rows=4
[LINE 58] UID=JK2024AC58 | family_rows=1 | sources_rows=3
[LINE 59] UID=JK2024AC59 | family_rows=1 | sources_rows=2
[LINE 60] UID=JK2024AC60 | family_rows=1 | sources_rows=3
[LINE 61] UID=JK2024AC61 | family_rows=3 | sources_rows=4
[LINE 62] UID=JK2024AC62 | family_rows=1 | sources_rows=3
[LINE 63] UID=JK2024AC63 | family_rows=1 | sources_rows=3
[LINE 64] UID=JK2024AC64 | family_rows=1 | sources_rows=3
[LINE 65] UID=JK2024AC65 | family_rows=1 | sources_rows=3
[LINE 66] UID=JK2024AC66 | family_rows=1 | sources_rows=4
[LINE 67] UID=JK2024AC67 | family_rows=1 | sources_rows=4
[LINE 68] UID=JK2024AC68 | family_rows=1 | sources_rows=3
[LINE 69] UID=JK2024AC69 | family_rows=1 | sources_rows=3
[LINE 70] UID=JK2024AC70 | family_rows=1 | sources_rows=5
[LINE 71] UID=JK2024AC71 | family_rows=1 | sources_rows=3
[LINE 72] UID=JK2024AC72 | family_rows=1 | sources_rows=3
