[LINE 1] UID=KA2023AC01 | family_rows=1 | sources_rows=5
[LINE 2] UID=KA2023AC02 | family_rows=1 | sources_rows=4
[LINE 3] UID=KA2023AC03 | family_rows=1 | sources_rows=3
[LINE 4] UID=KA2023AC04 | family_rows=1 | sources_rows=4
[LINE 5] UID=KA2023AC05 | family_rows=1 | sources_rows=4
[LINE 6] UID=KA2023AC06 | family_rows=1 | sources_rows=3
[LINE 7] UID=KA2023AC07 | family_rows=3 | sources_rows=7
[LINE 8] UID=KA2023AC08 | family_rows=5 | sources_rows=5
[LINE 9] UID=KA2023AC09 | family_rows=5 | sources_rows=6
[LINE 10] UID=KA2023AC10 | family_rows=5 | sources_rows=5
[LINE 11] UID=KA2023AC11 | family_rows=1 | sources_rows=3
[LINE 12] UID=KA2023AC12 | family_rows=1 | sources_rows=3
[LINE 13] UID=KA2023AC13 | family_rows=2 | sources_rows=4
[LINE 14] UID=KA2023AC14 | family_rows=1 | sources_rows=4
[LINE 15] UID=KA2023AC15 | family_rows=1 | sources_rows=3
[LINE 16] UID=KA2023AC16 | family_rows=1 | sources_rows=2
[LINE 17] UID=KA2023AC17 | family_rows=1 | sources_rows=4
[LINE 18] UID=KA2023AC18 | family_rows=1 | sources_rows=3
[LINE 19] UID=KA2023AC19 | family_rows=1 | sources_rows=5
[LINE 20] UID=KA2023AC20 | family_rows=1 | sources_rows=3
[LINE 21] UID=KA2023AC21 | family_rows=1 | sources_rows=3
[LINE 22] UID=KA2023AC22 | family_rows=1 | sources_rows=4
[LINE 23] UID=KA2023AC23 | family_rows=1 | sources_rows=2
[LINE 24] UID=KA2023AC24 | family_rows=1 | sources_rows=5
[LINE 25] UID=KA2023AC25 | family_rows=1 | sources_rows=3
[LINE 26] UID=KA2023AC26 | family_rows=1 | sources_rows=3
[LINE 27] UID=KA2023AC27 | family_rows=1 | sources_rows=4
[LINE 28] UID=KA2023AC28 | family_rows=1 | sources_rows=1
[LINE 29] UID=KA2023AC29 | family_rows=1 | sources_rows=3
[LINE 30] UID=KA2023AC30 | family_rows=1 | sources_rows=4
[LINE 31] UID=KA2023AC31 | family_rows=1 | sources_rows=3
[LINE 32] UID=KA2023AC32 | family_rows=1 | sources_rows=4
[LINE 33] UID=KA2023AC33 | family_rows=2 | sources_rows=3
[LINE 34] UID=KA2023AC34 | family_rows=1 | sources_rows=5
[LINE 35] UID=KA2023AC35 | family_rows=1 | sources_rows=4
[LINE 36] UID=KA2023AC36 | family_rows=2 | sources_rows=5
[LINE 37] UID=KA2023AC37 | family_rows=1 | sources_rows=2
[LINE 38] UID=KA2023AC38 | family_rows=1 | sources_rows=4
[LINE 39] UID=KA2023AC39 | family_rows=1 | sources_rows=3
[LINE 40] UID=KA2023AC40 | family_rows=2 | sources_rows=3
[LINE 41] UID=KA2023AC41 | family_rows=1 | sources_rows=3
[LINE 42] UID=KA2023AC42 | family_rows=1 | sources_rows=4
[LINE 43] UID=KA2023AC43 | family_rows=1 | sources_rows=4
[LINE 44] UID=KA2023AC44 | family_rows=1 | sources_rows=3
[LINE 45] UID=KA2023AC45 | family_rows=2 | sources_rows=3
[LINE 46] UID=KA2023AC46 | family_rows=1 | sources_rows=4
[LINE 47] UID=KA2023AC47 | family_rows=1 | sources_rows=5
[LINE 48] UID=KA2023AC48 | family_rows=1 | sources_rows=3
[LINE 49] UID=KA2023AC49 | family_rows=1 | sources_rows=4
[LINE 50] UID=KA2023AC50 | family_rows=1 | sources_rows=3
[LINE 51] UID=KA2023AC51 | family_rows=3 | sources_rows=8
[LINE 52] UID=KA2023AC52 | family_rows=1 | sources_rows=3
[LINE 53] UID=KA2023AC53 | family_rows=1 | sources_rows=4
[LINE 54] UID=KA2023AC54 | family_rows=1 | sources_rows=3
[LINE 55] UID=KA2023AC55 | family_rows=1 | sources_rows=3
[LINE 56] UID=KA2023AC56 | family_rows=1 | sources_rows=4
[LINE 57] UID=KA2023AC57 | family_rows=1 | sources_rows=3
[LINE 58] UID=KA2023AC58 | family_rows=1 | sources_rows=5
[LINE 59] UID=KA2023AC59 | family_rows=1 | sources_rows=5
[LINE 60] UID=KA2023AC60 | family_rows=1 | sources_rows=3
[LINE 61] UID=KA2023AC61 | family_rows=1 | sources_rows=3
[LINE 62] UID=KA2023AC62 | family_rows=3 | sources_rows=5
[LINE 63] UID=KA2023AC63 | family_rows=1 | sources_rows=4
[LINE 64] UID=KA2023AC64 | family_rows=2 | sources_rows=5
[LINE 65] UID=KA2023AC65 | family_rows=1 | sources_rows=3
[LINE 66] UID=KA2023AC66 | family_rows=1 | sources_rows=4
[LINE 67] UID=KA2023AC67 | family_rows=1 | sources_rows=2
[LINE 68] UID=KA2023AC68 | family_rows=1 | sources_rows=4
[LINE 69] UID=KA2023AC69 | family_rows=1 | sources_rows=3
[LINE 70] UID=KA2023AC70 | family_rows=1 | sources_rows=4
[LINE 71] UID=KA2023AC71 | family_rows=1 | sources_rows=2
[LINE 72] UID=KA2023AC72 | family_rows=1 | sources_rows=4
[LINE 73] UID=KA2023AC73 | family_rows=1 | sources_rows=4
[LINE 74] UID=KA2023AC74 | family_rows=1 | sources_rows=3
[LINE 75] UID=KA2023AC75 | family_rows=1 | sources_rows=5
[LINE 76] UID=KA2023AC76 | family_rows=1 | sources_rows=5
[LINE 77] UID=KA2023AC77 | family_rows=1 | sources_rows=3
[LINE 78] UID=KA2023AC78 | family_rows=1 | sources_rows=4
[LINE 79] UID=KA2023AC79 | family_rows=1 | sources_rows=5
[LINE 80] UID=KA2023AC80 | family_rows=1 | sources_rows=6
[LINE 81] UID=KA2023AC81 | family_rows=1 | sources_rows=2
[LINE 82] UID=KA2023AC82 | family_rows=1 | sources_rows=6
[LINE 83] UID=KA2023AC83 | family_rows=2 | sources_rows=4
[LINE 84] UID=KA2023AC84 | family_rows=1 | sources_rows=3
[LINE 85] UID=KA2023AC85 | family_rows=1 | sources_rows=5
[LINE 86] UID=KA2023AC86 | family_rows=1 | sources_rows=4
[LINE 87] UID=KA2023AC87 | family_rows=1 | sources_rows=3
[LINE 88] UID=KA2023AC88 | family_rows=1 | sources_rows=3
[LINE 89] UID=KA2023AC89 | family_rows=1 | sources_rows=4
[LINE 90] UID=KA2023AC90 | family_rows=1 | sources_rows=3
[LINE 91] UID=KA2023AC91 | family_rows=1 | sources_rows=3
[LINE 92] UID=KA2023AC92 | family_rows=1 | sources_rows=3
[LINE 93] UID=KA2023AC93 | family_rows=1 | sources_rows=5
[LINE 94] UID=KA2023AC94 | family_rows=2 | sources_rows=4
[LINE 95] UID=KA2023AC95 | family_rows=1 | sources_rows=4
[LINE 96] UID=KA2023AC96 | family_rows=1 | sources_rows=3
[LINE 97] UID=KA2023AC97 | family_rows=1 | sources_rows=2
[LINE 98] UID=KA2023AC98 | family_rows=1 | sources_rows=6
[LINE 99] UID=KA2023AC99 | family_rows=1 | sources_rows=5
[LINE 100] UID=KA2023AC100 | family_rows=1 | sources_rows=3
[LINE 101] UID=KA2023AC101 | family_rows=1 | sources_rows=5
[LINE 102] UID=KA2023AC102 | family_rows=1 | sources_rows=3
[LINE 103] UID=KA2023AC103 | family_rows=1 | sources_rows=4
[LINE 104] UID=KA2023AC104 | family_rows=5 | sources_rows=4
[LINE 105] UID=KA2023AC105 | family_rows=1 | sources_rows=4
[LINE 106] UID=KA2023AC106 | family_rows=2 | sources_rows=6
[LINE 107] UID=KA2023AC107 | family_rows=2 | sources_rows=3
[LINE 108] UID=KA2023AC108 | family_rows=1 | sources_rows=5
[LINE 109] UID=KA2023AC109 | family_rows=1 | sources_rows=5
[LINE 110] UID=KA2023AC110 | family_rows=1 | sources_rows=4
[LINE 111] UID=KA2023AC111 | family_rows=1 | sources_rows=3
[LINE 112] UID=KA2023AC112 | family_rows=1 | sources_rows=3
[LINE 113] UID=KA2023AC113 | family_rows=1 | sources_rows=3
[LINE 114] UID=KA2023AC114 | family_rows=1 | sources_rows=4
[LINE 115] UID=KA2023AC115 | family_rows=2 | sources_rows=5
[LINE 116] UID=KA2023AC116 | family_rows=3 | sources_rows=4
[LINE 117] UID=KA2023AC117 | family_rows=1 | sources_rows=3
[LINE 118] UID=KA2023AC118 | family_rows=1 | sources_rows=6
[LINE 119] UID=KA2023AC119 | family_rows=3 | sources_rows=3
[LINE 120] UID=KA2023AC120 | family_rows=1 | sources_rows=1
[LINE 121] UID=KA2023AC121 | family_rows=1 | sources_rows=3
[LINE 122] UID=KA2023AC122 | family_rows=1 | sources_rows=5
[LINE 123] UID=KA2023AC123 | family_rows=2 | sources_rows=3
[LINE 124] UID=KA2023AC124 | family_rows=1 | sources_rows=4
[LINE 125] UID=KA2023AC125 | family_rows=1 | sources_rows=4
[LINE 126] UID=KA2023AC126 | family_rows=1 | sources_rows=3
[LINE 127] UID=KA2023AC127 | family_rows=1 | sources_rows=4
[LINE 128] UID=KA2023AC128 | family_rows=1 | sources_rows=2
[LINE 129] UID=KA2023AC129 | family_rows=1 | sources_rows=4
[LINE 130] UID=KA2023AC130 | family_rows=1 | sources_rows=4
[LINE 131] UID=KA2023AC131 | family_rows=1 | sources_rows=3
[LINE 132] UID=KA2023AC132 | family_rows=1 | sources_rows=4
[LINE 133] UID=KA2023AC133 | family_rows=1 | sources_rows=4
[LINE 134] UID=KA2023AC134 | family_rows=1 | sources_rows=3
[LINE 135] UID=KA2023AC135 | family_rows=1 | sources_rows=3
[LINE 136] UID=KA2023AC136 | family_rows=1 | sources_rows=1
[LINE 137] UID=KA2023AC137 | family_rows=1 | sources_rows=4
[LINE 138] UID=KA2023AC138 | family_rows=1 | sources_rows=2
[LINE 139] UID=KA2023AC139 | family_rows=1 | sources_rows=7
[LINE 140] UID=KA2023AC140 | family_rows=1 | sources_rows=4
[LINE 141] UID=KA2023AC141 | family_rows=1 | sources_rows=2
[LINE 142] UID=KA2023AC142 | family_rows=1 | sources_rows=3
[LINE 143] UID=KA2023AC143 | family_rows=3 | sources_rows=4
[LINE 144] UID=KA2023AC144 | family_rows=1 | sources_rows=4
[LINE 145] UID=KA2023AC145 | family_rows=1 | sources_rows=4
[LINE 146] UID=KA2023AC146 | family_rows=1 | sources_rows=3
[LINE 147] UID=KA2023AC147 | family_rows=1 | sources_rows=4
[LINE 148] UID=KA2023AC148 | family_rows=1 | sources_rows=4
[LINE 149] UID=KA2023AC149 | family_rows=1 | sources_rows=2
[LINE 150] UID=KA2023AC150 | family_rows=1 | sources_rows=4
[LINE 151] UID=KA2023AC151 | family_rows=1 | sources_rows=5
[LINE 152] UID=KA2023AC152 | family_rows=1 | sources_rows=4
[LINE 153] UID=KA2023AC153 | family_rows=1 | sources_rows=5
[LINE 154] UID=KA2023AC154 | family_rows=1 | sources_rows=3
[LINE 155] UID=KA2023AC155 | family_rows=1 | sources_rows=3
[LINE 156] UID=KA2023AC156 | family_rows=1 | sources_rows=3
[LINE 157] UID=KA2023AC157 | family_rows=1 | sources_rows=3
[LINE 158] UID=KA2023AC158 | family_rows=1 | sources_rows=4
[LINE 159] UID=KA2023AC159 | family_rows=1 | sources_rows=4
[LINE 160] UID=KA2023AC160 | family_rows=1 | sources_rows=6
[LINE 161] UID=KA2023AC161 | family_rows=1 | sources_rows=3
[LINE 162] UID=KA2023AC162 | family_rows=1 | sources_rows=3
[LINE 163] UID=KA2023AC163 | family_rows=1 | sources_rows=3
[LINE 164] UID=KA2023AC164 | family_rows=4 | sources_rows=3
[LINE 165] UID=KA2023AC165 | family_rows=1 | sources_rows=4
[LINE 166] UID=KA2023AC166 | family_rows=1 | sources_rows=3
[LINE 167] Existing error preserved | UID=KA2023AC167
[LINE 168] UID=KA2023AC168 | family_rows=1 | sources_rows=4
[LINE 169] UID=KA2023AC169 | family_rows=1 | sources_rows=4
[LINE 170] UID=KA2023AC170 | family_rows=1 | sources_rows=4
[LINE 171] UID=KA2023AC171 | family_rows=1 | sources_rows=3
[LINE 172] UID=KA2023AC172 | family_rows=2 | sources_rows=5
[LINE 173] UID=KA2023AC173 | family_rows=1 | sources_rows=1
[LINE 174] UID=KA2023AC174 | family_rows=1 | sources_rows=5
[LINE 175] UID=KA2023AC175 | family_rows=1 | sources_rows=4
[LINE 176] UID=KA2023AC176 | family_rows=1 | sources_rows=3
[LINE 177] UID=KA2023AC177 | family_rows=1 | sources_rows=3
[LINE 178] UID=KA2023AC178 | family_rows=1 | sources_rows=4
[LINE 179] UID=KA2023AC179 | family_rows=2 | sources_rows=3
[LINE 180] UID=KA2023AC180 | family_rows=1 | sources_rows=3
[LINE 181] UID=KA2023AC181 | family_rows=1 | sources_rows=3
[LINE 182] UID=KA2023AC182 | family_rows=1 | sources_rows=3
[LINE 183] UID=KA2023AC183 | family_rows=1 | sources_rows=3
[LINE 184] UID=KA2023AC184 | family_rows=1 | sources_rows=4
[LINE 185] UID=KA2023AC185 | family_rows=5 | sources_rows=6
[LINE 186] UID=KA2023AC186 | family_rows=1 | sources_rows=3
[LINE 187] UID=KA2023AC187 | family_rows=1 | sources_rows=5
[LINE 188] UID=KA2023AC188 | family_rows=1 | sources_rows=5
[LINE 189] UID=KA2023AC189 | family_rows=1 | sources_rows=3
[LINE 190] UID=KA2023AC190 | family_rows=1 | sources_rows=2
[LINE 191] UID=KA2023AC191 | family_rows=1 | sources_rows=6
[LINE 192] UID=KA2023AC192 | family_rows=1 | sources_rows=3
[LINE 193] UID=KA2023AC193 | family_rows=1 | sources_rows=3
[LINE 194] UID=KA2023AC194 | family_rows=1 | sources_rows=4
[LINE 195] UID=KA2023AC195 | family_rows=1 | sources_rows=4
[LINE 196] UID=KA2023AC196 | family_rows=1 | sources_rows=4
[LINE 197] UID=KA2023AC197 | family_rows=5 | sources_rows=8
[LINE 198] UID=KA2023AC198 | family_rows=1 | sources_rows=2
[LINE 199] UID=KA2023AC199 | family_rows=1 | sources_rows=4
[LINE 200] UID=KA2023AC200 | family_rows=1 | sources_rows=5
[LINE 201] UID=KA2023AC201 | family_rows=1 | sources_rows=3
[LINE 202] Existing error preserved | UID=KA2023AC202
[LINE 203] UID=KA2023AC203 | family_rows=1 | sources_rows=4
[LINE 204] UID=KA2023AC204 | family_rows=1 | sources_rows=4
[LINE 205] UID=KA2023AC205 | family_rows=1 | sources_rows=4
[LINE 206] UID=KA2023AC206 | family_rows=1 | sources_rows=2
[LINE 207] UID=KA2023AC207 | family_rows=1 | sources_rows=5
[LINE 208] UID=KA2023AC208 | family_rows=1 | sources_rows=5
[LINE 209] UID=KA2023AC209 | family_rows=1 | sources_rows=4
[LINE 210] UID=KA2023AC210 | family_rows=1 | sources_rows=4
[LINE 211] UID=KA2023AC211 | family_rows=1 | sources_rows=4
[LINE 212] Existing error preserved | UID=KA2023AC212
[LINE 213] UID=KA2023AC213 | family_rows=1 | sources_rows=3
[LINE 214] UID=KA2023AC214 | family_rows=1 | sources_rows=5
[LINE 215] UID=KA2023AC215 | family_rows=1 | sources_rows=2
[LINE 216] UID=KA2023AC216 | family_rows=1 | sources_rows=4
[LINE 217] Existing error preserved | UID=KA2023AC217
[LINE 218] UID=KA2023AC218 | family_rows=2 | sources_rows=3
[LINE 219] UID=KA2023AC219 | family_rows=1 | sources_rows=4
[LINE 220] UID=KA2023AC220 | family_rows=1 | sources_rows=2
[LINE 221] UID=KA2023AC221 | family_rows=1 | sources_rows=2
[LINE 222] UID=KA2023AC222 | family_rows=1 | sources_rows=3
[LINE 223] UID=KA2023AC223 | family_rows=1 | sources_rows=4
[LINE 224] UID=KA2023AC224 | family_rows=2 | sources_rows=3

PROCESSING COMPLETE
Total family rows: 275
Total source rows: 820
