[LINE 1] UID=MH2024AC01 | family_rows=1 | sources_rows=6
[LINE 2] UID=MH2024AC02 | family_rows=1 | sources_rows=2
[LINE 3] UID=MH2024AC03 | family_rows=3 | sources_rows=3
[LINE 4] UID=MH2024AC04 | family_rows=1 | sources_rows=1
[LINE 5] UID=MH2024AC05 | family_rows=1 | sources_rows=5
[LINE 6] UID=MH2024AC06 | family_rows=1 | sources_rows=5
[LINE 7] UID=MH2024AC07 | family_rows=1 | sources_rows=5
[LINE 8] UID=MH2024AC08 | family_rows=1 | sources_rows=4
[LINE 9] UID=MH2024AC09 | family_rows=1 | sources_rows=5
[LINE 10] UID=MH2024AC10 | family_rows=1 | sources_rows=3
[LINE 11] UID=MH2024AC11 | family_rows=1 | sources_rows=6
[LINE 12] UID=MH2024AC12 | family_rows=1 | sources_rows=7
[LINE 13] UID=MH2024AC13 | family_rows=2 | sources_rows=2
[LINE 14] UID=MH2024AC14 | family_rows=1 | sources_rows=4
[LINE 15] UID=MH2024AC15 | family_rows=1 | sources_rows=4
[LINE 16] UID=MH2024AC16 | family_rows=1 | sources_rows=6
[LINE 17] UID=MH2024AC17 | family_rows=1 | sources_rows=3
[LINE 18] UID=MH2024AC18 | family_rows=2 | sources_rows=3
[LINE 19] UID=MH2024AC19 | family_rows=1 | sources_rows=2
[LINE 20] UID=MH2024AC20 | family_rows=1 | sources_rows=5
[LINE 21] UID=MH2024AC21 | family_rows=2 | sources_rows=3
[LINE 22] Existing error preserved | UID=MH2024AC22
[LINE 23] UID=MH2024AC23 | family_rows=1 | sources_rows=3
[LINE 24] UID=MH2024AC24 | family_rows=1 | sources_rows=2
[LINE 25] UID=MH2024AC25 | family_rows=1 | sources_rows=5
[LINE 26] UID=MH2024AC26 | family_rows=1 | sources_rows=4
[LINE 27] UID=MH2024AC27 | family_rows=1 | sources_rows=5
[LINE 28] UID=MH2024AC28 | family_rows=1 | sources_rows=5
[LINE 29] UID=MH2024AC29 | family_rows=1 | sources_rows=3
[LINE 30] UID=MH2024AC30 | family_rows=1 | sources_rows=4
[LINE 31] UID=MH2024AC31 | family_rows=1 | sources_rows=5
[LINE 32] UID=MH2024AC32 | family_rows=1 | sources_rows=4
[LINE 33] UID=MH2024AC33 | family_rows=2 | sources_rows=5
[LINE 34] UID=MH2024AC34 | family_rows=1 | sources_rows=4
[LINE 35] UID=MH2024AC35 | family_rows=1 | sources_rows=4
[LINE 36] UID=MH2024AC36 | family_rows=2 | sources_rows=4
