[LINE 1] UID=NL2023AC01 | family_rows=1 | sources_rows=4
[LINE 2] UID=NL2023AC02 | family_rows=1 | sources_rows=5
[LINE 3] UID=NL2023AC03 | family_rows=1 | sources_rows=3
[LINE 4] UID=NL2023AC04 | family_rows=1 | sources_rows=4
[LINE 5] UID=NL2023AC05 | family_rows=1 | sources_rows=4
[LINE 6] UID=NL2023AC06 | family_rows=1 | sources_rows=3
[LINE 7] UID=NL2023AC07 | family_rows=1 | sources_rows=5
[LINE 8] UID=NL2023AC08 | family_rows=1 | sources_rows=3
[LINE 9] UID=NL2023AC09 | family_rows=1 | sources_rows=4
[LINE 10] UID=NL2023AC10 | family_rows=1 | sources_rows=3
[LINE 11] UID=NL2023AC11 | family_rows=1 | sources_rows=3
[LINE 12] UID=NL2023AC12 | family_rows=1 | sources_rows=3
[LINE 13] UID=NL2023AC13 | family_rows=1 | sources_rows=5
[LINE 14] UID=NL2023AC14 | family_rows=1 | sources_rows=5
[LINE 15] UID=NL2023AC15 | family_rows=1 | sources_rows=3
[LINE 16] UID=NL2023AC16 | family_rows=1 | sources_rows=3
[LINE 17] UID=NL2023AC17 | family_rows=1 | sources_rows=4
[LINE 18] UID=NL2023AC18 | family_rows=1 | sources_rows=4
[LINE 19] UID=NL2023AC19 | family_rows=1 | sources_rows=3
[LINE 20] UID=NL2023AC20 | family_rows=1 | sources_rows=3
[LINE 21] UID=NL2023AC21 | family_rows=1 | sources_rows=4
[LINE 22] UID=NL2023AC22 | family_rows=1 | sources_rows=4
[LINE 23] UID=NL2023AC23 | family_rows=1 | sources_rows=4
[LINE 24] UID=NL2023AC24 | family_rows=1 | sources_rows=5
[LINE 25] UID=NL2023AC25 | family_rows=1 | sources_rows=3
[LINE 26] UID=NL2023AC26 | family_rows=1 | sources_rows=3
[LINE 27] UID=NL2023AC27 | family_rows=1 | sources_rows=3
[LINE 28] UID=NL2023AC28 | family_rows=1 | sources_rows=3
[LINE 29] UID=NL2023AC29 | family_rows=1 | sources_rows=4
[LINE 30] UID=NL2023AC30 | family_rows=1 | sources_rows=4
[LINE 31] UID=NL2023AC31 | family_rows=1 | sources_rows=4
[LINE 32] UID=NL2023AC32 | family_rows=1 | sources_rows=3
[LINE 33] UID=NL2023AC33 | family_rows=1 | sources_rows=3
[LINE 34] UID=NL2023AC34 | family_rows=1 | sources_rows=4
[LINE 35] UID=NL2023AC35 | family_rows=1 | sources_rows=3
[LINE 36] UID=NL2023AC36 | family_rows=1 | sources_rows=4
[LINE 37] UID=NL2023AC37 | family_rows=1 | sources_rows=5
[LINE 38] UID=NL2023AC38 | family_rows=1 | sources_rows=4
[LINE 39] UID=NL2023AC39 | family_rows=1 | sources_rows=5
[LINE 40] UID=NL2023AC40 | family_rows=1 | sources_rows=3
[LINE 41] UID=NL2023AC41 | family_rows=1 | sources_rows=5
[LINE 42] UID=NL2023AC42 | family_rows=1 | sources_rows=5
[LINE 43] UID=NL2023AC43 | family_rows=1 | sources_rows=5
[LINE 44] UID=NL2023AC44 | family_rows=1 | sources_rows=3
[LINE 45] UID=NL2023AC45 | family_rows=1 | sources_rows=5
[LINE 46] UID=NL2023AC46 | family_rows=1 | sources_rows=3
[LINE 47] UID=NL2023AC47 | family_rows=1 | sources_rows=4
[LINE 48] UID=NL2023AC48 | family_rows=1 | sources_rows=4
[LINE 49] UID=NL2023AC49 | family_rows=1 | sources_rows=3
[LINE 50] UID=NL2023AC50 | family_rows=1 | sources_rows=3
[LINE 51] UID=NL2023AC51 | family_rows=1 | sources_rows=4
[LINE 52] UID=NL2023AC52 | family_rows=1 | sources_rows=3
[LINE 53] UID=NL2023AC53 | family_rows=1 | sources_rows=4
[LINE 54] UID=NL2023AC54 | family_rows=1 | sources_rows=1
[LINE 55] UID=NL2023AC55 | family_rows=1 | sources_rows=4
[LINE 56] UID=NL2023AC56 | family_rows=1 | sources_rows=4
[LINE 57] UID=NL2023AC57 | family_rows=1 | sources_rows=3
[LINE 58] UID=NL2023AC58 | family_rows=1 | sources_rows=5
[LINE 59] UID=NL2023AC59 | family_rows=1 | sources_rows=3
[LINE 60] UID=NL2023AC60 | family_rows=1 | sources_rows=4

PROCESSING COMPLETE
Total family rows: 60
Total source rows: 224
