[LINE 1] UID=AN1971PC501 | family_rows=1 | sources_rows=4
[LINE 2] UID=AP1971PC35 | family_rows=1 | sources_rows=4
[LINE 3] UID=KL1971PC163 | family_rows=1 | sources_rows=3
[LINE 4] UID=UP1971PC444 | family_rows=1 | sources_rows=3
[LINE 5] UID=GJ1971PC117 | family_rows=1 | sources_rows=3
[LINE 6] UID=MH1971PC239 | family_rows=1 | sources_rows=5
[LINE 7] UID=RJ1971PC320 | family_rows=1 | sources_rows=4
[LINE 8] UID=UP1971PC397 | family_rows=1 | sources_rows=4
[LINE 9] UID=MH1971PC221 | family_rows=1 | sources_rows=3
[LINE 10] UID=UP1971PC447 | family_rows=1 | sources_rows=4
[LINE 11] UID=WB1971PC473 | family_rows=1 | sources_rows=3
[LINE 12] UID=UP1971PC427 | family_rows=4 | sources_rows=6
[LINE 13] UID=UP1971PC374 | family_rows=1 | sources_rows=1
[LINE 14] UID=RJ1971PC316 | family_rows=1 | sources_rows=4
[LINE 15] UID=AP1971PC09 | family_rows=1 | sources_rows=3
[LINE 16] UID=HR1971PC133 | family_rows=1 | sources_rows=3
[LINE 17] UID=KL1971PC161 | family_rows=1 | sources_rows=3
[LINE 18] UID=UP1971PC395 | family_rows=1 | sources_rows=5
[LINE 19] UID=MH1971PC222 | family_rows=1 | sources_rows=3
[LINE 20] UID=GJ1971PC114 | family_rows=2 | sources_rows=4
[LINE 21] UID=PB1971PC300 | family_rows=1 | sources_rows=3
[LINE 22] UID=UP1971PC377 | family_rows=1 | sources_rows=1
[LINE 23] UID=AP1971PC06 | family_rows=1 | sources_rows=1
[LINE 24] UID=GJ1971PC126 | family_rows=3 | sources_rows=4
[LINE 25] UID=AP1971PC25 | family_rows=1 | sources_rows=1
[LINE 26] UID=JK1971PC144 | family_rows=1 | sources_rows=4
[LINE 27] UID=OR1971PC296 | family_rows=1 | sources_rows=6
[LINE 28] UID=UP1971PC381 | family_rows=1 | sources_rows=3
[LINE 29] UID=WB1971PC482 | family_rows=1 | sources_rows=3
[LINE 30] UID=BR1971PC75 | family_rows=1 | sources_rows=4
[LINE 31] UID=WB1971PC492 | family_rows=1 | sources_rows=3
[LINE 32] UID=BR1971PC95 | family_rows=3 | sources_rows=4
[LINE 33] UID=MH1971PC234 | family_rows=1 | sources_rows=4
[LINE 34] UID=WB1971PC491 | family_rows=1 | sources_rows=3
[LINE 35] UID=AS1971PC44 | family_rows=1 | sources_rows=3
[LINE 36] UID=UP1971PC416 | family_rows=1 | sources_rows=3
[LINE 37] UID=KL1971PC150 | family_rows=1 | sources_rows=5
[LINE 38] UID=BR1971PC56 | family_rows=1 | sources_rows=3
[LINE 39] UID=KA1971PC274 | family_rows=1 | sources_rows=3
[LINE 40] UID=UP1971PC452 | family_rows=1 | sources_rows=5
[LINE 41] UID=UP1971PC402 | family_rows=1 | sources_rows=3
[LINE 42] UID=MP1971PC186 | family_rows=1 | sources_rows=1
[LINE 43] UID=OR1971PC278 | family_rows=1 | sources_rows=1
[LINE 44] UID=UP1971PC414 | family_rows=1 | sources_rows=3
[LINE 45] UID=UP1971PC403 | family_rows=1 | sources_rows=3
[LINE 46] UID=WB1971PC461 | family_rows=1 | sources_rows=2
[LINE 47] UID=GJ1971PC121 | family_rows=1 | sources_rows=1
[LINE 48] UID=UP1971PC430 | family_rows=1 | sources_rows=4
[LINE 49] UID=KA1971PC259 | family_rows=1 | sources_rows=3
[LINE 50] UID=BR1971PC82 | family_rows=1 | sources_rows=1
[LINE 51] UID=WB1971PC489 | family_rows=1 | sources_rows=1
[LINE 52] UID=UP1971PC408 | family_rows=1 | sources_rows=4
[LINE 53] UID=RJ1971PC324 | family_rows=1 | sources_rows=2
[LINE 54] UID=UP1971PC400 | family_rows=1 | sources_rows=1
[LINE 55] UID=MH1971PC243 | family_rows=1 | sources_rows=3
[LINE 56] UID=JK1971PC142 | family_rows=1 | sources_rows=3
[LINE 57] UID=WB1971PC468 | family_rows=1 | sources_rows=1
[LINE 58] UID=UP1971PC382 | family_rows=1 | sources_rows=3
[LINE 59] UID=BR1971PC89 | family_rows=1 | sources_rows=4
[LINE 60] UID=RJ1971PC330 | family_rows=1 | sources_rows=4
[LINE 61] UID=GJ1971PC127 | family_rows=2 | sources_rows=4
[LINE 62] UID=AS1971PC47 | family_rows=1 | sources_rows=3
[LINE 63] UID=WB1971PC474 | family_rows=1 | sources_rows=4
[LINE 64] UID=WB1971PC469 | family_rows=1 | sources_rows=4
[LINE 65] UID=MP1971PC183 | family_rows=1 | sources_rows=3
[LINE 66] Existing error preserved | UID=UP1971PC405
[LINE 67] UID=BR1971PC87 | family_rows=1 | sources_rows=1
