[LINE 1] UID=AP2009PC01 | family_rows=2 | sources_rows=2
[LINE 2] UID=UP2009PC18 | family_rows=1 | sources_rows=4
[LINE 3] UID=MH2009PC37 | family_rows=1 | sources_rows=3
[LINE 4] UID=GJ2009PC07 | family_rows=1 | sources_rows=3
[LINE 5] UID=GJ2009PC08 | family_rows=1 | sources_rows=5
[LINE 6] UID=RJ2009PC13 | family_rows=4 | sources_rows=5
[LINE 7] UID=UP2009PC44 | family_rows=1 | sources_rows=3
[LINE 8] UID=MH2009PC06 | family_rows=1 | sources_rows=1
[LINE 9] UID=KL2009PC15 | family_rows=1 | sources_rows=6
[LINE 10] UID=KL2009PC09 | family_rows=1 | sources_rows=3
[LINE 11] UID=UP2009PC15 | family_rows=1 | sources_rows=3
[LINE 12] UID=WB2009PC02 | family_rows=1 | sources_rows=4
[LINE 13] UID=UP2009PC52 | family_rows=1 | sources_rows=4
[LINE 14] UID=UK2009PC03 | family_rows=1 | sources_rows=5
[LINE 15] UID=RJ2009PC08 | family_rows=2 | sources_rows=5
[LINE 16] UID=AP2009PC24 | family_rows=1 | sources_rows=8
[LINE 17] UID=HR2009PC01 | family_rows=1 | sources_rows=4
[LINE 18] UID=UP2009PC55 | family_rows=2 | sources_rows=3
[LINE 19] UID=UP2009PC37 | family_rows=8 | sources_rows=4
[LINE 20] UID=MH2009PC07 | family_rows=1 | sources_rows=5
[LINE 21] UID=GJ2009PC14 | family_rows=1 | sources_rows=5
[LINE 22] UID=PB2009PC02 | family_rows=1 | sources_rows=3
[LINE 23] UID=UP2009PC09 | family_rows=1 | sources_rows=2
[LINE 24] UID=AP2009PC22 | family_rows=1 | sources_rows=3
[LINE 25] UID=GJ2009PC16 | family_rows=1 | sources_rows=5
[LINE 26] UID=PB2009PC06 | family_rows=4 | sources_rows=3
[LINE 27] UID=AP2009PC36 | family_rows=1 | sources_rows=3
[LINE 28] UID=JK2009PC03 | family_rows=1 | sources_rows=3
[LINE 29] UID=AN2009PC01 | family_rows=1 | sources_rows=5
[LINE 30] UID=UP2009PC24 | family_rows=8 | sources_rows=7
[LINE 31] UID=TN2009PC07 | family_rows=1 | sources_rows=5
[LINE 32] UID=WB2009PC29 | family_rows=1 | sources_rows=4
[LINE 33] UID=TN2009PC12 | family_rows=3 | sources_rows=3
[LINE 34] UID=BR2009PC09 | family_rows=1 | sources_rows=5
[LINE 35] UID=BR2009PC32 | family_rows=2 | sources_rows=4
[LINE 36] UID=AP2009PC18 | family_rows=1 | sources_rows=2
[LINE 37] UID=AR2009PC02 | family_rows=1 | sources_rows=5
[LINE 38] UID=AR2009PC01 | family_rows=1 | sources_rows=3
[LINE 39] UID=WB2009PC40 | family_rows=1 | sources_rows=4
[LINE 40] UID=OR2009PC19 | family_rows=1 | sources_rows=4
[LINE 41] UID=KL2009PC19 | family_rows=2 | sources_rows=3
[LINE 42] UID=BR2009PC37 | family_rows=1 | sources_rows=5
[LINE 43] UID=MH2009PC19 | family_rows=1 | sources_rows=4
[LINE 44] UID=AS2009PC03 | family_rows=1 | sources_rows=6
[LINE 45] UID=UP2009PC69 | family_rows=2 | sources_rows=4
[LINE 46] UID=UP2009PC23 | family_rows=8 | sources_rows=6
[LINE 47] UID=KA2009PC03 | family_rows=1 | sources_rows=5
[LINE 48] UID=UP2009PC11 | family_rows=3 | sources_rows=5
[LINE 49] UID=WB2009PC10 | family_rows=1 | sources_rows=8
[LINE 50] UID=UP2009PC56 | family_rows=1 | sources_rows=6
