Constituency Name,ConstituencyName (PC all relatives.csv),District Name,DistrictName (PC all relatives.csv),Family ID,FamilyID (PC all relatives.csv),Father/Husband Name,Table Name,UID,States,States Str,Name,Name (PC all relatives.csv),Winning Candidate,Party,pc name,Political Role,PoliticalRole (PC all relatives.csv),Relation,Relation (PC all relatives.csv),Name1,UID(AC/PC all relatives),Relation(AC/PC),state,State Name,StateName (PC all relatives.csv),PoliticalRole(AC and PC),Type,UID (AC all recent relatives.csv),UID (PC all relatives.csv),Years Held,YearsHeld (PC all relatives.csv),YearsHeld(AC/PC),Age,Poll %,Total electors(AC/PC),Total Votes(AC/PC),electors,Margin,Margin %,No,Total Electors,Total Votes,turnout,votes,if Dynasty
Kaviti Mandal,,Srikakulam,,1,,B PRAKASH RAO,AC_all_winning_cand.csv,AP2024AC01,Andhra Pradesh,Andhra Pradesh,Ichchapuram,,Bendalam Ashok,Telugu Desam,,Kaviti Mandal Parishad President (MPP); Director of Andhra Bank,,Father,,Bendalam Prakash Rao,AP2024AC01,Father,,Andhra Pradesh,,Kaviti Mandal Parishad President (MPP); Director of Andhra Bank,,AP2024AC01,,MPP: 2006,,MPP: 2006,42,58.58,,110612,,,,1,,110612,,,1
"Palasa, Sompeta",,Srikakulam,,2,,GOUTHU SYAM SUNDER SIVAJI,AC_all_winning_cand.csv,AP2024AC02,Andhra Pradesh,Andhra Pradesh,Palasa,,Gouthu Sireesha,Telugu Desam,,"MLA (Palasa, Sompeta), Minister in Andhra Pradesh",,Father,,Gouthu Syam Sunder Sivaji,AP2024AC02,Father,,Andhra Pradesh,,"MLA (Palasa, Sompeta), Minister in Andhra Pradesh",,AP2024AC02,,Multiple terms between 1994 and 2014,,Multiple terms between 1994 and 2014,49,60.44,,101560,,,,2,,101560,,,1
Srikakulam,,Srikakulam,,4,,DALINAIDU LATE,AC_all_winning_cand.csv,AP2024AC03,Andhra Pradesh,Andhra Pradesh,Tekkali,,Kinjarapu Atchannaidu,Telugu Desam,,"Union Minister (Minister of Rural Development), Member of Parliament (Lok Sabha)",,Brother,,Kinjarapu Yerran Naidu,AP2024AC03,Brother,,Andhra Pradesh,,"Union Minister (Minister of Rural Development), Member of Parliament (Lok Sabha)",,AP2024AC03,,1996-2012,,1996-2012,55,55.71,,107923,,,,3,,107923,,,1
,,,,,,MAMIDI APPA RAO,AC_all_winning_cand.csv,AP2024AC04,Andhra Pradesh,Andhra Pradesh,Pathapatnam,,Mamidi Govinda Rao,Telugu Desam,,,,,,,,,,,,,,,,,,,47,54.76,,89452,,,,4,,89452,,,0
Srikakulam Mandal,,Srikakulam,,7,,GONDU JAGANNADHA RAO,AC_all_winning_cand.csv,AP2024AC05,Andhra Pradesh,Andhra Pradesh,Srikakulam,,Gondu Shankar,Telugu Desam,,"Mandal Parishad President (MPP), Srikakulam Mandal",,Father,,Gondu Jagannadha Rao,AP2024AC05,Father,,Andhra Pradesh,,"Mandal Parishad President (MPP), Srikakulam Mandal",,AP2024AC05,,Unknown,,Unknown,47,60.93,,117091,,,,5,,117091,,,1
Amadalavalasa,,Srikakulam,,11,,KRISHNA RAO (LATE),AC_all_winning_cand.csv,AP2024AC06,Andhra Pradesh,Andhra Pradesh,Amadalavalasa,,Koona Ravi Kumar,Telugu Desam,,"MLA (Multiple terms), Ex-Minister, Speaker of Andhra Pradesh Legislative Assembly",,"Uncle (Bava, wife’s elder brother)",,Thammineni Seetharam,AP2024AC06,"Uncle (Bava, wife’s elder brother)",,Andhra Pradesh,,"MLA (Multiple terms), Ex-Minister, Speaker of Andhra Pradesh Legislative Assembly",,AP2024AC06,,"1983–1985, 1989, 1994, 2019–2024, 2024–present (Various terms)",,"1983–1985, 1989, 1994, 2019–2024, 2024–present (Various terms)",55,55.45,,88003,,,,6,,88003,,,1
,,,,,,,AC_all_winning_cand.csv,AP2024AC07,Andhra Pradesh,Andhra Pradesh,Etcherla,,Nadukuditi Eswara Rao,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,54.59,,112770,,,,7,,112770,,,0
,,,,,,,AC_all_winning_cand.csv,AP2024AC08,Andhra Pradesh,Andhra Pradesh,Narasannapeta,,Baggu Ramanamurthy,Telugu Desam,,,,,,,,,,,,,,,,,,,,56.35,,99951,,,,8,,99951,,,0
,,,,,,LATE APPA RAO,AC_all_winning_cand.csv,AP2024AC09,Andhra Pradesh,Andhra Pradesh,Rajam,,Kondru Murali Mohan,Telugu Desam,,,,,,,,,,,,,SC,,,,,,54,53.48,,94385,,,,9,,94385,,,0
Kotturu,,Srikakulam (now merged into Parvathipuram Manyam),,15,,,AC_all_winning_cand.csv,AP2024AC10,Andhra Pradesh,Andhra Pradesh,Palakonda,,Nimmaka Jaya Krishna,Janasena Party,,"Member of Legislative Assembly (MLA), Telugu Desam Party",,Father,,Nimmaka Gopala Rao,AP2024AC10,Father,,Andhra Pradesh,,"Member of Legislative Assembly (MLA), Telugu Desam Party",ST,AP2024AC10,,"1983-1985, 1989-1994, 1994-1999, 1999-2004",,"1983-1985, 1989-1994, 1994-1999, 1999-2004",,50.69,,75208,,,,10,,75208,,,1
