Age,Constituency Name,District Name,Family ID,Father/Husband Name,Winning Candidate,Name,Party,Pc Name,Political Role,Relation,State,State Name,Type,UID,UID (PC all relatives.csv),if dynasty,Year,Years Held,Electors,Margin,Margin %,No,Turnout,Votes,States
,,,,,Mahavir Tyagi,,Indian National Congress,Dehra Dun Distt Cum Bijnor Distt (NORTH WEST) CUM SAHARANPUR DISTRICT (WEST),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC208,,0,1952,,373627,,,208,0.513,191655,Uttar Pradesh
,,,,,C. Madhav Reddy,,Socialist Party,Adilabad,,,Hyderabad,,GEN,TG1952PC317,,0,1952,,351017,,,317,0.447,156907,Telangana
,,,,,Raghubir Singh,,Indian National Congress,Agra District (EAST),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC227,,0,1952,,376255,,,227,0.416,156403,Uttar Pradesh
,,,,,Achal Singh Seth,,Indian National Congress,Agra District (WEST),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC226,,0,1952,,374135,,,226,0.474,177414,Uttar Pradesh
,,,,,Mavlankar Ganesh Vasudeo,,Indian National Congress,Ahmedabad,,,Bombay,,GEN,MH1952PC60,,0,1952,,727815,,,60,0.499,726462,Maharashtra
,,,,,Vaishya Muldas Bhudardas,,Indian National Congress,Ahmedabad,,,Bombay,,GEN,MH1952PC60,,0,1952,,727815,,,60,0.499,726462,Maharashtra
,,,,,Kanavade Pandharinath Ramchandra,,Indian National Congress,Ahmednagar North,,,Bombay,,GEN,MH1952PC67,,0,1952,,394577,,,67,0.466,184024,Maharashtra
,,,,,Bogavat Uttamchand Ramchand,,Indian National Congress,Ahmednagar South,,,Bombay,,GEN,MH1952PC68,,0,1952,,386878,,,68,0.403,156054,Maharashtra
,,,,,Jawala Prashad,,Indian National Congress,Ajmer North,,,Ajmer,,GEN,RJ1952PC381,,0,1952,,162327,,,381,0.599,97165,Rajasthan
,,,,,Mukat Behari Lal,,Indian National Congress,Ajmer South,,,Ajmer,,GEN,RJ1952PC382,,0,1952,,167157,,,382,0.49,81834,Rajasthan
,,,,,Nardeo Ji,,Indian National Congress,Aligarh District,,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC225,,0,1952,,772202,,,225,0.482,744815,Uttar Pradesh
,,,,,Shri Chand Singhal,,Indian National Congress,Aligarh District,,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC225,,0,1952,,772202,,,225,0.482,744815,Uttar Pradesh
,Unknown,Allahabad,13,,Jawahar Lal Nehru,Motilal Nehru,Indian National Congress,Allahabad Distt (EAST) CUM JAUNPUR DISTT (WEST),President of Indian National Congress,Father,Uttar Pradesh [1947 - 1999],Uttar Pradesh,GEN,UP1952PC254,UP1952PC254,1,1952,"1919, 1928",749750,,,254,0.402,603022,Uttar Pradesh
,Unknown,Allahabad,13,,Masuriya Din,Motilal Nehru,Indian National Congress,Allahabad Distt (EAST) CUM JAUNPUR DISTT (WEST),President of Indian National Congress,Father,Uttar Pradesh [1947 - 1999],Uttar Pradesh,GEN,UP1952PC254,UP1952PC254,1,1952,"1919, 1928",749750,,,254,0.402,603022,Uttar Pradesh
,Unknown,Unknown,25,,Sri Prakasa,Bhagwan Das,Indian National Congress,Allahabad Distt (WEST),"Member, Central Legislative Assembly (nominated); Indian National Congress leader; Social reformer",Father,Uttar Pradesh [1947 - 1999],United Provinces (now Uttar Pradesh),GEN,UP1952PC255,UP1952PC255,1,1952,1910s-1940s,363930,,,255,0.357,129771,Uttar Pradesh
,"Devikulam (1957–1959), Alleppey (1987–1991)","Idukki (Devikulam), Alappuzha (Alleppey)",26,,P. T. Punnose,Rosamma Punnoose,Independent,Alleppey,"Member of Kerala Legislative Assembly; pro tem Speaker; 1st woman pro tem Speaker; pioneer in CPI, leader of Kerala Mahila Sangham",Spouse,Travancore Cochin,Kerala,GEN,KL1952PC374,KL1952PC374,1,1952,"Elected 1957–1959 (Devikulam), 1987–1991 (Alleppey); other political roles 1940s–1980s",349268,,,374,0.789,275409,Kerala
,,,,,Devi Datt,,Indian National Congress,Almora District (NORTH EAST),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC211,,0,1952,,373707,,,211,0.269,100667,Uttar Pradesh
,,,,,Sobha Ram,,Indian National Congress,Alwar,,,Rajasthan,,GEN,RJ1952PC348,,0,1952,,382999,,,348,0.522,199856,Rajasthan
,,,,,Hanmanth Rao Ganeshrao,,Indian National Congress,Ambad,,,Hyderabad,,GEN,TG1952PC314,,0,1952,,381233,,,314,0.382,145667,Telangana
,,,,,Tek Chand,,Indian National Congress,Ambala Simla,,,Punjab,,GEN,PB1952PC193,,0,1952,,365025,,,193,0.548,200028,Punjab
,Amravati,Amravati,32,,Panjabrao Shamrao Deshmukh,Vimalabai Deshmukh,Indian National Congress,Amravati East,"Member of Parliament, Lok Sabha",Spouse,Madhya Pradesh [1947 - 1999],Maharashtra,GEN,MP1952PC111,MP1952PC111,1,1952,1965-1967,357241,,,111,0.62,221630,Madhya Pradesh
,,,,,Krushnarao Gulabrao Deshmukh,,Indian National Congress,Amravati West,,,Madhya Pradesh [1947 - 1999],,GEN,MP1952PC112,,0,1952,,384307,,,112,0.54,207654,Madhya Pradesh
,,,,,Gurmukh Singh Musaffar,,Indian National Congress,Amritsar,,,Punjab,,GEN,PB1952PC207,,0,1952,,360735,,,207,0.5,180439,Punjab
,,,,,Paidi Lakshmayya,,Indian National Congress,Anantapur,,,Madras,,GEN,TN1952PC134,,0,1952,,364429,,,134,0.593,215922,Tamil Nadu
,,,,,U. Muthuramalinga Thevar,,Forward Bloc (Marxist Group),Aruppukottai,,,Madras,,GEN,TN1952PC164,,0,1952,,372858,,,164,0.538,200738,Tamil Nadu
