FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,AP1980PC35,Brother,G. Ganga Reddy,"Member of Parliament, 6th Lok Sabha",1977-1979,Adilabad,Adilabad,Andhra Pradesh
2,KL1980PC17,,,,,,,
3,UP1980PC73,,,,,,,
4,GJ1980PC10,,,,,,,
5,MH1980PC39,,,,,,,
6,RJ1980PC12,,,,,,,
7,UP1980PC27,,,,,,,
8,MH1980PC19,,,,,,,
9,UP1980PC76,Spouse,Raja Chetanraj Singh,"Titular head of Gabhana state, known local political figure; however, no record found of contesting or being elected to official political office such as MLA/MP",Unknown,Unknown,Aligarh,Uttar Pradesh
10,WB1980PC02,,,,,,,
11,KL1980PC15,Spouse,A. K. Gopalan,Member of Parliament (Lok Sabha); Leader of Opposition; Senior Leader of Communist Party of India (Marxist),1952-1977 (Lok Sabha); 1967-1977 (Leader of Opposition),Palghat,Palakkad,Kerala
12,UP1980PC03,Spouse,Renuka Rawat,"Contested Lok Sabha elections (Indian National Congress, Haridwar constituency, 2014 and 2019)","2014, 2019",Haridwar,Haridwar,Uttarakhand
13,RJ1980PC08,,,,,,,
14,AP1980PC09,,,,,,,
15,HR1980PC01,,,,,,,
16,UP1980PC25,Mother,Indira Gandhi,Prime Minister of India,"1966-1977, 1980-1984","Rae Bareli, Medak","Rae Bareli, Medak","Uttar Pradesh, Andhra Pradesh"
17,UP1980PC25,Father,Feroze Gandhi,Member of Parliament (Lok Sabha),1952-1960,"Rae Bareli, Pratapgarh","Rae Bareli, Pratapgarh",Uttar Pradesh
18,UP1980PC25,Brother,Rajiv Gandhi,Prime Minister of India; Member of Parliament (Lok Sabha),"1984-1989 (PM), 1981-1991 (MP)",Amethi,Amethi,Uttar Pradesh
19,UP1980PC25,Wife,Maneka Gandhi,"Member of Parliament (Lok Sabha), Union Minister",1989-2024 (multiple terms),"Pilibhit, Aonla, Sultanpur","Pilibhit, Bareilly, Sultanpur",Uttar Pradesh
20,UP1980PC25,Son,Varun Gandhi,Member of Parliament (Lok Sabha),2009-2024,"Pilibhit, Sultanpur","Pilibhit, Sultanpur",Uttar Pradesh
21,MH1980PC21,,,,,,,
22,GJ1980PC07,Father,N. Parmananddas Ravani,"MLA, Kundla",1972,Kundla,Amreli,Gujarat
23,PB1980PC02,,,,,,,
24,UP1980PC06,Daughter-in-law,Renu Chaudhary,"President, Zila Panchayat",2016,Amroha,Amroha,Uttar Pradesh
25,AP1980PC06,,,,,,,
26,GJ1980PC20,Son,Amit Chavda,"Member of Legislative Assembly, Gujarat; President, Gujarat Pradesh Congress Committee",MLA: 2007–present; GPCC President: 2018–2021,Anklav,Anand,Gujarat
27,GJ1980PC20,Son-in-law,Madhav Singh Solanki,Chief Minister of Gujarat; Member of Parliament (Lok Sabha and Rajya Sabha),"CM: 1976-1977, 1980-1985, 1989-1990; MP (various): 1980–1994",Various,Various,Gujarat
28,AP1980PC25,,,,,,,
29,JK1980PC03,,,,,,,
30,AN1980PC01,Daughter,Anita Mondal,"Contested for Lok Sabha (2014), Trinamool Congress candidate; Councillor in Bidhannagar Municipality, TMC","2014 (Lok Sabha contest), unknown-present (Councillor)",Andaman and Nicobar Islands (for Lok Sabha contest); Bidhannagar Municipality (for Councillor),Unknown,"Andaman & Nicobar Islands (for MP candidate), West Bengal (for Councillor)"
31,UP1980PC11,,,,,,,
32,TN1980PC06,,,,,,,
33,WB1980PC28,,,,,,,
34,BR1980PC22,,,,,,,
35,BR1980PC36,,,,,,,
36,AR1980PC02,Son,Oken Tayeng,"Member of Legislative Assembly, Arunachal Pradesh (Mebo); Legislature Party Leader, People's Party of Arunachal (PPA)",2024–present,Mebo,East Siang,Arunachal Pradesh
37,AR1980PC01,,,,,,,
38,WB1980PC38,,,,,,,
