SourcesID,UID,url
1,NL2023AC01,https://en.wikipedia.org/wiki/Tovihoto_Ayemi
2,NL2023AC01,https://www.oneindia.com/politicians/h-tovihoto-ayemi-72413.html
3,NL2023AC01,https://myneta.info/nagaland2018/candidate.php?candidate_id=5794
4,NL2023AC01,https://prsindia.org/mlatrack/h-tovihoto-ayemi
5,NL2023AC02,https://www.oneindia.com/politicians/moatoshi-longkumer-72419.html
6,NL2023AC02,https://en.wikipedia.org/wiki/Moatoshi_Longkumer
7,NL2023AC02,https://nagaland.gov.in/pages/members-of-nagaland-legislative-assembly
8,NL2023AC02,https://myneta.info/compare_profile.php?group_id=ukgYU2XVzwkpmfjLKyWw
9,NL2023AC02,https://prsindia.org/mlatrack/moatoshi-longkumer
10,NL2023AC03,https://wikibio.in/hekani-jakhalu/
11,NL2023AC03,https://en.wikipedia.org/wiki/Hekani_Jakhalu_Kense
12,NL2023AC03,https://www.wikibiostar.com/profile/hekani-jakhalu/
13,NL2023AC04,https://eci.gov.in/files/file/14875-nagaland-general-legislative-election-2023/
14,NL2023AC04,https://nagalandassembly.nic.in/mla-details?mlaid=35
15,NL2023AC04,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkJLbFQ5NGhTWWRqMjlZWnlmTG1lTkE9PSIsInZhbHVlIjoiYkFiS2szS2hvTE1janJ2N0NWUHZHdz09IiwibWFjIjoiZDc2MGZhZGQwZDBjZGZlNTZhNTBkYzA5Yjk4YTEyYmQ2YWEyNGRjNGY4ZjhlOTQ1ZGVjNmJiMzkzNmI2MGE5ZiJ9/E-2023-18693170.html
16,NL2023AC04,https://www.oneindia.com/politicians/jacob-zhimomi-65777.html
17,NL2023AC05,https://en.wikipedia.org/wiki/Zhaleo_Rio
18,NL2023AC05,https://en.wikipedia.org/wiki/Neiphiu_Rio
19,NL2023AC05,https://electionpandit.com/candidate/zhaleo_rio
20,NL2023AC05,https://www.oneindia.com/politicians/zhaleo-rio-72410.html
21,NL2023AC06,https://www.oneindia.com/politicians/namri-nchang-72420.html
