SourcesID,UID,url
1,AP1998PC35,https://en.wikipedia.org/wiki/Samudrala_Venugopal_Chary
2,AP1998PC35,https://indiapress.org/election/archives/lok12/biodata/12ap35.php
3,AP1998PC35,https://news.desigoogly.com/blog/venugopal-chary-dr-samudrala-biography/
4,AP1998PC35,https://www.thehindu.com/elections/lok-sabha/former-minister-venugopal-chary-former-mlc-d-rajeshwar-rao-join-the-congress/article68071507.ece
5,KL1998PC17,https://en.wikipedia.org/wiki/Chengara_Surendran
6,KL1998PC17,https://www.indiapress.org/election/archives/lok12/biodata/12kl17.php
7,KL1998PC17,https://ml.wikipedia.org/wiki/%E0%B4%9A%E0%B5%86%E0%B4%99%E0%B5%8D%E0%B4%99%E0%B4%B1_%E0%B4%B8%E0%B5%81%E0%B4%B0%E0%B5%87%E0%B4%A8%E0%B5%8D%E0%B4%A6%E0%B5%8D%E0%B4%B0%E0%B5%BB
8,KL1998PC17,https://celebrityborns.com/biography/chengara-surendran/1917
9,KL1998PC17,https://www.hindustantimes.com/elections/lok-sabha/candidates/chengara-surendran-GEKL66643
10,UP1998PC73,https://en.wikipedia.org/wiki/Bhagwan_Shankar_Rawat
11,UP1998PC73,https://indiapress.org/election/archives/lok12/biodata/12up73.php
12,GJ1998PC10,https://en.wikipedia.org/wiki/Harin_Pathak
13,GJ1998PC10,https://grokipedia.com/page/Harin_Pathak
14,GJ1998PC10,https://shuru.co.in/profile/slg-shri-harin-pathak-politician-gujarat-sdrno
15,GJ1998PC10,https://nocorruption.in/politician/harin-pathak/
16,MH1998PC39,https://en.wikipedia.org/wiki/Balasaheb_Vikhe_Patil
17,MH1998PC39,https://www.theperfectvoice.in/post/leading-the-co-operative-movement
18,MH1998PC39,https://ahmednagarlive24.com/politics/balasaheb-vikhe-patil-how-was-balasaheb-vikhe-patils-political-journey-from-zilla-parishad-member-to-mp/
19,RJ1998PC12,https://en.wikipedia.org/wiki/Prabha_Thakur
20,RJ1998PC12,https://indiapress.org/election/archives/lok12/biodata/12rj12.php
21,RJ1998PC12,https://www.wikiwand.com/en/articles/Prabha_Thakur
22,RJ1998PC12,https://www.imeuswe.in/famous-families/Prabha-Thakur
23,RJ1998PC12,https://prsindia.org/mptrack/rajya-sabha/prabhathakur
24,UP1998PC27,https://familyrootapp.com/blog/bahujan-samaj-party-chief-mayawati-family-tree
25,UP1998PC27,https://zeenews.india.com/hindi/india/up-uttarakhand/up-politics/bsp-chief-mayawati-family-members-name-parivar-mein-kaun-kaun-hai/2668124
26,UP1998PC27,https://theweek.in/news/india/2025/01/20/through-her-nephews-mayawati-firms-up-family-hold-on-bsp.html
27,UP1998PC27,https://www.timesnownews.com/india/another-mayawati-nephew-on-political-horizon-after-bsp-chiefs-birthday-26-yr-old-attends-party-meeting-article-117315989
28,UP1998PC27,https://news18.com/politics/bloodlines-over-ballots-decoding-the-dynasty-dilemma-of-mayawati-ilk-9248775.html
29,MH1998PC19,https://en.wikipedia.org/wiki/Prakash_Yashwant_Ambedkar
30,MH1998PC19,https://brambedkar.in/yashwant-ambedkar-sons/
31,MH1998PC19,https://en.wikipedia.org/wiki/Political_families_of_Maharashtra
32,UP1998PC76,https://en.wikipedia.org/wiki/Sheela_Gautam
33,UP1998PC76,https://m.rediff.com/news/1998/feb/16sheela.htm
34,UP1998PC76,https://www.sheelafoam.com/founder
35,WB1998PC02,https://en.wikipedia.org/wiki/Joachim_Baxla
36,WB1998PC02,https://indiapress.org/election/archives/lok12/biodata/12wb02.php
37,WB1998PC02,https://news.desigoogly.com/blog/baxla-joachim-biography/
38,WB1998PC02,https://sansad.in/ls/members/biographyM/49?from=members
39,UP1998PC56,https://en.wikipedia.org/wiki/Murli_Manohar_Joshi
40,UP1998PC56,https://starsunfolded.com/murli-manohar-joshi/
41,UP1998PC56,https://www.elections.in/political-leaders/murli-manohar-joshi.html
42,UP1998PC56,https://indiapress.org/election/archives/lok12/biodata/12up56.php
43,UP1998PC56,https://epaper.hindustantimes.com/Home/ShareArticle?OrgId=141c9c204ad
44,KL1998PC15,https://en.wikipedia.org/wiki/V._M._Sudheeran
45,KL1998PC15,https://wikibio.in/v-m-sudheeran/
46,KL1998PC15,http://www.niyamasabha.org/codes/members/m661.htm
47,UP1998PC03,https://www.jagran.com/uttarakhand/nainital-shashank-rawat-the-new-state-president-of-bjym-will-be-the-face-of-bachi-singh-rawat-political-legacy-23004368.html
48,UP1998PC03,https://bharatdiscovery.org/india/%E0%A4%AC%E0%A4%9A%E0%A5%80_%E0%A4%B8%E0%A4%BF%E0%A4%82%E0%A4%B9_%E0%A4%B0%E0%A4%BE%E0%A4%B5%E0%A4%A4
49,UP1998PC03,https://www.umjb.in/gyankosh/bachi-singh-rawat
50,RJ1998PC08,https://en.wikipedia.org/wiki/Ghasi_Ram_Yadav
51,RJ1998PC08,https://eparlib.sansad.in/bitstream/123456789/755621/1/1016.pdf
52,RJ1998PC08,https://www.electiontak.in/lok-sabha-1998/rajasthan/ghasi-ram-yadav-alwar-results-367532
53,AP1998PC09,https://www.newindianexpress.com/nation/2024/Jun/06/three-time-mp-and-balayogis-son-among-tdp-favourites-for-speakers-post
54,AP1998PC09,https://grokipedia.com/page/G._M._C._Balayogi
55,AP1998PC09,https://en.wikipedia.org/wiki/G._M._C._Balayogi
56,HR1998PC01,https://myneta.info/LokSabha2024/candidate.php?candidate_id=8284
57,HR1998PC01,https://en.wikipedia.org/wiki/Aman_Kumar_Nagra
58,UP1998PC25,https://en.wikipedia.org/wiki/Sanjaya_Sinh
59,UP1998PC25,https://en.wikipedia.org/wiki/Amethi_Assembly_constituency
60,UP1998PC25,https://www.etvbharat.com/hindi/uttar-pradesh/state/amethi/know-political-history-of-amethi-royal-family-sanjay-and-garima-singh/up20220203095824871
61,UP1998PC25,https://en.wikipedia.org/wiki/Ameeta_Singh
62,MH1998PC21,https://thecommunemag.com/the-gavai-family-dynasty-exposing-the-so-called-humble-background-of-chief-justice-br-gavai/
63,MH1998PC21,https://grokipedia.com/page/Rajendra_Gavai
64,MH1998PC21,https://en.wikipedia.org/wiki/R._S._Gavai
65,MH1998PC21,https://www.jansatta.com/jansatta-special/who-was-justice-br-gavai-father-rs-gavai-brother-rajendra-gavai-rahul-gandhi-case/2926121/
66,MH1998PC21,https://news.abplive.com/news/india/who-is-new-cji-br-gavai-key-judgments-article-370-recused-in-rahul-gandhi-case-1772171
67,GJ1998PC07,https://sansad.in/ls/members/biography/393?from=members
68,GJ1998PC07,https://indiapress.org/election/archives/lok12/biodata/12gj07.php
69,GJ1998PC07,https://en.wikipedia.org/wiki/Dileepbhai_Sanghani
70,GJ1998PC07,https://shuru.co.in/profile/slg-shri-dileep-sanghani-politician-gujarat-069l6
71,GJ1998PC07,https://news.desigoogly.com/blog/sanghani-dileep-biography/
72,PB1998PC02,https://en.wikipedia.org/wiki/Daya_Singh_Sodhi
73,PB1998PC02,https://indiapress.org/election/archives/lok12/biodata/12pn02.php
74,PB1998PC02,https://www.wikiwand.com/en/articles/Daya_Singh_Sodhi
75,UP1998PC06,https://www.jagran.com/uttar-pradesh/moradabad-city-byelection-in-amroha-hot-politics-sangeeta-chauhan-said-chetan-family-always-with-the-public-20774792.html
76,UP1998PC06,https://en.wikipedia.org/wiki/Chetan_Chauhan
77,AP1998PC06,https://en.wikipedia.org/wiki/Gudivada_Gurunadha_Rao
78,AP1998PC06,https://studybizz.com/politics/gudivada-amarnath-biography-age-spouse-family-native-political-party-wiki-and-other-details/
79,AP1998PC06,https://english.tupaki.com/latest-news/threegenerationsofleaderselectedtoassemblyseat-1357508
80,AP1998PC06,https://www.newindianexpress.com/states/andhra-pradesh/2024/Apr/22/andhra-pradesh-young-brigade
81,AP1998PC06,https://www.wikiwand.com/en/articles/Gudivada_Amarnath
