FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,BR2025AC01,,,,,,,
2,BR2025AC02,,,,,,,
3,BR2025AC03,,,,,,,
4,BR2025AC04,,,,,,,
5,BR2025AC05,,,,,,,
6,BR2025AC06,,,,,,,
7,BR2025AC07,,,,,,,
8,BR2025AC08,,,,,,,
9,BR2025AC09,Father,Dilip Varma,"Former MLA (Sikta), Contested multiple Assembly elections as Independent and BJP candidate","MLA: 2010-2015, Candidate: 2015, 2020",Sikta,West Champaran,Bihar
10,BR2025AC10,,,,,,,
11,BR2025AC11,,,,,,,
12,BR2025AC12,,,,,,,
13,BR2025AC13,,,,,,,
14,BR2025AC14,Brother,Rajan Tiwari,Former Member of Bihar Legislative Assembly,2000-2005,Govindganj,East Champaran,Bihar
15,BR2025AC15,Father,Kamla Mishra Madhukar,Member of Parliament (Lok Sabha) and Minister in Bihar Government,"Multiple terms (dates approximately 1970s-1980s, specific years require further Election Commission archival verification)",East Champaran (Lok Sabha),East Champaran,Bihar
16,BR2025AC16,,,,,,,
17,BR2025AC17,,,,,,,
18,BR2025AC18,Father,Sitaram Singh,"MP (Sheohar, 2004-2009), Cabinet Minister Bihar, MLA (Madhuban, multiple terms)","1985-2004 (MLA, Minister); 2004-2009 (MP)","Madhuban (Assembly), Sheohar (Parliament)","East Champaran (Assembly), Sheohar (Parliament)",Bihar
19,BR2025AC18,Brother,Rana Ranjit Singh,"AIMIM Candidate (Dhaka Assembly, 2020 & 2025), Contested Lok Sabha (Sheohar, 2019)","Contested 2020, 2025 (Assembly); 2019 (Lok Sabha)","Dhaka (Assembly), Sheohar (Parliament)","East Champaran (Assembly), Sheohar (Parliament)",Bihar
20,BR2025AC19,Father,Yogendra Prasad,Political activist; participant in the Total Revolution movement (JP Movement),1974-1977 (movement years),"None (activist, not elected)",East Champaran,Bihar
21,BR2025AC20,,,,,,,
22,BR2025AC21,,,,,,,
23,BR2025AC22,,,,,,,
24,BR2025AC23,,,,,,,
25,BR2025AC24,,,,,,,
26,BR2025AC25,Husband,Ram Naresh Prasad Yadav,"MLA, Parihar, Bihar; Bharatiya Janata Party",2010-2015,Parihar,Sitamarhi,Bihar
27,BR2025AC26,,,,,,,
28,BR2025AC27,,,,,,,
29,BR2025AC28,,,,,,,
30,BR2025AC29,,,,,,,
31,BR2025AC30,,,,,,,
32,BR2025AC31,Father,Basant Kushwaha (also referred as Basant Kumar),"MLA, Bihar Legislative Assembly","2015 (elected, passed away before taking oath)",Harlakhi,Madhubani,Bihar
33,BR2025AC32,Son,Vibhay Kumar Jha,Contested as a member of Lok Janshakti Party (Ramvilas),Unknown,Unknown,Unknown,Bihar
34,BR2025AC33,,,,,,,
35,BR2025AC34,Father-in-law,Kapil Deo Kamat,"Member of Bihar Legislative Assembly (MLA), Minister of Panchayati Raj, Bihar","MLA: several terms (1990–1995, 2005–2022), Minister: 2015–2022",Babubarhi,Madhubani,Bihar
36,BR2025AC35,Father,Faiyaz Ahmad,"MLA, Bisfi (2010–2015)",2010–2015,Bisfi,Madhubani,Bihar
37,BR2025AC36,,,,,,,
38,BR2025AC37,,,,,,,
39,BR2025AC38,Father,Jagannath Mishra,"Chief Minister of Bihar (3 terms), Union Minister, MLA (Jhanjharpur, 5 terms)","1975-1977, 1980-1983, 1989-1990 (CM); various years as MLA/Union Minister",Jhanjharpur,Madhubani,Bihar
40,BR2025AC38,Uncle,Lalit Narayan Mishra,"Union Railway Minister, MP (Lok Sabha), various Union Cabinet portfolios",1964-1975 (Minister); 1952-1975 (MP),Samastipur (Lok Sabha),Samastipur,Bihar
41,BR2025AC38,Uncle,Rajendra Mishra,"Member, Bihar & Odisha Legislative Council; Member, Constituent Assembly of India; Minister, Bihar Government",1924-1927 (Council); 1937 (Constituent Assembly),Unknown,Unknown,Bihar
42,BR2025AC39,Father-in-law,Dhanik Lal Mandal,"Former Governor of Haryana, Member of Parliament (Lok Sabha), MLA","Multiple terms (MP: 1977–1984, MLA and Governor tenure varied)","Laukaha (MLA), Jhanjharpur (MP)",Madhubani,Bihar/Haryana
43,BR2025AC39,Brother-in-law,Bharat Bhushan Mandal,"MLA, Bihar Legislative Assembly",2020–present,Laukaha,Madhubani,Bihar
44,BR2025AC40,,,,,,,
45,BR2025AC41,,,,,,,
46,BR2025AC42,,,,,,,
47,BR2025AC43,,,,,,,
48,BR2025AC44,,,,,,,
49,BR2025AC45,Spouse,Nutan Singh,Member of Bihar Legislative Council (MLC),2020-2022,Nominated,Unknown,Bihar
50,BR2025AC46,,,,,,,
51,BR2025AC47,,,,,,,
52,BR2025AC48,,,,,,,
53,BR2025AC49,Father,Moidur Rahman,Contested Bihar Assembly Election from Araria (INC),2010,Araria,Araria,Bihar
54,BR2025AC50,,,,,,,
55,BR2025AC51,,,,,,,
56,BR2025AC53,,,,,,,
57,BR2025AC54,,,,,,,
58,BR2025AC55,,,,,,,
59,BR2025AC56,,,,,,,
60,BR2025AC57,,,,,,,
61,BR2025AC58,,,,,,,
62,BR2025AC59,,,,,,,
63,BR2025AC60,Spouse,Janaki Devi,Mukhiya (Head) of Basantpur Chintamani Uskavari Panchayat,2016-Unknown (elected in 2016),Basantpur Chintamani Uskavari Panchayat,Purnia,Bihar
64,BR2025AC61,Husband,Butan Singh (a.k.a. Madhusudan Singh),"District President, Samata Party",Unknown–2000,Not Applicable (District-level party position),Purnia,Bihar
65,BR2025AC63,,,,,,,
66,BR2025AC64,,,,,,,
67,BR2025AC65,,,,,,,
68,BR2025AC66,Husband,Binod Kumar Singh,Member of Bihar Legislative Assembly; Minister in Government of Bihar,2010-2020,Pranpur,Katihar,Bihar
69,BR2025AC67,,,,,,,
70,BR2025AC68,,,,,,,
71,BR2025AC69,Father,Mahesh Paswan,"Former MLA, contested Korha Assembly seat (Bihar)",2010,Korha,Katihar,Bihar
72,BR2025AC70,,,,,,,
73,BR2025AC71,,,,,,,
74,BR2025AC72,,,,,,,
75,BR2025AC73,Father,Anirudh Prasad Yadav,"MLA, Bihar Legislative Assembly",2000-2010,Alamnagar,Madhepura,Bihar
76,BR2025AC73,Brother,Ram Chandra Prasad Yadav,Contested local Panchayat elections,Unknown,Local Panchayat,Madhepura,Bihar
77,BR2025AC74,,,,,,,
78,BR2025AC75,,,,,,,
79,BR2025AC76,,,,,,,
80,BR2025AC77,Father,Late Vishnudev Yadav,Active RJD party worker (not elected or contested any public office),Unknown,Unknown,Unknown,Bihar
81,BR2025AC78,,,,,,,
82,BR2025AC79,Spouse,Swarna Singh,MLA (Member of Bihar Legislative Assembly),2020-2025,Gaura Bauram,Darbhanga,Bihar
83,BR2025AC80,Niece,Pushpam Priya Choudhary,"President, The Plurals Party; Chief Minister candidate in Bihar Assembly Elections 2020","2020–present (as party chief, 2020 as CM candidate)",Contested from Bankipur and Bisfi (lost both in 2020),"Patna, Madhubani",Bihar
84,BR2025AC81,,,,,,,
85,BR2025AC82,,,,,,,
86,BR2025AC83,,,,,,,
87,BR2025AC84,,,,,,,
88,BR2025AC85,,,,,,,
89,BR2025AC86,,,,,,,
90,BR2025AC87,,,,,,,
91,BR2025AC88,Father,Dinesh Prasad Singh,"Member Bihar Legislative Council (MLC), JD(U)","Multiple terms, currently serving (latest publicly confirmed: 2025)",Muzaffarpur Local Authorities,Muzaffarpur,Bihar
92,BR2025AC88,Mother,Veena Devi,"Member of Parliament (MP), Lok Sabha, LJP (Ram Vilas)",2019–present,Vaishali,Vaishali,Bihar
93,BR2025AC89,Husband,Ajay Nishad,"Member of Parliament, Muzaffarpur (Lok Sabha); Contested as Congress candidate in 2024 Lok Sabha polls; Former BJP Bihar State Vice President, National Vice President BJP OBC Morcha","2014-2019, 2019-2024",Muzaffarpur,Muzaffarpur,Bihar
94,BR2025AC89,Father-in-law,Captain Jai Narayan Prasad Nishad,"Member of Parliament, Muzaffarpur (Lok Sabha); Union Minister",Multiple terms between 1996-2009,Muzaffarpur,Muzaffarpur,Bihar
95,BR2025AC90,,,,,,,
96,BR2025AC91,,,,,,,
97,BR2025AC92,Father,Ashok Kumar Chaudhary,"MLA (Member of Legislative Assembly), Sakra (JD(U))",2020-2025,SAKRA,Muzaffarpur,Bihar
98,BR2025AC94,,,,,,,
99,BR2025AC95,,,,,,,
100,BR2025AC96,Father,Brij Kishor Singh,MLA,2010–2015,Baruraj,Muzaffarpur,Bihar
101,BR2025AC97,,,,,,,
102,BR2025AC98,,,,,,,
103,BR2025AC99,,,,,,,
104,BR2025AC100,,,,,,,
105,BR2025AC101,,,,,,,
106,BR2025AC102,Brother,Satish Pandey,"Contested local elections (notably district board posts), often cited alongside Amrendra Kumar Pandey in local political narratives",Unknown,Unknown,Gopalganj,Bihar
107,BR2025AC102,Nephew,Mukesh Pandey,"Chairman, Gopalganj District Board",Approx. 2023–present,Gopalganj District Board,Gopalganj,Bihar
108,BR2025AC103,Father,Chandrika Ram,"Minister, Member of Legislative Assembly (Congress)",Multiple terms (exact years require further archive; active during 1960s-1980s),Unknown,Gopalganj,Bihar
109,BR2025AC103,Brother,Anil Kumar,Member of Legislative Assembly (INC),2015-2020,Bhorey,Gopalganj,Bihar
110,BR2025AC104,,,,,,,
111,BR2025AC105,,,,,,,
112,BR2025AC106,,,,,,,
113,BR2025AC107,,,,,,,
114,BR2025AC108,Father,Mohammad Shahabuddin,"MP (Siwan, Lok Sabha), MLA (Jeeradei, Bihar Assembly)","MP: 1996-2008, MLA: 1990-2004",Siwan (Parliament); Jeeradei (Assembly),Siwan,Bihar
115,BR2025AC108,Mother,Hena Shahab,"Lok Sabha Candidate (Siwan, Independent/RJD)","Contested: 2009, 2014, 2019, 2024",Siwan,Siwan,Bihar
116,BR2025AC109,,,,,,,
117,BR2025AC110,,,,,,,
118,BR2025AC111,Father,Bhumendra Narayan Singh,"MLA (Member of Legislative Assembly), Goriakothi, Bihar (BJP)","Two terms, including 2010",Goriakothi,Siwan,Bihar
119,BR2025AC112,,,,,,,
120,BR2025AC113,,,,,,,
121,BR2025AC114,Father,Prabhunath Singh,Member of Parliament (Lok Sabha) from Maharajganj; MLA from various constituencies in Bihar,"MP: 1998-1999, 2004-2009; MLA: Multiple terms 1985-2015","Maharajganj (Parliament); Mashrakh, Maharajganj, and others (Assembly)",Saran,Bihar
