FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,GA2022AC01,,,,,,,
2,GA2022AC02,,,,,,,
3,GA2022AC03,,,,,,,
4,GA2022AC04,,,,,,,
5,GA2022AC05,Father,Francis D'Souza,"Deputy Chief Minister of Goa, MLA (Mapusa), Councillor, Mayor (Mapusa Municipal Council)","Councillor (1985-2000), Mayor (1998-2000), MLA (1999-2019), Deputy CM (2012-2019)",Mapusa,North Goa,Goa
6,GA2022AC06,Husband,Michael Lobo,"Member, Goa Legislative Assembly; Cabinet Minister; Leader of Opposition",2012–present,Calangute,North Goa,Goa
7,GA2022AC06,Son,Daniel Lobo,"Sarpanch, Parra Panchayat",2025–present,Parra village,North Goa,Goa
8,GA2022AC07,,,,,,,
9,GA2022AC08,Spouse,Delilah Lobo,"Member of Goa Legislative Assembly (MLA), Siolim; Former Sarpanch of Parra",MLA: 2022–present; Sarpanch: dates not specified,Siolim,North Goa,Goa
10,GA2022AC09,,,,,,,
11,GA2022AC10,,,,,,,
12,GA2022AC11,Spouse,Jennifer Monserrate,"Member of the Goa Legislative Assembly (MLA), Cabinet Minister (2019-2022), MLA Taleigao (2012–2022)",2012–2022,Taleigao,North Goa,Goa
13,GA2022AC12,Spouse,Atanasio Monserrate,Member of Goa Legislative Assembly,2002–2022 (various terms),Panjim (previously Taleigao),North Goa,Goa
14,GA2022AC13,Mother,Victoria Fernandes,"MLA, Minister, Deputy Speaker, Goa Legislative Assembly",1994-2012,St. Cruz,North Goa,Goa
15,GA2022AC14,,,,,,,
16,GA2022AC15,,,,,,,
17,GA2022AC16,Brother,Anant Shet,"Speaker, Goa Legislative Assembly; Member of Legislative Assembly (MLA)","2012-2017 (Speaker: 2016–2017, MLA: 2012–2017)",Maem,North Goa,Goa
18,GA2022AC17,Spouse,Sulakshana Sawant,"President, BJP Mahila Morcha (Goa unit)",2019–present,Not Applicable,North Goa,Goa
19,GA2022AC18,Husband,Vishwajit Rane,Cabinet Minister (Health) and Member of the Goa Legislative Assembly (Valpoi),2007–present,Valpoi,North Goa,Goa
20,GA2022AC18,Father-in-law,Pratapsingh Rane,Chief Minister of Goa; Member of the Goa Legislative Assembly (Poriem; earlier Sattari),1972–2022 (MLA); CM for six terms between 1980–2007,Poriem (formerly Sattari),North Goa,Goa
21,GA2022AC19,Father,Pratapsingh Raoji Rane,"Chief Minister of Goa (six terms), MLA (11 consecutive terms, Poriem constituency), Leader of Opposition",1972–2022,Poriem,North Goa,Goa
22,GA2022AC19,Spouse,Deviya Rane,"MLA, contested and won from Poriem constituency (Goa Assembly Elections 2022) on BJP ticket",2022–Present,Poriem,North Goa,Goa
23,GA2022AC20,,,,,,,
