FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,JK2024AC01,,,,,,,
2,JK2024AC02,,,,,,,
3,JK2024AC03,,,,,,,
4,JK2024AC04,Father,Nazir Ahmad Lone,Member of Jammu and Kashmir Legislative Council; Contested MLA,"Unknown (prior to 2002, tenure as MLC)",Lolab,Kupwara,Jammu and Kashmir
5,JK2024AC05,Father,Abdul Gani Lone,"Founder, Jammu and Kashmir People's Conference; Former MLA",1978–2002,Handwara,Kupwara,Jammu and Kashmir
6,JK2024AC05,Brother,Bilal Gani Lone,"Executive Member, Hurriyat Conference (Moderate faction)",2002–Present,Not applicable (Hurriyat Executive role),Kupwara (base),Jammu and Kashmir
7,JK2024AC05,Sister,Shabnam Gani Lone,"Independent Candidate, Lok Sabha Elections; Political Activist",2008 (contested),Kupwara (Lok Sabha constituency),Kupwara,Jammu and Kashmir
8,JK2024AC06,Brother,Engineer Rashid (Sheikh Abdul Rashid),"Member of Parliament (Lok Sabha), former MLA for Langate","MP: 2024–present, MLA: 2008–2019","Baramulla (MP), Langate (MLA)","Kupwara (MLA), Baramulla (MP)",Jammu and Kashmir
9,JK2024AC07,Father,Ghulam Rasool Kar,"Minister in J&K government, President of Jammu and Kashmir Pradesh Congress Committee, Member of Rajya Sabha (nominated in 1984), Member of Lok Sabha (Baramulla constituency, 1996)","Minister: 1965–1971, 1972–1975; JKPCC President: Years unspecified; Rajya Sabha: 1984; Lok Sabha: 1996",Baramulla (for Lok Sabha),Baramulla,Jammu and Kashmir
10,JK2024AC08,Father,Late Mohd Yousuf Dar,Contested Assembly Election (noted as a veteran politician and close associate of Mufti Mohammad Sayeed),Unknown,Unknown,Unknown,Jammu and Kashmir
11,JK2024AC09,Father,Mohammad Shafi Uri,"Former Member of Legislative Assembly (MLA), Former Minister, Former Rajya Sabha MP","Multiple terms (MLA: 1977, 1983, 1996, 2002, 2008, Minister and Rajya Sabha tenure covers various years in 1990s and 2000s)",Uri,Baramula,Jammu and Kashmir
12,JK2024AC10,Uncle,Muzaffar Hussain Baig,"Deputy Chief Minister of Jammu & Kashmir, MP Lok Sabha, MLA Baramulla","2002-2008 (Deputy CM), 2004-2009 (MP Lok Sabha), multiple terms MLA","Baramulla (MLA, MP), others",Baramulla,Jammu and Kashmir
13,JK2024AC11,,,,,,,
14,JK2024AC12,,,,,,,
15,JK2024AC13,,,,,,,
16,JK2024AC14,Father,Mohammad Akbar Lone,"Minister, Speaker of Jammu & Kashmir Legislative Assembly, Member of Parliament (Baramulla)","2002-2018 (Assembly), 2019–present (Parliament)","Sonawari (Assembly), Baramulla (Parliament)","Bandipore (Assembly), Baramulla (Parliament)",Jammu and Kashmir
17,JK2024AC14,Brother,Jalal Akbar Lone,Contested political office; entered politics (2025),2025 (entry into politics),Unknown,Bandipore,Jammu and Kashmir
18,JK2024AC15,,,,,,,
19,JK2024AC16,,,,,,,
