FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,JH2024AC01,,,,,,,
2,JH2024AC02,,,,,,,
3,JH2024AC03,Father,Shibu Soren,"Founder-President of Jharkhand Mukti Morcha, Former Chief Minister of Jharkhand, Member of Parliament (Lok Sabha and Rajya Sabha)",1973–2023 (various terms),Dumka (and others),Dumka,Jharkhand
4,JH2024AC03,Brother,Durga Soren,Member of Jharkhand Legislative Assembly,1995–2005,Jama,Dumka,Jharkhand
5,JH2024AC03,Brother,Basant Soren,Member of Jharkhand Legislative Assembly,2020–present,Dumka,Dumka,Jharkhand
6,JH2024AC03,Sister-in-law,Sita Soren,Member of Jharkhand Legislative Assembly; BJP Lok Sabha and Assembly candidate,2009–2024 (MLA); 2024 (BJP candidate),"Jama ( MLA), Jamtara (2024 contest), Dumka (Lok Sabha 2024 contest)","Jama, Jamtara, Dumka",Jharkhand
7,JH2024AC03,Wife,Kalpana Soren,Member of Jharkhand Legislative Assembly,2024–present,Gandey,Giridih,Jharkhand
8,JH2024AC04,,,,,,,
9,JH2024AC05,Husband,Alamgir Alam,"Member, Jharkhand Legislative Assembly; Former Cabinet Minister, Government of Jharkhand","2000-2009, 2014-2024 (multiple terms), Cabinet Minister (2019-2024)",Pakur,Pakaur,Jharkhand
10,JH2024AC06,,,,,,,
11,JH2024AC07,Father,Nalin Soren,"MLA (Member of Jharkhand Legislative Assembly), Cabinet Minister, Jharkhand Government",2019-2024,Sikaripara,Dumka,Jharkhand
12,JH2024AC08,,,,,,,
13,JH2024AC09,Father,Furqan Ansari,"Member of Legislative Assembly, Member of Parliament (Lok Sabha) for Godda","MLA (dates pre-Jharkhand formation, Bihar period), MP (Godda, 2004–2009, 2009–2014)","Jamtara (MLA), Godda (MP)","Jamtara (MLA), Godda (MP)","Jharkhand (MLA after state creation), Bihar (MLA before 2000), Jharkhand (MP)"
14,JH2024AC10,Father,Shibu Soren,"Chief Minister of Jharkhand (3 terms), Member of Parliament (Lok Sabha & Rajya Sabha)","CM: 2005, 2008–2009, 2009–2010; MP: Multiple terms 1980s–2010s","Dumka (Lok Sabha, Jharkhand); Jama (Vidhan Sabha, Jharkhand)",Dumka,Jharkhand
15,JH2024AC10,Brother,Hemant Soren,"Chief Minister of Jharkhand (2 terms), MLA","2013–2014, 2019–2024","Barhait, Dumka (Assembly)","Sahebganj, Dumka",Jharkhand
16,JH2024AC10,Brother,Durga Soren,MLA,2005–2009 (until death),Jama,Dumka,Jharkhand
17,JH2024AC10,Sister,Anjali Soren (sometimes spelled Anjani Soren),"Politician; active in Odisha and Jharkhand, contested Assembly elections",Unknown,Unknown,Unknown,"Odisha, Jharkhand"
18,JH2024AC10,Sister-in-law,Sita Soren,"MLA (Jama, later BJP candidate), contested Lok Sabha and Assembly elections",MLA: 2009–2024 (won thrice); BJP: Contested 2024 (lost),"Jama, Jamtara","Dumka, Jamtara",Jharkhand
19,JH2024AC10,Sister-in-law,Kalpana Soren,"MLA, JMM leader, contested and won Gandey Assembly byelection",2024–present,Gandey,Giridih,Jharkhand
20,JH2024AC11,,,,,,,
21,JH2024AC12,,,,,,,
22,JH2024AC13,Father,Haji Hussain Ansari,"Cabinet Minister, Government of Jharkhand & MLA, Jharkhand (multiple terms, first Muslim minister of Jharkhand)",1995-2020,Madhupur,Deoghar,Jharkhand
23,JH2024AC14,,,,,,,
24,JH2024AC15,,,,,,,
25,JH2024AC16,,,,,,,
26,JH2024AC17,,,,,,,
27,JH2024AC18,Mother,Pratibha Pandey,"State President, Mahila Congress (Jharkhand); Chairperson, Jharkhand State Social Welfare Board",Unknown,Not Applicable,Not Applicable,Jharkhand
28,JH2024AC18,Father-in-law,Avadh Bihari Singh,"Minister for Rural Development, Government of Bihar (undivided); MLA (Mahagama)",4 terms (exact years not specified),Mahagama,Godda,Bihar/Jharkhand
29,JH2024AC19,,,,,,,
30,JH2024AC20,Father,Chitranjan Yadav,"MLA, Jharkhand Legislative Assembly",2005-2009,Barkattha,Hazaribagh,Jharkhand
31,JH2024AC21,,,,,,,
32,JH2024AC22,Uncle (Mausa),Sudesh Mahto,"MLA, Former Deputy Chief Minister of Jharkhand; President, All Jharkhand Students Union (AJSU)","MLA from 2000 onwards, Deputy CM in multiple governments (2009-2014)",Silli,Ranchi,Jharkhand
33,JH2024AC22,Brother,Chandraprakash Choudhary,"MP (Lok Sabha), Giridih; Former Minister in Jharkhand","MP since 2019, MLA & Minister (2005-2019)",Giridih (Lok Sabha) / Silli (Assembly),Giridih/Ranchi,Jharkhand
34,JH2024AC24,,,,,,,
35,JH2024AC25,,,,,,,
36,JH2024AC26,Father,Upendranath Das,"MLA, Simaria (multiple terms)","1977, 1990, 1995, 2005",Simaria,Chatra,Jharkhand
37,JH2024AC27,,,,,,,
38,JH2024AC28,,,,,,,
39,JH2024AC29,,,,,,,
40,JH2024AC30,Father,Sukar Ravidas,Former MLA,Unknown,Jamua,Giridih,Jharkhand
41,JH2024AC31,Husband,Hemant Soren,"Chief Minister of Jharkhand; MLA, Barhait","2013-2015, 2019-2024 (CM); Multiple terms as MLA",Barhait,Sahebganj,Jharkhand
42,JH2024AC31,Father-in-law,Shibu Soren,"Former Chief Minister of Jharkhand; MP (Lok Sabha); President, Jharkhand Mukti Morcha (JMM)","Multiple terms since 1980s; CM (2005, 2008, 2009–2010)",Dumka (Lok Sabha); Vidhan Sabha seats,Dumka,Jharkhand
43,JH2024AC31,Brother-in-law,Basant Soren,"MLA, Dumka",2020–Present,Dumka,Dumka,Jharkhand
44,JH2024AC31,"Sister-in-law (via brother-in-law, late Durga Soren)",Sita Soren,"MLA, Jama (multiple terms), BJP 2024 candidate for Jamtara",2009–2024,Jama,Dumka,Jharkhand
45,JH2024AC31,Brother-in-law (late),Durga Soren,"Former MLA, Jama",2000–2009 (until his death),Jama,Dumka,Jharkhand
46,JH2024AC32,,,,,,,
47,JH2024AC33,Father,Late Krishna Prasad Mahato,Organizer in Jharkhand statehood movement,Unknown,Unknown,Unknown,Jharkhand
48,JH2024AC34,,,,,,,
49,JH2024AC35,Father,Late Rajendra Prasad Singh,"MLA for Bermo, Cabinet Minister in Jharkhand Government (multiple terms)",1977–2020 (multiple terms),Bermo,Bokaro,Jharkhand
50,JH2024AC35,Brother,Kumar Gaurav,"President, Jharkhand Pradesh Youth Congress; Chairman, Jharkhand State Youth Commission (current)",Unknown–Present,Not applicable (Party/Commission post),Jharkhand,Jharkhand
51,JH2024AC35,Spouse,Anupama Singh,"Congress Lok Sabha Candidate (Dhanbad, 2024)",Contested 2024,Dhanbad,Dhanbad,Jharkhand
52,JH2024AC36,Father-in-law,Samaresh Singh,"MLA, Jharkhand Vidhan Sabha; Cabinet Minister (Science and Technology, Jharkhand)","Multiple terms: e.g., 2000-2009, Minister: 2003-2005",Bokaro,Bokaro,Jharkhand
53,JH2024AC37,,,,,,,
54,JH2024AC38,Father,Anand Mahato,"MLA, Sindri (Jharkhand); Marxist Co-ordination Committee (MCC), later CPI (ML) Liberation","Multiple terms (precise years not specified, most recently up to 2019)",Sindri,Dhanbad,Jharkhand
55,JH2024AC39,Father,LATE GURUDAS CHATTERJEE,"MLA, Nirsa (Jharkhand)","1990s (exact years not fully specified, tenure included multiple terms until death)",Nirsa,Dhanbad,Jharkhand
56,JH2024AC40,,,,,,,
57,JH2024AC41,Husband,Sanjeev Singh,MLA (Member of Legislative Assembly),2014–2019,Jharia,Dhanbad,Jharkhand
58,JH2024AC41,Father-in-law,Suryadeo Singh,MLA (Member of Legislative Assembly),Multiple terms pre-2006 (exact years publicly not specified),Jharia,Dhanbad,Jharkhand
59,JH2024AC41,Sister-in-law,Purnima Niraj Singh,MLA (Member of Legislative Assembly),2019–2024,Jharia,Dhanbad,Jharkhand
60,JH2024AC41,Cousin-in-law,Niraj Singh,Deputy Mayor (Dhanbad Municipal Corporation),Until 2017 (year of assassination),Dhanbad Municipal Corporation,Dhanbad,Jharkhand
61,JH2024AC42,,,,,,,
62,JH2024AC43,Brother,Dulu Mahato,Member of Parliament (Lok Sabha),2019–present,Dhanbad,Dhanbad,Jharkhand
63,JH2024AC44,,,,,,,
64,JH2024AC45,,,,,,,
65,JH2024AC46,,,,,,,
66,JH2024AC47,,,,,,,
67,JH2024AC48,Father-in-law,Raghubar Das,"Chief Minister of Jharkhand (2014-2019), Member of Legislative Assembly (multiple terms – Jamshedpur East), Governor of Odisha (2023–)",Chief Minister: 2014-2019; MLA: 1995-2019; Governor: 2023–,Jamshedpur East,Purbi Singhbhum,Jharkhand
68,JH2024AC49,,,,,,,
69,JH2024AC50,Husband,Sudhir Mahato,"MLA, Deputy Chief Minister of Jharkhand","MLA: 2005-2009, Deputy CM: 2006-2008",Ichagarh,Sarikela-Kharswana,Jharkhand
70,JH2024AC51,Son,Babulal Soren,"Central General Secretary of Jharkhand Mukti Morcha (JMM), later joined BJP",Unknown (active in 2024),Unknown,Unknown,Jharkhand
71,JH2024AC52,,,,,,,
72,JH2024AC53,,,,,,,
73,JH2024AC54,,,,,,,
74,JH2024AC55,Mother,Joba Majhi,"MLA (five terms), Member of Parliament (Lok Sabha)",MLA: Various (at least 2000-2019); MP: 14th Lok Sabha (2004-2009),"Manoharpur (MLA), Singhbhum (MP)",Pashchimi Singhbhum,Jharkhand
75,JH2024AC55,Father,Devendra Majhi,"Former MLA, leader of Singhbhum Jungle Andolan","Unknown (prior to 2007, deceased)",Manoharpur (presumed from context),Pashchimi Singhbhum,Jharkhand
76,JH2024AC56,,,,,,,
77,JH2024AC57,,,,,,,
78,JH2024AC58,Father,Ramesh Singh Munda,"Former Minister, MLA","Unknown (until 2008, murdered while in office)",Tamar,Ranchi,Jharkhand
79,JH2024AC59,,,,,,,
80,JH2024AC60,Uncle,Mahendra Singh Munda,Contested Lok Sabha Election from Khunti on JMM ticket,1989,Khunti,Ranchi,Jharkhand (then Bihar)
81,JH2024AC61,,,,,,,
82,JH2024AC62,,,,,,,
83,JH2024AC63,,,,,,,
84,JH2024AC64,,,,,,,
85,JH2024AC65,,,,,,,
86,JH2024AC66,Father,Bandhu Tirkey,"MLA (Member of Jharkhand Legislative Assembly), Former Minister","2005-2009, 2009-2014, 2019-2022 (MLA Mandar), Minister (dates overlap with MLA tenure)",Mandar,Ranchi,Jharkhand
87,JH2024AC67,,,,,,,
88,JH2024AC68,,,,,,,
89,JH2024AC69,,,,,,,
90,JH2024AC70,,,,,,,
91,JH2024AC71,,,,,,,
92,JH2024AC72,,,,,,,
93,JH2024AC73,,,,,,,
94,JH2024AC74,,,,,,,
95,JH2024AC75,,,,,,,
96,JH2024AC76,,,,,,,
97,JH2024AC77,,,,,,,
98,JH2024AC78,,,,,,,
99,JH2024AC79,,,,,,,
100,JH2024AC80,,,,,,,
101,JH2024AC81,,,,,,,
