FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,KL2021AC01,,,,,,,
2,KL2021AC02,,,,,,,
3,KL2021AC03,,,,,,,
4,KL2021AC04,,,,,,,
5,KL2021AC05,,,,,,,
6,KL2021AC06,,,,,,,
7,KL2021AC07,,,,,,,
8,KL2021AC08,Spouse,P. K. Shyamala,"Chairperson of Anthoor Municipality, Kannur; Kannur District Committee Member of CPI(M)",Current (as of 2024),Anthoor Municipality,Kannur,Kerala
9,KL2021AC09,,,,,,,
10,KL2021AC10,,,,,,,
11,KL2021AC11,,,,,,,
12,KL2021AC12,Son-in-law,P. A. Mohammed Riyas,"Minister for Public Works Department and Tourism, Government of Kerala; Rising CPI(M) leader",2021–present,Beypore,Kozhikode,Kerala
13,KL2021AC13,,,,,,,
14,KL2021AC14,Father,P. R. Kurup,"Minister in Kerala Government (Irrigation and Cooperation Minister 1967-1969, Forest and Transport Minister 1996-1999), MLA multiple terms","1967-1969, 1996-1999, MLA (1957, 1960, 1977, 1982, 1987, 1996)","Peringalam, Koothupramba",Kannur,Kerala
15,KL2021AC15,Spouse,K. Bhaskaran,"Active CPI(M) party worker in Kannur (not elected, but publicly recognized as an active party functionary)",Unknown,Unknown,Kannur,Kerala
16,KL2021AC16,,,,,,,
17,KL2021AC17,,,,,,,
18,KL2021AC18,,,,,,,
19,KL2021AC19,,,,,,,
20,KL2021AC20,Spouse,T. P. Chandrasekharan,"Founder, Revolutionary Marxist Party; Independent Candidate for Vatakara Lok Sabha; Political Activist","2009 (Lok Sabha Candidate), 2008–2012 (RMP Leader)","Vatakara (Lok Sabha, 2009)",Kozhikode,Kerala
21,KL2021AC20,Father,K. K. Madhavan,"President, Onchiyam Grama Panchayat; Communist Organizer",Unknown (Approx. 1980s–2010s),Onchiyam Grama Panchayat,Kozhikode,Kerala
22,KL2021AC21,,,,,,,
23,KL2021AC22,,,,,,,
24,KL2021AC23,,,,,,,
25,KL2021AC24,,,,,,,
26,KL2021AC25,Spouse,Arya Rajendran,Mayor of Thiruvananthapuram Corporation,2020-2023,Thiruvananthapuram Corporation,Thiruvananthapuram,Kerala
27,KL2021AC26,,,,,,,
28,KL2021AC27,,,,,,,
29,KL2021AC28,,,,,,,
30,KL2021AC29,Father-in-law,Pinarayi Vijayan,"Chief Minister of Kerala; previously Member of Kerala Legislative Assembly, Minister for Electricity and Co-operatives, Home Affairs and Vigilance, and Politburo member CPI(M)",Multiple terms (1980s-present); Chief Minister since 2016,Dharmadom (current),Kannur,Kerala
31,KL2021AC29,Relative (Uncle),P. K. Moideenkutty Sahib,"Former President of Kerala Pradesh Congress Committee (KPCC), member of All India Congress Committee (AICC), Freedom fighter, Member of Madras Assembly","1937 (Madras Assembly), KPCC/AICC dates not precisely available",Unknown (Madras Assembly),Unknown,"Madras Presidency (historic), now Kerala"
32,KL2021AC30,,,,,,,
33,KL2021AC31,Father,C. H. Mohammed Koya,"Former Chief Minister of Kerala; Former Speaker, Kerala Legislative Assembly","Chief Minister (1979), Speaker (1960–1961)",Vengara (for MLAs); Kozhikode (for MPs),"Malappuram (Vengara), Kozhikode",Kerala
34,KL2021AC32,,,,,,,
35,KL2021AC33,,,,,,,
36,KL2021AC34,Father,P. Seethi Haji,Member of the Kerala Legislative Assembly and Chief Whip,Unknown,Unknown,Malappuram,Kerala
37,KL2021AC35,Father,P.V. Shoukathali,"Contested Lok Sabha Election (1962), Member of All India Congress Committee (AICC)","1962, Unknown (AICC)",Unknown,Malappuram,Kerala
38,KL2021AC35,Grandfather,Mohammed Haji,"Freedom Fighter, Participated in the Indian independence movement",Unknown,Unknown,Malappuram,Kerala
39,KL2021AC36,,,,,,,
40,KL2021AC37,,,,,,,
41,KL2021AC38,,,,,,,
42,KL2021AC39,Father-in-law,C P Kunjalikutty Keyi,"MLA, Kerala Legislative Assembly",Unknown,Unknown,Unknown,Kerala
43,KL2021AC40,,,,,,,
44,KL2021AC41,Uncle (Father's Cousin),Sayed Hyderali Shihab Thangal,"President, Kerala State Committee, Indian Union Muslim League (IUML)",2009-present,Not applicable (party leadership),Malappuram,Kerala
45,KL2021AC41,Uncle (Father's Cousin),Panakkad Sayed Mohammedali Shihab Thangal,"President, Kerala State Committee, Indian Union Muslim League (IUML)",1973-2009,Not applicable (party leadership),Malappuram,Kerala
46,KL2021AC42,,,,,,,
47,KL2021AC43,,,,,,,
48,KL2021AC44,,,,,,,
49,KL2021AC45,,,,,,,
50,KL2021AC46,Father,K K S Thangal,"MLA, Kerala Legislative Assembly (IUML)",Unknown,Unknown,Unknown,Kerala
51,KL2021AC47,,,,,,,
52,KL2021AC48,,,,,,,
53,KL2021AC49,Spouse,R. Ninitha,"Former Chairperson of Calicut University Students Union, Former member of the Central Secretariat of Students’ Federation of India (SFI); she has not held elected public office above university/student level","Chairperson (Year Unknown), SFI Secretariat Member (Year Unknown)",Calicut University Students Union,Malappuram,Kerala
54,KL2021AC50,,,,,,,
55,KL2021AC51,,,,,,,
56,KL2021AC52,,,,,,,
57,KL2021AC53,,,,,,,
58,KL2021AC54,,,,,,,
59,KL2021AC55,,,,,,,
60,KL2021AC56,,,,,,,
61,KL2021AC57,,,,,,,
62,KL2021AC58,,,,,,,
63,KL2021AC59,,,,,,,
64,KL2021AC60,,,,,,,
65,KL2021AC61,,,,,,,
66,KL2021AC62,,,,,,,
67,KL2021AC63,,,,,,,
68,KL2021AC64,Father,T. Raghavan Nair,Freedom fighter; no evidence of holding or contesting an elected political office,Unknown,None,Unknown,Kerala
69,KL2021AC65,,,,,,,
70,KL2021AC66,,,,,,,
71,KL2021AC67,,,,,,,
72,KL2021AC68,,,,,,,
73,KL2021AC69,,,,,,,
74,KL2021AC70,Spouse,A. Vijayaraghavan,"Member of Parliament (Lok Sabha and Rajya Sabha), Former Secretary of CPI(M) Kerala State Committee, LDF Convenor","Lok Sabha MP: 1989–1996, Rajya Sabha MP: 2007–2013, CPI(M) Secretary: 2018–2022","Palakkad (Lok Sabha), Rajya Sabha (Kerala)",Palakkad (Lok Sabha),Kerala
75,KL2021AC71,,,,,,,
76,KL2021AC72,,,,,,,
77,KL2021AC73,Father,V.K. Rajan,"Member of Kerala Legislative Assembly, Minister for Agriculture",Four terms in Assembly; Minister for Agriculture (1980–1982),Kodungallur,Thrissur,Kerala
78,KL2021AC74,,,,,,,
79,KL2021AC75,,,,,,,
80,KL2021AC76,,,,,,,
81,KL2021AC77,,,,,,,
82,KL2021AC78,,,,,,,
83,KL2021AC79,,,,,,,
84,KL2021AC80,,,,,,,
85,KL2021AC81,,,,,,,
86,KL2021AC82,,,,,,,
87,KL2021AC83,Spouse,Uma Thomas,"Member of Legislative Assembly (MLA), Thrikkakara",2022–Present,Thrikkakara,Ernakulam,Kerala
88,KL2021AC84,Father-in-law,K. G. Balakrishnan,"Chairperson, National Human Rights Commission of India; Former Chief Justice of India (CJI), considered a political appointee for NHRC role",NHRC Chairperson: 2010–2015; CJI: 2007–2010,N/A,N/A,India (NHRC is national position)
89,KL2021AC85,Father,T. M. Jacob,Minister for Food and Civil Supplies of Kerala; MLA for Piravom and earlier constituencies; Founder of Kerala Congress (Jacob),Multiple terms between 1977-2011,Piravom; earlier Piravom and other constituencies,Ernakulam (Piravom),Kerala
90,KL2021AC87,,,,,,,
91,KL2021AC88,,,,,,,
92,KL2021AC89,,,,,,,
93,KL2021AC90,Son,Appu John Joseph,"State Chief Coordinator, Kerala Congress (Joseph) faction; Member, High Power Committee; active in party leadership and prospective assembly candidate","2025–present (Coordinator, leadership role); possible 2026 election candidate",Unknown (Has not yet contested an election as of Jan 2026),Idukki (party stronghold),Kerala
94,KL2021AC91,,,,,,,
95,KL2021AC92,Son,Adv. Sobin Soman,CPI Idukki District Council member,Unknown,Unknown,Idukki,Kerala
96,KL2021AC93,Father,Cherian J. Kappan,"Member of Parliament (Lok Sabha), Muvattupuzha",1962-1967,Muvattupuzha,"Ernakulam (historical, includes parts of present Kottayam)",Kerala
97,KL2021AC94,Daughter,Marina Mons,KSC (Kerala Students Congress) State Secretariat Member; Contested college union elections and won under KSC panel; Active in campaign and local party outreach,2024–present (KSC state role),Not applicable/Student politics,Kottayam (for campaign involvement),Kerala
98,KL2021AC95,,,,,,,
99,KL2021AC96,,,,,,,
100,KL2021AC97,,,,,,,
101,KL2021AC98,Son,Chandy Oommen,"Member of Kerala Legislative Assembly, Chairman of National Outreach Cell (Indian Youth Congress)","2023–present (MLA); 2022–2024 (Chairman, National Outreach Cell)",Puthuppally,Kottayam,Kerala
102,KL2021AC99,,,,,,,
103,KL2021AC100,Father,K. Narayana Kurup,"Former Minister (Transport), Former Deputy Speaker, Kerala Legislative Assembly, Multiple-time MLA (Kerala Congress founder-leader)",1965-1996 (various terms),"Vazhoor, Changanassery, Peerumade (various terms)","Kottayam, Idukki",Kerala
104,KL2021AC101,,,,,,,
105,KL2021AC102,,,,,,,
106,KL2021AC103,Father,G. Parameswaran Nair,"AITUC leader, CPI Alappuzha District Council Member",Unknown,Not applicable,Alappuzha,Kerala
107,KL2021AC104,,,,,,,
108,KL2021AC105,,,,,,,
109,KL2021AC106,Brother,Thomas Chandy,"Member of Kerala Legislative Assembly, Minister for Transport, NCP Kerala State President",2006-2019,Kuttanad,Alappuzha,Kerala
110,KL2021AC107,Mother,N. Devakiamma,"Member, Chennithala-Thripperunthura Panchayat",1981-1986,Chennithala-Thripperunthura Panchayat 10th Ward,Alappuzha,Kerala
111,KL2021AC108,,,,,,,
112,KL2021AC109,,,,,,,
113,KL2021AC110,,,,,,,
114,KL2021AC111,,,,,,,
115,KL2021AC112,,,,,,,
116,KL2021AC113,Mother,Rosamma Kuriakose,Pathanamthitta Corporation Councillor,Unknown,Unknown,Pathanamthitta,Kerala
117,KL2021AC114,,,,,,,
118,KL2021AC115,,,,,,,
119,KL2021AC116,Father,C. A. Rajasekharan,"CPI Worker (Communist Party of India), local-level political activity",Unknown,Unknown,Kollam,Kerala
120,KL2021AC116,Brother,C. R. Manoj,"Assistant Local Secretary, CPI Thazhava Committee",Until 4 August 2021 (deceased),Thazhava (local committee),Kollam,Kerala
121,KL2021AC116,Grandfather,Kaithavana Appukkuttan Pillai,Active communist party worker; participated in Vallikunnam Meni Samaram for labor rights,Unknown,Unknown,Kollam,Kerala
122,KL2021AC117,Father,N. Vijayan Pillai,Member of Kerala Legislative Assembly (MLA),2016-2020,Chavara,Kollam,Kerala
123,KL2021AC117,Grandfather,V. Narayanan Pillai,"RSP Leader, held panchayat and local leadership posts",Unknown,Unknown,Kollam,Kerala
124,KL2021AC118,Half-brother,Ullas Kovoor,"Candidate for Kerala Legislative Assembly, RSP","2016, 2021 (contested)",Kunnathur,Kollam,Kerala
125,KL2021AC119,Brother,Dr. K.N. Harilal,"Chairman, 7th State Finance Commission (Kerala) (appointed position, not elected; high-level public office often considered a political appointment in Kerala)",2023-present,N/A,N/A,Kerala
126,KL2021AC120,Father,R. Balakrishna Pillai,"Former MLA, MP, Minister; Founder of Kerala Congress (B)",Multiple terms between 1960s–2006,Kottarakara (among others),Kollam,Kerala
127,KL2021AC121,Father,P. K. Sreenivasan,Member of Kerala Legislative Assembly (MLA),Multiple terms until 1996,Punalur,Kollam,Kerala
128,KL2021AC122,Husband,D. Sukeshan,"CPI Anchalummoodu Mandalam Secretary, District Secretary of Library Council (positions within CPI district politics, not elected office)",Unknown (as of at least 2021),Not applicable (not elected office),Kollam,Kerala
129,KL2021AC123,,,,,,,
130,KL2021AC124,Father,O. Madhavan,"Member, Communist Party of India (Marxist); Social Activist; Noted Theatre Personality—publicly associated with leftist political movements but did not hold an elected office",N/A,N/A,N/A,Kerala
131,KL2021AC125,,,,,,,
132,KL2021AC126,Father,S. Gopalakrishna Pillai,"Vice President, Kalluvathukkal Panchayat, Communist Party constituency leader",Unknown,Kalluvathukkal Panchayat,Kollam,Kerala
133,KL2021AC127,,,,,,,
134,KL2021AC128,,,,,,,
135,KL2021AC129,,,,,,,
136,KL2021AC130,Spouse,Dr. R. Latha Devi,"Member of Kerala Legislative Assembly (MLA), Contested District Panchayat Election (2021)","1996-2001 (MLA), 2021 (District Panchayat Candidate)",Chadayamangalam,Kollam,Kerala
137,KL2021AC131,,,,,,,
138,KL2021AC132,,,,,,,
139,KL2021AC133,,,,,,,
140,KL2021AC134,,,,,,,
141,KL2021AC135,Spouse,R. Parvathi Devi,"Former Member, Kerala Public Service Commission (P.S.C.)",Unknown,Not applicable (Nominee post),Statewide service,Kerala
142,KL2021AC135,Father-in-law,P. Govinda Pillai,"Marxist ideologue, CPI(M) leader, Former Editor of 'Deshabhimani' (official party organ), Member Communist Party of India (Marxist) State Committee",Various - active from 1950s through 2012,"Not applicable (Organizational leader, not elected as MLA/MP)",Statewide influence (Kerala),Kerala
143,KL2021AC136,,,,,,,
144,KL2021AC137,,,,,,,
145,KL2021AC138,,,,,,,
146,KL2021AC139,,,,,,,
147,KL2021AC140,,,,,,,
