FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,MH2024AC01,,,,,,,
2,MH2024AC02,Father,Udesingh Kocharu Padvi,Member of Maharashtra Legislative Assembly (MLA),Unknown-2019,Shahada,Nandurbar,Maharashtra
3,MH2024AC03,Daughter,Dr. Heena Vijaykumar Gavit,"Member of Parliament, Lok Sabha (2014–2024), Independent candidate in 2024 from Akkalkuwa","2014–2024 (MP), 2024 (Contested as Independent)","Nandurbar (earlier as MP), Akkalkuwa (2024 independent contestant)",Nandurbar,Maharashtra
4,MH2024AC03,Brother,Rajendrakumar Krushanrao Gavit,"Congress candidate, MLA candidate for Shahada assembly constituency in 2024, previously BJP State Vice President",2024 (Contested for MLA),Shahada,Nandurbar,Maharashtra
5,MH2024AC03,Brother,Sharad Krushanrao Gavit,"Independent candidate for Navapur assembly constituency (2024), Samajwadi Party candidate in 2009 (defeated Congress' Surupsingh Naik)","2009, 2024 (Contested for MLA)",Navapur,Nandurbar,Maharashtra
6,MH2024AC04,Father,Surupsing Hirya Naik,Member of Maharashtra Legislative Assembly (MLA),Preceding 2019,Nawapur,Nandurbar,Maharashtra
7,MH2024AC05,,,,,,,
8,MH2024AC06,,,,,,,
9,MH2024AC07,,,,,,,
10,MH2024AC08,Grandfather,Sahakar Maharshi Dadasaheb Rawal,Member of Legislative Assembly (MLA),1952,Unknown,Dhule,Maharashtra
11,MH2024AC09,,,,,,,
12,MH2024AC10,Spouse,Latabai Chandrakant Sonawane,"MLA, Maharashtra Legislative Assembly",2019–2024,Chopda,Jalgaon,Maharashtra
13,MH2024AC11,Father,Haribhau Madhav Jawale,"Member of Parliament (Lok Sabha, Raver); Member of Maharashtra Legislative Assembly (Raver)",MP: 2014-2019; MLA: Various terms prior to MP tenure (details subject to constituency records),Raver,Jalgaon,Maharashtra
14,MH2024AC12,,,,,,,
15,MH2024AC13,Son,Vishal Bhole,"Corporator (Nagar Sevak), Jalgaon Municipal Corporation",2026–present,Ward No. 7,Jalgaon,Maharashtra
16,MH2024AC13,Spouse,Seema Bhole,"Corporator (Nagar Sevak), Jalgaon Municipal Corporation",Approximately 2006–2026,Ward No. 7,Jalgaon,Maharashtra
17,MH2024AC14,,,,,,,
18,MH2024AC15,,,,,,,
19,MH2024AC16,Father,Chimanrao Rupchand Patil,"Member of Maharashtra Legislative Assembly (MLA), Erandol (2019–2024), MLA Parola (1999), MLA Erandol (2009)","1999, 2009, 2019–2024","Erandol, Parola",Jalgaon,Maharashtra
20,MH2024AC17,,,,,,,
21,MH2024AC18,Uncle,Tatyasaheb R. O. Patil,"MLA, Shiv Sena","1999-2004, 2004-2009",Pachora,Jalgaon,Maharashtra
22,MH2024AC18,Cousin,Vaishali Suryavanshi,"Contested (Declared/Active) MLA Candidate, Shiv Sena (UBT)",2024,Pachora,Jalgaon,Maharashtra
23,MH2024AC19,Father,Dattatray Bhika Mahajan,"MLA, Maharashtra Legislative Assembly",Prior to 1995,Jamner,Jalgaon,Maharashtra
24,MH2024AC20,,,,,,,
