FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,MN2022AC01,Father,Thokchom Navakumar Singh,Former Member of the Manipur Legislative Assembly,Unknown,Khundrakpam,Imphal East,Manipur
2,MN2022AC02,Son-in-law,R.K. Imo Singh,"MLA, Manipur Legislative Assembly; Former Congress, now BJP",2012-present,Sagolband,Imphal West,Manipur
3,MN2022AC02,Father-in-law (via Son-in-law),Rajkumar Jaichandra Singh,Chief Minister of Manipur (1986-1988); Union Minister of Sports & Youth Affairs,"Chief Minister (1986-1988), Union Minister (1985-1986)",Thangmeiband (CM); Lok Sabha (Union Minister),Imphal West,Manipur
4,MN2022AC03,,,,,,,
5,MN2022AC04,,,,,,,
6,MN2022AC05,,,,,,,
7,MN2022AC06,,,,,,,
8,MN2022AC07,,,,,,,
9,MN2022AC08,,,,,,,
10,MN2022AC09,,,,,,,
11,MN2022AC10,,,,,,,
12,MN2022AC11,Father,Rajkumar Jaichandra Singh,Chief Minister of Manipur; Union Minister of State for Sports and Youth Affairs,Chief Minister: 1988-1990; Union Minister: 1986-1988,Unknown,Unknown,Manipur
13,MN2022AC11,Grandfather,R.K. Birchandra Singh,First President of Manipur Pradesh Congress Committee,Unknown,Unknown,Unknown,Manipur
14,MN2022AC11,Father-in-law,Nongthombam Biren Singh,Chief Minister of Manipur; Member of Manipur Legislative Assembly,Chief Minister: 2017–present; MLA: 2002–present,Heingang,Imphal East,Manipur
15,MN2022AC12,,,,,,,
16,MN2022AC13,,,,,,,
17,MN2022AC14,,,,,,,
18,MN2022AC15,,,,,,,
19,MN2022AC16,,,,,,,
20,MN2022AC17,,,,,,,
21,MN2022AC18,,,,,,,
22,MN2022AC19,,,,,,,
23,MN2022AC20,,,,,,,
24,MN2022AC21,,,,,,,
25,MN2022AC22,,,,,,,
26,MN2022AC23,,,,,,,
27,MN2022AC24,Father,Thounaojam Chaoba Singh,"Five-time MLA, Union Minister of State for Sports and Youth Affairs, MP Lok Sabha (Inner Manipur)","1972–2004 (various terms as MLA, MP 1999–2004, MoS 1999–2004)","Nambol (Manipur Legislative Assembly), Inner Manipur (Lok Sabha)",Bishnupur,Manipur
28,MN2022AC24,Spouse,Dr. Romabai Lairenjam,Elected Chairperson of Bishnupur Panchayat,Unknown,Bishnupur Panchayat,Bishnupur,Manipur
29,MN2022AC25,Spouse,Irengbam Ibohalbi Singh,"MLA, Manipur Legislative Assembly",2007-2017,Oinam,Bishnupur,Manipur
30,MN2022AC26,,,,,,,
31,MN2022AC27,,,,,,,
32,MN2022AC28,Unknown,Tongbram Mangibabu Singh,"MLA, Indian National Congress",2007-2017,Thanga,Bishnupur,Manipur
33,MN2022AC29,,,,,,,
34,MN2022AC30,,,,,,,
35,MN2022AC31,Spouse,L. Landhoni Devi,"MLA, Manipur Legislative Assembly",2007-2017,Khangabok,Thoubal,Manipur
36,MN2022AC31,Nephew,Okram Henry Singh,"MLA, Manipur Legislative Assembly",2020,Wangkhei,Imphal East,Manipur
37,MN2022AC31,Son,Surajkumar Okram,"Contested MLA, Manipur Legislative Assembly",2022,Khangabok,Thoubal,Manipur
38,MN2022AC32,,,,,,,
39,MN2022AC33,,,,,,,
40,MN2022AC34,,,,,,,
41,MN2022AC35,Father,Okram Ibobi Singh,"Chief Minister of Manipur, Member of Manipur Legislative Assembly","2002–2017 (CM), MLA (multiple terms since 1984)",Thoubal,Thoubal,Manipur
42,MN2022AC35,Mother,Okram Landhoni Devi,Member of Manipur Legislative Assembly,2007–2017,Khangabok,Thoubal,Manipur
43,MN2022AC36,,,,,,,
44,MN2022AC37,,,,,,,
45,MN2022AC38,,,,,,,
46,MN2022AC39,,,,,,,
47,MN2022AC41,,,,,,,
48,MN2022AC42,,,,,,,
49,MN2022AC43,,,,,,,
50,MN2022AC44,,,,,,,
51,MN2022AC45,,,,,,,
52,MN2022AC46,Father,Ngamthang Haokip,"MLA (Member of Legislative Assembly, BJP), Minister",Multiple terms (most recently 2017-2022),Saitu,Kangpokpi,Manipur
53,MN2022AC47,,,,,,,
54,MN2022AC48,,,,,,,
55,MN2022AC49,,,,,,,
56,MN2022AC50,Spouse,S.T. Thangboi Kipgen,"President, Kuki National Front (a militant group engaged in talks and Suspension of Operations agreement with Government of India since 2008, involved in political negotiations but not holding an elected office)",2008-present,Unknown,Unknown,Manipur
57,MN2022AC50,Uncle,Thangminlen Kipgen,Four-time legislator,Unknown,Unknown,Senapati,Manipur
58,MN2022AC52,,,,,,,
59,MN2022AC53,,,,,,,
60,MN2022AC54,Spouse,Hannah Kahmei,"Manipur Civil Services (MCS) Officer, 2007 batch",Unknown,Unknown,Unknown,Manipur
61,MN2022AC55,Father,Ngurdinglien Sanate,"Member of Legislative Assembly, Cabinet Minister, Deputy Speaker",1968-1984,Tipaimukh (also briefly Churachandpur AC in 1968 By-Election),Churachandpur / Pherzawl,Manipur
62,MN2022AC57,,,,,,,
63,MN2022AC58,,,,,,,
64,MN2022AC59,,,,,,,
65,MN2022AC60,,,,,,,
