FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,PY2021AC01,,,,,,,
2,PY2021AC02,,,,,,,
3,PY2021AC03,,,,,,,
4,PY2021AC04,,,,,,,
5,PY2021AC05,,,,,,,
6,PY2021AC06,,,,,,,
7,PY2021AC07,,,,,,,
8,PY2021AC08,,,,,,,
9,PY2021AC09,,,,,,,
10,PY2021AC10,Son,Richard Johnkumar,"Member of Legislative Assembly, Puducherry",2021-present,Nellithope,Puducherry,Puducherry
11,PY2021AC11,,,,,,,
12,PY2021AC12,,,,,,,
13,PY2021AC13,,,,,,,
14,PY2021AC14,,,,,,,
15,PY2021AC15,,,,,,,
16,PY2021AC16,,,,,,,
17,PY2021AC17,Father,A. Johnkumar,"Member of Legislative Assembly, Cabinet Minister (2025–present), Former Parliamentary Secretary to Puducherry Chief Minister, MLA, Special Representative of Puducherry administration",2016–present,"Nellithope (2016), Kamaraj Nagar (2019, 2021)",Puducherry,Puducherry
18,PY2021AC18,,,,,,,
19,PY2021AC19,,,,,,,
20,PY2021AC20,,,,,,,
21,PY2021AC21,,,,,,,
22,PY2021AC22,,,,,,,
23,PY2021AC23,,,,,,,
24,PY2021AC24,Father,M. Chandirakasu,"Agriculture Minister; MLA, Puducherry Legislative Assembly",Multiple terms (including 2011–2016),Nedungadu,Karaikal,Puducherry
25,PY2021AC25,,,,,,,
26,PY2021AC26,Father,P. R. Nalamaharajan,"MLA, Congress",Unknown,Cottuchery,Karaikal,Pondicherry
27,PY2021AC27,,,,,,,
28,PY2021AC28,,,,,,,
29,PY2021AC29,,,,,,,
30,PY2021AC30,Father,Gollapalli Gangadhara Prathap,"BJP candidate, Yanam (contested but not elected)",Contested in 2000 (By-election) and 2001 Assembly Election,Yanam,Yanam,Puducherry
