FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,TN2021AC01,,,,,,,
2,TN2021AC02,,,,,,,
3,TN2021AC03,,,,,,,
4,TN2021AC04,,,,,,,
5,TN2021AC05,,,,,,,
6,TN2021AC06,,,,,,,
7,TN2021AC07,,,,,,,
8,TN2021AC08,,,,,,,
9,TN2021AC09,,,,,,,
10,TN2021AC10,Brother,K.P.P. Samy,"Member of Tamil Nadu Legislative Assembly (MLA), Thiruvottiyur","2006-2011, 2016-2020",Thiruvottiyur,Thiruvallur,Tamil Nadu
11,TN2021AC11,,,,,,,
12,TN2021AC12,,,,,,,
13,TN2021AC13,Father,M. Karunanidhi,Chief Minister of Tamil Nadu,"1969-71, 1971-76, 1989-91, 1996-2001, 2006-2011",Unknown,Unknown,Tamil Nadu
14,TN2021AC13,Brother,M.K. Alagiri,Union Minister of Chemicals and Fertilizers,2009-2014,Madurai,Madurai,Tamil Nadu
15,TN2021AC13,Sister,Kanimozhi Karunanidhi,"Member of Parliament, Lok Sabha",2009-present,Tuticorin (Thoothukudi),Thoothukudi,Tamil Nadu
16,TN2021AC13,Nephew,Dayanidhi Maran,Union Minister for Communications & Information Technology; Minister of Textiles,2004-07; 2009-11,Chennai Central,Chennai,Tamil Nadu
17,TN2021AC13,Son,Udhayanidhi Stalin,Member of Legislative Assembly; Minister for Youth Welfare and Sports Development; Deputy Chief Minister,2021-present; Deputy CM since 2024,Chepauk-Thiruvallikeni,Chennai,Tamil Nadu
18,TN2021AC14,Grandfather,K. Anbazhagan,"Finance Minister of Tamil Nadu, General Secretary of DMK, MLA (multiple terms)",1962-2011 (various terms and offices),"Purasaiwalkam, Villivakkam, Egmore, Harbour, Chepauk, and others (various years)",Chennai,Tamil Nadu
19,TN2021AC15,,,,,,,
20,TN2021AC16,,,,,,,
21,TN2021AC17,,,,,,,
22,TN2021AC18,,,,,,,
23,TN2021AC19,Father,M. K. Stalin,"Chief Minister of Tamil Nadu, President of Dravida Munnetra Kazhagam (DMK)","2021–present (CM), 2018–present (party president)",Kolathur (Assembly); various others in previous elections,Chennai,Tamil Nadu
24,TN2021AC19,Grandfather,M. Karunanidhi,"Former Chief Minister of Tamil Nadu, President of Dravida Munnetra Kazhagam (DMK)","1969–2011 (multiple terms as CM), 1969–2018 (party president)","Tiruvarur, Chepauk, Saidapet and others (over his career)","Chennai, Tiruvarur, others",Tamil Nadu
25,TN2021AC19,Uncle,M. K. Alagiri,"Former Union Minister of Chemicals and Fertilizers, DMK South Zone Organiser",2009–2014 (MP and Minister),Madurai (Lok Sabha),Madurai,Tamil Nadu
26,TN2021AC19,Cousin,Dayanidhi Maran,"MP, Union Minister for Communications and IT (former)","2004–2007 (Minister), MP (multiple terms - 2004–2009, 2009–2014, 2019–present)",Chennai Central (Lok Sabha),Chennai,Tamil Nadu
27,TN2021AC19,Cousin,Kanimozhi Karunanidhi,"MP, DMK Deputy General Secretary, Parliamentarian in Rajya Sabha and Lok Sabha","2007–2019 (Rajya Sabha), 2019–present (Lok Sabha)",Thoothukkudi (Lok Sabha),Thoothukkudi,Tamil Nadu
28,TN2021AC19,Uncle,M. K. Muthu,Contested Assembly elections as DMK candidate (unsuccessful); involved in politics,"1970s (party involvement), 2009 (contested election)",Anna Nagar (contested 2009 bypoll),Chennai,Tamil Nadu
29,TN2021AC20,Father,M. Naganathan,"Vice-Chairman, Tamil Nadu State Planning Commission",2006-2011,Not applicable,State-level role,Tamil Nadu
30,TN2021AC21,Father,Mannar Kothandapani,Councillor for Aminjikarai,Unknown (served over ten years),Aminjikarai,Chennai,Tamil Nadu
31,TN2021AC22,Father,A. M. Vikrama Raja,"President, Tamil Nadu Vanigar Sangangalin Peramaippu (statewide traders' federation); prominent leader and public representative in state-level trade and business circles, often engaged in policy discussions and known for lobbying with the Government of Tamil Nadu","Multiple terms (exact years not publicly specified, but prominent from at least 2015 to present)","Not applicable (association/federation role, not elected MLA/MP, but recognized as a political actor through strong public advocacy and political negotiations at the state level)",Statewide/Tamil Nadu,Tamil Nadu
32,TN2021AC23,,,,,,,
33,TN2021AC24,Brother,J. Anbazhagan,Member of Tamil Nadu Legislative Assembly,"2001–2006, 2011–2020","Theagaraya Nagar (2001–2006), Chepauk-Thiruvallikeni (2011–2020)",Chennai,Tamil Nadu
34,TN2021AC25,,,,,,,
35,TN2021AC26,Father,J. M. Aaroon Rashid,Member of Parliament (Lok Sabha) for Theni,"2004–2009, 2009–2014",Theni,Theni,Tamil Nadu
36,TN2021AC27,,,,,,,
37,TN2021AC28,,,,,,,
38,TN2021AC29,,,,,,,
39,TN2021AC30,,,,,,,
40,TN2021AC31,,,,,,,
41,TN2021AC32,,,,,,,
42,TN2021AC33,Grandfather,C. V. M. Annamalai,DMK Minister and Member of the Legislative Assembly,Unknown,Unknown,Unknown,Tamil Nadu
43,TN2021AC34,,,,,,,
44,TN2021AC35,,,,,,,
45,TN2021AC36,,,,,,,
46,TN2021AC37,,,,,,,
47,TN2021AC38,,,,,,,
48,TN2021AC39,Brother,A. M. Ponnuranga Mudaliyar,"Member of the Legislative Assembly (MLA), Tamil Nadu","Multiple terms (specific years not fully listed, but prominently active 1962 onwards)",Sholinghur,Vellore,Tamil Nadu
49,TN2021AC39,Brother,A. M. Krishnamurthy,Contested Assembly Elections (Runner-up or candidate in multiple elections),1962-2011 (various terms; role as runner-up/candidate),Sholinghur,Vellore,Tamil Nadu
50,TN2021AC40,Son,D. M. Kathir Anand,Member of Parliament (Lok Sabha),2019–present,Vellore,Vellore,Tamil Nadu
51,TN2021AC41,Son,Vinoth Gandhi,"Ranipet DMK district-level functionary, aspiring candidate (has sought DMK ticket, influential in local DMK politics, but has not yet held or been elected to legislative office)","Not an elected MLA/MP; active since at least 2016 as DMK local leader, sought candidacy for recent elections","Ranipet (party-level, not legislative)",Vellore/Ranipet,Tamil Nadu
52,TN2021AC42,,,,,,,
53,TN2021AC43,,,,,,,
54,TN2021AC44,,,,,,,
55,TN2021AC45,Brother,Poovai M. Moorthy,"Founder, President of Puratchi Bharatham Katchi (PBK)","Founder: 1998–2002, President until 2002","None (Party Position, not directly elected MLA)",Unknown,Tamil Nadu
56,TN2021AC46,,,,,,,
57,TN2021AC47,,,,,,,
58,TN2021AC48,,,,,,,
59,TN2021AC49,,,,,,,
60,TN2021AC50,,,,,,,
61,TN2021AC51,,,,,,,
62,TN2021AC52,,,,,,,
63,TN2021AC53,,,,,,,
64,TN2021AC54,,,,,,,
65,TN2021AC55,,,,,,,
66,TN2021AC56,,,,,,,
67,TN2021AC57,Wife,Mallika,Accused/charged in political-related disproportionate assets case along with the sitting MLA (not known to have held or contested any office independently),N/A,N/A,N/A,Tamil Nadu
68,TN2021AC57,Son,Sasimohan,Accused/charged in political-related disproportionate assets case along with the sitting MLA (not known to have held or contested any office independently),N/A,N/A,N/A,Tamil Nadu
69,TN2021AC57,Son,Chandramohan,Accused/charged in political-related disproportionate assets case along with the sitting MLA (not known to have held or contested any office independently),N/A,N/A,N/A,Tamil Nadu
70,TN2021AC57,Nephew,Unknown (Name not found in public records),Co-accused/charged in disproportionate assets case linked to political officeholder (not known to have held or contested office independently),N/A,N/A,N/A,Tamil Nadu
71,TN2021AC57,Son-in-law,Unknown (Name not found in public records),Co-accused/charged in disproportionate assets case linked to political officeholder (not known to have held or contested office independently),N/A,N/A,N/A,Tamil Nadu
72,TN2021AC58,Son,G.K.M. Tamil Kumaran,"Former MLA, Pennagaram (2009 bypoll, PMK)",2009,Pennagaram,Dharmapuri,Tamil Nadu
73,TN2021AC59,,,,,,,
74,TN2021AC60,,,,,,,
75,TN2021AC61,,,,,,,
76,TN2021AC62,,,,,,,
77,TN2021AC63,Son,Kamban Kumaran,"Contested for MLA, Thandarampattu (2021, DMK candidate)","2021 (contested, not elected)",Thandarampattu,Tiruvannamalai,Tamil Nadu
78,TN2021AC65,Father,P.S. Thiruvengadam,Member of Legislative Assembly,"1977, 1980, 1989, 1996",Kalasapakkam,Tiruvannamalai,Tamil Nadu
79,TN2021AC66,,,,,,,
80,TN2021AC67,,,,,,,
81,TN2021AC68,,,,,,,
82,TN2021AC69,,,,,,,
83,TN2021AC70,,,,,,,
84,TN2021AC71,,,,,,,
85,TN2021AC72,,,,,,,
86,TN2021AC73,,,,,,,
87,TN2021AC74,,,,,,,
88,TN2021AC75,,,,,,,
89,TN2021AC76,Son,Gautham Sigamani,Member of Parliament (Lok Sabha),2019–present,Kallakurichi,Kallakurichi,Tamil Nadu
90,TN2021AC77,,,,,,,
91,TN2021AC78,,,,,,,
92,TN2021AC79,,,,,,,
93,TN2021AC80,,,,,,,
94,TN2021AC81,,,,,,,
95,TN2021AC82,,,,,,,
96,TN2021AC83,,,,,,,
97,TN2021AC84,,,,,,,
98,TN2021AC85,,,,,,,
99,TN2021AC86,,,,,,,
100,TN2021AC87,,,,,,,
101,TN2021AC88,,,,,,,
102,TN2021AC89,,,,,,,
103,TN2021AC90,,,,,,,
104,TN2021AC91,,,,,,,
105,TN2021AC92,Father,Dr. Mayavan,"Former political candidate, Namakkal constituency",Unknown,Namakkal,Namakkal,Tamil Nadu
106,TN2021AC93,,,,,,,
107,TN2021AC94,,,,,,,
108,TN2021AC95,,,,,,,
109,TN2021AC96,,,,,,,
110,TN2021AC97,,,,,,,
111,TN2021AC98,Father,E V K S Elangovan,"Member of Parliament (Lok Sabha, Rajya Sabha), Tamil Nadu Assembly MLA, Minister of State, President-Tamil Nadu Congress Committee","1984-1989 (MP, Lok Sabha Namakkal), 1996-1998 (MP, Lok Sabha Tiruppur), 2004-2009 (Union Minister of State), Multiple terms as TNCC President, 2023 (MLA Erode East)","Namakkal, Tiruppur (Lok Sabha); Erode (East) (Assembly)","Namakkal, Tiruppur, Erode",Tamil Nadu
112,TN2021AC98,Grandfather,E V K Sampath,Member of Parliament (Lok Sabha),"1957-1962 (MP, Lok Sabha Namakkal)",Namakkal,Namakkal,Tamil Nadu
113,TN2021AC98,Great-Grand-Uncle,Periyar E V Ramasamy,"Founding leader and President of Dravidar Kazhagam, major Dravidian social reform leader; not an elected office-holder but ran political movements and held the office of President of Dravidar Kazhagam for decades","1944–1973 (as President, Dravidar Kazhagam)",N/A,Multiple,Tamil Nadu
114,TN2021AC99,,,,,,,
115,TN2021AC100,Son-in-law,Aatral Ashok Kumar,"Contested Lok Sabha election (Erode), 2024 (AIADMK candidate)",2024,Erode,Erode,Tamil Nadu
116,TN2021AC101,,,,,,,
117,TN2021AC102,,,,,,,
118,TN2021AC103,,,,,,,
119,TN2021AC104,,,,,,,
120,TN2021AC105,,,,,,,
121,TN2021AC106,,,,,,,
122,TN2021AC107,,,,,,,
123,TN2021AC108,,,,,,,
124,TN2021AC109,,,,,,,
125,TN2021AC110,,,,,,,
126,TN2021AC111,,,,,,,
127,TN2021AC112,,,,,,,
128,TN2021AC113,,,,,,,
129,TN2021AC114,Son,Thilagaraj (also spelled Thilakaraj),DMK Tiruppur North District Student Wing Organizer,2024–present,"Not applicable (party post, not elected office)",Tiruppur,Tamil Nadu
130,TN2021AC115,,,,,,,
131,TN2021AC116,,,,,,,
132,TN2021AC117,,,,,,,
133,TN2021AC118,Son,A. Gopalakrishnan,"District Joint Secretary, AIADMK (IT Wing, Coimbatore)",Unknown (held role until his passing September 2023),Not applicable,Coimbatore,Tamil Nadu
134,TN2021AC120,,,,,,,
135,TN2021AC121,,,,,,,
136,TN2021AC122,,,,,,,
137,TN2021AC123,Son,Pravin Jayaraman,Petitioner in politically sensitive defamation cases alongside MLA; no contest or election to political office,N/A,N/A,N/A,Tamil Nadu
138,TN2021AC124,,,,,,,
139,TN2021AC125,,,,,,,
140,TN2021AC126,,,,,,,
141,TN2021AC128,,,,,,,
142,TN2021AC129,Son,I. P. Senthil Kumar,Member of Tamil Nadu Legislative Assembly,2021–Present,Palani,Dindigul,Tamil Nadu
143,TN2021AC130,,,,,,,
144,TN2021AC131,,,,,,,
145,TN2021AC132,,,,,,,
146,TN2021AC133,,,,,,,
147,TN2021AC134,,,,,,,
148,TN2021AC135,Brother,R. V. Ashok Kumar,None Elected/Contested - Known for involvement in political controversies; not known to have contested or held any political office,Unknown,Unknown,Unknown,Tamil Nadu
149,TN2021AC136,,,,,,,
150,TN2021AC137,,,,,,,
151,TN2021AC138,,,,,,,
152,TN2021AC139,,,,,,,
153,TN2021AC141,,,,,,,
154,TN2021AC142,Father,Anbil Poyyamozhi,Member of Tamil Nadu Legislative Assembly (MLA) from Tiruchirappalli-II (DMK),"1989, 1996",Tiruchirappalli-II,Tiruchirappalli,Tamil Nadu
155,TN2021AC142,Grandfather,Anbil P. Dharmalingam,"Minister, Government of Tamil Nadu; Member of Legislative Assembly (multiple terms, DMK founder-member)",1962–1977 (various terms),Lalgudi,Tiruchirappalli,Tamil Nadu
156,TN2021AC142,Uncle,Anbil Periyasamy,Member of Tamil Nadu Legislative Assembly (MLA) from Tiruchirappalli-II (DMK),1999 (by-election following Anbil Poyyamozhi's death),Tiruchirappalli-II,Tiruchirappalli,Tamil Nadu
157,TN2021AC143,,,,,,,
158,TN2021AC144,Father,A. Srinivasan,"Contested and held no direct political office, but is publicly significant as founder of Dhanalakshmi Srinivasan education and healthcare groups. No record of contesting or holding an elected political office found.",Unknown,Unknown,Unknown,Unknown
159,TN2021AC145,,,,,,,
160,TN2021AC146,,,,,,,
161,TN2021AC147,,,,,,,
162,TN2021AC149,,,,,,,
163,TN2021AC150,Father,K. C. Ganesan,"Member of the Legislative Assembly (MLA), Jayankondam",Two terms (exact years not specified in sources; served before 2021),Jayankondam,Perambalur,Tamil Nadu
164,TN2021AC151,,,,,,,
165,TN2021AC152,,,,,,,
166,TN2021AC153,,,,,,,
167,TN2021AC154,,,,,,,
168,TN2021AC155,,,,,,,
169,TN2021AC156,Aunt,Mangaiyarkkarasi,"Deputy Chairperson, Chidambaram Municipality",Unknown,Chidambaram,Cuddalore,Tamil Nadu
170,TN2021AC157,,,,,,,
171,TN2021AC158,,,,,,,
172,TN2021AC159,,,,,,,
173,TN2021AC160,,,,,,,
174,TN2021AC161,,,,,,,
175,TN2021AC162,,,,,,,
176,TN2021AC163,,,,,,,
177,TN2021AC164,,,,,,,
178,TN2021AC165,,,,,,,
179,TN2021AC166,,,,,,,
180,TN2021AC167,Father,T. R. Baalu,Member of Parliament (Lok Sabha); Former Union Minister; Senior DMK leader,Multiple terms since 1996,"Sriperumbudur (present), previously Chennai South and others",Kanchipuram (Sriperumbudur),Tamil Nadu
181,TN2021AC168,,,,,,,
182,TN2021AC169,,,,,,,
183,TN2021AC170,,,,,,,
184,TN2021AC171,,,,,,,
185,TN2021AC172,,,,,,,
186,TN2021AC173,,,,,,,
187,TN2021AC174,Father,T.K. Govindan,"Senior Leader, Dravida Munnetra Kazhagam (DMK)","Unknown (active in DMK for several decades, exact years not publicly specified)",Unknown,Thanjavur (influence known here),Tamil Nadu
188,TN2021AC176,,,,,,,
189,TN2021AC177,Father-in-law,Misa Krishnamoorthi,Member of Legislative Assembly (MLA),Unknown,Unknown,Unknown,Tamil Nadu
190,TN2021AC178,,,,,,,
191,TN2021AC179,Spouse,Ramya,"None (named in disproportionate assets case and court appearances with C. Vijayabaskar, but no independent electoral or official political office or contesting history found)",N/A,N/A,N/A,N/A
192,TN2021AC180,,,,,,,
193,TN2021AC181,,,,,,,
194,TN2021AC182,,,,,,,
195,TN2021AC184,,,,,,,
196,TN2021AC185,,,,,,,
197,TN2021AC186,,,,,,,
198,TN2021AC187,,,,,,,
199,TN2021AC188,,,,,,,
200,TN2021AC189,,,,,,,
201,TN2021AC190,,,,,,,
202,TN2021AC191,,,,,,,
203,TN2021AC192,,,,,,,
204,TN2021AC193,Father,P. T. R. Palanivel Rajan,Speaker of the Tamil Nadu Legislative Assembly (1996–2001); Minister for Hindu Religious and Charitable Endowments; Member of Legislative Assembly; Member of Legislative Council,"MLA: 1967–1977, 1996–2006; Speaker: 1996–2001; Minister (HR&CE): 2006","Madurai West, Theni","Madurai, Theni",Tamil Nadu
205,TN2021AC193,Grandfather,P. T. Rajan,Chief Minister of Madras Presidency; Minister of Public Works; President of Justice Party; Member of Legislative Council,"Chief Minister: 1936; President Justice Party: 1939–1944, 1952–1957; MLC: 1920–1937, 1952–1957; Minister (Public Works): 1930–1936",Unknown,Madurai (regionally active),Madras Presidency (now Tamil Nadu)
206,TN2021AC194,,,,,,,
207,TN2021AC195,,,,,,,
208,TN2021AC196,,,,,,,
209,TN2021AC197,,,,,,,
210,TN2021AC198,Brother,A. Logirajan,Contested Andipatti Assembly as AIADMK candidate,Contested in 2019 by-election and 2021 general election,Andipatti,Theni,Tamil Nadu
211,TN2021AC199,,,,,,,
212,TN2021AC200,Son,P. Ravindhranath,Member of Parliament (Lok Sabha),2019-2024,Theni,Theni,Tamil Nadu
213,TN2021AC201,,,,,,,
214,TN2021AC202,,,,,,,
215,TN2021AC203,,,,,,,
216,TN2021AC204,,,,,,,
217,TN2021AC205,Father,A.M.S. Ganesan,Chairperson of Sivakasi Municipality,1967-1974,Sivakasi Municipality,Virudhunagar,Tamil Nadu
218,TN2021AC205,Elder Brother,Unknown,"State President, Congress Seva Dal (Tamil Nadu)",Unknown,Not a legislative office,Not Applicable,Tamil Nadu
219,TN2021AC206,,,,,,,
220,TN2021AC207,Spouse,R. Adhilakshmi,Contested as co-accused in a disproportionate assets case connected to public office (did not itself hold elected office),"2012 (case filed), judicial involvement ongoing, no confirmed elected office",Unknown,Unknown,Tamil Nadu
221,TN2021AC208,Father,V. Thangapandian,"MLA (Aruppukottai), Minister, Tamil Nadu","1989–1991, 1996–1997",Aruppukottai,Virudhunagar,Tamil Nadu
222,TN2021AC208,Sister,Thamizhachi Thangapandian,"Member of Parliament (Lok Sabha, Chennai South)",2019–present,Chennai South,Chennai,Tamil Nadu
223,TN2021AC209,,,,,,,
224,TN2021AC210,Parent,K. R. Ramasamy,"Unknown (Listed as parent, no verified public record of them holding or contesting political office)",Unknown,Unknown,Unknown,Unknown
