FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,WB2021AC01,Daughter,Ankita Adhikary,"Contested appointment to a government post as a school teacher (Class XI-XII Political Science) through the West Bengal School Service Commission; involved in a major recruitment controversy and legal proceedings, but not elected",2018–2022 (posting later annulled by Calcutta High Court),N/A,Cooch Behar,West Bengal
2,WB2021AC02,,,,,,,
3,WB2021AC03,,,,,,,
4,WB2021AC04,,,,,,,
5,WB2021AC05,,,,,,,
6,WB2021AC06,Spouse,Sangita Roy,"Candidate, Sitai Assembly By-Election (TMC Nominee); Former Village Panchayat Pradhan and Sitai Panchayat Samiti President","2024 (Candidate), Panchayat Roles (years not precisely specified, ongoing as per reports)",Sitai,Koch Bihar,West Bengal
7,WB2021AC07,Mother,Chhanda Pramanik,Former Panchayat Pradhan (Head) – Trinamool Congress,Unknown,Unknown,Cooch Behar,West Bengal
8,WB2021AC07,Brother,Unknown (joined TMC),"Contested for political office, joined Trinamool Congress",2024 (joined TMC),Unknown,Koch Bihar,West Bengal
9,WB2021AC07,Brother,Unknown (joined TMC),"Contested for political office, joined Trinamool Congress",2024 (joined TMC),Unknown,Koch Bihar,West Bengal
10,WB2021AC08,,,,,,,
11,WB2021AC09,,,,,,,
12,WB2021AC10,,,,,,,
13,WB2021AC11,,,,,,,
14,WB2021AC12,,,,,,,
15,WB2021AC13,,,,,,,
16,WB2021AC14,,,,,,,
17,WB2021AC15,,,,,,,
18,WB2021AC16,,,,,,,
19,WB2021AC17,,,,,,,
20,WB2021AC18,,,,,,,
21,WB2021AC19,,,,,,,
22,WB2021AC20,,,,,,,
23,WB2021AC21,,,,,,,
24,WB2021AC22,,,,,,,
25,WB2021AC23,,,,,,,
26,WB2021AC24,,,,,,,
27,WB2021AC25,,,,,,,
28,WB2021AC26,,,,,,,
29,WB2021AC27,,,,,,,
30,WB2021AC28,Daughter,Roshnara Khatun,"Contested as a candidate for teaching post; Figure in tainted teachers' list released by West Bengal government, associated with political controversy",2023,Unknown,Uttar Dinajpur,West Bengal
31,WB2021AC29,,,,,,,
32,WB2021AC30,,,,,,,
33,WB2021AC31,,,,,,,
34,WB2021AC32,,,,,,,
35,WB2021AC33,,,,,,,
36,WB2021AC34,,,,,,,
37,WB2021AC35,,,,,,,
38,WB2021AC36,,,,,,,
39,WB2021AC37,,,,,,,
40,WB2021AC38,,,,,,,
41,WB2021AC39,,,,,,,
42,WB2021AC40,,,,,,,
43,WB2021AC41,,,,,,,
44,WB2021AC42,,,,,,,
45,WB2021AC43,,,,,,,
46,WB2021AC44,,,,,,,
47,WB2021AC45,Spouse,Unknown (Wife of Nihar Ranjan Ghosh),"Councillor, English Bazar Municipality",Unknown,English Bazar Municipality,Maldah,West Bengal
48,WB2021AC46,,,,,,,
49,WB2021AC47,,,,,,,
50,WB2021AC48,,,,,,,
51,WB2021AC49,,,,,,,
52,WB2021AC50,,,,,,,
53,WB2021AC51,,,,,,,
54,WB2021AC52,,,,,,,
55,WB2021AC53,,,,,,,
56,WB2021AC54,,,,,,,
57,WB2021AC55,,,,,,,
58,WB2021AC57,,,,,,,
59,WB2021AC59,,,,,,,
60,WB2021AC60,,,,,,,
61,WB2021AC61,,,,,,,
62,WB2021AC62,,,,,,,
63,WB2021AC63,Father,Abdul Mannan Hossain,Member of Parliament (Lok Sabha),2004-2014,Murshidabad,Murshidabad,West Bengal
64,WB2021AC64,,,,,,,
65,WB2021AC65,,,,,,,
66,WB2021AC66,,,,,,,
67,WB2021AC67,Aunt,Maya Saha,Trinamool Congress Councillor,Unknown,Unknown,Birbhum,West Bengal
68,WB2021AC68,,,,,,,
69,WB2021AC70,,,,,,,
70,WB2021AC71,,,,,,,
71,WB2021AC72,,,,,,,
72,WB2021AC73,,,,,,,
73,WB2021AC74,Father-in-law,Nasiruddin Khan,"Former Minister, West Bengal",Unknown,Unknown,Murshidabad,West Bengal
74,WB2021AC75,,,,,,,
75,WB2021AC76,,,,,,,
76,WB2021AC77,,,,,,,
77,WB2021AC78,,,,,,,
78,WB2021AC79,,,,,,,
79,WB2021AC80,Daughter,Alifa Ahmed,TMC candidate for Kaliganj Assembly By-election; former Nadia district council (Zilla Parishad) member,Zilla Parishad member (dates unknown); Assembly bypoll candidate 2025,Kaliganj,Nadia,West Bengal
80,WB2021AC81,,,,,,,
81,WB2021AC82,Brother,Rizwanur Rahman,"Contested for Councillor position (Kolkata civic poll, 2010)","Contested in 2010, not elected",Unknown,Kolkata,West Bengal
82,WB2021AC83,Son,Subhranshu Roy,Member of West Bengal Legislative Assembly (MLA),2016-2021,Bijpur,North 24 Parganas,West Bengal
83,WB2021AC84,,,,,,,
84,WB2021AC85,Extended family (ancestor),Digambar Biswas,"Leader of Indigo Revolt (freedom movement leader during British rule, agitations against colonial government, not elected office)",c.1859-1860,None,Nadia,West Bengal
