pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,father/husband name,gender,age,UID
Araria,9,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,2018767,1252560,62.10%,20094,1.60%,LATE RAM LAL SINGH,male,58,BR2024PC09
Arrah,32,GEN,Bihar [2000 Onwards],Sudama Prasad,Communist Party Of India (Marxist-Leninist) (Liberation),2165574,1096561,50.60%,59808,5.50%,Ganga Dayal Sah,male,56,BR2024PC32
Aurangabad,37,GEN,Bihar [2000 Onwards],Abhay Kumar Sinha,Rashtriya Janata Dal,1871564,945880,50.50%,79111,8.40%,RAM BRIKSHA PRASAD,male,53,BR2024PC37
Banka,27,GEN,Bihar [2000 Onwards],Giridhari Yadav,Janata Dal (United),1856566,1014155,54.60%,103844,10.20%,DHANO YADAV,male,63,BR2024PC27
Begusarai,24,GEN,Bihar [2000 Onwards],Giriraj Singh,Bharatiya Janta Party,2196089,1294673,59.00%,81480,6.30%,RAMAVATAR SINGH,male,71,BR2024PC24
Bhagalpur,26,GEN,Bihar [2000 Onwards],Ajay Kumar Mandal,Janata Dal (United),1983031,1064081,53.70%,104868,9.90%,RAMDAS MANDAL,male,46,BR2024PC26
Buxar,33,GEN,Bihar [2000 Onwards],Sudhakar Singh,Rashtriya Janata Dal,1923164,1073759,55.80%,30091,2.80%,JAGDANAND SINGH,male,52,BR2024PC33
Darbhanga,14,GEN,Bihar [2000 Onwards],Gopal Jee Thakur,Bharatiya Janta Party,1781356,1024184,57.50%,178156,17.40%,Ganesh Prasad Thakur,male,54,BR2024PC14
Gaya,38,SC,Bihar [2000 Onwards],Jitan Ram Manjhi,Hindustani Awam Morcha (Secular),1816815,963676,53.00%,101812,10.60%,RAMJIT RAM MANJHI,male,78,BR2024PC38
Gopalganj,17,SC,Bihar [2000 Onwards],Dr. Alok Kumar Suman,Janata Dal (United),2024673,1063027,52.50%,127180,12.00%,JAISHRI RAM,male,67,BR2024PC17
Hajipur,21,SC,Bihar [2000 Onwards],Chirag Paswan,Lok Janshakti Party(Ram Vilas),1967094,1155324,58.70%,170105,14.70%,Late Ram Vilas Paswan,male,42,BR2024PC21
Jahanabad,36,GEN,Bihar [2000 Onwards],Surendra Prasad Yadav,Rashtriya Janata Dal,1670327,925370,55.10%,142591,15.40%,BHUNESHAR YADAV,male,65,BR2024PC36
Jamui,40,SC,Bihar [2000 Onwards],Arun Bharti,Lok Janshakti Party(Ram Vilas),1907126,979233,51.40%,112482,11.50%,JYOTI,male,45,BR2024PC40
Jhanjharpur,7,GEN,Bihar [2000 Onwards],Ramprit Mandal,Janata Dal (United),2003040,1093741,54.60%,184169,16.80%,THAKKAN MANDAL,male,68,BR2024PC07
Karakat,35,GEN,Bihar [2000 Onwards],Raja Ram Singh,Communist Party Of India (Marxist-Leninist) (Liberation),1881191,1031618,53.70%,105858,10.30%,LATE DIPAN SINGH,male,66,BR2024PC35
Katihar,11,GEN,Bihar [2000 Onwards],Tariq Anwar,Indian National Congress,1833009,1171546,63.90%,49863,4.30%,S M Ahmed,male,73,BR2024PC11
Khagaria,25,GEN,Bihar [2000 Onwards],Rajesh Verma,Lok Janshakti Party(Ram Vilas),1840217,1061894,57.70%,161131,15.20%,HARI OM VERMA,male,31,BR2024PC25
Kishanganj,10,GEN,Bihar [2000 Onwards],Mohammad Jawed,Indian National Congress,1829994,1151099,62.90%,59692,5.20%,MD HUSSAIN AZAD,male,60,BR2024PC10
Madhepura,13,GEN,Bihar [2000 Onwards],Dinesh Chandra Yadav,Janata Dal (United),2071166,1209695,58.40%,174534,14.40%,RAMDHARI YADAV,male,72,BR2024PC13
Madhubani,6,GEN,Bihar [2000 Onwards],Ashok Kumar Yadav,Bharatiya Janta Party,1934980,1027728,53.10%,151945,14.80%,HUKUMDEV NARAYAN YADAV,male,54,BR2024PC06
Maharajganj,19,GEN,Bihar [2000 Onwards],"Janardan Singh ""sigriwal""",Bharatiya Janta Party,1934937,1014109,52.40%,102651,10.10%,LATE NAGESHWAR SINGH,male,65,BR2024PC19
