pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,father/husband name,gender,age,UID
Bagalkot,3,GEN,Karnataka,Gaddigoudar. Parvatagouda. Chandanagouda.,Bharatiya Janta Party,1806183,1317561,73.00%,68399,5.20%,CHANDANGOUDA GADDIGOUDAR,male,72,KA2024PC03
Bangalore Cent,25,GEN,Karnataka,P C Mohan,Bharatiya Janta Party,2433751,1316510,54.10%,32707,2.50%,PERICAL CHIKKAMUNISWAMAPPA,male,60,KA2024PC25
Bangalore Nort,24,GEN,Karnataka,Shobha Karandlaje,Bharatiya Janta Party,3214496,1752504,54.50%,259476,14.80%,LATE MONAPPA GOWDA,female,57,KA2024PC24
Bangalore Rura,23,GEN,Karnataka,Dr C N Manjunath,Bharatiya Janta Party,2802580,1919540,68.50%,269647,14.00%,NANJAPPA @ CHAMARAJEGOWDA,male,67,KA2024PC23
Bangalore Sout,26,GEN,Karnataka,Tejasvi Surya,Bharatiya Janta Party,2341759,1249342,53.40%,277083,22.20%,L A SURYANARAYANA,male,33,KA2024PC26
Belgaum,2,GEN,Karnataka,Jagadish Shettar,Bharatiya Janta Party,1923788,1383889,71.90%,178437,12.90%,SHIAVAPPA SHETTAR,male,68,KA2024PC02
Bellary,9,ST,Karnataka,E. Tukaram,Indian National Congress,1884040,1389914,73.80%,98992,7.10%,E OBANNA,male,57,KA2024PC09
Bidar,7,GEN,Karnataka,Sagar Eshwar Khandre,Indian National Congress,1892962,1242322,65.60%,128875,10.40%,ESHWAR KHANDRE,male,26,KA2024PC07
Bijapur,4,SC,Karnataka,Ramesh Jigajinagi,Bharatiya Janta Party,1946090,1296114,66.60%,77229,6.00%,CHANDAPPA,male,71,KA2024PC04
Chamarajanagar,22,SC,Karnataka,Sunil Bose,Indian National Congress,1778310,1369797,77.00%,188706,13.80%,DR.H.C.MAHADEVAPPA,male,42,KA2024PC22
Chikkballapur,27,GEN,Karnataka,Dr.K.Sudhakar,Bharatiya Janta Party,1981347,1530820,77.30%,163460,10.70%,P N KESHAVAREDDY,male,50,KA2024PC27
Chikkodi,1,GEN,Karnataka,Priyanka Satish Jarkiholi,Indian National Congress,1761694,1393093,79.10%,90834,6.50%,SATISH,female,27,KA2024PC01
Chitradurga,18,SC,Karnataka,Govind Makthappa Karjol,Bharatiya Janta Party,1856876,1366909,73.60%,48121,3.50%,MAKTHAPPA,male,73,KA2024PC18
Dakshina Kanna,17,GEN,Karnataka,Captain Brijesh Chowta,Bharatiya Janta Party,1817603,1415770,77.90%,149208,10.50%,SESANNA CHOWTA,male,42,KA2024PC17
Davanagere,13,GEN,Karnataka,Dr. Prabha Mallikarjun,Indian National Congress,1709244,1320368,77.30%,26094,2.00%,S.S. MALLIKARJUN,female,48,KA2024PC13
Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1831975,1366491,74.60%,97324,7.10%,Venkatesh Joshi,male,61,KA2024PC11
Gulbarga,5,SC,Karnataka,Radhakrishna,Indian National Congress,2098202,1310477,62.50%,27205,2.10%,Rajendrappa Doddamani,male,63,KA2024PC05
Hassan,16,GEN,Karnataka,Shreyas. M. Patel,Indian National Congress,1736610,1355007,78.00%,42649,3.10%,LATE MAHESH,male,32,KA2024PC16
Haveri,10,GEN,Karnataka,Basavaraj Bommai,Bharatiya Janta Party,1792774,1395812,77.90%,43513,3.10%,Somappa Bommai,male,64,KA2024PC10
Kolar,28,SC,Karnataka,M. Mallesh Babu,Janata Dal (Secular),1726914,1355228,78.50%,71388,5.30%,LATE C. MUNISWAMY,male,49,KA2024PC28
Koppal,8,GEN,Karnataka,K. Rajashekar Basavaraj Hitnal,Indian National Congress,1866397,1328936,71.20%,46357,3.50%,K BASAVARAJ,male,44,KA2024PC08
Mandya,20,GEN,Karnataka,H.D. Kumaraswamy,Janata Dal (Secular),1779243,1460267,82.10%,284620,19.50%,H.D DEVEGOWDA,male,65,KA2024PC20
Mysore,21,GEN,Karnataka,Yaduveer Krishnadatta Chamaraja Wadiyar,Bharatiya Janta Party,2092222,1484473,71.00%,139262,9.40%,SMT PRAMODA DEVI WADIYAR,male,32,KA2024PC21
Raichur,6,ST,Karnataka,G. Kumar Naik.,Indian National Congress,2010103,1299619,64.70%,79781,6.10%,T.N. GOVINDASWAMY NAIK,male,60,KA2024PC06
Shimoga,14,GEN,Karnataka,B.Y.Raghavendra,Bharatiya Janta Party,1752885,1377224,78.60%,243715,17.70%,B.S.Yediyurappa,male,50,KA2024PC14
Tumkur,19,GEN,Karnataka,V. Somanna,Bharatiya Janta Party,1661309,1303451,78.50%,175594,13.50%,LATE VEERANNA,male,72,KA2024PC19
Udupi Chikmaga,15,GEN,Karnataka,Kota Srinivas Poojary,Bharatiya Janta Party,1585162,1229418,77.60%,259175,21.10%,LACCHI POOJARTHI,male,64,KA2024PC15
Uttara Kannada,12,GEN,Karnataka,Vishweshwar Hegde Kageri,Bharatiya Janta Party,1641156,1262761,76.90%,337428,26.70%,Anant,male,63,KA2024PC12
