pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,father/husband name,gender,age,UID
Aska,19,GEN,Orissa,Anita Subhadarshini,Bharatiya Janta Party,1620974,1017914,62.80%,99974,9.80%,PRABHAT KUMAR MOHANTY,female,52,OR2024PC19
Balasore,6,GEN,Orissa,Pratap Chandra Sarangi,Bharatiya Janta Party,1608014,1239635,77.10%,147156,11.90%,S/O- LATE GOBINDA CHANDRA SARANGI,male,69,OR2024PC06
Bargarh,1,GEN,Orissa,Pradeep Purohit,Bharatiya Janta Party,1631974,1309864,80.30%,251667,19.20%,Late Radheshyam Purohit,male,58,OR2024PC01
Berhampur,20,GEN,Orissa,Dr. Pradeep Kumar Panigrahy,Bharatiya Janta Party,1591380,1042923,65.50%,165476,15.90%,Late Somanath Panigrahy,male,60,OR2024PC20
Bhadrak,7,SC,Orissa,Avimanyu Sethi,Bharatiya Janta Party,1770915,1297377,73.30%,91544,7.10%,LATE ARJUN CHARAN SETHI,male,53,OR2024PC07
Bhubaneswar,18,GEN,Orissa,Aparajita Sarangi,Bharatiya Janta Party,1672774,1082215,64.70%,35152,3.20%,SANTOSH KUMAR SARANGI,female,54,OR2024PC18
Bolangir,10,GEN,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,1801744,1400248,77.70%,132664,9.50%,KANAK VARDHAN SINGH DEO,female,62,OR2024PC10
Cuttack,14,GEN,Orissa,Bhartruhari Mahtab,Bharatiya Janta Party,1571622,1120795,71.30%,57077,5.10%,Late Harekrushna Mahtab,male,66,OR2024PC14
Dhenkanal,9,GEN,Orissa,Rudra Narayan Pany,Bharatiya Janta Party,1529785,1191673,77.90%,76567,6.40%,LATE MURALIDHAR PANY,male,65,OR2024PC09
Jagatsinghpur,16,SC,Orissa,Bibhu Prasad Tarai,Bharatiya Janta Party,1700814,1286287,75.60%,40696,3.20%,DINABANDHU TARAI,male,59,OR2024PC16
Jajpur,8,SC,Orissa,Rabindra Narayan Behera,Bharatiya Janta Party,1545664,1161208,75.10%,1587,0.10%,Late Harekrushna Behera,male,61,OR2024PC08
Kalahandi,11,GEN,Orissa,Malvika Devi,Bharatiya Janta Party,1700780,1334244,78.50%,133813,10.00%,Arka Keshari Deo,female,43,OR2024PC11
Kandhamal,13,GEN,Orissa,Sukanta Kumar Panigrahi,Bharatiya Janta Party,1339090,996091,74.40%,21371,2.10%,SURENDRANATH PANIGRAHI,male,57,OR2024PC13
Kendrapara,15,GEN,Orissa,Baijayant Panda,Bharatiya Janta Party,1792723,1277108,71.20%,66536,5.20%,BANSHIDHAR PANDA,male,60,OR2024PC15
Keonjhar,4,ST,Orissa,Ananta Nayak,Bharatiya Janta Party,1588179,1256615,79.10%,97042,7.70%,Late Panu Nayak,male,55,OR2024PC04
Koraput,21,ST,Orissa,Saptagiri Sankar Ulaka,Indian National Congress,1480922,1148842,77.60%,147744,12.90%,RAMA CHANDRA ULAKA,male,45,OR2024PC21
Mayurbhanj,5,ST,Orissa,Naba Charan Majhi,Bharatiya Janta Party,1542927,1174050,76.10%,219334,18.70%,LATE DHUMA MAJHI,male,62,OR2024PC05
Nabarangpur,12,ST,Orissa,Balabhadra Majhi,Bharatiya Janta Party,1514140,1242475,82.10%,87536,7.00%,CHANDRA MAJHI,male,63,OR2024PC12
Puri,17,GEN,Orissa,Sambit Patra,Bharatiya Janta Party,1586465,1196938,75.50%,104709,8.70%,RABINDRANATH PATRA,male,50,OR2024PC17
Sambalpur,3,GEN,Orissa,Dharmendra Pradhan,Bharatiya Janta Party,1499728,1196747,79.80%,119836,10.00%,DEBENDRA PRADHAN,male,54,OR2024PC03
Sundargarh,2,ST,Orissa,Jual Oram,Bharatiya Janta Party,1576105,1155777,73.30%,138808,12.00%,Dilga @ Teria Oram,male,63,OR2024PC02
