pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,father/husband name,gender,age,UID
Alipurduars,2,ST,West Bengal,Manoj Tigga,Bharatiya Janta Party,1773252,1421389,80.20%,75447,5.30%,Lt. Shib Charan Tigga,male,51,WB2024PC02
Arambagh,29,SC,West Bengal,Bag Mitali,All India Trinamool Congress,1883266,1559079,82.80%,6399,0.40%,Late Madan Mohan Bag,female,47,WB2024PC29
Asansol,40,GEN,West Bengal,Shatrughan Prasad Sinha,All India Trinamool Congress,1770281,1301540,73.50%,59564,4.60%,LATE BHUVANESHWAR PRASAD SINHA,male,77,WB2024PC40
Baharampur,10,GEN,West Bengal,Pathan Yusuf,All India Trinamool Congress,1783078,1384770,77.70%,85022,6.10%,MEHMOODKHAN,male,41,WB2024PC10
Balurghat,6,GEN,West Bengal,Sukanta Majumdar,Bharatiya Janta Party,1561966,1237308,79.20%,10386,0.80%,Sushanta Kumar Majumdar,male,44,WB2024PC06
Bangaon,14,SC,West Bengal,Shantanu Thakur,Bharatiya Janta Party,1836374,1493108,81.30%,73693,4.90%,Manjul Krishna Thakur,male,42,WB2024PC14
Bankura,36,GEN,West Bengal,Arup Chakraborty,All India Trinamool Congress,1780580,1447674,81.30%,32778,2.30%,LATE NARAYAN CHANDRA CHAKRABORTY,male,68,WB2024PC36
Barasat,17,GEN,West Bengal,Kakoli Ghosh Dastidar,All India Trinamool Congress,1905400,1532601,80.40%,114189,7.50%,SUDARSAN GHOSH DASTIDAR,female,65,WB2024PC17
Bardhaman Purb,38,SC,West Bengal,Dr. Sharmila Sarkar,All India Trinamool Congress,1801333,1497310,83.10%,160572,10.70%,SUDIP KUMAR GHOSH,female,45,WB2024PC38
Barrackpore,15,GEN,West Bengal,Partha Bhowmick,All India Trinamool Congress,1508728,1141860,75.70%,64438,5.60%,RABINDRANATH BHOWMICK,male,60,WB2024PC15
Basirhat,18,GEN,West Bengal,Sk Nurul Islam,All India Trinamool Congress,1804261,1523401,84.40%,333547,21.90%,Late Sk Tafser Ali,male,61,WB2024PC18
Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,1857022,1527432,82.30%,197650,12.90%,SRI MRIGANK BANERJEE,female,55,WB2024PC42
Bishnupur,37,SC,West Bengal,Khan Saumitra,Bharatiya Janta Party,1754268,1513872,86.30%,5567,0.40%,DHANANJAY KHAN,male,43,WB2024PC37
Bolpur,41,SC,West Bengal,Asit Kumar Mal,All India Trinamool Congress,1839234,1528470,83.10%,327253,21.40%,LATE DHARANIDHAR MAL,male,69,WB2024PC41
Burdwan - Durg,39,GEN,West Bengal,Azad Kirti Jha,All India Trinamool Congress,1851780,1501773,81.10%,137981,9.20%,LATE BHAGWAT JHA AZAD,male,65,WB2024PC39
Cooch Behar,1,SC,West Bengal,Jagadish Chandra Barma Basunia,All India Trinamool Congress,1966893,1623048,82.50%,39250,2.40%,Late Kalipada Barma Basunia,male,60,WB2024PC01
Darjeeling,4,GEN,West Bengal,Raju Bista,Bharatiya Janta Party,1765744,1327412,75.20%,178525,13.40%,Vishnu Bista,male,38,WB2024PC04
Diamond Harbou,21,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,1880779,1530817,81.40%,710930,46.40%,AMIT BANERJEE,male,36,WB2024PC21
Dum Dum,16,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,1699656,1260046,74.10%,70660,5.60%,Late Debesh Chandra Ray,male,76,WB2024PC16
Ghatal,32,GEN,West Bengal,Adhikari Deepak (DEV),All India Trinamool Congress,1939945,1600556,82.50%,182868,11.40%,Gurupada Adhikari,male,41,WB2024PC32
Hooghly,28,GEN,West Bengal,Rachna Banerjee,All India Trinamool Congress,1858067,1517511,81.70%,76853,5.10%,LATE RABINDRA NATH BANERJEE,female,51,WB2024PC28
