ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Sujanpur,1,GEN,Gurdaspur,Naresh Puri,Indian National Congress,170309,129339,75.90%,4636,3.60%,LATE SH.RAGHUNATH SAHAI PURI,male,52.0,PB2022AC01
Bhoa,2,SC,Gurdaspur,Lal Chand,Aam Aadmi Party,186899,137572,73.60%,1204,0.90%,LABHU RAM,male,51.0,PB2022AC02
Pathankot,3,GEN,Gurdaspur,Ashwani Kumar Sharma,Bharatiya Janta Party,153726,113480,73.80%,7759,6.80%,UMA DUTT,male,57.0,PB2022AC03
Gurdaspur,4,GEN,Gurdaspur,Barindermeet Singh Pahra,Indian National Congress,171571,124152,72.40%,7335,5.90%,GURMEET SINGH,male,41.0,PB2022AC04
Dina Nagar,5,SC,Gurdaspur,Aruna Chaudhary,Indian National Congress,196687,139708,71.00%,1131,0.80%,ASHOK CHAUDHARY,female,64.0,PB2022AC05
Qadian,6,GEN,Gurdaspur,Partap Singh Bajwa,Indian National Congress,184551,133183,72.20%,7174,5.40%,SATNAM SINGH BAJWA,male,65.0,PB2022AC06
Batala,7,GEN,Gurdaspur,Amansher Singh (SHERY KALSI),Aam Aadmi Party,189732,127545,67.20%,28472,22.30%,MANOHAR SINGH,male,34.0,PB2022AC07
Sri Hargobindpur,8,SC,Gurdaspur,Amarpal Singh,Aam Aadmi Party,181209,124473,68.70%,16963,13.60%,,,,PB2022AC08
Fatehgarh Churian,9,GEN,Gurdaspur,Tript Rajinder Singh Bajwa,Indian National Congress,177846,128822,72.40%,5545,4.30%,GURBACHAN SINGH,male,78.0,PB2022AC09
Dera Baba Nanak,10,GEN,Gurdaspur,Sukhjinder Singh Randhawa,Indian National Congress,197073,144359,73.30%,466,0.30%,SANTOKH SINGH RANDHAWA,male,62.0,PB2022AC10
Ajnala,11,GEN,Amritsar,Kuldeep Singh Dhaliwal,Aam Aadmi Party,158689,122038,76.90%,7843,6.40%,HARBANS SINGH,male,60.0,PB2022AC11
Raja Sansi,12,GEN,Amritsar,Sukhbinder Singh Sarkaria,Indian National Congress,178818,133615,74.70%,5474,4.10%,NARINDER SINGH,male,66.0,PB2022AC12
Majitha,13,GEN,Amritsar,Ganieve Kaur Majithia,Shiromani Akali Dal,167775,122152,72.80%,26062,21.30%,Avinash Singh,female,46.0,PB2022AC13
Jandiala,14,SC,Amritsar,Harbhajan Singh E.T.O.,Aam Aadmi Party,182253,128681,70.60%,25383,19.70%,DARSHAN SINGH,male,53.0,PB2022AC14
Amritsar North,15,GEN,Amritsar,Kunwar Vijay Pratap Singh,Aam Aadmi Party,202356,123752,61.20%,28318,22.90%,RAM NATH KUNWAR,male,52.0,PB2022AC15
Amritsar West,16,SC,Amritsar,Dr. Jasbir Singh Sandhu,Aam Aadmi Party,214557,118606,55.30%,43913,37.00%,DARA SINGH,male,44.0,PB2022AC16
Amritsar Central,17,GEN,Amritsar,Ajay Gupta,Aam Aadmi Party,147177,87205,59.30%,14026,16.10%,PAL RAM Alias PALA RAM,male,61.0,PB2022AC17
Amritsar East,18,GEN,Amritsar,Jeevan Jyot Kaur,Aam Aadmi Party,168299,108003,64.20%,6750,6.20%,MANJINDER PAL SINGH,female,50.0,PB2022AC18
Amritsar South,19,GEN,Amritsar,Inderbir Singh Nijjar,Aam Aadmi Party,177727,105885,59.60%,27503,26.00%,DARSHAN SINGH,male,66.0,PB2022AC19
Attari,20,SC,Amritsar,Jaswinder Singh,Aam Aadmi Party,190534,128145,67.30%,19794,15.40%,UJAGAR SINGH,male,69.0,PB2022AC20
Tarn Taran,21,GEN,Amritsar,Dr. Kashmir Singh Sohal,Aam Aadmi Party,198439,130874,66.00%,13588,10.40%,Kundan Singh,male,62.0,PB2022AC21
Khem Karan,22,GEN,Amritsar,Sarvan Singh Dhun,Aam Aadmi Party,218045,154988,71.10%,11882,7.70%,MALUK SINGH,male,46.0,PB2022AC22
Patti,23,GEN,Amritsar,Laljit Singh Bhullar,Aam Aadmi Party,204395,144922,70.90%,10999,7.60%,Sukhdev Singh Bhullar,male,40.0,PB2022AC23
Khadoor Sahib,24,GEN,Amritsar,Manjinder Singh Lalpura,Aam Aadmi Party,203532,145256,71.40%,16491,11.40%,DHARAM SINGH,male,37.0,PB2022AC24
Baba Bakala,25,SC,Amritsar,Dalbir Singh Tong,Aam Aadmi Party,201817,131237,65.00%,19552,14.90%,RAM SINGH,male,38.0,PB2022AC25
Bholath,26,GEN,Kapurthala,Sukhpal Singh Khaira,Indian National Congress,136891,90537,66.10%,9225,10.20%,SUKHJINDER SINGH,male,56.0,PB2022AC26
Kapurthala,27,GEN,Kapurthala,Rana Gurjeet Singh,Indian National Congress,150111,102700,68.40%,7304,7.10%,Rana Daljit Singh,male,69.0,PB2022AC27
Sultanpur Lodhi,28,GEN,Kapurthala,Rana Inder Partap Singh,Independent,148499,108106,72.80%,11434,10.60%,RANA GURJIT SINGH,male,42.0,PB2022AC28
Phagwara,29,SC,Kapurthala,Balwinder Singh Dhaliwal,Indian National Congress,193066,127964,66.30%,2712,2.10%,Mukhtiar Singh,male,60.0,PB2022AC29
Phillaur,30,SC,Jalandhar,Vikramjit Singh Chaudhary,Indian National Congress,207222,139886,67.50%,12303,8.80%,Santokh Singh Chaudhary,male,44.0,PB2022AC30
Nakodar,31,GEN,Jalandhar,Inderjit Kaur Mann,Aam Aadmi Party,194930,134163,68.80%,2869,2.10%,Sharanjit Singh,female,53.0,PB2022AC31
Shahkot,32,GEN,Jalandhar,Hardev Singh Laddi,Indian National Congress,182102,132510,72.80%,12079,9.10%,Harjinder Singh,male,54.0,PB2022AC32
Kartarpur,33,SC,Jalandhar,Balkar Singh,Aam Aadmi Party,184760,124988,67.60%,4574,3.70%,JAGIR SINGH,male,59.0,PB2022AC33
Jalandhar West,34,SC,Jalandhar,Sheetal Angural,Aam Aadmi Party,171684,116247,67.70%,4253,3.70%,PARAS RAM,male,38.0,PB2022AC34
Jalandhar Central,35,GEN,Jalandhar,Raman Arora,Aam Aadmi Party,174285,106554,61.10%,247,0.20%,DHARAM PAL ARORA,male,51.0,PB2022AC35
Jalandhar North,36,GEN,Jalandhar,Avtar Singh Junior,Indian National Congress,192160,128158,66.70%,9486,7.40%,Avtar Henry,male,43.0,PB2022AC36
Jalandhar Cantt.,37,GEN,Jalandhar,Pargat Singh Powar,Indian National Congress,193987,125090,64.50%,5808,4.60%,GURDEV SINGH POWAR,male,57.0,PB2022AC37
Adampur,38,SC,Jalandhar,Sukhwinder Singh Kotli,Indian National Congress,167934,113753,67.70%,4567,4.00%,TARA SINGH,male,57.0,PB2022AC38
Mukerian,39,GEN,Hoshiarpur,Jangi Lal Mahajan,Bharatiya Janta Party,208063,143300,68.90%,2691,1.90%,OM PARKASH,male,74.0,PB2022AC39
Dasuya,40,GEN,Hoshiarpur,Karambir Singh,Aam Aadmi Party,201373,133456,66.30%,8587,6.40%,JAGMOHAN SINGH,male,37.0,PB2022AC40
Urmar,41,GEN,Hoshiarpur,Jasvir Singh Raja Gill,Aam Aadmi Party,183059,125205,68.40%,4190,3.30%,Mohinder Singh,male,52.0,PB2022AC41
Sham Chaurasi,42,SC,Hoshiarpur,Dr.Ravjot Singh,Aam Aadmi Party,178914,124024,69.30%,21356,17.20%,GURNAM SINGH,male,45.0,PB2022AC42
Hoshiarpur,43,GEN,Hoshiarpur,Bram Shanker (JIMPA),Aam Aadmi Party,193237,127907,66.20%,13859,10.80%,KUMB KARAN DASS,male,56.0,PB2022AC43
Chabbewal,44,SC,Hoshiarpur,Dr. Raj Kumar,Indian National Congress,162186,115506,71.20%,7646,6.60%,DARSHAN SINGH,male,52.0,PB2022AC44
Garhshankar,45,GEN,Hoshiarpur,Jai Krishan,Aam Aadmi Party,176297,122472,69.50%,4179,3.40%,CHAIN SINGH,male,39.0,PB2022AC45
Banga,46,SC,Shahid Bhagat Singh Nagar,Sukhwinder Kumar Sukhi Dr.,Shiromani Akali Dal,165401,115301,69.70%,5069,4.40%,RAM KISHAN,male,61.0,PB2022AC46
Nawan Shahr,47,GEN,Shahid Bhagat Singh Nagar,Dr. Nachhatar Pal,Bahujan Samaj Party,177391,123868,69.80%,5376,4.30%,AMAR NATH,male,47.0,PB2022AC47
Balachaur,48,GEN,Shahid Bhagat Singh Nagar,Santosh Kumari Katariaa,Aam Aadmi Party,156211,114964,73.60%,4541,3.90%,ASHOK KUMAR KATARIA,female,55.0,PB2022AC48
