ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Sirpur,1,GEN,Adilabad,Dr.Palvai Harish Babu,Bharatiya Janta Party,454310,184684,40.70%,3088,1.70%,Purushotham Rao Palvai,male,44,TG2023AC01
Chennur,2,SC,Adilabad,VIVEK VENKAT SWAMY,Indian National Congress,376824,150438,39.90%,37515,24.90%,G. Venkataswamy,male,66,TG2023AC02
Bellampalli,3,SC,Adilabad,Gaddam Vinod,Indian National Congress,346978,139684,40.30%,36878,26.40%,VENKATASWAMY,male,67,TG2023AC03
Mancherial,4,GEN,Adilabad,Kokkirala Premsagar Rao,Indian National Congress,550253,191568,34.80%,66116,34.50%,Late K Raghupathi Rao,male,63,TG2023AC04
Asifabad,5,ST,Adilabad,Kova Laxmi,Bharat Rashtra Samithi,453524,183126,40.40%,22798,12.40%,KOVA SONE RAO,female,53,TG2023AC05
Khanapur,6,ST,Adilabad,Vedma Bhojju,Indian National Congress,441863,172125,39.00%,4702,2.70%,vedma bheemarao,male,37,TG2023AC06
Adilabad,7,GEN,Adilabad,Payal Shanker,Bharatiya Janta Party,481118,188060,39.10%,6692,3.60%,PAYAL ADELLU,male,52,TG2023AC07
Boath,8,ST,Adilabad,Anil Jadhav,Bharat Rashtra Samithi,417192,171453,41.10%,22800,13.30%,RAMA RAO,male,49,TG2023AC08
Nirmal,9,GEN,Adilabad,Alleti Maheshwar Reddy,Bharatiya Janta Party,507072,195405,38.50%,50703,25.90%,PADMANABHA REDDY,male,54,TG2023AC09
Mudhole,10,GEN,Adilabad,Ram Rao Pawar,Bharatiya Janta Party,499618,200296,40.10%,23999,12.00%,SHYAM RAO PATEL PAWAR,male,69,TG2023AC10
Armur,11,GEN,Nizamabad,Paidi Rakesh Reddy,Bharatiya Janta Party,420677,160327,38.10%,29669,18.50%,Ganga Reddy Paidi,male,56,TG2023AC11
Bodhan,12,GEN,Nizamabad,P. Sudarshan Reddy,Indian National Congress,440478,171057,38.80%,3062,1.80%,GANGA REDDY,male,73,TG2023AC12
Jukkal,13,SC,Nizamabad,Laxmi Kantha Rao Thota,Indian National Congress,400185,164070,41.00%,1152,0.70%,YADAGIRI RAO THOTA,male,53,TG2023AC13
Banswada,14,GEN,Nizamabad,Srinivas Reddy Parige (POCHARAM),Bharat Rashtra Samithi,390756,159067,40.70%,23464,14.80%,RAJA REDDY,male,74,TG2023AC14
Yellareddy,15,GEN,Nizamabad,Madan Mohan Rao. K,Indian National Congress,441580,183500,41.60%,24001,13.10%,K. RAJESHWAR RAO,male,54,TG2023AC15
Kamareddy,16,GEN,Nizamabad,Katipally Venkata Ramana Reddy,Bharatiya Janta Party,505192,192415,38.10%,6741,3.50%,KATIPALLY PEDDA RAJA REDDY,male,53,TG2023AC16
Nizamabad (Urban),17,Urban,Nizamabad,Dhanpal Suryanarayana,Bharatiya Janta Party,589744,183794,31.20%,15387,8.40%,DHANPAL VITTAL,male,65,TG2023AC17
Nizamabad (Rural),18,Rural,Nizamabad,Bhoopathi Reddy Rekulapally,Indian National Congress,506842,192750,38.00%,21963,11.40%,REKULAPALLY RAJA REDDY,male,59,TG2023AC18
Balkonda,19,GEN,Nizamabad,Prashanth Reddy Vemula,Bharat Rashtra Samithi,443043,173677,39.20%,4533,2.60%,SURENDHER REDDY,male,57,TG2023AC19
Koratla,20,GEN,Karimnagar,Kalvakuntla Sanjay,Bharat Rashtra Samithi,481794,182199,37.80%,10305,5.70%,K. VIDYA SAGAR RAO,male,47,TG2023AC20
Jagtial,21,GEN,Karimnagar,Dr. Sanjay,Bharat Rashtra Samithi,463037,174888,37.80%,15822,9.00%,M.HANMANTH RAO,male,61,TG2023AC21
Dharmapuri,22,SC,Karimnagar,Adluri Laxman Kumar,Indian National Congress,454014,179298,39.50%,22039,12.30%,NAGAIAH,male,57,TG2023AC22
Ramagundam,23,GEN,Karimnagar,Makkan Singh Raj Thakur,Indian National Congress,442471,151416,34.20%,56794,37.50%,KISHAN SINGH,male,52,TG2023AC23
Manthani,24,GEN,Karimnagar,Duddilla Sridhar Babu,Indian National Congress,473164,195767,41.40%,31380,16.00%,Duddilla Sripada Rao,male,54,TG2023AC24
Peddapalle,25,GEN,Karimnagar,Chinthakunta Vijaya Ramana Rao,Indian National Congress,509065,207079,40.70%,55108,26.60%,Govinda Rao,male,57,TG2023AC25
Karimnagar,26,GEN,Karimnagar,Gangula Kamalakar,Bharat Rashtra Samithi,710305,228505,32.20%,3163,1.40%,GANGULA MALLAIAH,male,56,TG2023AC26
Choppadandi,27,SC,Karimnagar,Medipally Sathyam,Indian National Congress,466374,180928,38.80%,37439,20.70%,BHUPAL,male,43,TG2023AC27
Vemulawada,28,GEN,Karimnagar,Aadi Srinivas,Indian National Congress,444560,172865,38.90%,14581,8.40%,AADI GOVINDU,male,57,TG2023AC28
Sircilla,29,GEN,Karimnagar,Kalvakuntla Taraka Rama Rao (K.T.R),Bharat Rashtra Samithi,489064,187898,38.40%,29687,15.80%,K.CHANDRASEKHAR RAO,male,47,TG2023AC29
Manakondur,30,SC,Karimnagar,Dr. Kavvampally Satyanarayana,Indian National Congress,443483,183831,41.50%,32365,17.60%,KAVVAMPALLY ELLAIAH,male,58,TG2023AC30
Huzurabad,31,GEN,Karimnagar,Kaushik Reddy Padi,Bharat Rashtra Samithi,499480,208103,41.70%,16873,8.10%,Padi Sainath Reddy,male,38,TG2023AC31
Husnabad,32,GEN,Karimnagar,Ponnam Prabhakar,Indian National Congress,484795,205476,42.40%,19344,9.40%,PONNAM SATAIAH,male,56,TG2023AC32
Siddipet,33,GEN,Medak,Thanneeru Harish Rao,Bharat Rashtra Samithi,467545,180103,38.50%,82308,45.70%,SATHYANARAYANA RAO,male,52,TG2023AC33
Medak,34,GEN,Medak,Mynampally Rohith,Indian National Congress,433668,185003,42.70%,10157,5.50%,HANUMANTHA RAO MYNAMPALLY,male,26,TG2023AC34
Narayankhed,35,GEN,Medak,Patlolla Sanjeeva Reddy,Indian National Congress,462494,193175,41.80%,6547,3.40%,PATLOLLA KISTA REDDY,male,61,TG2023AC35
Andole,36,SC,Medak,C. Damodar Rajanarsimha,Indian National Congress,498595,212202,42.60%,28193,13.30%,Rajanarsimha Cilarapu,male,64,TG2023AC36
Narsapur,37,GEN,Medak,Vakiti Sunitha Laxma Reddy,Bharat Rashtra Samithi,447251,196676,44.00%,8855,4.50%,Late V. Laxma Reddy,female,55,TG2023AC37
Zahirabad,38,SC,Medak,Koninty Manik Rao,Bharat Rashtra Samithi,541777,208476,38.50%,12790,6.10%,KONINTY BALAPPA,male,68,TG2023AC38
