ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Purola,1,SC,Uttarkashi,Durgeshwar Lal,Bharatiya Janta Party,109464.0,51302,46.90%,6296,12.30%,GULABU LAL,male,36.0,UK2022AC01
Yamunotri,2,GEN,Uttarkashi,Sanjay Dobhal,Independent,94620.0,51588,54.50%,6639,12.90%,Nathi Lal Dobhal,male,51.0,UK2022AC02
Gangotri,3,GEN,Uttarkashi,Suresh Singh Chauhan,Bharatiya Janta Party,87399.0,59408,68.00%,8029,13.50%,Prem Singh Chauhan,male,54.0,UK2022AC03
Badrinath,4,GEN,Chamoli,Rajendra Singh Bhandari,Indian National Congress,117939.0,67358,57.10%,2066,3.10%,Raghunath Singh Bhandari,male,57.0,UK2022AC04
Tharali,5,SC,Chamoli,Bhupal Ram Tamta,Bharatiya Janta Party,90798.0,62929,69.30%,8302,13.20%,Kishan Lal,male,63.0,UK2022AC05
Karnprayag,6,GEN,Chamoli,Anil Nautiyal,Bharatiya Janta Party,87311.0,58052,66.50%,6715,11.60%,Vidydatt,male,63.0,UK2022AC06
Kedarnath,7,GEN,Rudraprayag,Shaila Rani Rawat,Bharatiya Janta Party,113947.0,59972,52.60%,8463,14.10%,GAJENDRA SINGH,female,65.0,UK2022AC07
Rudraprayag,8,GEN,Rudraprayag,Bharat Singh Chaudhary,Bharatiya Janta Party,105735.0,62526,59.10%,9802,15.70%,CHHAUTAN SINGH CHAUDHARY,male,62.0,UK2022AC08
Ghanshali,9,SC,Tehri Garhwal,Shakti Lal Shah,Bharatiya Janta Party,101772.0,49026,48.20%,10285,21.00%,GOBARU SHAH,male,54.0,UK2022AC09
Deoprayag,10,GEN,Tehri Garhwal,Vinod Kandari,Bharatiya Janta Party,120524.0,47508,39.40%,2588,5.40%,Jeet Singh,male,40.0,UK2022AC10
Narendranagar,11,GEN,Tehri Garhwal,Subodh Uniyal,Bharatiya Janta Party,94056.0,56758,60.30%,1798,3.20%,LATE SHRI DHARMANAND UNIYAL,male,61.0,UK2022AC11
Pratapnagar,12,GEN,Tehri Garhwal,Vikram Singh Negi,Indian National Congress,97946.0,42132,43.00%,2341,5.60%,Late Sundra Singh,male,54.0,UK2022AC12
Tehri,13,GEN,Tehri Garhwal,Kishore Upadhyay,Bharatiya Janta Party,81028.0,46386,57.20%,951,2.10%,Late Shri Pitambar Dutt,male,64.0,UK2022AC13
Dhanolti,14,GEN,Tehri Garhwal,Pritam Singh Panwar,Bharatiya Janta Party,88690.0,56113,63.30%,4684,8.30%,Manohar Panwar,male,56.0,UK2022AC14
Chakrata,15,ST,Dehradun,Pritam Singh,Indian National Congress,91603.0,71394,77.90%,9436,13.20%,Gulab Singh,male,63.0,UK2022AC15
Vikasnagar,16,GEN,Dehradun,Munna Singh Chauhan,Bharatiya Janta Party,94604.0,81192,85.80%,5193,6.40%,Tulsi Singh Chauhan,male,61.0,UK2022AC16
Sahaspur,17,GEN,Dehradun,Sahdev Singh Pundir,Bharatiya Janta Party,108949.0,124751,114.50%,8355,6.70%,SHRI VEER SINGH,male,56.0,UK2022AC17
Dharampur,18,GEN,Dehradun,Vinod Chamoli,Bharatiya Janta Party,97430.0,118321,121.40%,10090,8.50%,SHRI CHANDRA MOHAN CHAMOLI,male,60.0,UK2022AC18
Raipur,19,GEN,Dehradun,Umesh Sharma Kau,Bharatiya Janta Party,121488.0,108360,89.20%,30052,27.70%,SHIV NANDAN SHARMA,male,67.0,UK2022AC19
Rajpur Road,20,SC,Dehradun,Khajan Dass,Bharatiya Janta Party,101482.0,68439,67.40%,11163,16.30%,SANTA DASS,male,63.0,UK2022AC20
Dehradun Cantt.,21,GEN,Dehradun,Savita Kapoor,Bharatiya Janta Party,110734.0,76278,68.90%,20938,27.40%,,,,UK2022AC21
Mussoorie,22,GEN,Dehradun,Ganesh Joshi,Bharatiya Janta Party,151985.0,78685,51.80%,15325,19.50%,Shyam Dutt Joshi,male,64.0,UK2022AC22
Doiwala,23,GEN,Dehradun,Brij Bhushan Gairola,Bharatiya Janta Party,173190.0,112508,65.00%,29021,25.80%,CHIRANJIVIKA DUTT,male,59.0,UK2022AC23
