ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Mekliganj,1,SC,Koch Bihar,Adhikary Paresh Chandra,All India Trinamool Congress,216863,196297,90.50%,14685,7.50%,DATTA NARAYAN ADHIKARY,male,68.0,WB2021AC01
Mathabhanga,2,SC,Koch Bihar,Sushil Barman,Bharatiya Janta Party,241785,212760,88.00%,26134,12.30%,Keshari Mohan Barman,male,55.0,WB2021AC02
Coochbehar Uttar,3,SC,Koch Bihar,Sukumar Roy,Bharatiya Janta Party,272055,242346,89.10%,14615,6.00%,Lt. PURNA CHANDRA ROY,male,52.0,WB2021AC03
Cooch Behar Dakshin,4,GEN,Koch Bihar,Nikhil Ranjan Dey,Bharatiya Janta Party,223409,194041,86.90%,4931,2.50%,Lt. Nirmal Kumar Dey,male,63.0,WB2021AC04
Sitalkuchi,5,SC,Koch Bihar,Baren Chandra Barman,Bharatiya Janta Party,275718,243223,88.20%,17815,7.30%,Anil Chandra Barman,male,47.0,WB2021AC05
Sitai,6,SC,Koch Bihar,Jagadish Chandra Barma Basunia,All India Trinamool Congress,277195,237001,85.50%,10112,4.30%,LATE KALIPADA BARMA BASUNIA,male,57.0,WB2021AC06
Dinhata,7,GEN,Koch Bihar,Nisith Pramanik,Bharatiya Janta Party,288755,242214,83.90%,57,0.00%,BIDHU BHUSHAN PRAMANIK,male,35.0,WB2021AC07
Natabari,8,GEN,Koch Bihar,Mihir Goswami,Bharatiya Janta Party,235277,216027,91.80%,23440,10.90%,Late Radhakanta Goswami,male,67.0,WB2021AC08
Tufanganj,9,GEN,Koch Bihar,Malati Rava Roy,Bharatiya Janta Party,225957,207309,91.70%,31198,15.00%,Sri Indra Mohan Rava,female,56.0,WB2021AC09
Kumargram,10,ST,Jalpaiguri,Manoj Kumar Oraon,Bharatiya Janta Party,262523,229771,87.50%,11001,4.80%,JIT BAHAN ORAON,male,41.0,WB2021AC10
Kalchini,11,ST,Jalpaiguri,Bishal Lama,Bharatiya Janta Party,235747,193438,82.10%,28576,14.80%,PRADUMAN LAMA,male,39.0,WB2021AC11
Alipurduars,12,GEN,Jalpaiguri,Suman Kanjilal,Bharatiya Janta Party,249955,220751,88.30%,16007,7.30%,LATE SANTOSH KUMAR KANJILAL,male,50.0,WB2021AC12
Falakata,13,SC,Jalpaiguri,Dipak Barman,Bharatiya Janta Party,244577,218530,89.40%,3990,1.80%,SURESH CHANDRA BARMAN,male,46.0,WB2021AC13
Madarihat,14,ST,Jalpaiguri,Manoj Tigga,Bharatiya Janta Party,203369,164298,80.80%,29685,18.10%,LT SHIBCHARAN TIGGA,male,48.0,WB2021AC14
Dhupguri,15,SC,Jalpaiguri,Bishnu Pada Ray,Bharatiya Janta Party,251681,227339,90.30%,4355,1.90%,LATE MANGALA KANTA RAY,male,58.0,WB2021AC15
Maynaguri,16,SC,Jalpaiguri,Kaushik Roy,Bharatiya Janta Party,251373,232998,92.70%,11911,5.10%,Late Nayan Chandra Roy,male,37.0,WB2021AC16
Jalpaiguri,17,SC,Jalpaiguri,Dr. Pradip Kumar Barma,All India Trinamool Congress,255367,222552,87.10%,941,0.40%,KALISANKAR BARMA,male,66.0,WB2021AC17
Rajganj,18,SC,Jalpaiguri,Khageswar Roy,All India Trinamool Congress,233909,212580,90.90%,15773,7.40%,RAMKAMAL ROY,male,69.0,WB2021AC18
Dabgram-Fulbari,19,GEN,Jalpaiguri,Sikha Chatterjee,Bharatiya Janta Party,283991,255590,90.00%,27593,10.80%,Chittaranjan Chatterjee,female,68.0,WB2021AC19
Mal,20,ST,Jalpaiguri,Bulu Chik Baraik,All India Trinamool Congress,242262,208556,86.10%,5465,2.60%,FIRU CHIK BARAIK,male,61.0,WB2021AC20
Nagrakata,21,ST,Jalpaiguri,Puna Bhengra,Bharatiya Janta Party,226232,185715,82.10%,23475,12.60%,LATE CHUWA BHENGRA,male,46.0,WB2021AC21
Kalimpong,22,GEN,Darjiling,Ruden Sada Lepcha,Independent,205460,152703,74.30%,3870,2.50%,LATE NIM TSHERING LEPCHA,male,51.0,WB2021AC22
Darjeeling,23,GEN,Darjiling,Neeraj Tamang Zimba,Bharatiya Janta Party,238967,166035,69.50%,21276,12.80%,TEK DHOJ ZIMBA (TAMANG),male,39.0,WB2021AC23
Kurseong,24,GEN,Darjiling,Bishnu Prasad Sharma (alias B.P. Bajgain),Bharatiya Janta Party,229918,173128,75.30%,15515,9.00%,Gangadhar Sharma,male,52.0,WB2021AC24
Matigara-Naxalbari,25,SC,Darjiling,Anandamay Barman,Bharatiya Janta Party,267440,236679,88.50%,70848,29.90%,Surendra Nath Barman,male,38.0,WB2021AC25
Siliguri,26,GEN,Darjiling,Sankar Ghosh,Bharatiya Janta Party,215514,176576,81.90%,35586,20.20%,GOBINDA GHOSH,male,48.0,WB2021AC26
Phansidewa,27,ST,Darjiling,Durga Murmu,Bharatiya Janta Party,224231,205015,91.40%,27711,13.50%,Mangal Murmu,male,42.0,WB2021AC27
Chopra,28,GEN,Uttar Dinajpur,Hamidul Rahaman,All India Trinamool Congress,229766,202579,88.20%,64905,32.00%,LATE DHAN MOHAMMAD,male,61.0,WB2021AC28
Islampur,29,GEN,Uttar Dinajpur,Abdul Karim Chowdhary,All India Trinamool Congress,204047,167998,82.30%,37440,22.30%,LATE YUSUF CHOWDHARY,male,74.0,WB2021AC29
Goalpokhar,30,GEN,Uttar Dinajpur,Md. Ghulam Rabbani,All India Trinamool Congress,215676,159519,74.00%,73514,46.10%,MD. IMAJUDDIN,male,51.0,WB2021AC30
Chakulia,31,GEN,Uttar Dinajpur,Azad Minhajul Arfin,All India Trinamool Congress,221341,172214,77.80%,33837,19.60%,LATE ATIUR RAHMAN AZAD,male,49.0,WB2021AC31
Karandighi,32,GEN,Uttar Dinajpur,Goutam Paul,All India Trinamool Congress,246568,210687,85.40%,36626,17.40%,LATE ATUL CHANDRA PAUL,male,42.0,WB2021AC32
Hemtabad,33,SC,Uttar Dinajpur,Satyajit Barman,All India Trinamool Congress,252705,221141,87.50%,27215,12.30%,LATE DHIRENDRA NATH BARMAN,male,40.0,WB2021AC33
Kaliaganj,34,SC,Uttar Dinajpur,Soumen Roy,Bharatiya Janta Party,269942,236719,87.70%,21820,9.20%,SACHIN ROY,male,45.0,WB2021AC34
Raiganj,35,GEN,Uttar Dinajpur,Krishna Kalyani,Bharatiya Janta Party,190893,158879,83.20%,20748,13.10%,LATE DINDAYAL KALYANI,male,42.0,WB2021AC35
Itahar,36,GEN,Uttar Dinajpur,Mosaraf Hussen,All India Trinamool Congress,218591,192746,88.20%,43975,22.80%,Late Yeakub Ali Sarkar,male,40.0,WB2021AC36
Kushmandi,37,SC,Dakshin Dinajpur,Rekha Roy,All India Trinamool Congress,209600,182477,87.10%,12584,6.90%,NAKUL ROY,female,34.0,WB2021AC37
Kumarganj,38,GEN,Dakshin Dinajpur,Toraf Hossain Mandal,All India Trinamool Congress,194392,169803,87.40%,29367,17.30%,LT. HAJI RAHIMUDDIN MANDAL,male,61.0,WB2021AC38
