PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
Adilabad,30,GEN,Andhra Pradesh,K. Ashanna,Indian National Congress,365889,176662,48.3 %
Adoni,22,GEN,Andhra Pradesh,Pendekanti Venkata Subbaiah,Indian National Congress,393171,117937,30.0 %
Agra,320,GEN,Uttar Pradesh [1947 - 1999],Seth Achal Singh,Indian National Congress,392127,220877,56.3 %
Ahmedabad,102,GEN,Bombay,Yagnik Indulal Kanaiyalal,Independent,699036,942069,67.4 %
Ahmedabad,102,GEN,Bombay,Parmar Karsandas Ukabhai,Independent,699036,942069,67.4 %
Ahmednagar,127,GEN,Bombay,Khadilakar Raghunath Keshav,Independent,339802,163580,48.1 %
Ajmer,291,GEN,Rajasthan,Mukat Behari Lal,Indian National Congress,379476,176072,46.4 %
Akola,135,GEN,Bombay,Khedkar Gopalrao Bajirao,Indian National Congress,779310,971850,62.4 %
Akola,135,GEN,Bombay,Bhatkar Laxman Shrawan,Indian National Congress,779310,971850,62.4 %
Aligarh,318,GEN,Uttar Pradesh [1947 - 1999],Nardeo,Indian National Congress,875458,882486,50.4 %
Aligarh,318,GEN,Uttar Pradesh [1947 - 1999],A. J. Y. Khwaja,Indian National Congress,875458,882486,50.4 %
Allahabad,333,GEN,Uttar Pradesh [1947 - 1999],Lal Bahadur,Indian National Congress,415162,213814,51.5 %
Almora,298,GEN,Uttar Pradesh [1947 - 1999],Har Govind,Indian National Congress,374895,89971,24.0 %
Alwar,284,GEN,Rajasthan,Shobha Ram,Indian National Congress,396427,180679,45.6 %
Ambala,264,GEN,Punjab,Subhdra Joshi,Indian National Congress,788454,920446,58.4 %
Ambala,264,GEN,Punjab,Chuni Lal,Indian National Congress,788454,920446,58.4 %
Ambalapuzha,152,GEN,Kerala,"Punnoose, P. T.",Communist Party Of India,431468,324471,75.2 %
Amravati,136,GEN,Bombay,Deshmukh Panjabrao Shamrao,Indian National Congress,407788,256779,63.0 %
Amritsar,273,GEN,Punjab,Gurmukh Singh Musafir,Indian National Congress,414205,259509,62.7 %
Amroha,309,GEN,Uttar Pradesh [1947 - 1999],Hifzul Rahman,Indian National Congress,396101,189453,47.8 %
Anand,104,GEN,Bombay,Patel Maniben Vallabbhai,Indian National Congress,420787,283003,67.3 %
Anantapur,20,GEN,Andhra Pradesh,T. Nagi Reddy,Communist Party Of India,423056,194554,46.0 %
Angul,260,GEN,Orissa,Badkumar Pratap Ganga Deb,Ganatantra Parishad,405988,147667,36.4 %
Asansol,374,GEN,West Bengal,Mono Mohan Das,Indian National Congress,790322,629589,39.8 %
Asansol,374,GEN,West Bengal,Atulya Ghosh,Indian National Congress,790322,629589,39.8 %
Aurangabad,78,GEN,Bihar [1947 - 1999],Satyendra Narain Singh,Indian National Congress,355668,141292,39.7 %
Aurangabad,148,GEN,Bombay,Tirth Swami Ramanand,Indian National Congress,376048,133713,35.6 %
Autonomous Districts,37,ST,Assam,"Hynniewta, Hoover",Independent,393735,117177,29.8 %
Azamgarh,343,GEN,Uttar Pradesh [1947 - 1999],Kalika,Indian National Congress,826991,684649,41.4 %
Azamgarh,343,GEN,Uttar Pradesh [1947 - 1999],Vishwanath Prasad,Indian National Congress,826991,684649,41.4 %
Badagara,162,GEN,Kerala,Menon K. B.,Praja Socialist Party,447129,295682,66.1 %
Bagaha,46,GEN,Bihar [1947 - 1999],Bibhuti Mishra,Indian National Congress,300750,101822,33.9 %
Bahraich,351,GEN,Uttar Pradesh [1947 - 1999],Jogendra Singh,Indian National Congress,432205,145581,33.7 %
Balaghat,181,GEN,Madhya Pradesh [1947 - 1999],Chintaman Dhivruji,Indian National Congress,372502,179281,48.1 %
Balasore,256,GEN,Orissa,Kanhu Charan Jena,Indian National Congress,819485,693456,42.3 %
Balasore,256,GEN,Orissa,Bhagbat Sahu,Indian National Congress,819485,693456,42.3 %
Ballia,341,GEN,Uttar Pradesh [1947 - 1999],Radha Mohan,Indian National Congress,402218,186343,46.3 %
Baloda Bazar,185,GEN,Madhya Pradesh [1947 - 1999],Minimata,Indian National Congress,822256,530385,32.3 %
Baloda Bazar,185,GEN,Madhya Pradesh [1947 - 1999],Shukla Vidyacharan,Indian National Congress,822256,530385,32.3 %
Balrampur,353,GEN,Uttar Pradesh [1947 - 1999],Atal Bihari Vajpayee,All India Bhartiya Jan Sangh,442845,226948,51.3 %
Banaskantha,98,GEN,Bombay,Chawda Akbarbhai Dalumiya,Indian National Congress,344894,122033,35.4 %
Banda,327,GEN,Uttar Pradesh [1947 - 1999],Raja Dinesh Singh,Indian National Congress,413363,128148,31.0 %
Bangalore,245,GEN,Mysore,H. C. Dasappa,Indian National Congress,356393,209755,58.9 %
Bangalore City,244,GEN,Mysore,Keshava Iyengar Alias N. Keshava,Indian National Congress,354949,153807,43.3 %
Banka,67,GEN,Bihar [1947 - 1999],Shakuntala Devi,Indian National Congress,389809,154018,39.5 %
Bankura,376,GEN,West Bengal,Pashupati Mandal,Indian National Congress,806812,609454,37.8 %
Bankura,376,GEN,West Bengal,Ramgati Banerjee,Indian National Congress,806812,609454,37.8 %
Banswara,288,ST,Rajasthan,Bhogji,Indian National Congress,395155,163336,41.3 %
Bara Banki,355,GEN,Uttar Pradesh [1947 - 1999],Ram Sewak Yadav,Independent,809955,727552,44.9 %
Bara Banki,355,GEN,Uttar Pradesh [1947 - 1999],Swami Ramanand,Indian National Congress,809955,727552,44.9 %
Baramati,118,GEN,Bombay,Jadhe Keshvrao Marutirao,Indian National Congress,334734,147726,44.1 %
Barasat,392,GEN,West Bengal,Arun Chandra Guha,Indian National Congress,483642,273525,56.6 %
Bareilly,312,GEN,Uttar Pradesh [1947 - 1999],Satish Chandra,Indian National Congress,366076,156795,42.8 %
Barh,73,GEN,Bihar [1947 - 1999],Tarkeshwari Devi,Indian National Congress,356840,167987,47.1 %
Barmer,294,GEN,Rajasthan,H. H. Raghunath Singh,Independent,406094,131018,32.3 %
Baroda,107,GEN,Bombay,Gaekwar Fatehsinhrao Pratapsinhrao,Indian National Congress,373878,239276,64.0 %
Barrackpore,391,GEN,West Bengal,Bimal Coomar Ghose,Praja Socialist Party,430339,241747,56.2 %
Basirhat,390,GEN,West Bengal,Paresh Nath Kayal,Indian National Congress,893132,854749,47.9 %
Basirhat,390,GEN,West Bengal,Renu Chakravartty,Communist Party Of India,893132,854749,47.9 %
Bastar,183,ST,Madhya Pradesh [1947 - 1999],Surti Kistaiya (S. T. ),Indian National Congress,370085,182645,49.4 %
Basti,349,GEN,Uttar Pradesh [1947 - 1999],"Malviya, Keshva Deva",Indian National Congress,807318,782198,48.4 %
Basti,349,GEN,Uttar Pradesh [1947 - 1999],Ram Garib,Independent,807318,782198,48.4 %
Begusarai,71,GEN,Bihar [1947 - 1999],Mathura Prasad Mishra,Indian National Congress,402037,217368,54.1 %
Belgaum,227,GEN,Mysore,Datar Balwantrao Nageshrao,Indian National Congress,371732,236321,63.6 %
Bellary,236,GEN,Mysore,T. Subramanyam,Indian National Congress,426694,267052,62.6 %
Berhampore,371,GEN,West Bengal,Tridib Chowdhuri,Independent,458726,263161,57.4 %
Bhagalpur,68,GEN,Bihar [1947 - 1999],Banarshi Prasad Jhunjhunwala,Indian National Congress,405868,180611,44.5 %
Bhandara,139,GEN,Bombay,Wasnik Balkrishna Ramchandra,Indian National Congress,815989,872824,53.5 %
Bhandara,139,GEN,Bombay,Hajarnavis Ramchandra Martand,Indian National Congress,815989,872824,53.5 %
Bharatpur,285,GEN,Rajasthan,Raj Bahadur,Indian National Congress,393292,214264,54.5 %
Bhatinda,278,GEN,Punjab,Hukam Singh,Indian National Congress,859582,917397,53.4 %
Bhatinda,278,GEN,Punjab,Ajit Singh,Indian National Congress,859582,917397,53.4 %
Bhilwara,290,GEN,Rajasthan,Ramesh Chandra,Indian National Congress,411280,135348,32.9 %
Bhir,145,GEN,Bombay,Rakhamaji Dhondiba,Indian National Congress,377932,124103,32.8 %
Bhopal,174,GEN,Madhya Pradesh [1947 - 1999],Maimoona Sultan,Indian National Congress,427607,196698,46.0 %
Bhubaneswar,261,GEN,Orissa,Nrusinha Charan Samantasinhar,Indian National Congress,413128,162395,39.3 %
Bijapur North,232,GEN,Mysore,Sugandhi Murigappa Siddappa,Independent,353151,177852,50.4 %
Bijapur South,231,GEN,Mysore,Bidari Ramappa Balappa,Indian National Congress,385248,243679,63.3 %
Bijnor,308,GEN,Uttar Pradesh [1947 - 1999],Abdul Lateef,Indian National Congress,396807,236817,59.7 %
Bikaner,297,GEN,Rajasthan,Panna Lal,Indian National Congress,805673,685550,42.6 %
Bikaner,297,GEN,Rajasthan,Karni Singh,Independent,805673,685550,42.6 %
Bilaspur,188,GEN,Madhya Pradesh [1947 - 1999],Reshamlal,Indian National Congress,394210,137817,35.0 %
Bilhaur,330,GEN,Uttar Pradesh [1947 - 1999],Jagdish Awasthi,Independent,419831,190189,45.3 %
Birbhum,372,GEN,West Bengal,Kamal Krishna Das,Indian National Congress,861105,737913,42.9 %
Birbhum,372,GEN,West Bengal,Anil Kumar Chanda,Indian National Congress,861105,737913,42.9 %
Bisauli,317,GEN,Uttar Pradesh [1947 - 1999],Chaudhri Badan Singh,Indian National Congress,376622,165599,44.0 %
Bombay Cith North,114,GEN,Bombay,Krishna Menon Vengalil Krishnan,Indian National Congress,455745,295675,64.9 %
Bombay City Central,113,GEN,Bombay,S A Dange,Communist Party Of India,783116,1055732,67.4 %
Bombay City Central,113,GEN,Bombay,Manay Gopal Kaluji,All India Scheduled Caste Federation,783116,1055732,67.4 %
Bombay City South,112,GEN,Bombay,Patil Sadashiv Kanoji,Indian National Congress,354614,226000,63.7 %
Broach,108,GEN,Bombay,Bhat Chandrashankar Manishankar,Indian National Congress,345539,218382,63.2 %
Budaun,316,GEN,Uttar Pradesh [1947 - 1999],Raghubir Sahai,Indian National Congress,392662,200751,51.1 %
Bulandshahr,307,GEN,Uttar Pradesh [1947 - 1999],Balmiki Kanhaiya Lal,Indian National Congress,841288,889621,52.9 %
Bulandshahr,307,GEN,Uttar Pradesh [1947 - 1999],Mishra Raghubar Dayal,Indian National Congress,841288,889621,52.9 %
Buldana,134,GEN,Bombay,Rane Shioram Rango,Indian National Congress,385924,246299,63.8 %
Bulsar,111,ST,Bombay,Patel Nanubhai Nichhabhai,Indian National Congress,389567,247069,63.4 %
Burdwan,373,GEN,West Bengal,Subiman Ghose,Forward Bloc (MARXIST),425282,213290,50.2 %
Buxar,76,GEN,Bihar [1947 - 1999],Kamal Singh,Independent,366736,171694,46.8 %
Cachar,36,GEN,Assam,Tewari Dwarika Nath,Indian National Congress,729793,393379,53.9 %
Cachar,36,GEN,Assam,"Laskar, Nibaran Chandra",Indian National Congress,729793,RU,
Calcutta Central,385,GEN,West Bengal,Hirendra Nath Mukherjee,Communist Party Of India,395778,208047,52.6 %
Calcutta East,386,GEN,West Bengal,Sadhan Ch. Gupta,Communist Party Of India,497202,228712,46.0 %
Calcutta North West,387,GEN,West Bengal,Asoke Kumar Sen,Indian National Congress,414217,205994,49.7 %
Calcutta South West,388,GEN,West Bengal,Biren Roy,Independent,403712,188647,46.7 %
Chamba,400,GEN,Himachal Pradesh,Padam Dev,Indian National Congress,170692,54157,31.7 %
Champaran,47,GEN,Bihar [1947 - 1999],Bipin Behari Verma,Indian National Congress,679590,484364,35.6 %
Champaran,47,GEN,Bihar [1947 - 1999],Bhola Raut,Indian National Congress,679590,484364,35.6 %
Chanda,140,GEN,Bombay,Swami V. N.,Indian National Congress,371606,217922,58.6 %
Chandauli,337,GEN,Uttar Pradesh [1947 - 1999],Tribhuwan Narayan,Indian National Congress,401536,232399,57.9 %
Chandni Chowk,395,GEN,Delhi,Radha Raman,Indian National Congress,171563,118019,68.8 %
Chapra,50,GEN,Bihar [1947 - 1999],Rajendra Singh,Praja Socialist Party,389668,166322,42.7 %
Chatra,81,GEN,Bihar [1947 - 1999],Vijaya Raje,Chota Nagpur Santhal Parganas Janta Party,341923,127716,37.4 %
Chhindwara,179,GEN,Madhya Pradesh [1947 - 1999],Bhikulal Lakhmichand,Indian National Congress,765324,509047,33.3 %
Chhindwara,179,GEN,Madhya Pradesh [1947 - 1999],Narayan Rao Wadiwa (ST),Indian National Congress,765324,509047,33.3 %
Chidambaram,202,GEN,Madras,R. Kanagasabai Pillai,Indian National Congress,840006,760540,45.3 %
Chidambaram,202,GEN,Madras,Elayaperumal,Indian National Congress,840006,760540,45.3 %
Chikodi,226,GEN,Mysore,Katti Datta Appa,All India Scheduled Caste Federation,361325,224840,62.2 %
Chingleput,194,GEN,Madras,Dr. A. Krishnaswamy,Independent,802716,702997,43.8 %
Chingleput,194,GEN,Madras,N. Sivaraj,Independent,802716,702997,43.8 %
Chirayinkil,150,GEN,Kerala,Kumaran,Communist Party Of India,390978,268222,68.6 %
Chitaldrug,237,GEN,Mysore,Musheer-Ul- Mulk J. M. Mahamed Imam Sab,Praja Socialist Party,418838,248507,59.3 %
Chittoor,17,GEN,Andhra Pradesh,M. Ananthasayanam Ayyangar,Indian National Congress,873993,244210,27.9 %
Chittoor,17,GEN,Andhra Pradesh,M.V. Gangadharasiva,Indian National Congress,873993,RU,
Coimbatore,224,GEN,Madras,Parvati,Communist Party Of India,462294,231245,50.0 %
Contai,383,GEN,West Bengal,Pramatha Nath Bandopadhaya,Praja Socialist Party,441736,271648,61.5 %
Cooch Behar,366,GEN,West Bengal,Santosh Banerjee,Indian National Congress,812583,769330,47.3 %
Cooch Behar,366,GEN,West Bengal,Upendranath Barman,Indian National Congress,812583,769330,47.3 %
Cuddalore,204,GEN,Madras,T. D. Muthukumarasamy,Independent,431659,231700,53.7 %
Cuddapah,19,GEN,Andhra Pradesh,V. Rami Reddy,Indian National Congress,456005,197562,43.3 %
Cuttack,258,GEN,Orissa,Nityananda Kanungo,Indian National Congress,434421,178408,41.1 %
Dahod,106,ST,Bombay,Dindod Jaljibhai Koyabhai,Indian National Congress,358134,170147,47.5 %
Darbhanga,60,GEN,Bihar [1947 - 1999],Shree Narayan Dass,Indian National Congress,798390,323395,20.3 %
Darbhanga,60,GEN,Bihar [1947 - 1999],Rameshwar Sahu,Indian National Congress,798390,RU,
Darjeeling,367,GEN,West Bengal,T. Manaen,Indian National Congress,335292,139729,41.7 %
Darrang,41,GEN,Assam,"Bhagavati, Bijoy Chandra",Indian National Congress,309968,RU,
Dausa,283,GEN,Rajasthan,Somani Gajadhar Hazari Lal,Indian National Congress,361856,139826,38.6 %
Dehra Dun,301,GEN,Uttar Pradesh [1947 - 1999],Mahavir Tyagi,Indian National Congress,368682,222150,60.3 %
Delhi Sadar,396,GEN,Delhi,Brahm Perkash,Indian National Congress,172245,117007,67.9 %
Deoria,345,GEN,Uttar Pradesh [1947 - 1999],Ramji Verma,Praja Socialist Party,403835,151917,37.6 %
Dhanbad,83,GEN,Bihar [1947 - 1999],Prabhat Chanra Bose,Indian National Congress,420606,139548,33.2 %
