PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Adilabad,35,GEN,Andhra Pradesh,P.Narasa Reddy,Indian National Congress,888183,580382,65.3 %,44365,7.6%
Adoor,17,GEN,Kerala,Kodikunnil Suresh,Indian National Congress,880093,692830,78.7 %,21542,3.1%
Agra,73,GEN,Uttar Pradesh [1947 - 1999],Ajay Singh,Janata Dal,887625,380736,42.9 %,76469,20.1%
Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,996893,584719,58.7 %,147357,25.2%
Ahmednagar,39,GEN,Maharashtra,Gadakh .Y.K.,Indian National Congress,984397,546602,55.5 %,153745,28.1%
Ajmer,12,GEN,Rajasthan,Rasa Singh,Bharatiya Janta Party,931802,555731,59.6 %,108039,19.4%
Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Ram Awadh,Janata Dal,956387,533057,55.7 %,85834,16.1%
Akola,19,GEN,Maharashtra,Phundkar Pandurang Pundlik,Bharatiya Janta Party,930019,668771,71.9 %,151369,22.6%
Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Satya Pal Malik,Janata Dal,928632,469410,50.6 %,78408,16.7%
Alipurduars,2,ST,West Bengal,Pius Tirkey,Revolutionary Socialist Party,906362,718825,79.3 %,85643,11.9%
Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Janeshwar Mishra,Janata Dal,961318,429188,44.7 %,38940,9.1%
Alleppey,15,GEN,Kerala,Vakkom Purushotham,Indian National Congress,884874,750995,84.9 %,25123,3.3%
Almora,3,GEN,Uttar Pradesh [1947 - 1999],Harish Chandra Singh Rawat,Indian National Congress,850800,372715,43.8 %,10801,2.9%
Alwar,8,GEN,Rajasthan,Ramji Lal Yadav,Janata Dal,951686,460604,48.4 %,88515,19.2%
Amalapuram,9,SC,Andhra Pradesh,Kusuma Krishna Murty,Indian National Congress,835700,648504,77.6 %,54781,8.4%
Ambala,1,SC,Haryana,Ram Parkash,Indian National Congress,899299,581089,64.6 %,22649,3.9%
Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Rajiv Gandhi,Indian National Congress,910177,425746,46.8 %,202138,47.5%
Amravati,21,GEN,Maharashtra,Sudam Deshmukh,Communist Party Of India,929879,540642,58.1 %,140239,25.9%
Amreli,7,GEN,Gujarat,Manubhai Kotadiya,Janata Dal,808611,473467,58.6 %,119892,25.3%
Amritsar,2,GEN,Punjab,Kirpal Singh,Independent,994500,588238,59.2 %,123213,20.9%
Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Har Govind,Janata Dal,924732,559200,60.5 %,148082,26.5%
Anakapalli,6,GEN,Andhra Pradesh,Konathala Ramakrishna,Indian National Congress,893262,659253,73.8 %,9,0.0%
Anand,20,GEN,Gujarat,Patel Nathubhai Manibhai,Bharatiya Janta Party,896601,585683,65.3 %,70299,12.0%
Anantapur,25,GEN,Andhra Pradesh,Anantha Venkata Reddy,Indian National Congress,1013902,676218,66.7 %,59482,8.8%
Anantnag,3,GEN,Jammu & Kashmir,P.L.Handoo,Jammu & Kashmir National Conference,736495,37377,5.1 %,35869,96.0%
