No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
35,GEN,Andhra Pradesh,S. Venugopala Chary,Telugu Desam,1072962,687157,64.0 %,37360,5.4%
17,GEN,Kerala,Kodikkunnil Suresh,Indian National Congress,940100,681578,72.5 %,65545,9.6%
73,GEN,Uttar Pradesh [1947 - 1999],Bhagwan Shankar Rawat,Bharatiya Janta Party,1193804,517028,43.3 %,84568,16.4%
10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,1279854,352150,27.5 %,98517,28.0%
39,GEN,Maharashtra,Maruti Deoram Alias Dada Patil Shelke,Indian National Congress,1108983,569866,51.4 %,49409,8.7%
12,GEN,Rajasthan,Rasa Singh Rawat,Bharatiya Janta Party,1058086,449205,42.5 %,38132,8.5%
27,SC,Uttar Pradesh [1947 - 1999],Ghanshyam Chandra Kharwar,Bahujan Samaj Party,1291142,634392,49.1 %,24567,3.9%
19,GEN,Maharashtra,Phundkar Pandurang Pundlik,Bharatiya Janta Party,1075426,647675,60.2 %,9053,1.4%
76,GEN,Uttar Pradesh [1947 - 1999],Sheela Gautam,Bharatiya Janta Party,1252135,509245,40.7 %,91048,17.9%
2,ST,West Bengal,Joachim Baxla,Revolutionary Socialist Party,1000857,854456,85.4 %,137810,16.1%
56,GEN,Uttar Pradesh [1947 - 1999],Murli Manohar Joshi,Bharatiya Janta Party,1391585,516276,37.1 %,103523,20.1%
15,GEN,Kerala,V M Sudheeran,Indian National Congress,973861,758374,77.9 %,25949,3.4%
3,GEN,Uttar Pradesh [1947 - 1999],Bachi Singh Rawat,Bharatiya Janta Party,933731,405090,43.4 %,56906,14.0%
8,GEN,Rajasthan,Nawal Kishore,Indian National Congress,1132574,438479,38.7 %,2433,0.6%
9,SC,Andhra Pradesh,K.S.R Murthy,Indian National Congress,908492,637642,70.2 %,29131,4.6%
1,SC,Haryana,Suraj Bhan,Bharatiya Janta Party,1098767,824298,75.0 %,87147,10.6%
25,GEN,Uttar Pradesh [1947 - 1999],Satish Sharma,Indian National Congress,1102927,426913,38.7 %,40143,9.4%
21,GEN,Maharashtra,Gudhe Anantrao Mahadeoappa,Shiv Sena,1099720,551610,50.2 %,58631,10.6%
7,GEN,Gujarat,Dileep Sanghani,Bharatiya Janta Party,805749,363412,45.1 %,108369,29.8%
2,GEN,Punjab,Raghnandan Lal Bhatia,Indian National Congress,1134857,667780,58.8 %,33672,5.0%
6,GEN,Uttar Pradesh [1947 - 1999],Pratap Singh,Samajwadi Party,1183008,674418,57.0 %,47600,7.1%
6,GEN,Andhra Pradesh,Ayyanna Paurudu Chintakayala,Telugu Desam,1037055,701725,67.7 %,50172,7.1%
20,GEN,Gujarat,Chavda Ishwarbhai Khodabhai,Indian National Congress,1017223,371592,36.5 %,31732,8.5%
25,GEN,Andhra Pradesh,Anantha Venkatarami Reddy,Indian National Congress,1214517,656251,54.0 %,78859,12.0%
3,GEN,Jammu & Kashmir,Mohamad Maqbool,Janata Dal,764670,383861,50.2 %,58084,15.1%
1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,211226,130918,62.0 %,43545,33.3%
11,GEN,Uttar Pradesh [1947 - 1999],Kunwar Sarvraj Singh,Samajwadi Party,1009939,487473,48.3 %,6792,1.4%
6,SC,Tamil Nadu,Velu.A.M,Tamil Maanila Congress (MOOPANAR),1034646,757483,73.2 %,264845,35.0%
28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),1067420,931653,87.3 %,226333,24.3%
22,SC,Bihar [1947 - 1999],Sukdeo Paswan,Janata Dal,1049489,594913,56.7 %,48278,8.1%
36,GEN,Bihar [1947 - 1999],Chandra Deo Prasad Verma,Janata Dal,1101975,644523,58.5 %,41041,6.4%
2,GEN,Arunachal Pradesh,Wangcha Rajkumar,Independent,233293,129892,55.7 %,7271,5.6%
1,GEN,Arunachal Pradesh,Tomo Riba,Independent,311147,169788,54.6 %,39616,23.3%
38,SC,West Bengal,Haradhan Roy,Communist Party Of India (MARXIST),1207881,841736,69.7 %,46950,5.6%
10,GEN,Orissa,Biju Patnaik,Janata Dal,1120144,559142,49.9 %,81094,14.5%
40,GEN,Bihar [1947 - 1999],Virendra Kumar Singh,Janata Dal,1088114,546176,50.2 %,23032,4.2%
33,GEN,Maharashtra,Jaiswal Pradeep,Shiv Sena,1318963,697581,52.9 %,114579,16.4%
3,ST,Assam,Jayanta Rongpi,Autonomous State Demand Committee,446596,356558,79.8 %,103130,28.9%
45,GEN,Uttar Pradesh [1947 - 1999],Rama Kant Yadav,Samajwadi Party,1205790,592402,49.1 %,22081,3.7%
