PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
Adilabad,1,ST,Andhra Pradesh,Rathod Ramesh,Telugu Desam,1131211,863248,76.3 %,115087,13.3%,AC View
Agra,18,SC,Uttar Pradesh [2000 Onwards],Dr. Ramshankar,Bharatiya Janta Party,1539683,648793,42.1 %,9715,1.5%,AC View
Ahmadnagar,37,GEN,Maharashtra,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,1517951,787153,51.9 %,46731,5.9%,AC View
Ahmedabad East,7,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,1411761,597395,42.3 %,86056,14.4%,AC View
Ahmedabad West,8,SC,Gujarat,Dr. Solanki Kiritbhai Premajibhai,Bharatiya Janta Party,1431080,690071,48.2 %,91127,13.2%,AC View
Ajmer,13,GEN,Rajasthan,Sachin Pilot,Indian National Congress,1455339,771272,53.0 %,76135,9.9%,AC View
Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Rajaram Pal,Indian National Congress,1461050,637264,43.6 %,32043,5.0%,AC View
Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1480606,740014,50.0 %,64848,8.8%,AC View
Alappuzha,15,GEN,Kerala,K.C Venugopal,Indian National Congress,1147162,911120,79.4 %,57635,6.3%,AC View
Alathur,9,SC,Kerala,P.K Biju,Communist Party Of India (MARXIST),1100843,830044,75.4 %,20960,2.5%,AC View
Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Raj Kumari Chauhan,Bahujan Samaj Party,1345351,694110,51.6 %,16557,2.4%,AC View
Alipurduars,2,ST,West Bengal,Manohar Tirkey,Revolutionary Socialist Party,1229301,934622,76.0 %,112822,12.1%,AC View
Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Raman Singh,Samajwadi Party,1267492,550220,43.4 %,34920,6.3%,AC View
Almora,3,SC,Uttarakhand,Pradeep Tamta,Indian National Congress,1057379,481891,45.6 %,6950,1.4%,AC View
Alwar,8,GEN,Rajasthan,Jitendra Singh,Indian National Congress,1373384,762306,55.5 %,156619,20.5%,AC View
Amalapuram,24,SC,Andhra Pradesh,G.V.Harsha Kumar,Indian National Congress,1275287,1027127,80.5 %,40005,3.9%,AC View
Ambala,1,SC,Haryana,Selja,Indian National Congress,1264907,866507,68.5 %,14570,1.7%,AC View
Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Rakesh Pandey,Bahujan Samaj Party,1494838,810886,54.3 %,22736,2.8%,AC View
Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,1431787,646653,45.2 %,370198,57.2%,AC View
Amravati,7,SC,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,1423855,732573,51.5 %,61716,8.4%,AC View
Amreli,14,GEN,Gujarat,Kachhadia Naranbhai,Bharatiya Janta Party,1312733,524642,40.0 %,37317,7.1%,AC View
Amritsar,2,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,1241099,814503,65.6 %,6858,0.8%,AC View
Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Devendra Nagpal,Rashtriya Lok Dal,1173915,706599,60.2 %,92083,13.0%,AC View
Anakapalli,22,GEN,Andhra Pradesh,Sabbam Hari,Indian National Congress,1331695,1051708,79.0 %,52912,5.0%,AC View
Anand,16,GEN,Gujarat,Solanki Bharatbhai Madhavsinh,Indian National Congress,1397162,676072,48.4 %,67318,10.0%,AC View
Anandpur Sahib,6,GEN,Punjab,Ravneet Singh,Indian National Congress,1338596,904606,67.6 %,67204,7.4%,AC View
Anantapur,36,GEN,Andhra Pradesh,Anantha Venkata Rami Reddy,Indian National Congress,1411460,1002775,71.1 %,77921,7.8%,AC View
Anantnag,3,GEN,Jammu & Kashmir,Mirza Mehboob Beg,Jammu & Kashmir National Conference,1176223,318726,27.1 %,5224,1.6%,AC View
Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Shri. Bishnu Pada Ray,Bharatiya Janta Party,265108,170107,64.2 %,2990,1.8%,AC View
Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Menka Gandhi,Bharatiya Janta Party,1310878,704611,53.8 %,7681,1.1%,AC View
Arakkonam,7,GEN,Tamil Nadu,Jagathrakshakan,Dravida Munetra Kazhagam,1098607,854683,77.8 %,109796,12.8%,AC View
Arambagh,29,SC,West Bengal,Malik Sakti Mohan,Communist Party Of India (MARXIST),1375377,1163581,84.6 %,201558,17.3%,AC View
Arani,12,GEN,Tamil Nadu,Krishnasswamy M,Indian National Congress,1097865,843076,76.8 %,106830,12.7%,AC View
Araria,9,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,1311225,730459,55.7 %,22502,3.1%,AC View
Arrah,32,GEN,Bihar [2000 Onwards],Meena Singh,Janata Dal (United),1555122,556364,35.8 %,74720,13.4%,AC View
Aruku,18,ST,Andhra Pradesh,Kishore Chandra Suryanarayana Deo Vyricherla,Indian National Congress,1182514,796043,67.3 %,192444,24.2%,AC View
Arunachal East,2,GEN,Arunachal Pradesh,Ninong Ering,Indian National Congress,301173,214930,71.4 %,68449,31.8%,AC View
Arunachal West,1,GEN,Arunachal Pradesh,Takam Sanjoy,Indian National Congress,433368,285666,65.9 %,1314,0.5%,AC View
Asansol,40,GEN,West Bengal,Bansa Gopal Chowdhury,Communist Party Of India (MARXIST),1250052,893860,71.5 %,72956,8.2%,AC View
Aska,19,GEN,Orissa,Nityananda Pradhan,Biju Janata Dal,1286194,701795,54.6 %,232834,33.2%,AC View
Attingal,19,GEN,Kerala,Adv. A Sampath,Communist Party Of India (MARXIST),1091432,725168,66.4 %,18341,2.5%,AC View
Aurangabad,37,GEN,Bihar [2000 Onwards],Sushil Kumar Singh,Janata Dal (United),1376323,598332,43.5 %,72058,12.0%,AC View
Aurangabad,19,GEN,Maharashtra,Chandrakant Khaire,Shiv Sena,1417964,598332,42.2 %,33014,5.5%,AC View
Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,693407,480748,69.3 %,74548,15.5%,AC View
Azamgarh,69,GEN,Uttar Pradesh [2000 Onwards],Ramakant Yadav,Bharatiya Janta Party,1578854,705508,44.7 %,49039,7.0%,AC View
Badaun,23,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Yadav,Samajwadi Party,1405695,737438,52.5 %,32542,4.4%,AC View
Bagalkot,3,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1363359,859976,63.1 %,35446,4.1%,AC View
Baghpat,11,GEN,Uttar Pradesh [2000 Onwards],Ajit Singh,Rashtriya Lok Dal,1280602,613758,47.9 %,63027,10.3%,AC View
Baharampur,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,1179938,953789,80.8 %,186977,19.6%,AC View
Bahraich,56,SC,Uttar Pradesh [2000 Onwards],Kamal Kishor,Indian National Congress,1246823,512702,41.1 %,38953,7.6%,AC View
Balaghat,15,GEN,Madhya Pradesh [2000 Onwards],K. D. Deshmukh,Bharatiya Janta Party,1339239,756832,56.5 %,40819,5.4%,AC View
Balasore,6,GEN,Orissa,Srikant Kumar Jena,Indian National Congress,1269342,892345,70.3 %,38900,4.4%,AC View
