#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Ichchapuram,120,GEN,Srikakulam,Ashok Bendalam,Telugu Desam,224164,160919,71.8 %,25278,15.7%
2,Palasa,121,GEN,Srikakulam,Gouthu Syam Sunder Sivaji,Telugu Desam,190099,137294,72.2 %,17525,12.8%
3,Tekkali,122,GEN,Srikakulam,Atchannaidu Kinjarapu,Telugu Desam,204522,160394,78.4 %,8387,5.2%
4,Pathapatnam,123,GEN,Srikakulam,Kalamata Venkata Ramana Murthy,Yuvajana Sramika Rythu Congress Party,191844,141038,73.5 %,3865,2.7%
5,Srikakulam,124,GEN,Srikakulam,Gunda Lakshmi Devi,Telugu Desam,227799,164523,72.2 %,24131,14.7%
6,Amadalavalasa,125,GEN,Srikakulam,Koona Ravikumar,Telugu Desam,173547,134113,77.3 %,5449,4.1%
7,Etcherla,126,GEN,Srikakulam,Kalavenkatarao Kimidi,Telugu Desam,210224,174001,82.8 %,4741,2.7%
8,Narasannapeta,127,GEN,Srikakulam,Ramanamurty Baggu,Telugu Desam,195690,155156,79.3 %,4800,3.1%
9,Rajam,128,SC,Srikakulam,Kambala Jogulu,Yuvajana Sramika Rythu Congress Party,199230,147887,74.2 %,512,0.3%
10,Palakonda,129,ST,Srikakulam,Viswasarayi Kalavathi,Yuvajana Sramika Rythu Congress Party,168126,121428,72.2 %,1620,1.3%
11,Kurupam,130,ST,Vizianagaram,Pamula Pushpa Sreevani,Yuvajana Sramika Rythu Congress Party,176121,133254,75.7 %,19083,14.3%
12,Parvathipuram,131,SC,Vizianagaram,Bobbili Chiranjeevulu,Telugu Desam,173636,130278,75.0 %,6129,4.7%
13,Salur,132,ST,Vizianagaram,Rajanna Dora Peedika,Yuvajana Sramika Rythu Congress Party,175045,134857,77.0 %,4997,3.7%
14,Bobbili,133,GEN,Vizianagaram,Venkata Sujay Krishna Ranga Rao Ravu,Yuvajana Sramika Rythu Congress Party,211275,168281,79.7 %,6958,4.1%
15,Cheepurupalle,134,GEN,Vizianagaram,Kimidi Mrunalini,Telugu Desam,189293,154054,81.4 %,20842,13.5%
16,Gajapathinagaram,135,GEN,Vizianagaram,Appalanaidu Kondapalli,Telugu Desam,186884,159713,85.5 %,19423,12.2%
17,Nellimarla,136,GEN,Vizianagaram,Narayana Swamy Naidu Pathivada,Telugu Desam,189000,166194,87.9 %,6973,4.2%
18,Vizianagaram,137,GEN,Vizianagaram,Geetha Meesala,Telugu Desam,215950,155206,71.9 %,15404,9.9%
19,Srungavarapukota,138,GEN,Vizianagaram,Kolla Lalitha Kumari,Telugu Desam,202257,172112,85.1 %,28537,16.6%
20,Bhimli,139,GEN,Visakhapatnam,Ganta Srinivasa Rao,Telugu Desam,281340,211886,75.3 %,37226,17.6%
21,Visakhapatnam East,140,GEN,Visakhapatnam,Ramakrishna Babu Velagapudi,Telugu Desam,256552,166453,64.9 %,47883,28.8%
22,Visakhapatnam South,141,GEN,Visakhapatnam,Vasupalli Ganesh Kumar,Telugu Desam,197427,129613,65.7 %,18316,14.1%
23,Visakhapatnam North,142,GEN,Visakhapatnam,Penmetsa Vishnu Kumar Raju,Bharatiya Janta Party,266582,159862,60.0 %,18240,11.4%
24,Visakhapatnam West,143,GEN,Visakhapatnam,P.G.V.R. Naidu (GANA BABU),Telugu Desam,226721,135523,59.8 %,30857,22.8%
25,Gajuwaka,144,GEN,Visakhapatnam,Palla Srinivas Rao,Telugu Desam,289939,188401,65.0 %,21712,11.5%
26,Chodavaram,145,GEN,Visakhapatnam,Kalidindi Surya Naga Sanyasi Raju (BABU),Telugu Desam,196418,166583,84.8 %,909,0.5%
27,V.Madugula,146,GEN,Visakhapatnam,Budi. Mutyala Naidu,Yuvajana Sramika Rythu Congress Party,173829,147160,84.7 %,4761,3.2%
28,Araku Valley,147,ST,Visakhapatnam,Kidari Sarveswara Rao,Yuvajana Sramika Rythu Congress Party,214085,150109,70.1 %,34053,22.7%
29,Paderu,148,ST,Visakhapatnam,Eswari Giddi,Yuvajana Sramika Rythu Congress Party,213795,127849,59.8 %,26141,20.4%
30,Anakapalli,149,GEN,Visakhapatnam,Peela Govinda Satyanarayana,Telugu Desam,189895,149837,78.9 %,22341,14.9%
31,Pendurthi,150,GEN,Visakhapatnam,Bandaru Satyanarayana Murthy,Telugu Desam,232873,182248,78.3 %,18648,10.2%
32,Elamanchili,151,GEN,Visakhapatnam,Panchakarla Ramesh Babu,Telugu Desam,185743,159218,85.7 %,8375,5.3%
33,Payakaraopeta,152,SC,Visakhapatnam,Anitha Vangalapudi,Telugu Desam,222875,179843,80.7 %,2828,1.6%
34,Narsipatnam,153,GEN,Visakhapatnam,Ayyannapatrudu Chinthakayala,Telugu Desam,198579,163181,82.2 %,2338,1.4%
35,Tuni,154,GEN,East Godavari,Dadisetti Raja,Yuvajana Sramika Rythu Congress Party,197617,159970,80.9 %,18573,11.6%
36,Prathipadu,155,GEN,East Godavari,Varupula Subbarao,Yuvajana Sramika Rythu Congress Party,184784,148075,80.1 %,3413,2.3%
37,Pithapuram,156,GEN,East Godavari,S.V.S.N. Varma,Independent,213121,169330,79.5 %,47080,27.8%
38,Kakinada Rural,157,GEN,East Godavari,Anantha Lakshmi Pilli,Telugu Desam,221660,165338,74.6 %,9048,5.5%
39,Peddapuram,158,GEN,East Godavari,Nimmakayala China Rajappa,Telugu Desam,194904,150357,77.1 %,10663,7.1%
40,Anaparthy,159,GEN,East Godavari,Nallamilli Ramakrishna Reddy,Telugu Desam,203263,174274,85.7 %,1373,0.8%
41,Kakinada City,160,GEN,East Godavari,Vanamadi Venkateswararao (KONDABABU),Telugu Desam,207036,140523,67.9 %,24000,17.1%
