#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Ichapuram,1,GEN,Krishna Rao M.V.,Telugu Desam,130306,89715,68.8 %,4343,4.8%
2,Sompeta,2,GEN,Gouthu Syama Sunder Sivaji,Telugu Desam,136718,95170,69.6 %,22501,23.6%
3,Tekkali,3,GEN,Revatipathi Korla,Telugu Desam,145921,96680,66.3 %,6052,6.3%
4,Harishchandra,4,GEN,Atchannaidu Kinjarapu,Telugu Desam,140924,101323,71.9 %,38717,38.2%
5,Narasannapeta,5,GEN,Dharmana Prasada Rao,Indian National Congress,129078,94349,73.1 %,5770,6.1%
6,Patapatnam,6,GEN,Kalamata Mohanrao,Telugu Desam,127757,85892,67.2 %,10555,12.3%
7,Kothuru,7,ST,Gopala Rao Nimmaka,Telugu Desam,139066,90657,65.2 %,1706,1.9%
8,Naguru,8,ST,Vijayaramaraju Setrucharla,Indian National Congress,125004,90316,72.3 %,6917,7.7%
9,Parvathipuram,9,GEN,Mariserla Sivunnaidu,Indian National Congress,124854,93764,75.1 %,13967,14.9%
10,Salur,10,ST,R. P. Bhanj Deo,Telugu Desam,119845,86427,72.1 %,14970,17.3%
11,Bobbili,11,GEN,Jagan Mohana Rao Peddinti,Indian National Congress,120172,95155,79.2 %,9312,9.8%
12,Therlam,12,GEN,Vasireddy Varada Ramarao,Indian National Congress,128786,103608,80.4 %,5483,5.3%
13,Vunukuru,13,GEN,Kimidi Ganapathi Rao,Telugu Desam,154357,112550,72.9 %,11488,10.2%
14,Palakonda,14,SC,Amrutha Kumari P.J.,Independent,120726,77800,64.4 %,1196,1.5%
15,Amadalavalasa,15,GEN,Thammineni Seetharam,Telugu Desam,132314,86237,65.2 %,1511,1.8%
16,Srikakulam,16,GEN,Appala Suryanarayana Gunda,Telugu Desam,169971,113153,66.6 %,11163,9.9%
17,Etcherla,17,SC,Kavali Prathibha Bharathi,Telugu Desam,145554,102466,70.4 %,10790,10.5%
18,Cheepurupalli,18,GEN,Gadde Babu Rao,Telugu Desam,143406,104496,72.9 %,4651,4.5%
19,Gajapathinagaram,19,GEN,Taddi Sanyasi Appala Naidu Alias (VENKATA RAO),Indian National Congress,118830,94736,79.7 %,4947,5.2%
20,Vizianagaram,20,GEN,Ashok Gajapathi Raju Poosapati,Telugu Desam,168330,113393,67.4 %,9431,8.3%
21,Sathivada,21,GEN,Sambasiva Raju Penumatcha,Indian National Congress,124695,104792,84.0 %,1865,1.8%
22,Bhogapuram,22,GEN,Narayanaswamy Naidu Pathivada,Telugu Desam,125854,97552,77.5 %,5114,5.2%
23,Bheemunipatnam,23,GEN,Devi Prasanna Appala Narasimha Raju Rajasagi,Telugu Desam,152059,109287,71.9 %,24828,22.7%
24,Visakhapatnam-I,24,GEN,Kambhampati Haribabu,Bharatiya Janta Party,131732,78172,59.3 %,8411,10.8%
25,Visakhapatnam-Ii,25,GEN,Penninti Varalakshmi,Telugu Desam,372954,198433,53.2 %,30637,15.4%
26,Pendurthi,26,GEN,Gana Venkata Reddy Naidu Pethakamsetti,Telugu Desam,376860,232818,61.8 %,23589,10.1%
27,Uttarapalli,27,GEN,Appalanaidu Kolla,Telugu Desam,118862,94626,79.6 %,4267,4.5%
28,Srungavarapukota,28,ST,Hymavathi Devi Sobha,Telugu Desam,142285,102101,71.8 %,678,0.7%
29,Paderu,29,ST,Manikumari Matyarasa,Telugu Desam,159257,97996,61.5 %,4426,4.5%
30,Madugula,30,GEN,Reddi Satyanarayana,Telugu Desam,141886,104771,73.8 %,5831,5.6%
31,Chodavaram,31,GEN,Balireddy Satya Rao,Indian National Congress,154712,117058,75.7 %,5518,4.7%
32,Anakapalli,32,GEN,Dadi Veerabhadra Rao,Telugu Desam,149505,107921,72.2 %,3711,3.4%
33,Paravada,33,GEN,Bandaru Satyanarayana Murthy,Telugu Desam,162666,118842,73.1 %,23131,19.5%
34,Elamanchili,34,GEN,Chalapathi Rao Pappala,Telugu Desam,139752,104435,74.7 %,7054,6.8%
35,Payakaraopeta,35,SC,Chengala Venkatarao,Telugu Desam,137048,92556,67.5 %,7576,8.2%
36,Narsipatnam,36,GEN,Ayyanna Patrudu Chintakayala,Telugu Desam,150139,118604,79.0 %,8559,7.2%
37,Chintapalli,37,ST,Veeravenkata Satyanarayana Mottadam,Telugu Desam,158744,105024,66.2 %,8271,7.9%
38,Yellavaram,38,ST,Venkateswara Rao Seethamsety,Telugu Desam,128224,82161,64.1 %,8007,9.7%
39,Burugupudi,39,GEN,Atchamamba Korpu,Telugu Desam,151687,113135,74.6 %,1975,1.7%
40,Rajahmundry,40,GEN,Gorantla Butchiyya Chowdary,Telugu Desam,145517,94542,65.0 %,23027,24.4%
41,Kadiam,41,GEN,Jakkampudi Ram Mohan Rao,Indian National Congress,243231,166393,68.4 %,804,0.5%
42,Jaggampeta,42,GEN,Jyothula Venkata Apparao Alias Nehru,Telugu Desam,153423,120725,78.7 %,9814,8.1%
43,Peddapuram,43,GEN,Boddu Bhaskara Rama Rao,Telugu Desam,151642,109157,72.0 %,5306,4.9%
44,Prathipadu,44,GEN,Parvatha Bapanamma,Telugu Desam,173192,129872,75.0 %,19526,15.0%
45,Tuni,45,GEN,Yanamala Ramakrishnudu,Telugu Desam,163024,121766,74.7 %,4174,3.4%
46,Pithapuram,46,GEN,Veera Bhadra Rao Sangisetti,Independent,128101,92690,72.4 %,4413,4.8%
47,Sampara,47,GEN,Smt Anantha Lakshmi Pilli,Telugu Desam,196828,134775,68.5 %,17079,12.7%
48,Kakinada,48,GEN,Vanamadi Venkateswararao (KONDABABU),Telugu Desam,205777,127235,61.8 %,4506,3.5%
49,Tallarevu,49,GEN,Chikkala Ramachandra Rao,Telugu Desam,140616,108998,77.5 %,2982,2.7%
50,Anaparthy,50,GEN,Moola Reddy Nallamilli,Telugu Desam,131275,98506,75.0 %,986,1.0%
51,Ramachandrapuram,51,GEN,Thota Thrimurtulu,Telugu Desam,137255,104747,76.3 %,19175,18.3%
52,Alamuru,52,GEN,V.V.S.S. Chowdary,Telugu Desam,159944,117841,73.7 %,14630,12.4%
53,Mummidivaram,53,SC,Chelli Vivekananda,Telugu Desam,135040,98373,72.8 %,10742,10.9%
54,Allavaram,54,SC,Chilla Jagadeeswari,Telugu Desam,120021,89160,74.3 %,15946,17.9%
55,Amalapuram,55,GEN,Metla Satyanarayana Rao,Telugu Desam,123976,93530,75.4 %,18780,20.1%
56,Kothapeta,56,GEN,Bandaru Satyananda Rao,Telugu Desam,137672,104905,76.2 %,16113,15.4%
57,Nagaram,57,SC,Ayyaji Vema Manepalli,Bharatiya Janta Party,122590,89494,73.0 %,16592,18.5%
58,Razole,58,GEN,Alluri Venkata Surya Narayana Raju,Telugu Desam,128342,100972,78.7 %,578,0.6%
59,Narasapur,59,GEN,Kothapalli Subbarayudu,Telugu Desam,161152,122902,76.3 %,34729,28.3%
60,Palacole,60,GEN,Allu Venkata Satyanarayana,Telugu Desam,126658,89528,70.7 %,11420,12.8%
61,Achanta,61,SC,Johar Mocharla,Telugu Desam,132088,92317,69.9 %,22727,24.6%
62,Bhimavaram,62,GEN,Venkata Narasimha Raju Penmetsa,Telugu Desam,177470,118765,66.9 %,31854,26.8%
63,Undi,63,GEN,Kalidindi Ramachandra Raju,Telugu Desam,150309,110724,73.7 %,14614,13.2%
64,Penugonda,64,GEN,Kunapareddy Veera Raghavendra Rao,Independent,129653,96408,74.4 %,6617,6.9%
65,Tanuku,65,GEN,Y. T. Raja,Telugu Desam,161448,121397,75.2 %,23847,19.6%
66,Attili,66,GEN,Dandu Sivaramaraju,Telugu Desam,143079,102788,71.8 %,24689,24.0%
67,Tadepalligudem,67,GEN,Yarra Narayanaswamy,Telugu Desam,167754,115204,68.7 %,10491,9.1%
68,Ungutur,68,GEN,Kondreddy Viswanadham,Telugu Desam,172730,134737,78.0 %,3302,2.5%
69,Dendulur,69,GEN,Garapati Sambasiva Rao,Telugu Desam,151285,115531,76.4 %,8737,7.6%
70,Eluru,70,GEN,P.V.V.P.Krishna Rao (AMBICA KRISHNA),Telugu Desam,186247,118650,63.7 %,7315,6.2%
71,Gopalpuram,71,SC,Jonnakuti Babaji Rao,Telugu Desam,155652,117128,75.2 %,2986,2.5%
72,Kovvur,72,GEN,G. S. Rao,Indian National Congress,168316,128921,76.6 %,6536,5.1%
73,Polavaram,73,ST,Srinivasa Rao Vanka,Telugu Desam,151097,111235,73.6 %,24,0.0%
74,Chintalapudi,74,GEN,Vidyadherarao Kotagiri,Telugu Desam,163255,136891,83.9 %,31890,23.3%
75,Jaggayyapet,75,GEN,Udaya Bhanu Samineni,Indian National Congress,159096,121472,76.4 %,7471,6.2%
76,Nandigama,76,GEN,Uma Maheswara Rao Devineni,Telugu Desam,154034,117587,76.3 %,23511,20.0%
77,Vijayawada West,77,GEN,Jaleel Khan,Indian National Congress,212316,129087,60.8 %,3108,2.4%
78,Vijayawada East,78,GEN,Kota Srinivasa Rao,Bharatiya Janta Party,206133,117883,57.2 %,6076,5.2%
79,Kankipadu,79,GEN,Nageswara Rao Yalamanchili,Telugu Desam,308804,191709,62.1 %,14342,7.5%
80,Mylavaram,80,GEN,Vadde Sobhanadreswara Rao,Telugu Desam,181688,138836,76.4 %,8915,6.4%
81,Tiruvuru,81,SC,Swamydas Nallagatla,Telugu Desam,162322,130968,80.7 %,1083,0.8%
82,Nuzvid,82,GEN,Hanumantha Rao Kotagiri,Telugu Desam,178798,137848,77.1 %,3469,2.5%
83,Gannavaram,83,GEN,Dasari Venkata Balavardhana Rao,Telugu Desam,126190,93602,74.2 %,21800,23.3%
84,Vuyyur,84,GEN,Anne Babu Rao,Telugu Desam,121084,89381,73.8 %,1020,1.1%
85,Gudivada,85,GEN,Raavi Hari Gopal,Telugu Desam,162459,108300,66.7 %,16946,15.6%
86,Mudinepalli,86,GEN,Venkateswara Rao Pinnamaneni,Indian National Congress,118680,88971,75.0 %,2311,2.6%
87,Kaikalur,87,GEN,Yerneni Raja Rama Chandar (RAJA BABU),Independent,144486,110510,76.5 %,1109,1.0%
88,Malleswaram,88,GEN,Kagita Venkata Rao,Telugu Desam,132527,102910,77.7 %,669,0.7%
89,Bandar,89,GEN,Nadakuditi Narasimha Rao,Telugu Desam,166691,109238,65.5 %,15527,14.2%
90,Nidumolu,90,SC,Govada Mariya Kumari,Telugu Desam,125528,89054,70.9 %,17770,20.0%
91,Avanigadda,91,GEN,Mandali Buddha Prasad,Indian National Congress,117281,89033,75.9 %,794,0.9%
92,Kuchinapudi,92,GEN,Mopidevi Venkata Ramana Rao,Indian National Congress,123530,86079,69.7 %,9161,10.6%
93,Repalle,93,GEN,Mummaneni Venkata Subbaiah,Telugu Desam,123626,79700,64.5 %,20767,26.1%
94,Vemur,94,GEN,Rajendra Prasad Alapati,Telugu Desam,140407,98018,69.8 %,18947,19.3%
95,Duggirala,95,GEN,Venkata Reddy Gudibandi,Indian National Congress,137081,96203,70.2 %,512,0.5%
96,Tenali,96,GEN,Gogineni Uma,Telugu Desam,154343,100030,64.8 %,5394,5.4%
97,Ponnur,97,GEN,Dhulipalla Narendra Kumar,Telugu Desam,144347,96318,66.7 %,15533,16.1%
98,Bapatla,98,GEN,Anantha Varma Manthena,Telugu Desam,162199,110016,67.8 %,13845,12.6%
99,Prathipad,99,GEN,Peda Rathaiah Makineni,Telugu Desam,131951,95087,72.1 %,11570,12.2%
100,Guntur-I,100,GEN,Ziauddin S.M,Telugu Desam,200756,114784,57.2 %,6097,5.3%
101,Guntur-Ii,101,GEN,Aruna Sanakkayala,Telugu Desam,192647,108485,56.3 %,6314,5.8%
102,Mangalagiri,102,GEN,Murugudu Hanumantha Rao,Indian National Congress,162181,107380,66.2 %,12024,11.2%
103,Tadikonda,103,SC,J.R. Pushpa Raju,Telugu Desam,163048,106524,65.3 %,5145,4.8%
104,Sattenapalli,104,GEN,Yalamanchili Veeranjaneyulu,Telugu Desam,179862,119895,66.7 %,10693,8.9%
105,Peddakurapadu,105,GEN,Kanna Lakshminarayana,Indian National Congress,187999,132083,70.3 %,2848,2.2%
106,Gurzala,106,GEN,Janga Krishna Murthy,Indian National Congress,204508,135969,66.5 %,131,0.1%
107,Macherla,107,GEN,Julakanti Durgamba,Telugu Desam,163006,111933,68.7 %,1951,1.7%
108,Vinukonda,108,GEN,Yallamanda Rao Veerapaneni,Telugu Desam,191760,131493,68.6 %,841,0.6%
109,Narasaraopet,109,GEN,Kodela Sivaprasada Rao,Telugu Desam,200421,138644,69.2 %,14306,10.3%
110,Chilakaluripet,110,GEN,Prathipati Pulla Rao,Telugu Desam,183363,117881,64.3 %,26241,22.3%
111,Chirala,111,GEN,Paleti Ramarao,Telugu Desam,180481,113394,62.8 %,13508,11.9%
112,Parchur,112,GEN,Lakshmi Padmavathi Jagarlamudi,Telugu Desam,140383,98282,70.0 %,2209,2.2%
113,Martur,113,GEN,Gottipati Narasaiah,Telugu Desam,161988,111021,68.5 %,39659,35.7%
114,Addanki,114,GEN,Chenchu Garataiah Bachina,Telugu Desam,164887,112100,68.0 %,249,0.2%
115,Ongole,115,GEN,Balinenisreenivasa Reddy(VASU),Indian National Congress,198048,118144,59.7 %,6222,5.3%
116,Santhanuthalapadu,116,SC,David Raju Palaparthi,Telugu Desam,183853,118232,64.3 %,10351,8.8%
117,Kandukur,117,GEN,Divi Sivaram,Telugu Desam,176773,129328,73.2 %,1525,1.2%
118,Kanigiri,118,GEN,Erigineni Thirupathi Naidu,Indian National Congress,167808,104062,62.0 %,5154,5.0%
119,Kondepi,119,GEN,Anjaneyulu Damacharla,Telugu Desam,168302,119725,71.1 %,10952,9.1%
120,Cumbum,120,GEN,Kandula Nagarjuna Reddy,Indian National Congress,145266,102898,70.8 %,19898,19.3%
121,Darsi,121,GEN,Sanikommu Pitchi Reddy,Indian National Congress,193213,132436,68.5 %,13178,10.0%
122,Markapur,122,GEN,Pedda Konda Reddy Kunduru,Indian National Congress,164386,123402,75.1 %,6121,5.0%
123,Giddalur,123,GEN,Pidathala Vijayakumar Reddy,Telugu Desam,124224,80598,64.9 %,3182,3.9%
124,Udayagiri,124,GEN,Kambham Vijayarami Reddy,Telugu Desam,135903,90201,66.4 %,4775,5.3%
125,Kavali,125,GEN,Vanteru Venugopal Reddy,Telugu Desam,159592,113893,71.4 %,18445,16.2%
126,Allur,126,GEN,Adala Prabhakar Reddy,Telugu Desam,136107,103224,75.8 %,4883,4.7%
127,Kovur,127,GEN,Nallapareddy Prasanna Kumar Reddy,Telugu Desam,144157,100302,69.6 %,28607,28.5%
128,Atmakur,128,GEN,Bollineni Krishnaiah,Indian National Congress,158292,115503,73.0 %,2069,1.8%
129,Rapur,129,GEN,Anam Ramnarayana Reddy,Indian National Congress,166411,122660,73.7 %,6128,5.0%
130,Nellore,130,GEN,Anam Vivekananda Reddy,Indian National Congress,234910,118725,50.5 %,5656,4.8%
131,Sarvepalli,131,GEN,Chandra Mohana Reddy Somireddy,Telugu Desam,160375,116000,72.3 %,16092,13.9%
132,Gudur,132,SC,Balli Durgaprasad Rao,Telugu Desam,164892,110375,66.9 %,9770,8.9%
133,Sulurpet,133,SC,Parasa Venkata Rathnaiah,Telugu Desam,150066,106629,71.1 %,9995,9.4%
134,Venkatagiri,134,GEN,Rajyalakshmi Nedurumalli,Indian National Congress,146032,111757,76.5 %,10718,9.6%
135,Sri Kalahasti,135,GEN,Gopala Krishna Reddy Bojjala,Telugu Desam,169939,120501,70.9 %,8411,7.0%
136,Satyavedu,136,SC,N.Sivaprasad,Telugu Desam,154260,107415,69.6 %,6659,6.2%
137,Nagari,137,GEN,Chenga Reddy Reddyvari,Indian National Congress,176911,130188,73.6 %,3114,2.4%
138,Puttur,138,GEN,Reddivari Rajasekhar Reddy,Telugu Desam,145162,106741,73.5 %,6765,6.3%
139,Vepanjeri,139,SC,Smt. Gummadi Kuthuhalam,Indian National Congress,148299,111157,75.0 %,13206,11.9%
140,Chittoor,140,GEN,C.K.Jayachandra Reddy(C.K.BABU),Indian National Congress,174806,118255,67.6 %,14297,12.1%
141,Palmaner,141,SC,Dr.M.Thippeswamy,Indian National Congress,171672,130017,75.7 %,3593,2.8%
142,Kuppam,142,GEN,N. Chandra Babu Naidu,Telugu Desam,161905,129512,80.0 %,65687,50.7%
143,Punganur,143,GEN,N.Sreedhar Reddy,Indian National Congress,169987,130026,76.5 %,5746,4.4%
144,Madanpalle,144,GEN,Smt. Ratakonda Shoba,Telugu Desam,175412,118415,67.5 %,18517,15.6%
145,Thamballapalle,145,GEN,Kadapa Prabhakar Reddy,Indian National Congress,125012,97289,77.8 %,9894,10.2%
146,Vayalpad,146,GEN,Nallari Kiran Kumar Reddy,Indian National Congress,142269,106017,74.5 %,689,0.6%
147,Pileru,147,GEN,Peddireddigari Ramachandra Reddy,Indian National Congress,152425,115873,76.0 %,13433,11.6%
148,Chandragiri,148,GEN,Aruna Kumari Galla,Indian National Congress,161125,117826,73.1 %,2271,1.9%
149,Tirupathi,149,GEN,Chadalavada Krishna Murthy,Telugu Desam,257340,141670,55.1 %,13082,9.2%
150,Kodur,150,SC,Somineni Saraswathi,Telugu Desam,126891,89124,70.2 %,10242,11.5%
151,Rajampet,151,GEN,Brahmaiah Pasupuleti,Telugu Desam,120726,80945,67.0 %,689,0.9%
152,Rayachoty,152,GEN,Palakondrayudu Sugavasi,Telugu Desam,136500,99011,72.5 %,8810,8.9%
153,Lakkireddipalli,153,GEN,Ramesh Kumar Reddy Reddeppagari,Telugu Desam,119501,88535,74.1 %,10145,11.5%
154,Cuddapah,154,GEN,Dr. S.A. Khaleel Basha,Telugu Desam,213436,118763,55.6 %,7766,6.5%
155,Badvel,155,GEN,Veera Reddy Bijivemula,Telugu Desam,133075,98291,73.9 %,9981,10.2%
156,Mydukur,156,GEN,Raghurami Reddy Settipalle,Telugu Desam,128824,95183,73.9 %,5520,5.8%
157,Proddatur,157,GEN,Nandyala Varadarajula Reddy,Indian National Congress,196850,125538,63.8 %,2135,1.7%
158,Jammalamadugu,158,GEN,Rama Subba Reddy Ponnapureddy,Telugu Desam,143065,103930,72.6 %,357,0.3%
159,Kamalapuram,159,GEN,Venkata Mysura Reddy Mule,Indian National Congress,134774,99841,74.1 %,10531,10.5%
160,Pulivendla,160,GEN,Y.S. Rajasekhara Reddy,Indian National Congress,140646,98293,69.9 %,30009,30.5%
161,Kadiri,161,GEN,M.S. Parthasarathi,Bharatiya Janta Party,186910,112632,60.3 %,9770,8.7%
162,Nallamada,162,GEN,Palle Raghunatha Reddy,Telugu Desam,134927,95325,70.6 %,11997,12.6%
163,Gorantla,163,GEN,Kristappa Nimmala,Telugu Desam,160717,110364,68.7 %,31187,28.3%
164,Hindupur,164,GEN,C.C. Venkataramudu,Telugu Desam,178829,125814,70.4 %,38391,30.5%
165,Madakasira,165,GEN,Neelakantapuram Raghuveera Reddy,Indian National Congress,152068,124181,81.7 %,27566,22.2%
166,Penukonda,166,GEN,Paritala Ravindra,Telugu Desam,159700,106118,66.4 %,57877,54.5%
