#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Sirpur,1,GEN,Adilabad,Kaveti Sammaiah,Telangana Rashtra Samithi,154673,124117,80.2 %,7414,6.0%
2,Chennur,2,SC,Adilabad,Nallala Odelu,Telangana Rashtra Samithi,150107,112622,75.0 %,11549,10.3%
3,Bellampalle,3,SC,Adilabad,Gunda Mallesh,Communist Party Of India,139312,102406,73.5 %,8892,8.7%
4,Mancherial,4,GEN,Adilabad,Aravinda Reddy Gaddam,Telangana Rashtra Samithi,199133,132246,66.4 %,13827,10.5%
5,Asifabad,5,ST,Adilabad,Athram Sakku,Indian National Congress,154321,118082,76.5 %,15286,12.9%
6,Khanapur,6,ST,Adilabad,Suman Rathod,Telugu Desam,156506,116738,74.6 %,26432,22.6%
7,Adilabad,7,GEN,Adilabad,Jogu Ramanna,Telugu Desam,177743,120161,67.6 %,25580,21.3%
8,Boath,8,ST,Adilabad,Godam Nagesh,Telugu Desam,142890,116338,81.4 %,30995,26.6%
9,Nirmal,9,GEN,Adilabad,Alleti Maheshwar Reddy,Praja Rajyam Party,169201,131815,77.9 %,2545,1.9%
10,Mudhole,10,GEN,Adilabad,Venugopala Chary. S,Telugu Desam,175877,138102,78.5 %,183,0.1%
11,Armur,11,GEN,Nizamabad,Annapurna Aleti,Telugu Desam,163658,120964,73.9 %,13059,10.8%
12,Bodhan,12,GEN,Nizamabad,Sudershan Reddy,Indian National Congress,180181,132264,73.4 %,1275,1.0%
13,Jukkal,13,SC,Nizamabad,Hanmanth Shinde,Telugu Desam,165426,128020,77.4 %,34124,26.7%
14,Banswada,14,GEN,Nizamabad,Pocharam Srinivas Reddy (Parige),Telugu Desam,161732,128382,79.4 %,26103,20.3%
15,Yellareddy,15,GEN,Nizamabad,Eanugu Ravinder Reddy,Telangana Rashtra Samithi,191237,147352,77.1 %,36859,25.0%
16,Kamareddy,16,GEN,Nizamabad,Gampa Goverdhan,Telugu Desam,199249,145050,72.8 %,47708,32.9%
17,Nizamabad (Urban),17,GEN,Nizamabad,Endala Lakshmi Narayana,Bharatiya Janta Party,239887,95593,39.8 %,11015,11.5%
18,Nizamabad (Rural),18,GEN,Nizamabad,Mandava Venkateshwara Rao,Telugu Desam,193494,151028,78.1 %,28727,19.0%
19,Balkonda,19,GEN,Nizamabad,Anil Kumar Eravathri,Praja Rajyam Party,169042,128514,76.0 %,8159,6.3%
20,Koratla,20,GEN,Karimnagar,Kalvakuntla Vidyasagar Rao,Telangana Rashtra Samithi,191853,129293,67.4 %,15545,12.0%
21,Jagtial,21,GEN,Karimnagar,L.Ramana,Telugu Desam,195156,133609,68.5 %,29849,22.3%
22,Dharmapuri,22,SC,Karimnagar,Eshwar Koppula,Telangana Rashtra Samithi,193562,127816,66.0 %,1484,1.2%
23,Ramagundam,23,GEN,Karimnagar,Somarapu Sathyanarayana,Independent,204961,119051,58.1 %,2220,1.9%
24,Manthani,24,GEN,Karimnagar,Duddilla Sridhar Babu,Indian National Congress,202812,150895,74.4 %,13209,8.8%
25,Peddapalle,25,GEN,Karimnagar,Chinthakunta Vijaya Ramana Rao,Telugu Desam,225755,160108,70.9 %,23482,14.7%
26,Karimnagar,26,GEN,Karimnagar,Gangula Kamalakar,Telugu Desam,261573,140365,53.7 %,30134,21.5%
27,Choppadandi,27,SC,Karimnagar,Suddala Devaiah,Telugu Desam,200641,138796,69.2 %,32988,23.8%
28,Vemulawada,28,GEN,Karimnagar,Ramesh Chennamaneni,Telugu Desam,184513,122142,66.2 %,1821,1.5%
29,Sircilla,29,GEN,Karimnagar,Kalvakuntala Taraka Ramarao,Telangana Rashtra Samithi,210869,136665,64.8 %,171,0.1%
30,Manakondur,30,SC,Karimnagar,Arepally Mohan,Indian National Congress,200944,141204,70.3 %,2172,1.5%
31,Huzurabad,31,GEN,Karimnagar,Eatala Rajender,Telangana Rashtra Samithi,204056,146412,71.8 %,15035,10.3%
32,Husnabad,32,GEN,Karimnagar,Aligireddy Praveen Reddy,Indian National Congress,233615,164905,70.6 %,13175,8.0%
33,Siddipet,33,GEN,Medak,Thaneeru Harish Rao,Telangana Rashtra Samithi,185202,132154,71.4 %,64677,48.9%
34,Medak,34,GEN,Medak,Mynampalli Hanmanth Rao,Telugu Desam,199047,150969,75.8 %,21151,14.0%
35,Narayankhed,35,GEN,Medak,Patlolla Kista Reddy,Indian National Congress,197905,145700,73.6 %,27673,19.0%
36,Andole,36,SC,Medak,C. Damodar Raja Narsimha,Indian National Congress,226321,170479,75.3 %,2906,1.7%
37,Narsapur,37,GEN,Medak,Vaakiti Sunitha Laxmareddy,Indian National Congress,187986,158301,84.2 %,13274,8.4%
38,Zahirabad,38,SC,Medak,Dr. J.Geeta,Indian National Congress,217696,153560,70.5 %,2186,1.4%
39,Sangareddy,39,GEN,Medak,Jaya Prakash Reddy T.,Indian National Congress,191446,138516,72.4 %,6772,4.9%
40,Patancheru,40,GEN,Medak,T. Nandeeshwar Goud,Indian National Congress,235264,162083,68.9 %,1247,0.8%
41,Dubbak,41,GEN,Medak,Cheruku Muthyam Reddy,Indian National Congress,181132,142564,78.7 %,2640,1.9%
42,Gajwel,42,GEN,Medak,Tumkunta Narsa Reddy,Indian National Congress,209644,177233,84.5 %,7175,4.0%
43,Medchal,43,GEN,Rangareddi,Kichannagari Laxma Reddy (KLR),Indian National Congress,315308,191219,60.6 %,5570,2.9%
44,Malkajgiri,44,GEN,Rangareddi,A. Rajender,Indian National Congress,351506,191957,54.6 %,9195,4.8%
45,Quthbullapur,45,GEN,Rangareddi,Kuna Srisailam Goud,Independent,313160,157595,50.3 %,23219,14.7%
46,Kukatpalle,46,GEN,Rangareddi,Dr. Jaya Prakash Narayan,Lok Satta Party,385031,206108,53.5 %,15643,7.6%
47,Uppal,47,GEN,Rangareddi,Bandari Raji Reddy,Indian National Congress,362387,153580,42.4 %,28183,18.4%
48,Ibrahimpatnam,48,GEN,Rangareddi,Manchireddy Kishan Reddy,Telugu Desam,196880,154634,78.5 %,9216,6.0%
49,Lal Bahadur Nagar,49,GEN,Rangareddi,Sudheer Reddy Devireddy,Indian National Congress,412728,195546,47.4 %,13142,6.7%
50,Maheswaram,50,GEN,Rangareddi,Patlolla Sabitha,Indian National Congress,287108,174946,60.9 %,7833,4.5%
51,Rajendranagar,51,GEN,Rangareddi,T. Prakash Goud,Telugu Desam,263850,159619,60.5 %,7485,4.7%
52,Serilingampally,52,GEN,Rangareddi,Bikshapathi Yadav M.,Indian National Congress,380856,203012,53.3 %,1327,0.7%
53,Chevella,53,SC,Rangareddi,K. S. Ratnam,Telugu Desam,192009,148254,77.2 %,2249,1.5%
54,Pargi,54,GEN,Rangareddi,Koppula Harishwar Reddy,Telugu Desam,199229,141823,71.2 %,14444,10.2%
55,Vicarabad,55,SC,Rangareddi,G. Prasad Kumar,Indian National Congress,181985,128165,70.4 %,4859,3.8%
56,Tandur,56,GEN,Rangareddi,P. Mahendar Reddy,Telugu Desam,176627,130705,74.0 %,13203,10.1%
57,Musheerabad,57,GEN,Hyderabad,T. Manemma,Indian National Congress,242039,132807,54.9 %,14843,11.2%
58,Malakpet,58,GEN,Hyderabad,Ahmed Bin Abdullah Balala @ Ahmed Balala,All India Majlis-E-Ittehadul Muslimoon,193583,101328,52.3 %,8371,8.3%
59,Amberpet,59,GEN,Hyderabad,G.Kishan Reddy,Bharatiya Janta Party,202014,119901,59.4 %,27243,22.7%
60,Khairatabad,60,GEN,Hyderabad,Danam Nagender,Indian National Congress,229117,129789,56.6 %,13858,10.7%
61,Jubilee Hills,61,GEN,Hyderabad,P.Vishnuvardhan Reddy,Indian National Congress,259416,136893,52.8 %,21741,15.9%
62,Sanathnagar,62,GEN,Hyderabad,Marri Shashidhar Reddy,Indian National Congress,192802,111118,57.6 %,8325,7.5%
63,Nampally,63,GEN,Hyderabad,Mohd.Virasat Rasool Khan,All India Majlis-E-Ittehadul Muslimoon,242486,110863,45.7 %,6799,6.1%
64,Karwan,64,GEN,Hyderabad,Mohd. Muqtada Khan,All India Majlis-E-Ittehadul Muslimoon,234643,112199,47.8 %,19283,17.2%
65,Goshamahal,65,GEN,Hyderabad,M.Mukesh Goud,Indian National Congress,207026,122782,59.3 %,20488,16.7%
66,Charminar,66,GEN,Hyderabad,Syed Ahmed Pasha Quadri,All India Majlis-E-Ittehadul Muslimoon,166938,89977,53.9 %,10695,11.9%
67,Chandrayangutta,67,GEN,Hyderabad,Akbaruddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,176158,97663,55.4 %,15177,15.5%
68,Yakutpura,68,GEN,Hyderabad,Mumtaz Ahmed Khan,All India Majlis-E-Ittehadul Muslimoon,225533,115289,51.1 %,43292,37.6%
69,Bahadurpura,69,GEN,Hyderabad,Mohd. Moazam Khan,All India Majlis-E-Ittehadul Muslimoon,189361,92469,48.8 %,56735,61.4%
70,Secunderabad,70,GEN,Hyderabad,Jayasudha Kapoor,Indian National Congress,206944,124084,60.0 %,4395,3.5%
71,Secunderabad Cantt.,71,SC,Hyderabad,Dr.P.Shanker Rao,Indian National Congress,202930,110270,54.3 %,4183,3.8%
72,Kodangal,72,GEN,Mahbubnagar,Anumula Revanth Reddy,Telugu Desam,186463,132853,71.2 %,6989,5.3%
73,Narayanpet,73,GEN,Mahbubnagar,Yelkoti Yella Reddy,Telugu Desam,185529,122097,65.8 %,12143,9.9%
74,Mahbubnagar,74,GEN,Mahbubnagar,N.Rajeshwar Reddy,Independent,208747,116609,55.9 %,5137,4.4%
75,Jadcherla,75,GEN,Mahbubnagar,M.Chandra Shekar,Telugu Desam,196625,140245,71.3 %,13537,9.7%
76,Devarkadra,76,GEN,Mahbubnagar,Seetha Dayakar Reddy,Telugu Desam,206309,141698,68.7 %,19036,13.4%
77,Makthal,77,GEN,Mahbubnagar,K.Dayakar Reddy,Telugu Desam,205633,131363,63.9 %,5701,4.3%
78,Wanaparthy,78,GEN,Mahbubnagar,Ravula Chanddra Shekar Reddy,Telugu Desam,236177,156169,66.1 %,10568,6.8%
79,Gadwal,79,GEN,Mahbubnagar,Aruna D.K.,Indian National Congress,185240,141415,76.3 %,10427,7.4%
80,Alampur,80,SC,Mahbubnagar,Abraham V.M.,Indian National Congress,188729,129512,68.6 %,1183,0.9%
81,Nagarkurnool,81,GEN,Mahbubnagar,Dr. Nagam Janardhan Reddy,Telugu Desam,214403,147459,68.8 %,6593,4.5%
82,Achampet,82,SC,Mahbubnagar,P.Ramulu,Telugu Desam,210950,145056,68.8 %,4831,3.3%
83,Kalwakurthy,83,GEN,Mahbubnagar,G.Jaipal Yadav,Telugu Desam,210938,156075,74.0 %,597,0.4%
84,Shadnagar,84,GEN,Mahbubnagar,Chowlapally Pratap Reddy,Indian National Congress,179562,142744,79.5 %,9838,6.9%
85,Kollapur,85,GEN,Mahbubnagar,Jupally Krishna Rao,Indian National Congress,214047,151071,70.6 %,1508,1.0%
86,Devarakonda,86,ST,Nalgonda,Balu Naik Nenavath,Indian National Congress,202733,147283,72.6 %,7468,5.1%
87,Nagarjuna Sagar,87,GEN,Nalgonda,Kunduru Jana Reddy,Indian National Congress,201229,154420,76.7 %,6214,4.0%
88,Miryalaguda,88,GEN,Nalgonda,Julakanti Ranga Reddy,Communist Party Of India (MARXIST),205058,147117,71.7 %,4363,3.0%
89,Huzurnagar,89,GEN,Nalgonda,Uttam Kumar Reddy Nalamada,Indian National Congress,214836,167591,78.0 %,29194,17.4%
90,Kodad,90,GEN,Nalgonda,Chander Rao Vanepally,Telugu Desam,213236,164095,77.0 %,9824,6.0%
91,Suryapet,91,GEN,Nalgonda,R. Damodar Reddy,Indian National Congress,217572,151043,69.4 %,6197,4.1%
92,Nalgonda,92,GEN,Nalgonda,Komatireddy Venkat Reddy,Indian National Congress,200352,147963,73.9 %,8377,5.7%
93,Munugode,93,GEN,Nalgonda,Vujjini Yadagiri Rao,Communist Party Of India,212911,164233,77.1 %,3594,2.2%
94,Bhongir,94,GEN,Nalgonda,Alimineti Uma Madhava Reddy,Telugu Desam,186195,148520,79.8 %,9353,6.3%
95,Nakrekal,95,SC,Nalgonda,Chirumarthy Lingaiah,Indian National Congress,221446,168519,76.1 %,12176,7.2%
96,Thungathurthi,96,SC,Nalgonda,Mothukupally Narsimulu,Telugu Desam,226182,173002,76.5 %,11863,6.9%
97,Alair,97,GEN,Nalgonda,Budida Bikshamaiah,Indian National Congress,225352,168882,74.9 %,12902,7.6%
98,Jangoan,98,GEN,Warangal,Ponnala Lakshmaiah,Indian National Congress,209425,151411,72.3 %,236,0.2%
99,Ghanpur (Station),99,SC,Warangal,Rajaiah Thatikonda,Indian National Congress,225885,171733,76.0 %,11210,6.5%
100,Palakurthi,100,GEN,Warangal,Errabelli Dayakar Rao,Telugu Desam,199536,157327,78.8 %,2663,1.7%
101,Dornakal,101,ST,Warangal,Satyavathi Rathod,Telugu Desam,185210,150606,81.3 %,4623,3.1%
102,Mahabubabad,102,ST,Warangal,Kavitha Maloth,Indian National Congress,196996,153190,77.8 %,15367,10.0%
103,Narsampet,103,GEN,Warangal,Prakash Reddy Revuri,Telugu Desam,191518,162905,85.1 %,8623,5.3%
104,Parkal,104,GEN,Warangal,Konda Surekha,Indian National Congress,193381,148000,76.5 %,12800,8.6%
105,Warangal West,105,GEN,Warangal,Dasyam Vinaya Bhasker,Telangana Rashtra Samithi,216155,115722,53.5 %,6684,5.8%
106,Warangal East,106,GEN,Warangal,Baswaraju Saraiah,Indian National Congress,214164,128564,60.0 %,7255,5.6%
107,Wardhannapet,107,SC,Warangal,Kondeti Sridhar,Indian National Congress,214914,149087,69.4 %,6584,4.4%
108,Bhupalpalle,108,GEN,Warangal,Gandra Venkata Ramana Reddy,Indian National Congress,222582,160741,72.2 %,11972,7.4%
109,Mulugu,109,ST,Warangal,Anasuya Dansari,Telugu Desam,177140,134686,76.0 %,18775,13.9%
110,Pinapaka,110,ST,Khammam,Rega Kantha Rao,Indian National Congress,154817,115419,74.6 %,349,0.3%
111,Yellandu,111,ST,Khammam,Abbaiah Vooke,Telugu Desam,172021,136421,79.3 %,2946,2.2%
112,Khammam,112,GEN,Khammam,Thummala Nageswara Rao,Telugu Desam,204649,154216,75.4 %,2472,1.6%
113,Palair,113,GEN,Khammam,Venkata Reddy Ramreddy,Indian National Congress,173780,155103,89.3 %,5666,3.7%
114,Madhira,114,SC,Khammam,Batti Vikramarka Mallu,Indian National Congress,183510,160006,87.2 %,1417,0.9%
115,Wyra,115,ST,Khammam,Chandravathi Banoth,Communist Party Of India,149359,127177,85.1 %,13626,10.7%
116,Sathupalle,116,SC,Khammam,Sandra Venkata Veeraiah,Telugu Desam,198571,169263,85.2 %,14008,8.3%
117,Kothagudem,117,GEN,Khammam,Kunamneni Sambasiva Rao,Communist Party Of India,196675,143075,72.7 %,2004,1.4%
118,Aswaraopeta,118,ST,Khammam,Mithrasena Vaggela,Indian National Congress,153271,125344,81.8 %,5107,4.1%
119,Bhadrachalam,119,ST,Khammam,Kunja Satyavathi,Indian National Congress,187694,144068,76.8 %,6383,4.4%
120,Ichchapuram,120,GEN,Srikakulam,Piriya Sairaj,Telugu Desam,186252,136345,73.2 %,2275,1.7%
121,Palasa,121,GEN,Srikakulam,Juttu Jagannaikulu,Indian National Congress,160605,118473,73.8 %,6814,5.8%
122,Tekkali,122,GEN,Srikakulam,Revatipathi Korla,Indian National Congress,179439,136592,76.1 %,1893,1.4%
123,Pathapatnam,123,GEN,Srikakulam,Vijayaramaraju Satrucherla,Indian National Congress,172467,126113,73.1 %,20790,16.5%
124,Srikakulam,124,GEN,Srikakulam,Darmana Prasada Rao,Indian National Congress,195430,145588,74.5 %,4470,3.1%
125,Amadalavalasa,125,GEN,Srikakulam,Boddepalli Satyavathi,Indian National Congress,159912,119831,74.9 %,16209,13.5%
126,Etcherla,126,GEN,Srikakulam,Meesala Neelakantam,Indian National Congress,187968,151935,80.8 %,15015,9.9%
127,Narsannapeta,127,GEN,Srikakulam,Dharmana Krishna Das,Indian National Congress,172020,136923,79.6 %,17589,12.8%
128,Rajam,128,SC,Srikakulam,Kondru Murali Mohan,Indian National Congress,184876,134545,72.8 %,27133,20.2%
129,Palakonda,129,ST,Srikakulam,Nimmaka Sugreevulu,Indian National Congress,155264,108295,69.7 %,16150,14.9%
130,Kurupam,130,ST,Vizianagaram,Janardhana Thotraj Veeravara Thodaramala,Indian National Congress,162666,117104,72.0 %,15053,12.9%
131,Parvathipuram,131,SC,Vizianagaram,Jayamani Savarapu,Indian National Congress,164068,120053,73.2 %,2718,2.3%
132,Salur,132,ST,Vizianagaram,Rajanna Dora Peedika,Indian National Congress,169079,121002,71.6 %,1656,1.4%
133,Bobbili,133,GEN,Vizianagaram,Venkata Sujay Krishna Ranga Rao Ravu,Indian National Congress,202043,154150,76.3 %,24172,15.7%
134,Cheepurupalle,134,GEN,Vizianagaram,Botcha Satyanarayana,Indian National Congress,178142,142285,79.9 %,5942,4.2%
135,Gajapathinagaram,135,GEN,Vizianagaram,Appala Narasaiah Botsa,Indian National Congress,179737,150515,83.7 %,27674,18.4%
136,Neelimarla,136,GEN,Vizianagaram,Appalanaidu Baddukonda,Indian National Congress,176484,147744,83.7 %,597,0.4%
137,Vizianagaram,137,GEN,Vizianagaram,Ashok Gajapathi Raju Pusapati,Telugu Desam,213988,138599,64.8 %,3282,2.4%
138,Srungavarapukota,138,GEN,Vizianagaram,Kolla Lalitha Kumari,Telugu Desam,190097,157348,82.8 %,3440,2.2%
139,Bimili,139,GEN,Visakhapatnam,Muttamsetti Srinivasa Rao (Avanti Srinu),Praja Rajyam Party,223150,176771,79.2 %,6310,3.6%
140,Visakhapatnam East,140,GEN,Visakhapatnam,Ramakrishna Babu Velagapudi,Telugu Desam,202447,138123,68.2 %,4031,2.9%
141,Visakhapatnam South,141,GEN,Visakhapatnam,Dronamraju Srinivasa Rao,Indian National Congress,174577,128912,73.8 %,341,0.3%
142,Visakhapatnam North,142,GEN,Visakhapatnam,Vijaya Kumar Thynala,Indian National Congress,210362,143031,68.0 %,5523,3.9%
143,Visakhapatnam West,143,GEN,Visakhapatnam,Vijaya Prasad Malla,Indian National Congress,165948,116120,70.0 %,4144,3.6%
144,Gajuwaka,144,GEN,Visakhapatnam,Chinthalapudi Venkataramaiah,Praja Rajyam Party,220901,153774,69.6 %,17907,11.6%
145,Chodavaram,145,GEN,Visakhapatnam,Kalidindi Surya Naga Sanyasi Raju,Telugu Desam,189776,154054,81.2 %,1385,0.9%
146,Madugula,146,GEN,Visakhapatnam,Gavireddi Rama Naidu,Telugu Desam,170487,139377,81.8 %,6827,4.9%
147,Araku Valley,147,ST,Visakhapatnam,Siveri Soma,Telugu Desam,196861,120459,61.2 %,402,0.3%
148,Paderu,148,ST,Visakhapatnam,Pasupuleti Balaraju,Indian National Congress,195431,110297,56.4 %,587,0.5%
149,Anakapalle,149,GEN,Visakhapatnam,Ganta Srinivasa Rao,Praja Rajyam Party,182820,143792,78.7 %,10866,7.6%
150,Pendurthi,150,GEN,Visakhapatnam,Panchakarla Ramesh Babu,Praja Rajyam Party,207579,156704,75.5 %,3272,2.1%
151,Yelamanchili,151,GEN,Visakhapatnam,Uppalapati Venkata Ramanamurthy Raju (Kannababu),Indian National Congress,174408,145971,83.7 %,10090,6.9%
152,Payakaraopet,152,SC,Visakhapatnam,Golla Baburao,Indian National Congress,210818,157926,74.9 %,656,0.4%
153,Narsipatnam,153,GEN,Visakhapatnam,Bolem Muthyala Papa,Indian National Congress,195807,151492,77.4 %,8287,5.5%
154,Tuni,154,GEN,East Godavari,Venkata Krishnam Raju Sri Rajah Vatsavayi,Indian National Congress,179952,141471,78.6 %,8510,6.0%
155,Prathipadu,155,GEN,East Godavari,Parvatha Sri Satyanarayana Murthy,Telugu Desam,176992,132980,75.1 %,3286,2.5%
156,Pithapuram,156,GEN,East Godavari,Vanga Geetha Viswanadh,Praja Rajyam Party,190919,149571,78.3 %,1036,0.7%
157,Kakinada Rural,157,GEN,East Godavari,Kurasala Kannababu,Praja Rajyam Party,185638,140356,75.6 %,8037,5.7%
158,Peddapuram,158,GEN,East Godavari,Pantam Gandhi Mohan,Praja Rajyam Party,180281,135356,75.1 %,3056,2.3%
159,Anaparthy,159,GEN,East Godavari,Nallamilli Sheshareddy,Indian National Congress,181683,156469,86.1 %,35874,22.9%
160,Kakinada City,160,GEN,East Godavari,Dwarmapudi Chandra Sekhara Reddy,Indian National Congress,164965,120185,72.9 %,9279,7.7%
161,Ramachandrapuram,161,GEN,East Godavari,Bose Pilli,Indian National Congress,175348,142302,81.2 %,4031,2.8%
162,Mummidivaram,162,GEN,East Godavari,Ponnada Venkata Satish Kumar,Indian National Congress,192208,153644,79.9 %,1925,1.3%
163,Amalapuram,163,SC,East Godavari,Pinipe Viswarupu,Indian National Congress,173208,138733,80.1 %,6273,4.5%
164,Razole,164,SC,East Godavari,Rapaka Vara Prasada Rao,Indian National Congress,165534,131843,79.6 %,5869,4.5%
165,Gannavaram,165,SC,East Godavari,Pamula Rajeswari Devi,Indian National Congress,171189,135271,79.0 %,3105,2.3%
166,Kothapeta,166,GEN,East Godavari,Bandaru Satyananda Rao,Praja Rajyam Party,208857,168910,80.9 %,2470,1.5%
167,Mandapeta,167,GEN,East Godavari,Jogeswara Rao.V,Telugu Desam,188943,156616,82.9 %,17440,11.1%
168,Rajanagaram,168,GEN,East Godavari,Pendurthi Venkatesh,Telugu Desam,164831,142628,86.5 %,6936,4.9%
169,Rajahmundry City,169,GEN,East Godavari,Routu Surya Prakasa Rao,Indian National Congress,202514,133284,65.8 %,1284,1.0%
170,Rajahmundry Rural,170,GEN,East Godavari,Chandana Ramesh,Telugu Desam,189454,138055,72.9 %,1547,1.1%
171,Jaggampeta,171,GEN,East Godavari,Thota Narasimham,Indian National Congress,186347,147301,79.0 %,789,0.5%
172,Rampachodavaram,172,ST,East Godavari,Kosuri Kasi Viswanadha Veera Venkata Satyanarayana Reddy,Indian National Congress,139145,95593,68.7 %,10803,11.3%
173,Kovvur,173,SC,West Godavari,T.V.Rama Rao,Telugu Desam,158958,133449,84.0 %,15478,11.6%
174,Nidadavole,174,GEN,West Godavari,Burugupalli Sesha Rao,Telugu Desam,173086,151442,87.5 %,5766,3.8%
175,Achanta,175,GEN,West Godavari,Satayanarana Pithani,Indian National Congress,142388,118745,83.4 %,15755,13.3%
176,Palacole,176,GEN,West Godavari,Usha Rani Bangaru,Indian National Congress,150662,130592,86.7 %,5446,4.2%
177,Narasapuram,177,GEN,West Godavari,Mudunuri Prasada Raju,Indian National Congress,132956,115957,87.2 %,17325,14.9%
178,Bhimavaram,178,GEN,West Godavari,Ramanjaneyulu Pulaparli (Anjibabu),Indian National Congress,194488,158255,81.4 %,22099,14.0%
179,Undi,179,GEN,West Godavari,V.V.Siva Rama Raju (Kalavapudi Siva),Telugu Desam,183759,161962,88.1 %,15748,9.7%
180,Tanuku,180,GEN,West Godavari,Karumuri Venkata Nageswara Rao,Indian National Congress,197141,162849,82.6 %,1451,0.9%
181,Tadepalligudem,181,GEN,West Godavari,Eli Venkata Madhusudhanarao (Nani),Praja Rajyam Party,171744,143803,83.7 %,3020,2.1%
182,Ungutur,182,GEN,West Godavari,Vatti Vasant Kumar,Indian National Congress,172361,150956,87.6 %,6459,4.3%
183,Denduluru,183,GEN,West Godavari,Prabhakar Chintamaneni,Telugu Desam,178893,154075,86.1 %,14231,9.2%
184,Eluru,184,GEN,West Godavari,Alla Kali Krishna Srinivas (Alla Nani),Indian National Congress,171341,125705,73.4 %,13682,10.9%
185,Gopalapuram,185,SC,West Godavari,Taneti Vanita,Telugu Desam,190448,163402,85.8 %,14653,9.0%
186,Polavaram,186,ST,West Godavari,Tellam Bala Raju,Indian National Congress,166300,144687,87.0 %,5664,3.9%
187,Chintalapudi,187,SC,West Godavari,Maddala Rajesh Kumar,Indian National Congress,212001,177693,83.8 %,1417,0.8%
188,Tiruvuru,188,SC,Krishna,Dirisam Padma Jyothi,Indian National Congress,179958,147307,81.9 %,265,0.2%
189,Nuzvid,189,GEN,Krishna,Chinnam Ramakotaiah,Telugu Desam,191655,169919,88.7 %,5143,3.0%
190,Gannavaram,190,GEN,Krishna,Venkata Balavardhanarao Dasari,Telugu Desam,201578,174989,86.8 %,15295,8.7%
191,Gudivada,191,GEN,Krishna,Kodali Sri Venkateswara Rao (Nani),Telugu Desam,180560,147955,81.9 %,17630,11.9%
192,Kaikalur,192,GEN,Krishna,Jayamangala Venkata Ramana,Telugu Desam,183024,157322,86.0 %,974,0.6%
193,Pedana,193,GEN,Krishna,Jogi Ramesh,Indian National Congress,147115,126497,86.0 %,1192,0.9%
