#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Tawang I,1,GEN,Karma Wangchu,Indian National Congress,6059,4885,80.6 %,1392.0,28.5%
2,Tawang Ii,2,GEN,Tsering Tashi,Indian National Congress,6421,5145,80.1 %,1400.0,27.2%
3,Dirang- Kalaktong,3,GEN,R.K. Khrimey,Independent,10284,8396,81.6 %,481.0,5.7%
4,Bomdila,4,GEN,Japu Deru,Peoples Party Of Arunachal,7315,5636,77.0 %,157.0,2.8%
5,Seppa,5,GEN,Nyari Welli,Indian National Congress,13793,10509,76.2 %,43.0,0.4%
6,Chayangtajo,6,GEN,Kameng Dolo,Indian National Congress,11211,9458,84.4 %,711.0,7.5%
7,Koloriang,7,GEN,Chera Talo (Uncontested),Indian National Congress,7826,RU,,,
8,Nyapin Palim,8,GEN,Tadar Tang,Indian National Congress,10795,8645,80.1 %,429.0,5.0%
9,Doimukh-Sagalee,9,GEN,Techi Takar,Indian National Congress,19525,13849,70.9 %,2128.0,15.4%
10,Ziro,10,GEN,Gyati Taka,Indian National Congress,16695,12223,73.2 %,129.0,1.1%
11,Riga-Tali,11,GEN,Boa Tamo,Indian National Congress,10259,7490,73.0 %,76.0,1.0%
12,Daporijo,12,ST,Tadak Dulom,Indian National Congress,13174,10821,82.1 %,22.0,0.2%
13,Daksing-Taliha,13,ST,Punji Mara,Indian National Congress,11119,8650,77.8 %,660.0,7.6%
14,Machuka,14,GEN,Tadik Chije,Independent,5443,4396,80.8 %,182.0,4.1%
15,Along North,15,GEN,Lijum Ronya,Bharatiya Janta Party,10903,9027,82.8 %,48.0,0.5%
16,Along South,16,GEN,Doi Ado,Peoples Party Of Arunachal,11390,8895,78.1 %,1253.0,14.1%
17,Basar,17,GEN,Todak Basar,Indian National Congress,10956,9231,84.3 %,2490.0,27.0%
18,Pasighat,18,GEN,Tapum Jamoh,Peoples Party Of Arunachal,13659,10576,77.4 %,283.0,2.7%
19,Yingkiong-Pangin,19,GEN,Geogong Apang,Indian National Congress,13389,10692,79.9 %,3370.0,31.5%
20,Meriang-Mebo,20,GEN,Bakin Pertin,Peoples Party Of Arunachal,10498,8447,80.5 %,230.0,2.7%
21,Anini,21,GEN,Tade Tacho,Indian National Congress,4420,2716,61.4 %,530.0,19.5%
22,Roing,22,GEN,Mukut Mithi,Indian National Congress,8964,6785,75.7 %,795.0,11.7%
23,Namsai Chowkham,23,GEN,C.P. Namshoom,Independent,18772,14204,75.7 %,182.0,1.3%
24,Tezu Hayuliang,24,GEN,Khapriso Krong,Indian National Congress,13931,10620,76.2 %,954.0,9.0%
25,Noadihing Nampong,25,GEN,Kamoli Mossang,Independent,8426,6253,74.2 %,255.0,4.1%
26,Changlang,26,GEN,Tengam Ngemu,Indian National Congress,7432,6019,81.0 %,482.0,8.0%
27,Khonsa South,27,GEN,T.L. Rajkumar,Indian National Congress,8392,6707,79.9 %,1178.0,17.6%
28,Khonsa North,28,GEN,Kapchen Rajkumar,Indian National Congress,9581,7142,74.5 %,498.0,7.0%
29,Niausa Kanubari,29,GEN,Noksong Boham,Indian National Congress,9584,6132,64.0 %,1611.0,26.3%
30,Pongchou Wakka,30,GEN,Hejam Ponglaham,Indian National Congress,8830,4036,45.7 %,361.0,8.9%
