#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Lumla,1,ST,Tawang,Jambey Tashi,Indian National Congress,8122,7147,88.0 %,1499.0,21.0%
2,Tawang,2,ST,Tawang,Tsering Tashi,Independent,9899,7960,80.4 %,5054.0,63.5%
3,Mukto,3,ST,Tawang,Pema Khandu,Indian National Congress,7120,RU,,,
4,Dirang,4,ST,West Kameng,Phurpa Tsering,Indian National Congress,13351,RU,,,
5,Kalaktang,5,ST,West Kameng,Tenzing Norbu Thongdok,Indian National Congress,9029,7967,88.2 %,709.0,8.9%
6,Thrizino-Buragaon,6,ST,West Kameng,Kumsi Sidisow,Indian National Congress,13984,10918,78.1 %,5083.0,46.6%
7,Bomdila,7,ST,West Kameng,Japu Deru,Bharatiya Janta Party,10218,8165,79.9 %,685.0,8.4%
8,Bameng,8,ST,East Kameng,Kumar Waii,Indian National Congress,9763,8450,86.6 %,1859.0,22.0%
9,Chayang Tajo,9,ST,East Kameng,Karya Bagang,Indian National Congress,9667,8884,91.9 %,415.0,4.7%
10,Seppa East,10,ST,East Kameng,Tapuk Taku,Indian National Congress,10692,7607,71.1 %,2768.0,36.4%
11,Seppa West,11,ST,East Kameng,Shri Mama Natung,Indian National Congress,6207,RU,,,
12,Pakke Kessang,12,ST,East Kameng,Kameng Dolo,Indian National Congress,6904,RU,,,
13,Itanagar,13,ST,Papum Pare,Techi Kaso,Indian National Congress,60998,33955,55.7 %,4841.0,14.3%
14,Doimukh,14,ST,Papum Pare,Nabam Rebia,Indian National Congress,23474,RU,,,
15,Sagalee,15,ST,Papum Pare,Nabam Tuki,Indian National Congress,12570,RU,,,
16,Yachuli,16,ST,Lower Subansiri,Likha Saaya,Indian National Congress,15082,13938,92.4 %,70.0,0.5%
17,Ziro Hapoli,17,ST,Lower Subansiri,Tage Taki,Bharatiya Janta Party,20902,16847,80.6 %,1219.0,7.2%
18,Palin,18,ST,Kurung Kumey,Shri Takam Pario,Indian National Congress,13811,RU,,,
19,Nyapin,19,ST,Kurung Kumey,Shri Bamang Felix,Indian National Congress,11632,RU,,,
20,Tali,20,ST,Kurung Kumey,Markio Tado,Indian National Congress,11590,8723,75.3 %,813.0,9.3%
21,Koloriang,21,ST,Kurung Kumey,Pani Taram,Peoples Party Of Arunachal,11794,9711,82.3 %,277.0,2.9%
22,Nacho,22,ST,Upper Subansiri,Tanga Byaling,Indian National Congress,10455,RU,,,
23,Taliha,23,ST,Upper Subansiri,Punji Mara,Indian National Congress,9541,RU,,,
24,Daporijo,24,ST,Upper Subansiri,Dikto Yekar,Indian National Congress,16931,12618,74.5 %,37.0,0.3%
