#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Ratabari,1,SC,Kumari Rabidas,Indian National Congress,82914,59927,72.3 %,8039,13.4%
2,Patharkandi,2,GEN,Monilal Gowala,Indian National Congress,85662,71219,83.1 %,12679,17.8%
3,Karimganj North,3,GEN,Sirajul Hoque Choudhury,Independent,100306,72998,72.8 %,1457,2.0%
4,Karimganj South,4,GEN,Abdul Muqtadir Choudhury,Indian National Congress,90400,67420,74.6 %,3448,5.1%
5,Badarpur,5,GEN,Ramendra De,Communist Party Of India (MARXIST),76586,56654,74.0 %,5313,9.4%
6,Hailakandi,6,GEN,Abdul Muhib Majumder,Indian National Congress,81284,57551,70.8 %,16434,28.6%
7,Katlicherra,7,GEN,Gautam Roy (Tulsi),Indian National Congress,85909,73552,85.6 %,15982,21.7%
8,Algapur,8,GEN,Sahidul Alam Choudhury,Independent,74560,55731,74.7 %,4735,8.5%
9,Silchar,9,GEN,Karnendu Bhattacharjee,Indian National Congress,108358,77838,71.8 %,13486,17.3%
10,Sonai,10,GEN,Abdul Rob Laskar,Indian National Congress,92163,77493,84.1 %,46554,60.1%
11,Dholai,11,SC,Digendra Purkayastha,Indian National Congress,93975,63173,67.2 %,407,0.6%
12,Udharbond,12,GEN,Joy Prakash Tewari,Independent,77085,58024,75.3 %,5924,10.2%
13,Lakhipur,13,GEN,Dinesh Prasad Goala,Indian National Congress,88083,69255,78.6 %,7925,11.4%
14,Barkhola,14,GEN,Altaf Hussain Mazumdar,Indian National Congress,76736,58812,76.6 %,6173,10.5%
15,Katigora,15,GEN,Abdul Hamid Mazumdar,Indian Congress (SOCIALIST),88748,69955,78.8 %,6348,9.1%
16,Haflong,16,ST,Gobinda Chndra Langthasa,Indian National Congress,67092,49656,74.0 %,16964,34.2%
17,Bokajan,17,ST,Rajen Timung,Indian National Congress,57010,35902,63.0 %,391,1.1%
18,Howraghat,18,ST,Khorsing Engti,Independent,54876,39004,71.1 %,4076,10.5%
19,Diphu,19,ST,Sam Singh Hanse,Independent,65714,42318,64.4 %,1162,2.7%
20,Baithalangso,20,ST,Holiram Terang,Independent,85958,53598,62.4 %,2136,4.0%
21,Mankachar,21,GEN,Aminul Islam,Independent,76380,67657,88.6 %,5,0.0%
22,Salmara South,22,GEN,Dewan Joynal Abedin,Independent,75959,64028,84.3 %,34589,54.0%
23,Dhubri,23,GEN,Mosir Uddin Sheikh,Indian National Congress,72837,62237,85.4 %,8583,13.8%
24,Gauripur,24,GEN,Aniruddha Singha Chowdhury,Independent,76997,68168,88.5 %,3368,4.9%
25,Golakganj,25,GEN,Dalim Ray,Independent,76141,66018,86.7 %,2518,3.8%
26,Bilasipara West,26,GEN,Yusuf Ali Ahmed,Independent,62704,55049,87.8 %,7656,13.9%
27,Bilasipara East,27,GEN,Sarat Chandra Sinha,Indian Congress (SOCIALIST),76519,65738,85.9 %,6489,9.9%
28,Gossaigaon,28,GEN,Mithias Tudu,Indian National Congress,67949,58469,86.0 %,13722,23.5%
29,Kokrajhar West,29,ST,Amrit Lal Basumatary,Indian Congress (SOCIALIST),65977,58718,89.0 %,5662,9.6%
30,Kokrajhar East,30,ST,Charan Narzary,Plains Tribals Council Of Assam,73609,64380,87.5 %,7858,12.2%
31,Sidli,31,ST,Janendra Basumatary,Plains Tribals Council Of Assam,80187,70301,87.7 %,10864,15.5%
32,Bongaigaon,32,GEN,Phani Bhoosan Chaudhary,Independent,69819,59950,85.9 %,13438,22.4%
33,Bijni,33,GEN,Ganesh Bora,Plains Tribals Council Of Assam,62258,54279,87.2 %,994,1.8%
34,Abhayapuri North,34,GEN,Mokbul Hussain,Independent,61856,55204,89.2 %,5837,10.6%
35,Abhayapuri South,35,SC,Ratneswar Sarkar,Independent,71759,64348,89.7 %,4507,7.0%
36,Dudhnai,36,ST,Akan Chandra Rabha,Independent,81309,64997,79.9 %,16812,25.9%
37,Goalpara East,37,GEN,Maziruddin Ahmed,Independent,81571,70153,86.0 %,1869,2.7%
38,Goalpara West,38,GEN,Sheikh Saman Ali,Independent,75390,65704,87.2 %,5837,8.9%
39,Jaleswar,39,GEN,Afzalur Rahman,Independent,66422,57852,87.1 %,22269,38.5%
40,Sorbhog,40,GEN,Hemen Das,Communist Party Of India (MARXIST),80627,70211,87.1 %,7669,10.9%
41,Bhabanipur,41,GEN,Surendra Nath Medhi,Independent,66615,61339,92.1 %,15170,24.7%
42,Patacharkuchi,42,GEN,Pabin Ch. Deka,Independent,84291,74235,88.1 %,63199,85.1%
43,Barpeta,43,GEN,Kumar Deepak Das,Independent,89430,84658,94.7 %,8105,9.6%
44,Jania,44,GEN,A.F.Golam Osmani,Independent,72057,64980,90.2 %,42255,65.0%
45,Baghbar,45,GEN,Sheikh A. Hamid,Independent,61072,54713,89.6 %,15320,28.0%
46,Sarukhetri,46,GEN,Dinabandhu Choudhury,Independent,83179,77778,93.5 %,12691,16.3%
47,Chenga,47,GEN,Muktar Hussain,Independent,59061,54186,91.7 %,4123,7.6%
48,Boko,48,SC,Gopinat Das,Independent,82962,71640,86.4 %,4181,5.8%
49,Chaygaon,49,GEN,Kamla Kalita,Independent,70708,62410,88.3 %,9698,15.5%
50,Palasbari,50,GEN,Jatin Mali,Independent,80640,68559,85.0 %,51266,74.8%
51,Jalukbari,51,GEN,Bhrigu Kumar Phukan,Independent,82867,71119,85.8 %,34797,48.9%
