#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Ratabari,1,SC,Sambhusing Mallah,Bharatiya Janta Party,105594,77239,73.1 %,900,1.2%
2,Patharkandi,2,GEN,Sukhendu Shekhar Dutta,Bharatiya Janta Party,112999,90714,80.3 %,795,0.9%
3,Karimganj North,3,GEN,Sirajul Haque Choudhury,Asom Gana Parisad,129800,96133,74.1 %,1305,1.4%
4,Karimganj South,4,GEN,Abdul Muqtadir Choudhury,Indian National Congress,114539,92391,80.7 %,13150,14.2%
5,Badarpur,5,GEN,Abu Saleh Najmuddin,Indian National Congress,100862,76025,75.4 %,5247,6.9%
6,Hailakandi,6,GEN,Abdul Muhib Majumder,Independent,102468,91019,88.8 %,30712,33.7%
7,Katlicherra,7,GEN,Gautam Roy,Indian National Congress,109447,93374,85.3 %,34470,36.9%
8,Algapur,8,GEN,Sahidul Alam Choudhury,Asom Gana Parisad,100833,88915,88.2 %,20209,22.7%
9,Silchar,9,GEN,Bimalangshu Roy,Bharatiya Janta Party,144566,102398,70.8 %,1519,1.5%
10,Sonai,10,GEN,Anwar Hussain Laskar,Asom Gana Parisad,105118,87335,83.1 %,23401,26.8%
11,Dholai,11,SC,Girindra Mallik,Indian National Congress,106293,83607,78.7 %,3085,3.7%
12,Udharbond,12,GEN,Jagannath Sinha,Indian National Congress,97354,75752,77.8 %,3887,5.1%
13,Lakhipur,13,GEN,Dinesh Prosad Goala,Indian National Congress,102446,83610,81.6 %,23428,28.0%
14,Barkhola,14,GEN,Misbahul Islam Laskar,Indian National Congress,90294,73212,81.1 %,12382,16.9%
15,Katigora,15,GEN,Kali Ranjan Deb,Bharatiya Janta Party,106957,85949,80.4 %,6493,7.6%
16,Haflong,16,ST,Samarjit Haflongbar,Autonomous State Demand Committee,85210,66977,78.6 %,13671,20.4%
17,Bokajan,17,ST,Jagat Sing Engti,Autonomous State Demand Committee,74464,61468,82.5 %,20578,33.5%
18,Howraghat,18,ST,Chandra Kanta Terang,Autonomous State Demand Committee,70684,61033,86.3 %,16530,27.1%
19,Diphu,19,ST,Hemsing Tisso,Autonomous State Demand Committee,96378,77213,80.1 %,9495,12.3%
20,Baithalangso,20,ST,Holiram Terang,Autonomous State Demand Committee,119796,89895,75.0 %,13275,14.8%
21,Mankachar,21,GEN,Aminul Islam,Asom Gana Parisad,99610,89136,89.5 %,2064,2.3%
22,Salmara South,22,GEN,Wazed Ali Choudhury,Indian National Congress,83083,74716,89.9 %,26497,35.5%
23,Dhubri,23,GEN,Nazibul Umar,Indian National Congress,95706,81542,85.2 %,6904,8.5%
24,Gauripur,24,GEN,Banendra Kumar Mushahary,Independent,101517,89390,88.1 %,2991,3.3%
25,Golakganj,25,GEN,Alauddin Sarkar,Communist Party Of India,97275,86096,88.5 %,516,0.6%
26,Bilasipara West,26,GEN,Ali Akbar Miah,All India Indira Congress (TIWARI),81934,72345,88.3 %,2538,3.5%
27,Bilasipara East,27,GEN,Prasanta Kumar Barua,Asom Gana Parisad,109255,93245,85.3 %,3809,4.1%
28,Gossaigaon,28,GEN,Rajendra Mushahary,Asom Gana Parisad,88637,77254,87.2 %,7048,9.1%
29,Kokrajhar West,29,ST,Hemendra Nath Brahma,Independent,98020,85505,87.2 %,6817,8.0%
30,Kokrajhar East,30,ST,Pramila Rani Brahma,Independent,106124,88225,83.1 %,19723,22.4%
31,Sidli,31,ST,Andrias Hajoary,Independent,118372,94481,79.8 %,3397,3.6%
32,Bongaigaon,32,GEN,Phani Bhusan Choudhury,Asom Gana Parisad,100328,82067,81.8 %,24758,30.2%
33,Bijni,33,GEN,Mohini Basumatary,Independent,85666,72289,84.4 %,9925,13.7%
34,Abhayapuri North,34,GEN,Bhupen Ch. Ray,Asom Gana Parisad,81092,72770,89.7 %,1744,2.4%
35,Abhayapuri South,35,SC,Rabin Banikya,Asom Gana Parisad,92372,80090,86.7 %,26572,33.2%
36,Dudhnai,36,ST,Akan Rabha,Asom Gana Parisad,104580,84184,80.5 %,6427,7.6%
37,Goalpara East,37,GEN,Jyotish Das,Asom Gana Parisad,104650,85993,82.2 %,1236,1.4%
38,Goalpara West,38,GEN,Abu Bakkar Siddique Jotdar,Indian National Congress,83564,72882,87.2 %,5707,7.8%
39,Jaleswar,39,GEN,Afzalur Rahman,Indian National Congress,74348,65317,87.9 %,6611,10.1%
40,Sorbhog,40,GEN,Hemen Das,Communist Party Of India (MARXIST),88819,75546,85.1 %,19533,25.9%
41,Bhabanipur,41,GEN,Surendra Nath Medhi,Asom Gana Parisad,77918,65373,83.9 %,8023,12.3%
42,Patacharkuchi,42,GEN,Mohan Das,Asom Gana Parisad,96261,67663,70.3 %,29787,44.0%
