#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Ratabari,1,SC,Karimganj,Kripanath Mallah,Indian National Congress,138020,82973,60.1 %,12429,15.0%
2,Patharkandi,2,GEN,Karimganj,Monilal Gowala,Indian National Congress,142923,106456,74.5 %,3224,3.0%
3,Karimganj North,3,GEN,Karimganj,Kamalakhya Dey Purkayastha,Indian National Congress,157832,108415,68.7 %,17770,16.4%
4,Karimganj South,4,GEN,Karimganj,Siddeque Ahmed,Indian National Congress,144103,104544,72.5 %,23113,22.1%
5,Badarpur,5,GEN,Karimganj,Jamal Uddin Ahmed,Indian National Congress,129363,91604,70.8 %,7382,8.1%
6,Hailakandi,6,GEN,Hailakandi,Abdul Muhib Mazumder,Indian National Congress,131786,87250,66.2 %,4993,5.7%
7,Katlicherra,7,GEN,Hailakandi,Gautam Roy,Indian National Congress,146268,108910,74.5 %,31967,29.4%
8,Algapur,8,GEN,Hailakandi,Sahidul Alam Choudhury,Asom Gana Parisad,131624,106315,80.8 %,15041,14.1%
9,Silchar,9,GEN,Cachar,Sushmita Dev,Indian National Congress,195527,112995,57.8 %,14011,12.4%
10,Sonai,10,GEN,Cachar,Anamul Haque,Indian National Congress,137366,103016,75.0 %,42028,40.8%
11,Dholai,11,SC,Cachar,Girindra Mallik,Indian National Congress,139666,102881,73.7 %,14370,14.0%
12,Udharbond,12,GEN,Cachar,Ajit Singh,Indian National Congress,127219,92414,72.6 %,44435,48.1%
13,Lakhipur,13,GEN,Cachar,Dinesh Prasad Goala,Indian National Congress,127350,94666,74.3 %,30078,31.8%
14,Barkhola,14,GEN,Cachar,Rumi Nath,Indian National Congress,113232,88447,78.1 %,10635,12.0%
15,Katigorah,15,GEN,Cachar,Ataur Rahman Mazarbhuiya,All India United Democratic Front,137422,102529,74.6 %,6142,6.0%
16,Halflong,16,ST,Dima Hasao,Gobinda Ch. Langthasa,Indian National Congress,130390,66757,51.2 %,25488,38.2%
