#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Dhanaha,1,GEN,Shyam N. Prasad,Indian National Congress,112321,71679,63.8 %,5424,7.6%
2,Bagha,2,SC,Puranmasi Ram,Janata Dal,175691,82495,47.0 %,44513,54.0%
3,Ramnagar,3,GEN,Chander Mohan Rai,Bharatiya Janta Party,148299,81141,54.7 %,30962,38.2%
4,Shikarpur,4,SC,Bhola Ram Toofani,Janata Dal,151960,72508,47.7 %,16356,22.6%
5,Sikta,5,GEN,Faiyajul Azam,Independent,144888,84358,58.2 %,6947,8.2%
6,Lauria,6,GEN,Ran Vijay Shahi,Janata Dal,140934,77322,54.9 %,9254,12.0%
7,Chanpatia,7,GEN,Krishna Kumar Mishra,Janata Dal,138351,70426,50.9 %,3063,4.3%
8,Bettiah,8,GEN,Madan Prasad Jaiswal,Bharatiya Janta Party,183062,106883,58.4 %,6739,6.3%
9,Nautan,9,GEN,Rawakant Diwedi,Communist Party Of India,140400,69424,49.4 %,9166,13.2%
10,Raxaul,10,GEN,Rajnandan Rai,Janata Dal,144171,94631,65.6 %,13272,14.0%
11,Sugauli,11,GEN,Ramashray Singh,Communist Party Of India (MARXIST),151450,96554,63.8 %,2411,2.5%
12,Motihari,12,GEN,Triveni Tiwari,Communist Party Of India,184783,92444,50.0 %,1085,1.2%
13,Adapur,13,GEN,Braj Bihari Prasad,Janata Dal,160466,107531,67.0 %,29228,27.2%
14,Dhaka,14,GEN,Avanish Kumar Singh,Bharatiya Janta Party,184520,145414,78.8 %,44598,30.7%
15,Ghorasahan,15,GEN,Lal Babu Prasad,Janata Dal,155092,99442,64.1 %,41553,41.8%
16,Madhuban,16,GEN,Sita Ram Singh,Janata Dal,160387,116295,72.5 %,41963,36.1%
17,Pipra,17,SC,Sahdev Paswan,Janata Dal,133686,80132,59.9 %,15207,19.0%
18,Kesariya,18,GEN,Yamuna Yadav,Communist Party Of India,157676,98878,62.7 %,19766,20.0%
19,Harsidhi,19,GEN,Mohd. Hedayatullah Khan,Indian National Congress,142849,83515,58.5 %,1803,2.2%
20,Gobindganj,20,GEN,Yogendra Pandey,Janata Dal,159242,101943,64.0 %,8514,8.4%
21,Kateya,21,GEN,Bachcha Chube,Indian National Congress,167181,124991,74.8 %,7405,5.9%
22,Bhore,22,SC,Inder Dev Majhi,Janata Dal,165511,116260,70.2 %,10540,9.1%
23,Mirganj,23,GEN,Prabhu Dayal Singh,Independent,151718,107263,70.7 %,1231,1.1%
24,Gopalganj,24,GEN,Surendra Singh,Janata Dal,158912,99914,62.9 %,54956,55.0%
