#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Dhanaha,1,GEN,Rajesh Singh,Rashtriya Janata Dal,120846,59357,49.1 %,1464,2.5%
2,Bagha,2,SC,Purnmasi Ram,Janata Dal (United),237157,119904,50.6 %,18391,15.3%
3,Ramnagar,3,GEN,Chandra Mohan Rai,Bharatiya Janta Party,200302,104534,52.2 %,919,0.9%
4,Shikarpur,4,SC,Bhagirathi Devi,Bharatiya Janta Party,203432,98341,48.3 %,5254,5.3%
5,Sikta,5,GEN,Khurshed Alias Firoz Alam,Indian National Congress,185625,106074,57.1 %,7599,7.2%
6,Lauria,6,GEN,Pradeep Singh,Janata Dal (United),188125,98222,52.2 %,2024,2.1%
7,Chanpatia,7,GEN,Satish Chandra Dubey,Bharatiya Janta Party,189762,88836,46.8 %,20874,23.5%
8,Bettiah,8,GEN,Renu Devi,Bharatiya Janta Party,249980,115271,46.1 %,16466,14.3%
9,Nautan,9,GEN,Baidhanath Prasad Mahto,Janata Dal (United),195780,94597,48.3 %,5303,5.6%
10,Raxaul,10,GEN,Dr. Ajay Kumar Singh,Bharatiya Janta Party,202531,96824,47.8 %,8449,8.7%
11,Sugauli,11,GEN,Ramchandra Sahni,Bharatiya Janta Party,219751,110682,50.4 %,6605,6.0%
12,Motihari,12,GEN,Pramod Kumar,Bharatiya Janta Party,249145,123847,49.7 %,20703,16.7%
13,Adapur,13,GEN,Shyam Bihari Prasad,Janata Dal (United),211223,110185,52.2 %,16008,14.5%
14,Dhaka,14,GEN,Awaneesh Kumar Singh,Bharatiya Janta Party,230980,102474,44.4 %,2690,2.6%
15,Ghorasahan,15,GEN,Laxmi Narayan Prasad,Rashtriya Janata Dal,196902,97282,49.4 %,814,0.8%
16,Madhuban,16,GEN,Shivjee Rai,Janata Dal (United),209821,100669,48.0 %,19478,19.3%
17,Pipra,17,SC,Krishnanandan Paswan,Bharatiya Janta Party,186797,88950,47.6 %,10479,11.8%
18,Kesariya,18,GEN,Rajesh Kumar Raushan Urf Babloo Deo,Rashtriya Janata Dal,204657,88270,43.1 %,978,1.1%
19,Harsidhi,19,GEN,Maheshwar Singh,Lok Jan Shakti Party,195598,96766,49.5 %,108,0.1%
20,Gobindganj,20,GEN,Meena Devi,Janata Dal (United),206551,88872,43.0 %,16021,18.0%
21,Kateya,21,GEN,Amrendra Kumar Pandey,Bahujan Samaj Party,221084,102978,46.6 %,4203,4.1%
22,Bhore,22,SC,Anil Kumar,Rashtriya Janata Dal,221501,92023,41.5 %,5891,6.4%
23,Mirganj,23,GEN,Ramsewak Singh,Janata Dal (United),206936,91711,44.3 %,7613,8.3%
24,Gopalganj,24,GEN,Shubash Singh,Bharatiya Janta Party,227192,106688,47.0 %,7934,7.4%
