#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Sarojini Nagar,1,GEN,P.N. Singh,Janta Party,33122,13550,40.9 %,5472,40.4%
2,Laxmibai Nagar,2,GEN,Kidar Nath Sachdeva,Janta Party,34432,15073,43.8 %,4958,32.9%
3,Gole Market,3,SC,Swarup Chand 'rajan',Janta Party,28308,11553,40.8 %,2566,22.2%
4,Bara Khamba,4,GEN,Shiv Charan Gupta,Janta Party,35006,13689,39.1 %,1282,9.4%
5,Delhi Contonment,5,GEN,Vimal Nagi,Indian National Congress,24835,14149,57.0 %,441,3.1%
6,Minto Road,6,GEN,Viresh Pratap Choudhary,Janta Party,26106,13997,53.6 %,734,5.2%
7,Jangpura,7,GEN,Inder Mohan Sehgal,Janta Party,44047,22786,51.7 %,2376,10.4%
8,Kasturba Nagar,8,GEN,Jaswant Singh Phull,Janta Party,44469,20350,45.8 %,4089,20.1%
9,Lajpat Nagar,9,GEN,Ram Lal Verma,Janta Party,47362,26067,55.0 %,9076,34.8%
10,Okhla,10,GEN,Lalit Mohan Gautam,Janta Party,47389,21855,46.1 %,5098,23.3%
11,Malviya Nagar,11,GEN,Hans Raj Sethi,Janta Party,69808,31699,45.4 %,9092,28.7%
12,R.K. Puram,12,GEN,Ram Bhaj,Janta Party,35313,14302,40.5 %,6666,46.6%
13,Hauz Khas,13,GEN,K.K. Gupta,Janta Party,44244,19249,43.5 %,6481,33.7%
14,Rajinder Nagar,14,GEN,Ram Nath Vij,Janta Party,54089,30001,55.5 %,6817,22.7%
15,Ashok Nagar,15,GEN,Vishnu Dutt,Janta Party,78578,42295,53.8 %,14378,34.0%
16,Tilak Nagar,16,GEN,O.P. Babbar,Janta Party,56039,32099,57.3 %,6887,21.5%
17,Rajouri Garden,17,GEN,Harbhagwan Arora,Janta Party,49993,29531,59.1 %,6871,23.3%
18,Moti Nagar,18,GEN,Madan Lal Khurana,Janta Party,37622,23701,63.0 %,10813,45.6%
19,Shakur Basti,19,GEN,Ram Gopal Sisodia,Janta Party,62169,36334,58.4 %,5064,13.9%
20,Rampura,20,GEN,Janardan Gupta,Janta Party,49149,28197,57.4 %,3412,12.1%
21,Wazirabad,21,SC,Mool Chand,Indian National Congress,96707,49662,51.4 %,1028,2.1%
22,Narela,22,GEN,Shanti Swaroop Tyagi,Janta Party,36308,25822,71.1 %,2564,9.9%
23,Bawana,23,GEN,Rohtas,Janta Party,37230,25733,69.1 %,6543,25.4%
24,Najafgarh,24,GEN,Bharat Singh,Indian National Congress,109358,63742,58.3 %,16008,25.1%
25,Madipur,25,SC,Bhore Lal,Indian National Congress,53849,32254,59.9 %,2315,7.2%
26,Palam,26,GEN,L. Singh,Janta Party,51154,29857,58.4 %,1641,5.5%
27,Mehrauli,27,SC,Kalka Dass,Janta Party,44358,23740,53.5 %,10169,42.8%
28,Tughlaqabad,28,SC,Prem Singh,Indian National Congress,71489,37918,53.0 %,4432,11.7%
29,Gita Colony,29,GEN,Ishwar Dass Mahajan,Janta Party,68068,38613,56.7 %,11347,29.4%
30,Gandhi Nagar,30,GEN,Som Nath,Janta Party,46445,26349,56.7 %,4303,16.3%
31,Krishna Nagar,31,GEN,Yog Dhayan Ahuja,Janta Party,99917,55675,55.7 %,2978,5.3%
32,Shahdara,32,GEN,Devendra Kumar Jain,Janta Party,48050,29702,61.8 %,3033,10.2%
33,Rohtas Nagar,33,GEN,Ved Prakash,Indian National Congress,91055,50339,55.3 %,988,2.0%
34,Ghonda,34,GEN,Fateh Singh,Janta Party,71012,35620,50.2 %,3448,9.7%
35,Civil Lines,35,GEN,Kanwar Lal Sharma,Janta Party,46815,24166,51.6 %,984,4.1%
36,Kamla Nagar,36,GEN,Charti Lal Goel,Janta Party,37985,21529,56.7 %,5097,23.7%
37,Vijay Nagar,37,GEN,Prashant Kumar,Janta Party,37824,21468,56.8 %,3296,15.4%
38,Model Town,38,GEN,Mahavir Vaid,Janta Party,40312,23465,58.2 %,6047,25.8%
39,Chandni Chowk,39,GEN,Raj Kumar Jain,Janta Party,41915,25969,62.0 %,6852,26.4%
40,Ballimaran,40,GEN,Vishwambhar Datt Sharma,Janta Party,42363,26760,63.2 %,6047,22.6%
41,Ajmeri Gate,41,GEN,Sanwal Dass Gupta,Janta Party,35903,23307,64.9 %,2056,8.8%
42,Kucha Pati Ram,42,GEN,Rajesh Sharma Alias Vasudev,Janta Party,41338,26593,64.3 %,5941,22.3%
43,Matia Mahal,43,GEN,Begum Khurshid,Janta Party,42016,26691,63.5 %,9163,34.3%
44,Pahar Ganj,44,GEN,Amar Nath Kumar,Janta Party,46378,28801,62.1 %,3014,10.5%
45,Ram Nagar,45,SC,Babu Ram Solanki,Indian National Congress,42495,25971,61.1 %,3125,12.0%
46,Qasabpura,46,GEN,Mohd. Ismail,Janta Party,36164,23831,65.9 %,3592,15.1%
47,Deputy Ganj,47,GEN,Shyam Chanran Gupta,Janta Party,41218,24621,59.7 %,4373,17.8%
48,Sohan Ganj,48,GEN,Inder Mohan Bhardwaj,Janta Party,41026,25164,61.3 %,1506,6.0%
49,Shakti Nagar,49,GEN,Satya Pal Chugh,Janta Party,39433,22973,58.3 %,2709,11.8%
50,Karampura,50,GEN,Brij Mohan Toofan,Janta Party,54297,32248,59.4 %,2539,7.9%
51,Sarai Rohilla,51,GEN,D.D. Vasisht,Janta Party,47118,28188,59.8 %,1093,3.9%
52,Motia Khan,52,GEN,Pushpa Kale,Janta Party,43657,25686,58.8 %,4851,18.9%
53,Dev Nagar,53,SC,Moti Lal Bakolia,Indian National Congress,35821,22106,61.7 %,237,1.1%
54,Patel Nagar,54,GEN,Kedar Nath Sahni,Janta Party,41032,23827,58.1 %,7171,30.1%
55,Anand Parbat,55,SC,Dharam Dass Shastri,Indian National Congress,47242,25677,54.4 %,1022,4.0%
56,Shadipur,56,SC,Sundervati Naval Prabhakar,Indian National Congress,31011,15951,51.4 %,677,4.2%
