#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Pernem,1,SC,Mandrekar Deu Gunaji,Maharashtrawadi Gomantak,15427,9404,61.0 %,2411,25.6%
2,Mandrem,2,GEN,Khalap Ramakant Dattaram,Maharashtrawadi Gomantak,15712,11592,73.8 %,402,3.5%
3,Siolim,3,GEN,Chodankar Chandrakant Uttam,Independent,18603,13111,70.5 %,1757,13.4%
4,Calangute,4,GEN,De Souza Wilfred Tito Fermino,Indian National Congress (U),20083,14190,70.7 %,1414,10.0%
5,Mapusa,5,GEN,Nevagi Shamsunder Jairam,Indian National Congress (U),19210,14056,73.2 %,1081,7.7%
6,Tivim,6,GEN,Narvekar Dayanand Ganesh,Indian National Congress (U),19788,13952,70.5 %,3805,27.3%
7,Bicholim,7,GEN,Prabhu Zantye Harish Narayan,Independent,17813,14750,82.8 %,2373,16.1%
8,Pale,8,GEN,Naik Vishnu Rama,Maharashtrawadi Gomantak,17967,14012,78.0 %,895,6.4%
9,Satari,9,GEN,Rane Pratapsing Ravaji,Indian National Congress (U),16305,12432,76.2 %,2072,16.7%
10,Panaji,10,GEN,Naik Vishnu Anant,Independent,16531,11173,67.6 %,829,7.4%
11,Santa Cruz,11,GEN,Fernandes Michael Antonic Carminho,Indian National Congress (U),15757,11246,71.4 %,1464,13.0%
12,Cumbarjua,12,GEN,Chodankar Vinayak Dharma,Maharashtrawadi Gomantak,17191,12170,70.8 %,1733,14.2%
13,Santo Andre,13,GEN,Pereira Teotonio Francisco Paulo,Indian National Congress (U),14136,9918,70.2 %,771,7.8%
14,Narcain,14,GEN,Gaunkar Babuso Saulo,Maharashtrawadi Gomantak,16272,12133,74.6 %,3222,26.6%
15,Ponda,15,GEN,Aguiar Joildo Souza,Indian National Congress (U),19695,14367,72.9 %,691,4.8%
16,Siroda,16,GEN,Prabhu Ramchandra Tukaram,Indian National Congress (U),17589,13450,76.5 %,424,3.2%
17,Sanguem,17,GEN,Naik Tari Gurudas Vasudev,Indian National Congress (U),17874,12774,71.5 %,1803,14.1%
18,Rivona,18,GEN,Dessai Dilkush Fettu,Indian National Congress (U),14124,10216,72.3 %,476,4.7%
19,Canacona,19,GEN,Gaonkar Vassu Paik,Indian National Congress (U),17463,13143,75.3 %,5103,38.8%
20,Quepem,20,GEN,Gauns Dessai Vaikunt Govind,Indian National Congress (U),19242,12872,66.9 %,2599,20.2%
21,Cuncolim,21,GEN,Vaz J. Mario Emerciane,Indian National Congress (U),19199,11133,58.0 %,4773,42.9%
22,Benaulim,22,GEN,Cruz Francisco Monte P. D.,Indian National Congress (U),18049,10977,60.8 %,6084,55.4%
23,Navelim,23,GEN,Paleiro Luisinho Joaquim,Indian National Congress (U),16881,10698,63.4 %,5428,50.7%
24,Margao,24,GEN,Naik Anant Narcinva,Indian National Congress (U),15337,9731,63.4 %,3874,39.8%
25,Curtorim,25,GEN,Sardinha Francisco Caetano,Indian National Congress (U),18171,11308,62.2 %,4857,43.0%
26,Cortalim,26,GEN,Froilano Nanchado,Indian National Congress (U),16369,11030,67.4 %,3219,29.2%
27,Dabolim,27,GEN,Douradao Narculano Luis,Indian National Congress (U),18663,12236,65.6 %,3270,26.7%
28,Mormugao,28,GEN,Shaikh Hassan Haroon,Indian National Congress (U),16108,9157,56.8 %,679,7.4%
29,Daman,29,GEN,Tandel Narsinhbai Lallubhai,Maharashtrawadi Gomantak,22251,15070,67.7 %,2645,17.6%
30,Diu,30,GEN,Solanki Somji Bhikha,Maharashtrawadi Gomantak,14842,10972,73.9 %,1399,12.8%
