#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Mandrem,1,GEN,Parsekar Laxmikant,Bharatiya Janta Party,20602,16510,80.1 %,1710,10.4%
2,Pernem,2,GEN,Sopte Dayanand Raghunath,Bharatiya Janta Party,19349,15644,80.9 %,2445,15.6%
3,Dargalim,3,SC,Ajgaonkar Manohar Trimbak,Indian National Congress,16345,13044,79.8 %,774,5.9%
4,Tivim,4,GEN,Nilkanth Halarnkar,Nationalist Congress Party,27262,19761,72.5 %,324,1.6%
5,Mapusa,5,GEN,Francis D'souza,Bharatiya Janta Party,28344,18387,64.9 %,6846,37.2%
6,Siolim,6,GEN,Dayanand Mandrekar,Bharatiya Janta Party,25674,18025,70.2 %,2002,11.1%
7,Calangute,7,GEN,Agnelo Fernandes,Indian National Congress,27826,19505,70.1 %,2761,14.2%
8,Saligao,8,GEN,Dilip Dnyaneshwar Parulekar,Bharatiya Janta Party,22026,15411,70.0 %,1957,12.7%
9,Aldona,9,GEN,Dayanand Ganesh Narvekar,Indian National Congress,31592,21757,68.9 %,3034,13.9%
10,Panaji,10,GEN,Manohar Gopalkrishna Prabhu Parrikar,Bharatiya Janta Party,14937,10582,70.8 %,1444,13.6%
11,Taleigao,11,GEN,Monserrate Atanasio J.,United Goans Democratic Party,28993,19404,66.9 %,4022,20.7%
12,Santa Cruz,12,GEN,Fernandes Victoria,Indian National Congress,29368,20352,69.3 %,1345,6.6%
13,St. Andre,13,GEN,Silveira Francisco,Indian National Congress,22197,15253,68.7 %,2519,16.5%
14,Cumbarjua,14,GEN,Madkaikar Pandurang Arjun,Indian National Congress,27785,20345,73.2 %,571,2.8%
15,Bicholim,15,GEN,Patnekar Rajesh Tulsidas,Bharatiya Janta Party,23176,18401,79.4 %,2695,14.6%
16,Maem,16,GEN,Anant V. Shet,Bharatiya Janta Party,19137,15729,82.2 %,480,3.1%
17,Pale,17,GEN,Gurudas Prabhakar Gauns,Indian National Congress,23559,18628,79.1 %,1591,8.5%
18,Poriem,18,GEN,Rane Pratapsingh Raoji,Indian National Congress,23251,18246,78.5 %,3736,20.5%
19,Valpoi,19,GEN,Rane Vishwajit Pratapsingh,Independent,17669,14113,79.9 %,3549,25.1%
20,Ponda,20,GEN,Naik Ravi,Indian National Congress,37068,24606,66.4 %,1656,6.7%
21,Priol,21,GEN,Dhavalikar Pandurang Alias Deepak,Maharashtrawadi Gomantak,26635,20781,78.0 %,4325,20.8%
22,Marcaim,22,GEN,Dhavalikar Ramkrishna Alias Sudin Madhav,Maharashtrawadi Gomantak,24750,19339,78.1 %,7609,39.3%
23,Siroda,23,GEN,Mahadev Naik,Bharatiya Janta Party,25791,19964,77.4 %,249,1.2%
24,Mormugao,24,GEN,Naik Milind Sagun,Bharatiya Janta Party,28930,17715,61.2 %,2406,13.6%
25,Vasco Da Gama,25,GEN,D Souza Jose Philip,Nationalist Congress Party,32541,19121,58.8 %,612,3.2%
26,Cortalim,26,GEN,Mauvin Heliodoro Godinho,Indian National Congress,34947,22203,63.5 %,1682,7.6%
27,Loutulim,27,GEN,Aleixo Seqeira,Indian National Congress,22626,14869,65.7 %,1541,10.4%
28,Benaulim,28,GEN,Pacheco Xavier Francisco,Nationalist Congress Party,23453,15678,66.8 %,756,4.8%
29,Fatorda,29,GEN,Damodar (DAMU) G. NAIK,Bharatiya Janta Party,32630,19834,60.8 %,1771,8.9%
30,Margao,30,GEN,Kamat Digambar,Indian National Congress,28141,17480,62.1 %,2028,11.6%
31,Curtorim,31,GEN,Aleixo Reginaldo Lourenco,Save Goa Front,26552,17233,64.9 %,1827,10.6%
32,Navelim,32,GEN,Alemao Churchill,Save Goa Front,34947,23020,65.9 %,4504,19.6%
33,Velim,33,GEN,Rodrigues Filipe Nery,Indian National Congress,20405,13183,64.6 %,2754,20.9%
34,Cuncolim,34,GEN,Alemao Joaquim,Indian National Congress,24150,15229,63.1 %,5501,36.1%
35,Sanvordem,35,GEN,Anil Vasudev Salgaonkar,Independent,25551,19657,76.9 %,6923,35.2%
36,Sanguem,36,GEN,Gaonkar Vasudev Meng,Bharatiya Janta Party,19677,14616,74.3 %,2305,15.8%
37,Curchorem,37,GEN,Shyam Gopinath Satardekar,Indian National Congress,28519,20115,70.5 %,1899,9.4%
38,Quepem,38,GEN,Chandrakant (BABU) KAVALEKAR,Indian National Congress,28167,21320,75.7 %,1163,5.5%
39,Canacona,39,GEN,Pai Khot Vijay,Bharatiya Janta Party,20070,15173,75.6 %,709,4.7%
40,Poinguinim,40,GEN,Tawadkar Ramesh,Bharatiya Janta Party,15604,12127,77.7 %,200,1.6%
