#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Mandrem,1,GEN,North Goa,Dayanand Raghunath Sopte,Indian National Congress,31375,27551,87.8 %,7119,25.8%
2,Pernem,2,SC,North Goa,Ajgaonkar Manohar Trimbak,Maharashtrawadi Gomantak,31354,27261,86.9 %,6030,22.1%
3,Bicholim,3,GEN,North Goa,Rajesh Patnekar,Bharatiya Janta Party,25958,23085,88.9 %,666,2.9%
4,Tivim,4,GEN,North Goa,Nilkanth Ramnath Halarnkar,Indian National Congress,26575,22381,84.2 %,795,3.6%
5,Mapusa,5,GEN,North Goa,Francisco C. J. A. De Pinto E Souza,Bharatiya Janta Party,28808,22355,77.6 %,6828,30.5%
6,Siolim,6,GEN,North Goa,Vinoda Datarama Paliencar,Goa Forward Party,28171,23284,82.7 %,1441,6.2%
7,Saligao,7,GEN,North Goa,Jayesh Vidyadhar Salgaonkar,Goa Forward Party,26036,20857,80.1 %,2137,10.2%
8,Calangute,8,GEN,North Goa,Michael Vincent Lobo,Bharatiya Janta Party,24541,19912,81.1 %,3825,19.2%
9,Porvorim,9,GEN,North Goa,Rohan Khaunte,Independent,24346,19480,80.0 %,4213,21.6%
10,Aldona,10,GEN,North Goa,Glenn Souza Ticlo,Bharatiya Janta Party,27439,21410,78.0 %,4456,20.8%
11,Panaji,11,GEN,North Goa,Sidharth Sripad Kuncalienker,Bharatiya Janta Party,22203,17164,77.3 %,1069,6.2%
12,Taleigao,12,GEN,North Goa,Jennifer Monserrate,Indian National Congress,27863,22304,80.0 %,2855,12.8%
13,St. Cruz,13,GEN,North Goa,Antonio Caetano Fernandes,Indian National Congress,27711,21912,79.1 %,642,2.9%
14,St. Andre,14,GEN,North Goa,Francisco Silveira,Indian National Congress,20948,16402,78.3 %,5070,30.9%
15,Cumbarjua,15,GEN,North Goa,Pandurang Madkaikar,Bharatiya Janta Party,25055,20208,80.7 %,8434,41.7%
16,Maem,16,GEN,North Goa,Pravin Zantye,Bharatiya Janta Party,27097,23731,87.6 %,4974,21.0%
17,Sanquelim,17,GEN,North Goa,Dr. Pramod Pandurang Sawant,Bharatiya Janta Party,26207,23371,89.2 %,2131,9.1%
18,Poriem,18,GEN,North Goa,Pratapsingh R Rane,Indian National Congress,30694,27044,88.1 %,4066,15.0%
19,Valpoi,19,GEN,North Goa,Vishwajit Pratapsingh Rane,Indian National Congress,28835,24964,86.6 %,5678,22.7%
20,Priol,20,GEN,North Goa,Govind Gaude,Independent,29568,26497,89.6 %,4686,17.7%
21,Ponda,21,GEN,North Goa,Ravi Sitaram Naik,Indian National Congress,30568,24841,81.3 %,3010,12.1%
22,Siroda,22,GEN,North Goa,Subhash Ankush Shirodkar,Indian National Congress,28265,24430,86.4 %,4870,19.9%
23,Marcaim,23,GEN,North Goa,Ramkrishna Alias Sudin Dhavalikar,Maharashtrawadi Gomantak,26984,22980,85.2 %,13680,59.5%
24,Mormugao,24,GEN,South Goa,Milind Sagun Naik,Bharatiya Janta Party,21446,17189,80.2 %,140,0.8%
25,Vasco-Da-Gama,25,GEN,South Goa,Jose Luis Carlos Almeida,Bharatiya Janta Party,35938,25836,71.9 %,1351,5.2%
26,Dabolim,26,GEN,South Goa,Mauvin Heliodoro Godinho,Bharatiya Janta Party,22650,17305,76.4 %,2494,14.4%
27,Cortalim,27,GEN,South Goa,Alina Saldanha,Bharatiya Janta Party,30463,23276,76.4 %,518,2.2%
28,Nuvem,28,GEN,South Goa,Wilfred D'sa,Indian National Congress,28200,21207,75.2 %,5660,26.7%
29,Curtorim,29,GEN,South Goa,Aleixo Reginaldo Lourenco,Indian National Congress,28187,21054,74.7 %,7697,36.6%
30,Fatorda,30,GEN,South Goa,Vijai Sardesai,Goa Forward Party,28985,22818,78.7 %,1334,5.8%
31,Margao,31,GEN,South Goa,Digambar Vasant Kamat,Indian National Congress,28457,22082,77.6 %,4176,18.9%
32,Benaulim,32,GEN,South Goa,Churchill Alemao,Nationalist Congress Party,28603,21127,73.9 %,5191,24.6%
33,Navelim,33,GEN,South Goa,Luizinho Faleiro,Indian National Congress,27349,21102,77.2 %,2478,11.7%
34,Cuncolim,34,GEN,South Goa,Clafasio Dias,Indian National Congress,29067,22193,76.4 %,33,0.1%
35,Velim,35,GEN,South Goa,Filipe Nery Rodrigues,Indian National Congress,31178,23267,74.6 %,5253,22.6%
36,Quepem,36,GEN,South Goa,Chandrakant (BABU) KAVLEKAR,Indian National Congress,31293,26305,84.1 %,2592,9.9%
37,Curchorem,37,GEN,South Goa,Nilesh Cabral,Bharatiya Janta Party,26030,21378,82.1 %,9088,42.5%
38,Sanvordem,38,GEN,South Goa,Deepak Prabhu Pauskar,Maharashtrawadi Gomantak,28242,25072,88.8 %,5221,20.8%
39,Sanguem,39,GEN,South Goa,Prasad S. Gaonkar,Independent,25769,22475,87.2 %,937,4.2%
40,Canacona,40,GEN,South Goa,Isidore Aleixinho Fernandes,Indian National Congress,33233,28187,84.8 %,2108,7.5%
