#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Abdasa,1,GEN,Jadeja Narendrasinh Madhavsinhaj,Bharatiya Janta Party,128249,92196,71.9 %,9855,10.7%
2,Mandvi,2,GEN,Patel Chhabilbhai Naranbhai,Indian National Congress,135253,87251,64.5 %,598,0.7%
3,Bhuj,3,GEN,Ahir Shivjibhai Karshanbhai,Indian National Congress,167886,107896,64.3 %,2580,2.4%
4,Mundra,4,SC,Dhua Gopalbhai Gabhabhai,Bharatiya Janta Party,136272,79566,58.4 %,8976,11.3%
5,Anjar,5,GEN,Dr. Aacharya Nimaben Bhavesh,Indian National Congress,233512,123826,53.0 %,4079,3.3%
6,Rapar,6,GEN,Babubhai Meghji Shah,Indian National Congress,169200,105024,62.1 %,4287,4.1%
7,Dasada,7,SC,Makwana Manaharlal Maganlal,Indian National Congress,143293,94980,66.3 %,613,0.6%
8,Wadhwan,8,GEN,Kela Dhanrajbhai Govindbhai,Bharatiya Janta Party,190056,115794,60.9 %,17744,15.3%
9,Limbdi,9,GEN,Bharvad Bhavanbhai Jivanbhai,Indian National Congress,165394,111303,67.3 %,19743,17.7%
10,Chotila,10,GEN,Jinjariya Popatbhai Savshibhai,Independent,161410,89036,55.2 %,8418,9.5%
11,Halvad,11,GEN,Kavadiya Jayantilal Ramjibhai,Bharatiya Janta Party,145494,105516,72.5 %,4998,4.7%
12,Dhrangadhra,12,GEN,Indravijaysinh (I.K.) Jadeja,Bharatiya Janta Party,147081,104688,71.2 %,1505,1.4%
13,Morvi,13,GEN,Amrutiya Kantilal Shivabhai,Bharatiya Janta Party,191840,119782,62.4 %,1590,1.3%
14,Tankara,14,GEN,Kundariya Mohanbhai Kalyanji,Bharatiya Janta Party,180306,122450,67.9 %,10853,8.9%
15,Wankaner,15,GEN,Somani Jyotsanaben Jitendrabhai,Bharatiya Janta Party,156259,114326,73.2 %,9621,8.4%
16,Jasdan,16,GEN,Kunvarjibhai Mohanbhai Bavaliya,Indian National Congress,166653,129257,77.6 %,20599,15.9%
17,Rajkot-I,17,GEN,Tapubhai Limbasiya,Bharatiya Janta Party,311023,156229,50.2 %,16585,10.6%
