#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Kalka,1,GEN,Kanti Parkash Bhalla,Lok Dal,113251,77607,68.5 %,7472,9.6%
2,Naraingarh,2,GEN,Jagpal Singh,Independent,84099,65284,77.6 %,12093,18.5%
3,Sadhaura,3,SC,Bhag Mal,Independent,93890,71367,76.0 %,16008,22.4%
4,Chhachhrauli,4,GEN,Mohhamad Aslm Khan,Indian National Congress,84087,67289,80.0 %,6923,10.3%
5,Yamunanagar,5,GEN,Kamla Verma,Bharatiya Janta Party,105051,71478,68.0 %,11312,15.8%
6,Jagadhri,6,GEN,Brij Mohan,Bharatiya Janta Party,88674,67648,76.3 %,12449,18.4%
7,Mullana,7,SC,Suraj Bhan,Bharatiya Janta Party,90083,66757,74.1 %,6442,9.6%
8,Ambala Cantonment,8,GEN,Sushma Swaraj,Bharatiya Janta Party,65675,46748,71.2 %,7972,17.1%
9,Ambala City,9,GEN,Shiv Parsad,Bharatiya Janta Party,79557,55451,69.7 %,5441,9.8%
10,Naggal,10,GEN,Harmindra Singh,Independent,84040,67898,80.8 %,11235,16.5%
11,Indri,11,GEN,Lachhman Singh,Lok Dal,93189,69948,75.1 %,19343,27.7%
12,Nilokheri,12,GEN,Jai Singh,Independent,90269,67874,75.2 %,3686,5.4%
13,Karnal,13,GEN,Lachhman Dass,Bharatiya Janta Party,98769,61669,62.4 %,5201,8.4%
14,Jundla,14,SC,Risal Singh,Lok Dal,90233,58363,64.7 %,35154,60.2%
15,Gharaunda,15,GEN,Piru Ram,Lok Dal,94663,66777,70.5 %,4086,6.1%
16,Assandh,16,SC,Man Phool Singh,Lok Dal,90674,60647,66.9 %,23796,39.2%
17,Panipat,17,GEN,Bal Bir Pal Shah,Indian National Congress,108543,78280,72.1 %,10974,14.0%
18,Sambhalka,18,GEN,Sachdev,Lok Dal,96505,72604,75.2 %,4745,6.5%
19,Naultha,19,GEN,Satbir S/o Gaje Singh,Lok Dal,90434,67397,74.5 %,29280,43.4%
20,Shahabad,20,GEN,Harnam Singh,Communist Party Of India,88593,66012,74.5 %,11701,17.7%
21,Radaur,21,SC,Rattan Lal Kataria,Bharatiya Janta Party,83724,61854,73.9 %,20629,33.4%
22,Thanesar,22,GEN,Gurdial Singh,Lok Dal,94239,65304,69.3 %,22624,34.6%
23,Pehowa,23,GEN,Balbir Singh,Lok Dal,96628,72205,74.7 %,23594,32.7%
24,Guhla,24,SC,Buta Singh,Lok Dal,97187,71587,73.7 %,26627,37.2%
25,Kaithal,25,GEN,Surinder Kumat,Lok Dal,83509,63228,75.7 %,6689,10.6%
26,Pundri,26,GEN,Makhan Singh,Lok Dal,87102,64966,74.6 %,12397,19.1%
27,Pai,27,GEN,Nar Singh,Lok Dal,85736,64817,75.6 %,29483,45.5%
28,Hassangarh,28,GEN,Om Parkahs Bhardwaj,Lok Dal,85154,57027,67.0 %,23325,40.9%
29,Kiloi,29,GEN,Sri Kishan,Lok Dal,84659,57586,68.0 %,15023,26.1%
30,Rohtak,30,GEN,Mangal Sain,Bharatiya Janta Party,111799,74726,66.8 %,1468,2.0%
31,Meham,31,GEN,Devi Lal,Lok Dal,96581,69371,71.8 %,25981,37.5%
32,Kalanaur,32,SC,Jai Narian,Bharatiya Janta Party,80893,53273,65.9 %,13785,25.9%
33,Beri,33,GEN,Raghuvir Singh,Lok Dal,88169,56663,64.3 %,10826,19.1%
34,Salhawas,34,GEN,Ram Narain,Lok Dal,93289,59758,64.1 %,22097,37.0%
35,Jhajjar,35,SC,Medhavi,Independent,97753,57348,58.7 %,13368,23.3%
36,Badli,36,GEN,Dhir Pal Singh,Lok Dal,87227,58855,67.5 %,16366,27.8%
37,Bahadurgarh,37,GEN,Mange Ram,Lok Dal,107389,72251,67.3 %,25320,35.0%
38,Baroda,38,SC,Kirpa Ram,Lok Dal,91066,69352,76.2 %,37025,53.4%
39,Gohana,39,GEN,Kishan Singh,Lok Dal,103064,73894,71.7 %,19122,25.9%
40,Kailana,40,GEN,Ved Singh,Lok Dal,94896,69888,73.6 %,17614,25.2%
41,Sonepat,41,GEN,Devi Dass,Bharatiya Janta Party,101952,66626,65.4 %,15745,23.6%
42,Rai,42,GEN,Maha Singh,Lok Dal,96006,69192,72.1 %,25959,37.5%
43,Rohat,43,GEN,Mahendra,Lok Dal,89559,59901,66.9 %,20312,33.9%
44,Kalayat,44,SC,Banarasi,Lok Dal,84332,61922,73.4 %,25290,40.8%
45,Narwana,45,GEN,Tek Chand,Lok Dal,91682,72186,78.7 %,27839,38.6%
46,Uchana Kalan,46,GEN,Desh Raj,Lok Dal,94902,72266,76.1 %,45248,62.6%
47,Rajond,47,GEN,Durga Dutt,Lok Dal,78870,59992,76.1 %,28201,47.0%
48,Jind,48,GEN,Parma Nand,Lok Dal,98538,75162,76.3 %,8102,10.8%
49,Julana,49,GEN,Kulbir Singh,Lok Dal,84337,63258,75.0 %,21447,33.9%
50,Safidon,50,GEN,Sardul Singh,Independent,95755,66396,69.3 %,26732,40.3%
51,Faridabad,51,GEN,Kundal Lal Bhatia S/0 Arjun Lal,Bharatiya Janta Party,158948,100065,63.0 %,2637,2.6%
52,Mewla Maharajpur,52,GEN,Ch. Mahinder Pratap Singh,Indian National Congress,147907,88983,60.2 %,19756,22.2%
53,Ballabgarh,53,GEN,Yogesh Chand Sharma,Lok Dal,127599,76690,60.1 %,16076,21.0%
54,Palwal,54,GEN,Subhash Chand,Lok Dal,100489,71243,70.9 %,14463,20.3%
55,Hassanpur,55,SC,Udaibhan,Lok Dal,96939,63542,65.5 %,4472,7.0%
56,Hathin,56,GEN,Bhagwan Shai,Lok Dal,91554,63987,69.9 %,7276,11.4%
57,Ferozepur Jhirka,57,GEN,Ajmat Khan,Lok Dal,98348,71836,73.0 %,8693,12.1%
58,Nuh,58,GEN,Khurshid Ahmad,Lok Dal,91586,64070,70.0 %,27970,43.7%
59,Taoru,59,GEN,Tayab Hussain,Indian National Congress,99957,79729,79.8 %,11034,13.8%
60,Sohna,60,GEN,Dharam Pal,Independent,100829,74449,73.8 %,9028,12.1%
61,Gurgaon,61,GEN,Sita Ram Singhla,Bharatiya Janta Party,113377,82437,72.7 %,24051,29.2%
62,Pataudi,62,SC,Shiv Lal,Lok Dal,99218,65264,65.8 %,16979,26.0%
63,Badhra,63,GEN,Ran Singh S/o Sheokaran,Lok Dal,96147,65078,67.7 %,4856,7.5%
64,Dadri,64,GEN,Hukam Singh,Lok Dal,93677,62169,66.4 %,9432,15.2%
65,Mundhal Khurd,65,GEN,Vasudev,Lok Dal,89848,61095,68.0 %,8126,13.3%
66,Bhiwani,66,GEN,Banarsi Dass Gupta,Lok Dal,94335,70156,74.4 %,35191,50.2%
67,Tosham,67,GEN,Dharam Vir,Lok Dal,99898,69638,69.7 %,2186,3.1%
68,Loharu,68,GEN,Hira Nand Arya,Lok Dal,102461,69205,67.5 %,12613,18.2%
69,Bawani Khera,69,SC,Jagan Nath,Lok Dal,97531,65802,67.5 %,23339,35.5%
70,Barwala,70,GEN,Surender,Lok Dal,99393,72822,73.3 %,28837,39.6%
71,Narnaund,71,GEN,Virender Singh,Lok Dal,87000,66792,76.8 %,26498,39.7%
72,Hansi,72,GEN,Pardeep Kumar Chaudhary,Bharatiya Janta Party,94872,70671,74.5 %,29431,41.6%
73,Bhattu Kalan,73,GEN,Sampat Singh,Lok Dal,89363,70991,79.4 %,17717,25.0%
