#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Kalka,1,GEN,Chander Mohan,Indian National Congress,201203,119162,59.2 %,14843,12.5%
2,Naraingarh,2,GEN,Pawan Kumar,Indian National Lok Dal,110347,83973,76.1 %,7433,8.9%
3,Sadhaura,3,SC,Balwant Singh,Indian National Lok Dal,121632,94965,78.1 %,7478,7.9%
4,Chhachhrauli,4,GEN,Kanwar Pal,Bharatiya Janta Party,106107,92330,87.0 %,3421,3.7%
5,Yamunanagar,5,GEN,Dr. Jai Parkash Shrama,Indian National Congress,146445,87351,59.6 %,2764,3.2%
6,Jagadhri,6,GEN,Dr. Bishan Lal Saini,Bahujan Samaj Party,118787,89138,75.0 %,3282,3.7%
7,Mullana,7,SC,Risal Singh,Indian National Lok Dal,121663,87103,71.6 %,5122,5.9%
8,Ambala Cantonment,8,GEN,Anil Vij,Independent,87741,55387,63.1 %,9057,16.4%
9,Ambala City,9,GEN,Veena,Bharatiya Janta Party,115397,69910,60.6 %,6109,8.7%
10,Naggal,10,GEN,Jasbir Mallour,Indian National Lok Dal,121053,94706,78.2 %,18773,19.8%
11,Indri,11,GEN,Bhim Sain,Independent,127328,96741,76.0 %,843,0.9%
12,Nilokheri,12,GEN,Dharm Pal,Indian National Lok Dal,115029,84299,73.3 %,9254,11.0%
13,Karnal,13,GEN,Jai Parkash,Independent,141114,84231,59.7 %,3733,4.4%
14,Jundla,14,SC,Naphe Singh,Indian National Lok Dal,116236,71992,61.9 %,18855,26.2%
15,Gharaunda,15,GEN,Ramesh Rana,Indian National Lok Dal,118766,84733,71.3 %,23470,27.7%
16,Assandh,16,SC,Krishan Lal,Indian National Lok Dal,118125,76600,64.8 %,23242,30.3%
17,Panipat,17,GEN,Balbir Pal,Indian National Congress,175071,105760,60.4 %,14209,13.4%
18,Sambhalka,18,GEN,Kartar Singh Bhadana,Indian National Lok Dal,122079,87637,71.8 %,12015,13.7%
19,Naultha,19,GEN,Satbir Singh Kadiyan,Indian National Lok Dal,113005,82419,72.9 %,25481,30.9%
20,Shahabad,20,GEN,Kapoor Chand,Bharatiya Janta Party,108997,76056,69.8 %,3994,5.3%
21,Radaur,21,SC,Banta Ram,Indian National Lok Dal,106300,81402,76.6 %,6555,8.1%
