#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Kalka,1,GEN,Panchkula,Pardeep Chaudhary,Indian National Lok Dal,122579,94631,77.2 %,21187,22.4%
2,Panchkula,2,GEN,Panchkula,Devender Kumar Bansal,Indian National Congress,143985,82551,57.3 %,12260,14.9%
3,Naraingarh,3,GEN,Ambala,Ram Kishan,Indian National Congress,141746,116062,81.9 %,8320,7.2%
4,Ambala Cantt,4,GEN,Ambala,Anil Vij,Bharatiya Janta Party,147434,100018,67.8 %,6338,6.3%
5,Ambala City,5,GEN,Ambala,Venod Sharma,Indian National Congress,187813,131569,70.1 %,35550,27.0%
6,Mulana,6,SC,Ambala,Rajbir Singh Barara,Indian National Lok Dal,167513,129730,77.4 %,2937,2.3%
7,Sadhaura,7,SC,Yamunanagar,Rajpal,Indian National Congress,165132,132854,80.5 %,8613,6.5%
8,Jagadhri,8,GEN,Yamunanagar,Akram Khan,Bahujan Samaj Party,158037,129172,81.7 %,4328,3.4%
9,Yamunanagar,9,GEN,Yamunanagar,Dilbagh Singh,Indian National Lok Dal,153439,112899,73.6 %,13573,12.0%
10,Radaur,10,GEN,Yamunanagar,Dr.Bishan Lal Saini,Indian National Lok Dal,146594,115098,78.5 %,4395,3.8%
11,Ladwa,11,GEN,Kurukshetra,Sher Singh Barshami,Indian National Lok Dal,138172,112361,81.3 %,2505,2.2%
12,Shahbad,12,SC,Kurukshetra,Anil Dhantori,Indian National Congress,124883,92786,74.3 %,3741,4.0%
13,Thanesar,13,GEN,Kurukshetra,Ashok Kumar Arora,Indian National Lok Dal,122244,89792,73.5 %,8285,9.2%
14,Pehowa,14,GEN,Kurukshetra,Harmohinder Singh,Indian National Congress,134786,106590,79.1 %,4080,3.8%
15,Guhla,15,SC,Kaithal,Phool Singh,Indian National Lok Dal,143929,110720,76.9 %,5253,4.7%
16,Kalayat,16,GEN,Kaithal,Rampal Majra,Indian National Lok Dal,162982,128797,79.0 %,9400,7.3%
17,Kaithal,17,GEN,Kaithal,Randeep Singh Surjewala,Indian National Congress,150744,116736,77.4 %,22502,19.3%
18,Pundri,18,GEN,Kaithal,Sultan,Independent,146691,122752,83.7 %,4051,3.3%
19,Nilokheri,19,SC,Karnal,Mamu Ram,Indian National Lok Dal,156170,105595,67.6 %,16723,15.8%
20,Indri,20,GEN,Karnal,Ashok Kashyap,Indian National Lok Dal,147068,111622,75.9 %,9097,8.1%
21,Karnal,21,GEN,Karnal,Sumita Singh,Indian National Congress,158695,101258,63.8 %,3731,3.7%
22,Gharaunda,22,GEN,Karnal,Narender Sangwan,Indian National Lok Dal,159059,119766,75.3 %,1660,1.4%
