#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Kalka,1,GEN,Panchkula,Pardeep Chaudhary,Indian National Congress,171362,127294,74.3 %,5931,4.7%
2,Kalka,1,GEN,Panchkula,Pardeep Chaudhary,Indian National Congress,171362,127294,74.3 %,5931,4.7%
3,Panchkula,2,GEN,Panchkula,Gian Chand Gupta,Bharatiya Janta Party,205606,124804,60.7 %,5633,4.5%
4,Panchkula,2,GEN,Panchkula,Gian Chand Gupta,Bharatiya Janta Party,205606,124804,60.7 %,5633,4.5%
5,Naraingarh,3,GEN,Ambala,Shalley,Indian National Congress,178684,134664,75.4 %,20600,15.3%
6,Naraingarh,3,GEN,Ambala,Shalley,Indian National Congress,178684,134664,75.4 %,20600,15.3%
7,Ambala Cantt.,4,GEN,Ambala,Anil Vij,Bharatiya Janta Party,192546,120722,62.7 %,20165,16.7%
8,Ambala Cantt.,4,GEN,Ambala,Anil Vij,Bharatiya Janta Party,192546,120722,62.7 %,20165,16.7%
9,Ambala City,5,GEN,Ambala,Aseem Goel Naneola,Bharatiya Janta Party,249402,152288,61.1 %,8952,5.9%
10,Ambala City,5,GEN,Ambala,Aseem Goel Naneola,Bharatiya Janta Party,249402,152288,61.1 %,8952,5.9%
11,Mulana (SC),6,SC,Ambala,Varun Chaudhary,Indian National Congress,211593,153202,72.4 %,1688,1.1%
12,Mulana (SC),6,SC,Ambala,Varun Chaudhary,Indian National Congress,211593,153202,72.4 %,1688,1.1%
13,Sadhaura (SC),7,SC,Yamunanagar,Renu Bala,Indian National Congress,210448,164030,77.9 %,17020,10.4%
14,Sadhaura (SC),7,SC,Yamunanagar,Renu Bala,Indian National Congress,210448,164030,77.9 %,17020,10.4%
15,Jagadhri,8,GEN,Yamunanagar,Kanwar Pal,Bharatiya Janta Party,213499,169618,79.4 %,16373,9.7%
16,Jagadhri,8,GEN,Yamunanagar,Kanwar Pal,Bharatiya Janta Party,213499,169618,79.4 %,16373,9.7%
17,Yamunanagar,9,GEN,Yamunanagar,Ghanshyam Dass,Bharatiya Janta Party,220541,149585,67.8 %,1455,1.0%
18,Yamunanagar,9,GEN,Yamunanagar,Ghanshyam Dass,Bharatiya Janta Party,220541,149585,67.8 %,1455,1.0%
19,Radaur,10,GEN,Yamunanagar,Bishan Lal,Indian National Congress,192800,141021,73.1 %,2541,1.8%
20,Radaur,10,GEN,Yamunanagar,Bishan Lal,Indian National Congress,192800,141021,73.1 %,2541,1.8%
21,Ladwa,11,GEN,Kurukshetra,Mewa Singh,Indian National Congress,181912,137079,75.4 %,12637,9.2%
22,Ladwa,11,GEN,Kurukshetra,Mewa Singh,Indian National Congress,181912,137079,75.4 %,12637,9.2%
23,Shahbad,12,SC,Kurukshetra,Ram Karan,Jannayak Janta Party,160782,124227,77.3 %,37127,29.9%
24,Shahbad,12,SC,Kurukshetra,Ram Karan,Jannayak Janta Party,160782,124227,77.3 %,37127,29.9%
25,Thanesar,13,GEN,Kurukshetra,Subhash Sudha,Bharatiya Janta Party,189509,128622,67.9 %,842,0.7%
26,Thanesar,13,GEN,Kurukshetra,Subhash Sudha,Bharatiya Janta Party,189509,128622,67.9 %,842,0.7%
27,Pehowa,14,GEN,Kurukshetra,Sandeep Singh,Bharatiya Janta Party,172496,122220,70.9 %,5314,4.3%
28,Pehowa,14,GEN,Kurukshetra,Sandeep Singh,Bharatiya Janta Party,172496,122220,70.9 %,5314,4.3%
29,Guhla (SC),15,SC,Kaithal,Ishwar Singh,Jannayak Janta Party,177567,130492,73.5 %,4574,3.5%
30,Guhla (SC),15,SC,Kaithal,Ishwar Singh,Jannayak Janta Party,177567,130492,73.5 %,4574,3.5%
31,Kalayat,16,GEN,Kaithal,Kamlesh Dhanda,Bharatiya Janta Party,201889,152565,75.6 %,8974,5.9%
32,Kalayat,16,GEN,Kaithal,Kamlesh Dhanda,Bharatiya Janta Party,201889,152565,75.6 %,8974,5.9%
33,Kaithal,17,GEN,Kaithal,Leela Ram,Bharatiya Janta Party,199956,158136,79.1 %,1246,0.8%
34,Kaithal,17,GEN,Kaithal,Leela Ram,Bharatiya Janta Party,199956,158136,79.1 %,1246,0.8%
35,Pundri,18,GEN,Kaithal,Randhir Singh Gollen,Independent,180409,136303,75.6 %,12824,9.4%
36,Pundri,18,GEN,Kaithal,Randhir Singh Gollen,Independent,180409,136303,75.6 %,12824,9.4%
37,Nilokheri (SC),19,SC,Karnal,Dharam Pal Gonder,Independent,208491,133406,64.0 %,2222,1.7%
38,Nilokheri (SC),19,SC,Karnal,Dharam Pal Gonder,Independent,208491,133406,64.0 %,2222,1.7%
39,Indri,20,GEN,Karnal,Ram Kumar,Bharatiya Janta Party,194970,141937,72.8 %,7431,5.2%
40,Indri,20,GEN,Karnal,Ram Kumar,Bharatiya Janta Party,194970,141937,72.8 %,7431,5.2%
41,Karnal,21,GEN,Karnal,Manohar Lal,Bharatiya Janta Party,234730,123452,52.6 %,45188,36.6%
42,Karnal,21,GEN,Karnal,Manohar Lal,Bharatiya Janta Party,234730,123452,52.6 %,45188,36.6%
43,Gharaunda,22,GEN,Karnal,Harvinder Kalyan,Bharatiya Janta Party,213116,143008,67.1 %,17402,12.2%
44,Gharaunda,22,GEN,Karnal,Harvinder Kalyan,Bharatiya Janta Party,213116,143008,67.1 %,17402,12.2%
45,Assandh,23,GEN,Karnal,Shamsher Singh Gogi,Indian National Congress,223462,152891,68.4 %,1703,1.1%
46,Assandh,23,GEN,Karnal,Shamsher Singh Gogi,Indian National Congress,223462,152891,68.4 %,1703,1.1%
47,Panipat Rural,24,GEN,Panipat,Mahipal Dhanda,Bharatiya Janta Party,235662,163648,69.4 %,21961,13.4%
48,Panipat Rural,24,GEN,Panipat,Mahipal Dhanda,Bharatiya Janta Party,235662,163648,69.4 %,21961,13.4%
49,Panipat City,25,GEN,Panipat,Parmod Kumar Vij,Bharatiya Janta Party,213748,120590,56.4 %,39545,32.8%
50,Panipat City,25,GEN,Panipat,Parmod Kumar Vij,Bharatiya Janta Party,213748,120590,56.4 %,39545,32.8%
51,Israna (SC),26,SC,Panipat,Balbir Singh,Indian National Congress,172911,126760,73.3 %,20015,15.8%
52,Israna (SC),26,SC,Panipat,Balbir Singh,Indian National Congress,172911,126760,73.3 %,20015,15.8%
53,Samalkha,27,GEN,Panipat,Dharam Singh Chhoker,Indian National Congress,207052,156623,75.6 %,14942,9.5%
54,Samalkha,27,GEN,Panipat,Dharam Singh Chhoker,Indian National Congress,207052,156623,75.6 %,14942,9.5%
55,Ganaur,28,GEN,Sonipat,Nirmal Rani,Bharatiya Janta Party,171587,119217,69.5 %,10280,8.6%
56,Ganaur,28,GEN,Sonipat,Nirmal Rani,Bharatiya Janta Party,171587,119217,69.5 %,10280,8.6%
57,Rai,29,GEN,Sonipat,Mohan Lal Badoli,Bharatiya Janta Party,171533,119168,69.5 %,2662,2.2%
58,Rai,29,GEN,Sonipat,Mohan Lal Badoli,Bharatiya Janta Party,171533,119168,69.5 %,2662,2.2%
59,Kharkhauda (SC),30,SC,Sonipat,Jaiveer Singh,Indian National Congress,159161,101024,63.5 %,1544,1.5%
60,Kharkhauda (SC),30,SC,Sonipat,Jaiveer Singh,Indian National Congress,159161,101024,63.5 %,1544,1.5%
61,Sonipat,31,GEN,Sonipat,Surender Panwar,Indian National Congress,211086,132829,62.9 %,32878,24.8%
62,Sonipat,31,GEN,Sonipat,Surender Panwar,Indian National Congress,211086,132829,62.9 %,32878,24.8%
63,Gohana,32,GEN,Sonipat,Jagbir Singh Malik,Indian National Congress,169304,118096,69.8 %,4152,3.5%
64,Gohana,32,GEN,Sonipat,Jagbir Singh Malik,Indian National Congress,169304,118096,69.8 %,4152,3.5%
65,Baroda,33,GEN,Sonipat,Sri Krishan Hooda,Indian National Congress,175949,122561,69.7 %,4840,3.9%
66,Baroda,33,GEN,Sonipat,Sri Krishan Hooda,Indian National Congress,175949,122561,69.7 %,4840,3.9%
67,Julana,34,GEN,Jind,Amarjeet Dhanda,Jannayak Janta Party,172764,126107,73.0 %,24193,19.2%
68,Julana,34,GEN,Jind,Amarjeet Dhanda,Jannayak Janta Party,172764,126107,73.0 %,24193,19.2%
69,Safidon,35,GEN,Jind,Subhash Gangoli,Indian National Congress,177634,135581,76.3 %,3658,2.7%
70,Safidon,35,GEN,Jind,Subhash Gangoli,Indian National Congress,177634,135581,76.3 %,3658,2.7%
71,Jind,36,GEN,Jind,Dr. Krishan Lal Middha,Bharatiya Janta Party,183568,123048,67.0 %,12508,10.2%
72,Jind,36,GEN,Jind,Dr. Krishan Lal Middha,Bharatiya Janta Party,183568,123048,67.0 %,12508,10.2%
73,Uchana Kalan,37,GEN,Jind,Dushyant Chautala,Jannayak Janta Party,205355,157891,76.9 %,47452,30.1%
74,Uchana Kalan,37,GEN,Jind,Dushyant Chautala,Jannayak Janta Party,205355,157891,76.9 %,47452,30.1%
75,Narwana (SC),38,SC,Jind,Ram Niwas,Jannayak Janta Party,206290,152652,74.0 %,30692,20.1%
76,Narwana (SC),38,SC,Jind,Ram Niwas,Jannayak Janta Party,206290,152652,74.0 %,30692,20.1%
77,Tohana,39,GEN,Fatehabad,Devender Singh Babli,Jannayak Janta Party,217034,177150,81.6 %,52302,29.5%
78,Tohana,39,GEN,Fatehabad,Devender Singh Babli,Jannayak Janta Party,217034,177150,81.6 %,52302,29.5%
79,Fatehabad,40,GEN,Fatehabad,Dura Ram,Bharatiya Janta Party,237536,183711,77.3 %,3300,1.8%
80,Fatehabad,40,GEN,Fatehabad,Dura Ram,Bharatiya Janta Party,237536,183711,77.3 %,3300,1.8%
81,Ratia (SC),41,SC,Fatehabad,Lakshman Napa,Bharatiya Janta Party,211845,156662,74.0 %,1216,0.8%
82,Ratia (SC),41,SC,Fatehabad,Lakshman Napa,Bharatiya Janta Party,211845,156662,74.0 %,1216,0.8%
83,Kalawali (SC),42,SC,Sirsa,Shishpal Singh,Indian National Congress,175110,132505,75.7 %,19243,14.5%
84,Kalawali (SC),42,SC,Sirsa,Shishpal Singh,Indian National Congress,175110,132505,75.7 %,19243,14.5%
85,Dabwali,43,GEN,Sirsa,Amit Sihag,Indian National Congress,196067,155659,79.4 %,15647,10.1%
86,Dabwali,43,GEN,Sirsa,Amit Sihag,Indian National Congress,196067,155659,79.4 %,15647,10.1%
87,Rania,44,GEN,Sirsa,Ranjit Singh,Independent,177717,143200,80.6 %,19431,13.6%
88,Rania,44,GEN,Sirsa,Ranjit Singh,Independent,177717,143200,80.6 %,19431,13.6%
89,Sirsa,45,GEN,Sirsa,Gopal Kanda,Haryana Lokhit Party,203301,141326,69.5 %,602,0.4%
90,Sirsa,45,GEN,Sirsa,Gopal Kanda,Haryana Lokhit Party,203301,141326,69.5 %,602,0.4%
91,Ellenabad,46,GEN,Sirsa,Abhay Singh Chautala,Indian National Lok Dal,178442,149947,84.0 %,11922,8.0%
92,Ellenabad,46,GEN,Sirsa,Abhay Singh Chautala,Indian National Lok Dal,178442,149947,84.0 %,11922,8.0%
93,Adampur,47,GEN,Hisar,Kuldeep Bishnoi,Indian National Congress,160175,122559,76.5 %,29471,24.0%
94,Adampur,47,GEN,Hisar,Kuldeep Bishnoi,Indian National Congress,160175,122559,76.5 %,29471,24.0%
