#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Kinnaur,1,ST,Thakur Sen Negi,Independent,26689,16600,62.2 %,7606,45.8%
2,Rampur,2,SC,Ninzoo Ram,Janta Party,27627,12516,45.3 %,2598,20.8%
3,Rohru,3,GEN,Satya Dev,Janta Party,30710,18171,59.2 %,2672,14.7%
4,Jubbal-Kotkhai,4,GEN,Ram Lal,Indian National Congress,26783,18734,69.9 %,5316,28.4%
5,Chopal,5,GEN,Radha Raman,Janta Party,25210,14513,57.6 %,3153,21.7%
6,Kumarsain,6,GEN,Bhaskera Nand,Independent,28464,19760,69.4 %,1437,7.3%
7,Theog,7,GEN,Mehar Singh Chauhan,Janta Party,27905,19077,68.4 %,7242,38.0%
8,Simla,8,GEN,Daulat Ram Chauhan,Janta Party,38625,20111,52.1 %,10447,51.9%
9,Kasumpti,9,SC,Roopdas Kashyap,Independent,28740,14529,50.6 %,2466,17.0%
10,Arki,10,GEN,Nagin Chandra Pall,Janta Party,25072,14404,57.5 %,8317,57.7%
11,Doon,11,GEN,Ram Pratap,Independent,25689,19320,75.2 %,2244,11.6%
12,Nalagarh,12,GEN,Vijayendra Singh,Janta Party,30023,21252,70.8 %,10928,51.4%
13,Kasauli,13,SC,Chaman Lal,Janta Party,24588,14087,57.3 %,479,3.4%
14,Solan,14,GEN,Gauri Shankar,Janta Party,28315,15477,54.7 %,4613,29.8%
15,Pachhad,15,SC,Shri Ram Jakhmi,Janta Party,27456,14961,54.5 %,2675,17.9%
16,Rainka,16,SC,Roop Singh,Janta Party,29328,14171,48.3 %,4152,29.3%
17,Shillai,17,GEN,Guman Singh Chauhan,Indian National Congress,28078,15050,53.6 %,95,0.6%
18,Paonta Doon,18,GEN,Milkh Raj,Independent,27237,19779,72.6 %,2562,13.0%
19,Nahan,19,GEN,Shyama Sharma,Janta Party,26006,16742,64.4 %,7393,44.2%
20,Kotkehloor,20,GEN,Daulat Ram Sankhyan,Janta Party,27731,17562,63.3 %,7528,42.9%
21,Bilaspur,21,GEN,Anand Chand,Independent,26026,16394,63.0 %,1423,8.7%
22,Ghumarwin,22,GEN,Narayan Singh Swami,Janta Party,30292,19864,65.6 %,3460,17.4%
23,Geharwin,23,SC,Bachittar Singh,Janta Party,27457,14935,54.4 %,7982,53.4%
24,Nadaun,24,GEN,Narain Chand,Indian National Congress,28294,18617,65.8 %,2164,11.6%
25,Hamirpur,25,GEN,Jagdev Chand,Janta Party,28979,17370,59.9 %,2636,15.2%
