#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Kinnaur,1,ST,Thakur Sen Negi,Independent,30721,22315,72.6 %,3383,15.2%
2,Rampur,2,SC,Singhi Ram,Indian National Congress,32289,22276,69.0 %,6491,29.1%
3,Rohru,3,GEN,Satya Dev Bushehari,Indian National Congress,35736,24243,67.8 %,5147,21.2%
4,Jubbal-Kotkhai,4,GEN,Ram Lal,Indian National Congress,30642,24570,80.2 %,17425,70.9%
5,Chopal,5,GEN,Kewal Ram Chauhan,Indian National Congress,29238,21500,73.5 %,4294,20.0%
6,Kumarsain,6,GEN,Jai Bihari Lal Khachi,Indian National Congress,32015,24218,75.6 %,4739,19.6%
7,Theog,7,GEN,Vidya Stokes,Indian National Congress,30240,24049,79.5 %,4895,20.4%
8,Simla,8,GEN,Daulat Ram,Bharatiya Janta Party,38057,25122,66.0 %,2945,11.7%
9,Kasumpti,9,SC,Balak Ram,Bharatiya Janta Party,34822,22821,65.5 %,1358,6.0%
10,Arki,10,GEN,Nagin Chander Pal,Bharatiya Janta Party,28424,20538,72.3 %,2219,10.8%
11,Doon,11,GEN,Ram Partap Chandel,Indian National Congress,29128,23520,80.7 %,6997,29.7%
12,Nalagarh,12,GEN,Vijayander Singh,Indian National Congress,34699,26798,77.2 %,9241,34.5%
13,Kasauli,13,SC,Raghu Raj,Indian National Congress,28255,18226,64.5 %,6404,35.1%
14,Solan,14,GEN,Rama Nand,Bharatiya Janta Party,32073,21088,65.8 %,2816,13.4%
15,Pachhad,15,SC,Gangu Ram,Independent,31407,20749,66.1 %,4662,22.5%
16,Rainka,16,SC,Prem Singh,Indian National Congress,31916,18158,56.9 %,5556,30.6%
17,Shillai,17,GEN,Guman Singh Chauhan,Indian National Congress,31322,23878,76.2 %,2661,11.1%
18,Paonta Doon,18,GEN,Kush Parmar,Indian National Congress,33018,26364,79.8 %,2352,8.9%
19,Nahan,19,GEN,Shyama Sharma,Janta Party,29762,21559,72.4 %,6894,32.0%
20,Kotkehloor,20,GEN,Daulat Ram Sankhyan,Indian National Congress,31409,21405,68.1 %,539,2.5%
21,Bilaspur,21,GEN,Sada Ram Thakur,Bharatiya Janta Party,29704,21143,71.2 %,1488,7.0%
22,Ghumarwin,22,GEN,Narayan Singh Swami,Bharatiya Janta Party,32857,24422,74.3 %,486,2.0%
23,Geharwin,23,SC,Ganu Ram,Bharatiya Janta Party,30251,20772,68.7 %,576,2.8%
24,Nadaun,24,GEN,Dhani Ram,Bharatiya Janta Party,31375,20938,66.7 %,1830,8.7%
25,Hamirpur,25,GEN,Jagdev Chand,Bharatiya Janta Party,32893,23174,70.5 %,6614,28.5%
